system,B1B95/def2-QZVP/ORCA
S22x5/01-A,-467.3580875446
S22x5/01-B,-454.1779608531
S22x5/01-0.9,-921.5522178718
S22x5/01-1.0,-921.5550767418
S22x5/01-1.2,-921.5518478038
S22x5/01-1.5,-921.5446602032
S22x5/01-2.0,-921.5389994343
S22x5/02-A,-467.3575631654
S22x5/02-B,-454.1791081108
S22x5/02-0.9,-921.5316164563
S22x5/02-1.0,-921.5411539139
S22x5/02-1.2,-921.541571503
S22x5/02-1.5,-921.5388484719
S22x5/02-2.0,-921.5375285153
S22x5/03-A,-56.5572944602
S22x5/03-B,-56.5572944591
S22x5/03-0.9,-113.1161765444
S22x5/03-1.0,-113.1176541931
S22x5/03-1.2,-113.1171537764
S22x5/03-1.5,-113.1159082311
S22x5/03-2.0,-113.1150735184
S22x5/04-A,-76.4408944668
S22x5/04-B,-76.4409353159
S22x5/04-0.9,-152.886998748
S22x5/04-1.0,-152.8882866732
S22x5/04-1.2,-152.8873273723
S22x5/04-1.5,-152.8850320919
S22x5/04-2.0,-152.8832658829
S22x5/05-A,-40.5016789778
S22x5/05-B,-40.5016789783
S22x5/05-0.9,-81.0016452227
S22x5/05-1.0,-81.0027014213
S22x5/05-1.2,-81.0031597362
S22x5/05-1.5,-81.0033091982
S22x5/05-2.0,-81.0033556457
S22x5/06-A,-78.5736613082
S22x5/06-B,-78.5736613075
S22x5/06-0.9,-157.1447414359
S22x5/06-1.0,-157.1467044315
S22x5/06-1.2,-157.1476403933
S22x5/06-1.5,-157.1473640159
S22x5/06-2.0,-157.1473300661
S22x5/07-A,-78.5736511387
S22x5/07-B,-77.325102568
S22x5/07-0.9,-155.8985318808
S22x5/07-1.0,-155.8994902436
S22x5/07-1.2,-155.8995106554
S22x5/07-1.5,-155.899198665
S22x5/07-2.0,-155.8989185969
S22x5/08-A,-189.7935782132
S22x5/08-B,-189.7935782078
S22x5/08-0.9,-379.609994071
S22x5/08-1.0,-379.6133895759
S22x5/08-1.2,-379.6091369458
S22x5/08-1.5,-379.5999063977
S22x5/08-2.0,-379.592272375
S22x5/09-A,-169.9131749592
S22x5/09-B,-169.9131749656
S22x5/09-0.9,-339.8442175247
S22x5/09-1.0,-339.8472254123
S22x5/09-1.2,-339.8443222521
S22x5/09-1.5,-339.8374293047
S22x5/09-2.0,-339.8314365857
S22x5/10-A,-232.230903779
S22x5/10-B,-76.4408254393
S22x5/10-0.9,-308.6735500712
S22x5/10-1.0,-308.6744415245
S22x5/10-1.2,-308.6741044932
S22x5/10-1.5,-308.673091716
S22x5/10-2.0,-308.6723198327
S22x5/11-A,-232.2309198107
S22x5/11-B,-56.5572380167
S22x5/11-0.9,-288.7877982242
S22x5/11-1.0,-288.7890176975
S22x5/11-1.2,-288.7891065233
S22x5/11-1.5,-288.7887806706
S22x5/11-2.0,-288.7884068043
S22x5/12-A,-232.2309307824
S22x5/12-B,-40.5017060975
S22x5/12-0.9,-272.7305281555
S22x5/12-1.0,-272.7322683483
S22x5/12-1.2,-272.7328766676
S22x5/12-1.5,-272.7325488401
S22x5/12-2.0,-272.7326545881
S22x5/13-A,-232.2308986801
S22x5/13-B,-232.2308893346
S22x5/13-0.9,-464.4593380157
S22x5/13-1.0,-464.461035876
S22x5/13-1.2,-464.4619069563
S22x5/13-1.5,-464.4623327172
S22x5/13-2.0,-464.4619323548
S22x5/14-A,-232.230934378
S22x5/14-B,-232.2309343749
S22x5/14-0.9,-464.4518173116
S22x5/14-1.0,-464.4586098642
S22x5/14-1.2,-464.4610682985
S22x5/14-1.5,-464.4614346716
S22x5/14-2.0,-464.4617740427
S22x5/15-A,-232.2308553619
S22x5/15-B,-363.8139947381
S22x5/15-0.9,-596.0449585494
S22x5/15-1.0,-596.0473205045
S22x5/15-1.2,-596.0478134185
S22x5/15-1.5,-596.0469663913
S22x5/15-2.0,-596.0458097788
S22x5/16-A,-232.2309061066
S22x5/16-B,-363.8139838661
S22x5/16-0.9,-596.0344552353
S22x5/16-1.0,-596.0418143027
S22x5/16-1.2,-596.0444138223
S22x5/16-1.5,-596.0441249611
S22x5/16-2.0,-596.0445280673
S22x5/17-A,-264.3188722047
S22x5/17-B,-264.3188632774
S22x5/17-0.9,-528.629379986
S22x5/17-1.0,-528.6364066247
S22x5/17-1.2,-528.637921126
S22x5/17-1.5,-528.6378008626
S22x5/17-2.0,-528.6378320959
S22x5/18-A,-323.5338986569
S22x5/18-B,-303.6515691219
S22x5/18-0.9,-627.2030873843
S22x5/18-1.0,-627.2060666689
S22x5/18-1.2,-627.2029380479
S22x5/18-1.5,-627.1957155922
S22x5/18-2.0,-627.18967789
S22x5/19-A,-307.4747334075
S22x5/19-B,-307.4747050125
S22x5/19-0.9,-614.9525027841
S22x5/19-1.0,-614.9546528649
S22x5/19-1.2,-614.953996757
S22x5/19-1.5,-614.9521283132
S22x5/19-2.0,-614.9505290332
S22x5/20-A,-414.8679668448
S22x5/20-B,-414.8679668501
S22x5/20-0.9,-829.7324162017
S22x5/20-1.0,-829.7403873713
S22x5/20-1.2,-829.7400641876
S22x5/20-1.5,-829.737874557
S22x5/20-2.0,0
S22x5/21-A,-414.8671598497
S22x5/21-B,-414.8671598575
S22x5/21-0.9,-829.7579867331
S22x5/21-1.0,-829.7610488562
S22x5/21-1.2,-829.7569644675
S22x5/21-1.5,-829.7482577268
S22x5/21-2.0,-829.740590141
S22x5/22-A,-232.23083471
S22x5/22-B,-93.4281615842
S22x5/22-0.9,-325.6622074204
S22x5/22-1.0,-325.6632831433
S22x5/22-1.2,-325.6628022813
S22x5/22-1.5,-325.6612700337
S22x5/22-2.0,-325.6600892961
S66x8/01-A,-76.4409310653
S66x8/01-B,-76.4409142698
S66x8/01-090,-152.8875336783
S66x8/01-095,-152.8881143137
S66x8/01-100,-152.8882386783
S66x8/01-105,-152.8880732014
S66x8/01-110,-152.8877306258
S66x8/01-125,-152.886458503
S66x8/01-150,-152.8847689296
S66x8/01-200,-152.8831074943
S66x8/02-A,-76.4409369863
S66x8/02-B,-115.7272661461
S66x8/02-090,-192.1737507478
S66x8/02-095,-192.1744769798
S66x8/02-100,-192.1746865875
S66x8/02-105,-192.1745792374
S66x8/02-110,-192.1742595582
S66x8/02-125,-192.1729677159
S66x8/02-150,-192.1711446506
S66x8/02-200,-192.1694402346
S66x8/03-A,-76.4409437729
S66x8/03-B,-95.8484085643
S66x8/03-090,-172.297571817
S66x8/03-095,-172.2982627858
