system,B1LYP/def2-QZVP/ORCA
S22x5/01-A,-467.3179900728
S22x5/01-B,-454.1522080153
S22x5/01-0.9,-921.4873356703
S22x5/01-1.0,-921.4904446229
S22x5/01-1.2,-921.48716724
S22x5/01-1.5,-921.479495493
S22x5/01-2.0,-921.4732146431
S22x5/02-A,-467.3174500372
S22x5/02-B,-454.153368824
S22x5/02-0.9,-921.4520759056
S22x5/02-1.0,-921.4688643238
S22x5/02-1.2,-921.4739067473
S22x5/02-1.5,-921.4726530792
S22x5/02-2.0,-921.471715533
S22x5/03-A,-56.5586317563
S22x5/03-B,-56.5586317472
S22x5/03-0.9,-113.1191775814
S22x5/03-1.0,-113.1208706872
S22x5/03-1.2,-113.1200480004
S22x5/03-1.5,-113.1185363892
S22x5/03-2.0,-113.1176315923
S22x5/04-A,-76.441330462
S22x5/04-B,-76.44140325
S22x5/04-0.9,-152.889006011
S22x5/04-1.0,-152.8902092431
S22x5/04-1.2,-152.8889167335
S22x5/04-1.5,-152.886248551
S22x5/04-2.0,-152.8842060595
S22x5/05-A,-40.5045621608
S22x5/05-B,-40.5045621723
S22x5/05-0.9,-81.0073485999
S22x5/05-1.0,-81.008483032
S22x5/05-1.2,-81.0089398061
S22x5/05-1.5,-81.0090862503
S22x5/05-2.0,-81.009125724
S22x5/06-A,-78.5756728416
S22x5/06-B,-78.5756730086
S22x5/06-0.9,-157.1476245392
S22x5/06-1.0,-157.1505117236
S22x5/06-1.2,-157.1512118147
S22x5/06-1.5,-157.1512888085
S22x5/06-2.0,-157.1513452245
S22x5/07-A,-78.5756733275
S22x5/07-B,-77.3258680936
S22x5/07-0.9,-155.90156945
S22x5/07-1.0,-155.9025280813
S22x5/07-1.2,-155.9024937504
S22x5/07-1.5,-155.9019947826
S22x5/07-2.0,-155.9017057142
S22x5/08-A,-189.7890962778
S22x5/08-B,-189.7890963138
S22x5/08-0.9,-379.6021628925
S22x5/08-1.0,-379.6058113667
S22x5/08-1.2,-379.6016124169
S22x5/08-1.5,-379.591941168
S22x5/08-2.0,-379.5835314872
S22x5/09-A,-169.9095035278
S22x5/09-B,-169.9095035842
S22x5/09-0.9,-339.8380864969
S22x5/09-1.0,-339.8413289117
S22x5/09-1.2,-339.83834554
S22x5/09-1.5,-339.8308348283
S22x5/09-2.0,-339.8242482456
S22x5/10-A,-232.2182215762
S22x5/10-B,-76.4412346027
S22x5/10-0.9,-308.6602884341
S22x5/10-1.0,-308.6617329459
S22x5/10-1.2,-308.6617988322
S22x5/10-1.5,-308.6608924921
S22x5/10-2.0,-308.6601209522
S22x5/11-A,-232.2182461726
S22x5/11-B,-56.5585311755
S22x5/11-0.9,-288.7752567592
S22x5/11-1.0,-288.7769954757
S22x5/11-1.2,-288.7775389836
S22x5/11-1.5,-288.7772355779
S22x5/11-2.0,-288.7769635514
S22x5/12-A,-232.2182885784
S22x5/12-B,-40.5045714424
S22x5/12-0.9,-272.7195507346
S22x5/12-1.0,-272.7215308822
S22x5/12-1.2,-272.7225934104
S22x5/12-1.5,-272.7227335855
S22x5/12-2.0,-272.7228378663
S22x5/13-A,-232.2182759871
S22x5/13-B,-232.2182743099
S22x5/13-0.9,-464.4319759994
S22x5/13-1.0,-464.4348538307
S22x5/13-1.2,-464.4365430746
S22x5/13-1.5,-464.4367206682
S22x5/13-2.0,-464.4366521766
S22x5/14-A,-232.2182677044
S22x5/14-B,-232.2182676422
S22x5/14-0.9,-464.4204911294
S22x5/14-1.0,-464.4303728596
S22x5/14-1.2,-464.4349426707
S22x5/14-1.5,-464.4359747588
S22x5/14-2.0,-464.4363848856
S22x5/15-A,-232.2181793922
S22x5/15-B,-363.7826675132
S22x5/15-0.9,-595.9980014393
S22x5/15-1.0,-596.0016605964
S22x5/15-1.2,-596.0034504267
S22x5/15-1.5,-596.0028019223
S22x5/15-2.0,-596.0018222468
S22x5/16-A,-232.218219495
S22x5/16-B,-363.7825932629
S22x5/16-0.9,-595.9813858489
S22x5/16-1.0,-595.9932179758
S22x5/16-1.2,-595.9989008166
S22x5/16-1.5,-595.9999459082
S22x5/16-2.0,-596.0005779666
S22x5/17-A,-264.3035596387
S22x5/17-B,-264.3035433133
S22x5/17-0.9,-528.5927153015
S22x5/17-1.0,-528.6030652709
S22x5/17-1.2,-528.6069469345
S22x5/17-1.5,-528.6071486598
S22x5/17-2.0,-528.6071451041
S22x5/18-A,-323.5158105837
S22x5/18-B,-303.6333607854
S22x5/18-0.9,-627.1675906639
S22x5/18-1.0,-627.1708548355
S22x5/18-1.2,-627.1678389579
S22x5/18-1.5,-627.1601206411
S22x5/18-2.0,-627.153519974
S22x5/19-A,-307.4574128863
S22x5/19-B,-307.4574887372
S22x5/19-0.9,-614.9176029366
S22x5/19-1.0,-614.9197279587
S22x5/19-1.2,-614.9197432001
S22x5/19-1.5,-614.9178291132
S22x5/19-2.0,-614.9161661304
S22x5/20-A,-414.8445523082
S22x5/20-B,-414.8445522697
S22x5/20-0.9,-829.6788818759
S22x5/20-1.0,-829.6908266635
S22x5/20-1.2,-829.6928504678
S22x5/20-1.5,-829.6910912077
S22x5/20-2.0,-829.6899651955
S22x5/21-A,-414.8437412877
S22x5/21-B,-414.8437413037
S22x5/21-0.9,-829.7126663564
S22x5/21-1.0,-829.7159934998
S22x5/21-1.2,-829.7119050934
S22x5/21-1.5,-829.702483792
S22x5/21-2.0,-829.6940909853
S22x5/22-A,-232.2182476475
S22x5/22-B,-93.4274783513
S22x5/22-0.9,-325.6468213635
S22x5/22-1.0,-325.648825305
S22x5/22-1.2,-325.6491263524
S22x5/22-1.5,-325.6479098612
S22x5/22-2.0,-325.6467616568
S66x8/01-A,-76.441381428
S66x8/01-B,-76.4413709217
S66x8/01-090,-152.8895264524
S66x8/01-095,-152.8900579974
S66x8/01-100,-152.8901050737
S66x8/01-105,-152.88986267
S66x8/01-110,-152.8894585517
S66x8/01-125,-152.8879363137
