system,B1PW/def2-QZVP/ORCA
S22x5/01-A,-467.4173460592
S22x5/01-B,-454.2365422399
S22x5/01-0.9,-921.6711814638
S22x5/01-1.0,-921.6733907979
S22x5/01-1.2,-921.6695149173
S22x5/01-1.5,-921.662231903
S22x5/01-2.0,-921.6567678723
S22x5/02-A,-467.4168844116
S22x5/02-B,-454.237710547
S22x5/02-0.9,-921.6376218655
S22x5/02-1.0,-921.6513107199
S22x5/02-1.2,-921.6560701952
S22x5/02-1.5,-921.6562048122
S22x5/02-2.0,-921.6554648209
S22x5/03-A,-56.5763131008
S22x5/03-B,-56.5763131008
S22x5/03-0.9,-113.15391786
S22x5/03-1.0,-113.1553592616
S22x5/03-1.2,-113.1549499759
S22x5/03-1.5,-113.1538680758
S22x5/03-2.0,-113.1531134168
S22x5/04-A,-76.4505299953
S22x5/04-B,-76.4505744033
S22x5/04-0.9,-152.9065561933
S22x5/04-1.0,-152.9076067537
S22x5/04-1.2,-152.906429893
S22x5/04-1.5,-152.9042166156
S22x5/04-2.0,-152.9025261754
S22x5/05-A,-40.5283890486
S22x5/05-B,-40.5283890486
S22x5/05-0.9,-81.0541508572
S22x5/05-1.0,-81.0555739434
S22x5/05-1.2,-81.0564542941
S22x5/05-1.5,-81.0567322824
S22x5/05-2.0,-81.0567759135
S22x5/06-A,-78.6041874772
S22x5/06-B,-78.6041874772
S22x5/06-0.9,-157.2039279993
S22x5/06-1.0,-157.2066482777
S22x5/06-1.2,-157.2079234225
S22x5/06-1.5,-157.2083124822
S22x5/06-2.0,-157.2083748893
S22x5/07-A,-78.604177498
S22x5/07-B,-77.3419741546
S22x5/07-0.9,-155.9459251152
S22x5/07-1.0,-155.946783979
S22x5/07-1.2,-155.9468747713
S22x5/07-1.5,-155.9465787796
S22x5/07-2.0,-155.9463240305
S22x5/08-A,-189.8056206609
S22x5/08-B,-189.8056206609
S22x5/08-0.9,-379.6359533817
S22x5/08-1.0,-379.6385269373
S22x5/08-1.2,-379.6333540112
S22x5/08-1.5,-379.6238014434
S22x5/08-2.0,-379.6162675084
S22x5/09-A,-169.9349789823
S22x5/09-B,-169.9349789823
S22x5/09-0.9,-339.8890355848
S22x5/09-1.0,-339.8914319028
S22x5/09-1.2,-339.887861604
S22x5/09-1.5,-339.8808205878
S22x5/09-2.0,-339.8750301364
S22x5/10-A,-232.2913862263
S22x5/10-B,-76.4504624172
S22x5/10-0.9,-308.7425148528
S22x5/10-1.0,-308.7436921596
S22x5/10-1.2,-308.7437586143
S22x5/10-1.5,-308.7431519029
S22x5/10-2.0,-308.7424841531
S22x5/11-A,-232.2914091961
S22x5/11-B,-56.5762509021
S22x5/11-0.9,-288.8660237715
S22x5/11-1.0,-288.86746956
S22x5/11-1.2,-288.8681291985
S22x5/11-1.5,-288.868126871
S22x5/11-2.0,-288.8679226242
S22x5/12-A,-232.2914320785
S22x5/12-B,-40.5283953469
S22x5/12-0.9,-272.8163513748
S22x5/12-1.0,-272.8180613652
S22x5/12-1.2,-272.8192037697
S22x5/12-1.5,-272.8196588334
S22x5/12-2.0,-272.8198315458
S22x5/13-A,-232.2914120376
S22x5/13-B,-232.2914047191
S22x5/13-0.9,-464.578352428
S22x5/13-1.0,-464.5808101696
S22x5/13-1.2,-464.5823937008
S22x5/13-1.5,-464.5828688725
S22x5/13-2.0,-464.582952204
S22x5/14-A,-232.2914252049
S22x5/14-B,-232.2914252049
S22x5/14-0.9,-464.5680671866
S22x5/14-1.0,-464.5764359363
S22x5/14-1.2,-464.5807781421
S22x5/14-1.5,-464.5822764642
S22x5/14-2.0,-464.5827564168
S22x5/15-A,-232.291339536
S22x5/15-B,-363.8901711983
S22x5/15-0.9,-596.1791056116
S22x5/15-1.0,-596.1821510502
S22x5/15-1.2,-596.1836476806
S22x5/15-1.5,-596.1833124526
S22x5/15-2.0,-596.1825364849
S22x5/16-A,-232.2913936121
S22x5/16-B,-363.8901556637
S22x5/16-0.9,-596.1639858155
S22x5/16-1.0,-596.1737280035
S22x5/16-1.2,-596.1786431307
S22x5/16-1.5,-596.180379327
S22x5/16-2.0,-596.1811829709
S22x5/17-A,-264.3622270117
S22x5/17-B,-264.3622148333
S22x5/17-0.9,-528.7110566701
S22x5/17-1.0,-528.7197702058
S22x5/17-1.2,-528.7235807975
S22x5/17-1.5,-528.7244272928
S22x5/17-2.0,-528.7245056652
S22x5/18-A,-323.5849750025
S22x5/18-B,-303.7120275731
S22x5/18-0.9,-627.3159580301
S22x5/18-1.0,-627.3182743791
S22x5/18-1.2,-627.3144624589
S22x5/18-1.5,-627.3070194288
S22x5/18-2.0,-627.3011706797
S22x5/19-A,-307.5337110758
S22x5/19-B,-307.5336533769
S22x5/19-0.9,-615.0689252746
S22x5/19-1.0,-615.070872447
S22x5/19-1.2,-615.0708606015
S22x5/19-1.5,-615.0695712243
S22x5/19-2.0,-615.0684773489
S22x5/20-A,-414.9102627796
S22x5/20-B,-414.9102627797
S22x5/20-0.9,-829.8102973848
S22x5/20-1.0,-829.8205047905
S22x5/20-1.2,-829.8231096146
S22x5/20-1.5,-829.8224246582
S22x5/20-2.0,-829.8213761159
S22x5/21-A,-414.9094411598
S22x5/21-B,-414.9094411598
S22x5/21-0.9,-829.8439171649
S22x5/21-1.0,-829.8462968556
S22x5/21-1.2,-829.8415069414
S22x5/21-1.5,-829.8325631967
S22x5/21-2.0,-829.8251494892
S22x5/22-A,-232.2913579875
S22x5/22-B,-93.4369441714
S22x5/22-0.9,-325.7298625831
S22x5/22-1.0,-325.7313447268
S22x5/22-1.2,-325.7313950045
S22x5/22-1.5,-325.7304229384
S22x5/22-2.0,-325.7294051521
S66x8/01-A,-76.450571911
S66x8/01-B,-76.4505519061
S66x8/01-090,-152.9069972394
S66x8/01-095,-152.9074593923
S66x8/01-100,-152.9074881663
