system,B2GPPLYP/def2-QZVP/ORCA
S22x5/01-A,-467.1145989062
S22x5/01-B,-453.9569326881
S22x5/01-0.9,-921.093711807
S22x5/01-1.0,-921.0958788591
S22x5/01-1.2,-921.0912390193
S22x5/01-1.5,-921.0823312682
S22x5/01-2.0,-921.0751645366
S22x5/02-A,-467.1143297056
S22x5/02-B,-453.9580721445
S22x5/02-0.9,-921.0740202394
S22x5/02-1.0,-921.0840197174
S22x5/02-1.2,-921.0815529675
S22x5/02-1.5,-921.0761627425
S22x5/02-2.0,-921.0736064537
S22x5/03-A,-56.5362348584
S22x5/03-B,-56.5362348584
S22x5/03-0.9,-113.0758537937
S22x5/03-1.0,-113.0770929087
S22x5/03-1.2,-113.0759571132
S22x5/03-1.5,-113.0740941862
S22x5/03-2.0,-113.0730102147
S22x5/04-A,-76.4133302033
S22x5/04-B,-76.4133763872
S22x5/04-0.9,-152.8339797282
S22x5/04-1.0,-152.8349445811
S22x5/04-1.2,-152.8333350105
S22x5/04-1.5,-152.8304317094
S22x5/04-2.0,-152.828243547
S22x5/05-A,-40.4860909482
S22x5/05-B,-40.4860909481
S22x5/05-0.9,-80.9716986812
S22x5/05-1.0,-80.9723287864
S22x5/05-1.2,-80.9722702015
S22x5/05-1.5,-80.9722042572
S22x5/05-2.0,-80.9721872889
S22x5/06-A,-78.5359859329
S22x5/06-B,-78.5359859328
S22x5/06-0.9,-157.0711601644
S22x5/06-1.0,-157.0730439146
S22x5/06-1.2,-157.0726125693
S22x5/06-1.5,-157.0721050132
S22x5/06-2.0,-157.0719925557
S22x5/07-A,-78.5359816528
S22x5/07-B,-77.2865178437
S22x5/07-0.9,-155.8238321224
S22x5/07-1.0,-155.8244272881
S22x5/07-1.2,-155.8239418587
S22x5/07-1.5,-155.8231461108
S22x5/07-2.0,-155.8227056037
S22x5/08-A,-189.7104126129
S22x5/08-B,-189.7104126129
S22x5/08-0.9,-379.4476579158
S22x5/08-1.0,-379.4507308211
S22x5/08-1.2,-379.4457388916
S22x5/08-1.5,-379.4353567443
S22x5/08-2.0,-379.4264569164
S22x5/09-A,-169.8365239889
S22x5/09-B,-169.8365239888
S22x5/09-0.9,-339.6951782285
S22x5/09-1.0,-339.6978365292
S22x5/09-1.2,-339.6938967547
S22x5/09-1.5,-339.6856008656
S22x5/09-2.0,-339.6785269522
S22x5/10-A,-232.1075601357
S22x5/10-B,-76.4132646813
S22x5/10-0.9,-308.5244759431
S22x5/10-1.0,-308.5252157066
S22x5/10-1.2,-308.5243056732
S22x5/10-1.5,-308.5227038516
S22x5/10-2.0,-308.5215569863
S22x5/11-A,-232.1075778284
S22x5/11-B,-56.5361639005
S22x5/11-0.9,-288.6453656043
S22x5/11-1.0,-288.6462323204
S22x5/11-1.2,-288.6457754415
S22x5/11-1.5,-288.644756484
S22x5/11-2.0,-288.644100076
S22x5/12-A,-232.1075952261
