system,B3LYP/def2-QZVP/TM
S22x5/01-A,-467.2730984956
S22x5/01-B,-454.1098737151
S22x5/01-0.9,-921.4005477925
S22x5/01-1.0,-921.4035152372
S22x5/01-1.2,-921.4000689874
S22x5/01-1.5,-921.392313802
S22x5/01-2.0,-921.386045163
S22x5/02-A,-467.2725499643
S22x5/02-B,-454.1109197244
S22x5/02-0.9,-921.3650704409
S22x5/02-1.0,-921.381581207
S22x5/02-1.2,-921.3865384311
S22x5/02-1.5,-921.3853289152
S22x5/02-2.0,-921.3843419799
S22x5/03-A,-56.5572362739
S22x5/03-B,-56.5572362739
S22x5/03-0.9,-113.1166063138
S22x5/03-1.0,-113.1181321146
S22x5/03-1.2,-113.1174202818
S22x5/03-1.5,-113.115879985
S22x5/03-2.0,-113.1149682091
S22x5/04-A,-76.4359042765
S22x5/04-B,-76.4359286144
S22x5/04-0.9,-152.8782383991
S22x5/04-1.0,-152.8793861937
S22x5/04-1.2,-152.8780254479
S22x5/04-1.5,-152.875341048
S22x5/04-2.0,-152.8733044424
S22x5/05-A,-40.5064397754
S22x5/05-B,-40.5064397754
S22x5/05-0.9,-81.0111000579
S22x5/05-1.0,-81.0122487588
S22x5/05-1.2,-81.0126897516
S22x5/05-1.5,-81.0128387512
S22x5/05-2.0,-81.0128788911
S22x5/06-A,-78.5726392724
S22x5/06-B,-78.5726392724
S22x5/06-0.9,-157.1415470396
S22x5/06-1.0,-157.1444728318
S22x5/06-1.2,-157.1451730749
S22x5/06-1.5,-157.1452341864
S22x5/06-2.0,-157.1452776325
S22x5/07-A,-78.5726309878
S22x5/07-B,-77.3194629726
S22x5/07-0.9,-155.8922281694
S22x5/07-1.0,-155.8931329327
S22x5/07-1.2,-155.8930623665
S22x5/07-1.5,-155.8925535196
S22x5/07-2.0,-155.8922577169
S22x5/08-A,-189.7705170048
S22x5/08-B,-189.7705170048
S22x5/08-0.9,-379.5652845968
S22x5/08-1.0,-379.5688612993
S22x5/08-1.2,-379.56451772
S22x5/08-1.5,-379.5547423648
