system,B3P86/def2-QZVP/ORCA
S22x5/01-A,-467.3962355436
S22x5/01-B,-454.2202880345
S22x5/01-0.9,-921.636631252
S22x5/01-1.0,-921.6385076
S22x5/01-1.2,-921.6338678755
S22x5/01-1.5,-921.6256036972
S22x5/01-2.0,-921.6194611161
S22x5/02-A,-467.3956822821
S22x5/02-B,-454.2212768044
S22x5/02-0.9,-921.6048655907
S22x5/02-1.0,-921.6175947467
S22x5/02-1.2,-921.619956221
S22x5/02-1.5,-921.6185901693
S22x5/02-2.0,-921.6178204033
S22x5/03-A,-56.5779036702
S22x5/03-B,-56.5779036702
S22x5/03-0.9,-113.1583652209
S22x5/03-1.0,-113.1594920457
S22x5/03-1.2,-113.1585445426
S22x5/03-1.5,-113.1570943899
S22x5/03-2.0,-113.1562923759
S22x5/04-A,-76.45067192
S22x5/04-B,-76.4506973406
S22x5/04-0.9,-152.9081209148
S22x5/04-1.0,-152.9089312021
S22x5/04-1.2,-152.9072961964
S22x5/04-1.5,-152.9046395084
S22x5/04-2.0,-152.9027829612
S22x5/05-A,-40.5305603748
S22x5/05-B,-40.5305603748
S22x5/05-0.9,-81.0592808234
S22x5/05-1.0,-81.0602929229
S22x5/05-1.2,-81.060815481
S22x5/05-1.5,-81.0610679379
S22x5/05-2.0,-81.0611185567
S22x5/06-A,-78.6034628417
S22x5/06-B,-78.6034628417
S22x5/06-0.9,-157.2040351728
S22x5/06-1.0,-157.2062092998
S22x5/06-1.2,-157.20664617
S22x5/06-1.5,-157.2068432294
S22x5/06-2.0,-157.2069252309
S22x5/07-A,-78.603452971
S22x5/07-B,-77.3387081198
S22x5/07-0.9,-155.9426130342
S22x5/07-1.0,-155.9432660449
S22x5/07-1.2,-155.9430420637
S22x5/07-1.5,-155.9425825303
S22x5/07-2.0,-155.9423296114
S22x5/08-A,-189.8009642978
S22x5/08-B,-189.8009642978
S22x5/08-0.9,-379.6291323786
S22x5/08-1.0,-379.6315600638
S22x5/08-1.2,-379.625841297
S22x5/08-1.5,-379.6153934144
S22x5/08-2.0,-379.6070582759
S22x5/09-A,-169.931565907
S22x5/09-B,-169.931565907
S22x5/09-0.9,-339.884680502
S22x5/09-1.0,-339.8868020734
S22x5/09-1.2,-339.8825405435
S22x5/09-1.5,-339.8745908144
S22x5/09-2.0,-339.8682220341
S22x5/10-A,-232.28016328
S22x5/10-B,-76.4505980772
S22x5/10-0.9,-308.7325588701
S22x5/10-1.0,-308.7334821384
S22x5/10-1.2,-308.7330657951
S22x5/10-1.5,-308.7320885836
S22x5/10-2.0,-308.7313805817
S22x5/11-A,-232.280180557
S22x5/11-B,-56.5778200492
S22x5/11-0.9,-288.857479216
S22x5/11-1.0,-288.8586568193
S22x5/11-1.2,-288.8588297578
S22x5/11-1.5,-288.8584855194
S22x5/11-2.0,-288.8582524268
S22x5/12-A,-232.2801985986
S22x5/12-B,-40.53053591
S22x5/12-0.9,-272.8083696098
S22x5/12-1.0,-272.8098079253
S22x5/12-1.2,-272.8104709723
S22x5/12-1.5,-272.8105949685
S22x5/12-2.0,-272.8107307483
S22x5/13-A,-232.2801849261
S22x5/13-B,-232.2801792964
S22x5/13-0.9,-464.5573126766
S22x5/13-1.0,-464.5594844337
S22x5/13-1.2,-464.5605033036
S22x5/13-1.5,-464.560485639
S22x5/13-2.0,-464.5604830314
S22x5/14-A,-232.2801938059
S22x5/14-B,-232.280193806
S22x5/14-0.9,-464.547997267
S22x5/14-1.0,-464.5558026444
S22x5/14-1.2,-464.5589601126
S22x5/14-1.5,-464.5598304311
S22x5/14-2.0,-464.5602902333
S22x5/15-A,-232.2801281358
S22x5/15-B,-363.8710991914
S22x5/15-0.9,-596.150599481
S22x5/15-1.0,-596.1532986286
S22x5/15-1.2,-596.1541343084
S22x5/15-1.5,-596.1531585026
S22x5/15-2.0,-596.1522168047
S22x5/16-A,-232.280168728
S22x5/16-B,-363.8710671764
S22x5/16-0.9,-596.1367505709
S22x5/16-1.0,-596.1459568083
S22x5/16-1.2,-596.1494765982
S22x5/16-1.5,-596.1501597313
S22x5/16-2.0,-596.1508722633
S22x5/17-A,-264.3503162945
S22x5/17-B,-264.3503065044
S22x5/17-0.9,-528.6899448695
S22x5/17-1.0,-528.6980052315
S22x5/17-1.2,-528.7004956685
S22x5/17-1.5,-528.7006211782
S22x5/17-2.0,-528.7006841684
S22x5/18-A,-323.5718950239
S22x5/18-B,-303.6999077899
S22x5/18-0.9,-627.293370793
S22x5/18-1.0,-627.2954116671
S22x5/18-1.2,-627.2909337501
S22x5/18-1.5,-627.28257352
S22x5/18-2.0,-627.2760461652
S22x5/19-A,-307.5207082911
S22x5/19-B,-307.5206496357
S22x5/19-0.9,-615.0452292478
S22x5/19-1.0,-615.0467876215
S22x5/19-1.2,-615.0460448332
S22x5/19-1.5,-615.0439607294
S22x5/19-2.0,-615.0424655108
S22x5/20-A,-414.8941083575
S22x5/20-B,-414.8941083575
S22x5/20-0.9,-829.7820145791
S22x5/20-1.0,-829.7911323606
S22x5/20-1.2,-829.7916829283
S22x5/20-1.5,-829.7900801048
S22x5/20-2.0,-829.7890620046
S22x5/21-A,-414.8933807211
S22x5/21-B,-414.8933807211
S22x5/21-0.9,-829.81436733
S22x5/21-1.0,-829.8164940224
S22x5/21-1.2,-829.8110185119
S22x5/21-1.5,-829.8011162425
S22x5/21-2.0,-829.7930471491
S22x5/22-A,-232.2801421506
S22x5/22-B,-93.4325825119
S22x5/22-0.9,-325.715367529
S22x5/22-1.0,-325.7166666941
S22x5/22-1.2,-325.7162792691
S22x5/22-1.5,-325.7148823554
S22x5/22-2.0,-325.7137938018
S66x8/01-A,-76.4506822287
S66x8/01-B,-76.4506814457
S66x8/01-090,-152.90850567
S66x8/01-095,-152.9088418901
S66x8/01-100,-152.908744063
S66x8/01-105,-152.9083950677
S66x8/01-110,-152.9079149326
S66x8/01-125,-152.9063174626
S66x8/01-150,-152.9043338863
S66x8/01-200,-152.9026536142
S66x8/02-A,-76.4506886249
S66x8/02-B,-115.7529751329
S66x8/02-090,-192.2108567849
S66x8/02-095,-192.2113281431
S66x8/02-100,-192.2113023803
S66x8/02-105,-192.2109822169
S66x8/02-110,-192.2105027844
S66x8/02-125,-192.2088286974
S66x8/02-150,-192.206698449
S66x8/02-200,-192.2049229582
S66x8/03-A,-76.4506952798
S66x8/03-B,-95.8850526449
S66x8/03-090,-172.3459658242
S66x8/03-095,-172.3463875271
S66x8/03-100,-172.3462526625
S66x8/03-105,-172.3457791282
S66x8/03-110,-172.3451166056
S66x8/03-125,-172.3428273237
S66x8/03-150,-172.3398135915
S66x8/03-200,-172.3372241832
S66x8/04-A,-76.4506951388
S66x8/04-B,-248.5778000563
S66x8/04-090,-325.0389335194
S66x8/04-095,-325.0394809449
S66x8/04-100,-325.039441842
S66x8/04-105,-325.0390423029
S66x8/04-110,-325.0384384915
S66x8/04-125,-325.0362633017
S66x8/04-150,-325.0332940105
S66x8/04-200,-325.0303386448
S66x8/05-A,-115.7529563261
S66x8/05-B,-115.7529978717
S66x8/05-090,-231.5128119788
S66x8/05-095,-231.5134123811
S66x8/05-100,-231.5134839069
S66x8/05-105,-231.5132359277
S66x8/05-110,-231.5128088147
S66x8/05-125,-231.5112115453
S66x8/05-150,-231.5090909688
S66x8/05-200,-231.5072827779
S66x8/06-A,-115.752764582
S66x8/06-B,-95.8850508448
S66x8/06-090,-211.6473963873
S66x8/06-095,-211.6481486368
S66x8/06-100,-211.6482427475
S66x8/06-105,-211.6479255652
S66x8/06-110,-211.6473669174
S66x8/06-125,-211.6452052218
S66x8/06-150,-211.642177702
S66x8/06-200,-211.6395063828
S66x8/07-A,-115.7528566737
S66x8/07-B,-248.5774949281
S66x8/07-090,-364.3403358142
S66x8/07-095,-364.3410563911
S66x8/07-100,-364.3411414303
S66x8/07-105,-364.3408286647
S66x8/07-110,-364.3402825029
S66x8/07-125,-364.3381706588
S66x8/07-150,-364.3347971808
S66x8/07-200,-364.3317903565
S66x8/08-A,-115.7529753598
S66x8/08-B,-76.4506856232
S66x8/08-090,-192.2104513004
S66x8/08-095,-192.2109042454
S66x8/08-100,-192.2108932653
S66x8/08-105,-192.2106080426
S66x8/08-110,-192.2101739926
S66x8/08-125,-192.208646077
S66x8/08-150,-192.2066817474
S66x8/08-200,-192.2049975699
S66x8/09-A,-95.885018053
S66x8/09-B,-115.7530123099
S66x8/09-090,-211.6399304893
S66x8/09-095,-211.6404433625
S66x8/09-100,-211.6406056126
S66x8/09-105,-211.6405667065
S66x8/09-110,-211.6404214778
S66x8/09-125,-211.6398207949
S66x8/09-150,-211.6391004016
S66x8/09-200,-211.6385510921
S66x8/10-A,-95.8850632723
S66x8/10-B,-95.8850300555
S66x8/10-090,-191.7728573393
S66x8/10-095,-191.773612405
S66x8/10-100,-191.7738564708
S66x8/10-105,-191.773798721
S66x8/10-110,-191.7735773159
S66x8/10-125,-191.7726314327
S66x8/10-150,-191.7712647717
S66x8/10-200,-191.7705332581
S66x8/11-A,-95.8848952583
S66x8/11-B,-248.5776470066
S66x8/11-090,-344.4657958323
S66x8/11-095,-344.4666867487
S66x8/11-100,-344.4670286017
S66x8/11-105,-344.467031055
S66x8/11-110,-344.4668394855
S66x8/11-125,-344.4653327743
S66x8/11-150,-344.4638754438
S66x8/11-200,-344.4631904101
S66x8/12-A,-95.8850131433
S66x8/12-B,-76.4503769604
S66x8/12-090,-172.3455604625
S66x8/12-095,-172.3461591122
S66x8/12-100,-172.3461344012
S66x8/12-105,-172.3457261518
S66x8/12-110,-172.3450990019
S66x8/12-125,-172.3428308162
S66x8/12-150,-172.3397934399
S66x8/12-200,-172.337195729
S66x8/13-A,-248.5775523744
S66x8/13-B,-115.753009134
S66x8/13-090,-364.3360431554
S66x8/13-095,-364.3368483283
S66x8/13-100,-364.3371101014
S66x8/13-105,-364.3370366302
S66x8/13-110,-364.3367680809
S66x8/13-125,-364.335555708
S66x8/13-150,-364.3338087423
S66x8/13-200,-364.3322106161
S66x8/14-A,-248.5773560268
S66x8/14-B,-95.885022306
S66x8/14-090,-344.4698995113
S66x8/14-095,-344.4708314638
S66x8/14-100,-344.471120323
S66x8/14-105,-344.4710014451
S66x8/14-110,-344.470636527
S66x8/14-125,-344.4689919631
S66x8/14-150,-344.4665246522
S66x8/14-200,-344.4642538191
S66x8/15-A,-248.5777002632
S66x8/15-B,-248.5777519213
S66x8/15-090,-497.1634672665
S66x8/15-095,-497.1644260057
S66x8/15-100,-497.1647508881
S66x8/15-105,-497.1646699056
S66x8/15-110,-497.1643405337
S66x8/15-125,-497.162762574
S66x8/15-150,-497.160309649
S66x8/15-200,-497.1576505499
S66x8/16-A,-248.5778593421
S66x8/16-B,-76.450687721
S66x8/16-090,-325.0343563102
S66x8/16-095,-325.034927742
S66x8/16-100,-325.0350452628
S66x8/16-105,-325.0348898251
S66x8/16-110,-325.0345802706
S66x8/16-125,-325.0333729206
