system,B97-D/def2-QZVP/Turbomole
S22x5/01-A,-467.1815161907
S22x5/01-B,-454.0301498361
S22x5/01-0.9,-921.2247708691
S22x5/01-1.0,-921.2283803228
S22x5/01-1.2,-921.2264808105
S22x5/01-1.5,-921.2204698498
S22x5/01-2.0,-921.2149771189
S22x5/02-A,-467.1812064016
S22x5/02-B,-454.031152551
S22x5/02-0.9,-921.1844103658
S22x5/02-1.0,-921.2046604359
S22x5/02-1.2,-921.2144943295
S22x5/02-1.5,-921.2148018186
S22x5/02-2.0,-921.2132755601
S22x5/03-A,-56.5570925809
S22x5/03-B,-56.5570925809
S22x5/03-0.9,-113.1145443972
S22x5/03-1.0,-113.1166351169
S22x5/03-1.2,-113.1168428056
S22x5/03-1.5,-113.115743914
S22x5/03-2.0,-113.1147230023
S22x5/04-A,-76.4312881738
S22x5/04-B,-76.4312896453
S22x5/04-0.9,-152.866882079
S22x5/04-1.0,-152.8684675236
S22x5/04-1.2,-152.8679688308
S22x5/04-1.5,-152.8660200998
S22x5/04-2.0,-152.8641208774
S22x5/05-A,-40.511133939
S22x5/05-B,-40.511133939
S22x5/05-0.9,-81.01965709
S22x5/05-1.0,-81.0215024527
S22x5/05-1.2,-81.0223074587
S22x5/05-1.5,-81.0222950994
S22x5/05-2.0,-81.0222694139
S22x5/06-A,-78.5677557893
S22x5/06-B,-78.5677557893
S22x5/06-0.9,-157.1295407741
S22x5/06-1.0,-157.133670164
S22x5/06-1.2,-157.1355859041
S22x5/06-1.5,-157.1356314462
S22x5/06-2.0,-157.135516691
S22x5/07-A,-78.5677495708
S22x5/07-B,-77.3095204641
S22x5/07-0.9,-155.876692473
S22x5/07-1.0,-155.8779436445
S22x5/07-1.2,-155.8782944302
S22x5/07-1.5,-155.8778646844
S22x5/07-2.0,-155.8774513801
S22x5/08-A,-189.745304678
S22x5/08-B,-189.745304678
S22x5/08-0.9,-379.5101143385
S22x5/08-1.0,-379.5140552826
S22x5/08-1.2,-379.5109853142
S22x5/08-1.5,-379.5031170043
S22x5/08-2.0,-379.4960066161
S22x5/09-A,-169.8736832692
S22x5/09-B,-169.8736832692
S22x5/09-0.9,-339.7621135569
S22x5/09-1.0,-339.7658057081
S22x5/09-1.2,-339.7641648477
S22x5/09-1.5,-339.758421983
S22x5/09-2.0,-339.7526979292
S22x5/10-A,-232.1586704173
S22x5/10-B,-76.4312404628
S22x5/10-0.9,-308.5891627925
S22x5/10-1.0,-308.5912113236
S22x5/10-1.2,-308.592078788
S22x5/10-1.5,-308.5915015815
S22x5/10-2.0,-308.5905464796
S22x5/11-A,-232.1586611713
S22x5/11-B,-56.5570354812
S22x5/11-0.9,-288.7129326978
S22x5/11-1.0,-288.7151752683
S22x5/11-1.2,-288.7165077841
S22x5/11-1.5,-288.716467951
S22x5/11-2.0,-288.7159858429
S22x5/12-A,-232.158659025
S22x5/12-B,-40.5110670662
S22x5/12-0.9,-272.6652305533
S22x5/12-1.0,-272.6677228073
S22x5/12-1.2,-272.6695049812
S22x5/12-1.5,-272.6698919105
S22x5/12-2.0,-272.66978184
S22x5/13-A,-232.1586643162
S22x5/13-B,-232.1586702182
S22x5/13-0.9,-464.3110332193
