system,B97/def2-QZVP/ORCA
S22x5/01-A,-467.3726200956
S22x5/01-B,-454.1948822361
S22x5/01-0.9,-921.5850602947
S22x5/01-1.0,-921.5880630033
S22x5/01-1.2,-921.5849806277
S22x5/01-1.5,-921.5775374324
S22x5/01-2.0,-921.5709562546
S22x5/02-A,-467.3722451706
S22x5/02-B,-454.1959773693
S22x5/02-0.9,-921.5512369697
S22x5/02-1.0,-921.5682164566
S22x5/02-1.2,-921.5733771619
S22x5/02-1.5,-921.5710324224
S22x5/02-2.0,-921.5691590005
S22x5/03-A,-56.569872376
S22x5/03-B,-56.5698723714
S22x5/03-0.9,-113.1418910219
S22x5/03-1.0,-113.1436824443
S22x5/03-1.2,-113.1429952527
S22x5/03-1.5,-113.1413173352
S22x5/03-2.0,-113.1401611693
S22x5/04-A,-76.4436447921
S22x5/04-B,-76.4437033917
S22x5/04-0.9,-152.8933783085
S22x5/04-1.0,-152.8947210996
S22x5/04-1.2,-152.8936894712
S22x5/04-1.5,-152.8911161082
S22x5/04-2.0,-152.8889075194
S22x5/05-A,-40.5217770588
S22x5/05-B,-40.5217770689
S22x5/05-0.9,-81.0424455514
S22x5/05-1.0,-81.0435771121
S22x5/05-1.2,-81.043728209
S22x5/05-1.5,-81.0435831095
S22x5/05-2.0,-81.0435569844
S22x5/06-A,-78.5960214101
S22x5/06-B,-78.5960215587
S22x5/06-0.9,-157.1891665208
S22x5/06-1.0,-157.1921537488
S22x5/06-1.2,-157.1926045426
S22x5/06-1.5,-157.1921692075
S22x5/06-2.0,-157.1920482444
S22x5/07-A,-78.5960322127
S22x5/07-B,-77.3372052979
S22x5/07-0.9,-155.9339788215
S22x5/07-1.0,-155.9348612002
S22x5/07-1.2,-155.9346618203
S22x5/07-1.5,-155.9338999077
S22x5/07-2.0,-155.9334275171
S22x5/08-A,-189.7923623989
S22x5/08-B,-189.7923624292
S22x5/08-0.9,-379.608204189
S22x5/08-1.0,-379.6117564435
S22x5/08-1.2,-379.6079073236
S22x5/08-1.5,-379.5988157422
S22x5/08-2.0,-379.5904563564
S22x5/09-A,-169.9215298196
S22x5/09-B,-169.9215298631
S22x5/09-0.9,-339.8618208633
S22x5/09-1.0,-339.8650559026
S22x5/09-1.2,-339.8624840827
S22x5/09-1.5,-339.8553667066
S22x5/09-2.0,-339.8485959932
S22x5/10-A,-232.2657435356
S22x5/10-B,-76.4435817261
S22x5/10-0.9,-308.7110353445
S22x5/10-1.0,-308.7124412866
S22x5/10-1.2,-308.7124241227
S22x5/10-1.5,-308.711194526
S22x5/10-2.0,-308.7100591701
S22x5/11-A,-232.2657613768
S22x5/11-B,-56.5697940835
S22x5/11-0.9,-288.8350099843
S22x5/11-1.0,-288.8366906007
S22x5/11-1.2,-288.8371138803
S22x5/11-1.5,-288.8364572675
S22x5/11-2.0,-288.8358297314
S22x5/12-A,-232.2658013466
S22x5/12-B,-40.5217394139
S22x5/12-0.9,-272.7851795798
S22x5/12-1.0,-272.7871102925
S22x5/12-1.2,-272.7880302241
S22x5/12-1.5,-272.7878332837
S22x5/12-2.0,-272.7875899708
S22x5/13-A,-232.2657980971
S22x5/13-B,-232.2658003914
S22x5/13-0.9,-464.5283257358
S22x5/13-1.0,-464.5310837413
S22x5/13-1.2,-464.5325997832
S22x5/13-1.5,-464.5323437947
S22x5/13-2.0,-464.531826461
S22x5/14-A,-232.2657585152
S22x5/14-B,-232.2657584694
S22x5/14-0.9,-464.517893947
S22x5/14-1.0,-464.527318419
S22x5/14-1.2,-464.531342383
S22x5/14-1.5,-464.5314889481
S22x5/14-2.0,-464.5314617293
S22x5/15-A,-232.2657203013
S22x5/15-B,-363.8492139677
S22x5/15-0.9,-596.113649361
S22x5/15-1.0,-596.1172288336
S22x5/15-1.2,-596.1188345737
S22x5/15-1.5,-596.1177493542
S22x5/15-2.0,-596.1161541255
S22x5/16-A,-232.2657429359
S22x5/16-B,-363.8491241116
S22x5/16-0.9,-596.0980819028
S22x5/16-1.0,-596.1095611081
S22x5/16-1.2,-596.1147679852
S22x5/16-1.5,-596.1148240813
S22x5/16-2.0,-596.1147019106
S22x5/17-A,-264.3391009421
S22x5/17-B,-264.3390876729
S22x5/17-0.9,-528.6656524226
S22x5/17-1.0,-528.6757850308
S22x5/17-1.2,-528.6793485362
S22x5/17-1.5,-528.6787200318
S22x5/17-2.0,-528.6782501263
S22x5/18-A,-323.5549679933
S22x5/18-B,-303.6811506818
S22x5/18-0.9,-627.2550190692
S22x5/18-1.0,-627.2580742403
S22x5/18-1.2,-627.2551977654
S22x5/18-1.5,-627.2477174814
S22x5/18-2.0,-627.2408614473
S22x5/19-A,-307.5021882333
S22x5/19-B,-307.5021889156
S22x5/19-0.9,-615.007291224
S22x5/19-1.0,-615.0096078696
S22x5/19-1.2,-615.0099222044
S22x5/19-1.5,-615.0080491386
S22x5/19-2.0,-615.0059565805
S22x5/20-A,-414.8745631292
S22x5/20-B,-414.8745630942
S22x5/20-0.9,-829.7400522483
S22x5/20-1.0,-829.7523483836
S22x5/20-1.2,-829.7544838962
S22x5/20-1.5,-829.751726107
S22x5/20-2.0,-829.7500066047
S22x5/21-A,-414.8737459557
S22x5/21-B,-414.8737459659
S22x5/21-0.9,-829.7721326532
S22x5/21-1.0,-829.7753872348
S22x5/21-1.2,-829.7717027768
S22x5/21-1.5,-829.7627865991
S22x5/21-2.0,-829.7543377939
S22x5/22-A,-232.2657915669
S22x5/22-B,-93.4333139597
S22x5/22-0.9,-325.7011570147
S22x5/22-1.0,-325.7031195221
S22x5/22-1.2,-325.7033290386
S22x5/22-1.5,-325.7018353778
S22x5/22-2.0,-325.700267494
S66x8/01-A,-76.4436860256
S66x8/01-B,-76.4436839723
S66x8/01-090,-152.8939351964
S66x8/01-095,-152.8945479629
S66x8/01-100,-152.8946816927
S66x8/01-105,-152.8945125961
S66x8/01-110,-152.8941772374
S66x8/01-125,-152.8927972816
S66x8/01-150,-152.8907680548
S66x8/01-200,-152.8887359786
S66x8/02-A,-76.4436908318
S66x8/02-B,-115.7412382219
S66x8/02-090,-192.1914795418
S66x8/02-095,-192.1922473173
S66x8/02-100,-192.1924861821
S66x8/02-105,-192.1923776233
S66x8/02-110,-192.1920635151
S66x8/02-125,-192.1906635493
S66x8/02-150,-192.1885069071
S66x8/02-200,-192.1863284024
S66x8/03-A,-76.4436939241
S66x8/03-B,-95.8720666246
S66x8/03-090,-172.3250721759
S66x8/03-095,-172.3257441607
S66x8/03-100,-172.3258539126
S66x8/03-105,-172.3255861551
S66x8/03-110,-172.3250983393
S66x8/03-125,-172.323166268
S66x8/03-150,-172.3202898467
S66x8/03-200,-172.317402281
S66x8/04-A,-76.443694353
S66x8/04-B,-248.5563237819
S66x8/04-090,-325.0095124114
S66x8/04-095,-325.0104014115
S66x8/04-100,-325.01068123
S66x8/04-105,-325.0105553166
S66x8/04-110,-325.0101701333
S66x8/04-125,-325.0084146362
S66x8/04-150,-325.0055698548
S66x8/04-200,-325.0020813197
S66x8/05-A,-115.7411483475
S66x8/05-B,-115.741266993
S66x8/05-090,-231.4887297771
S66x8/05-095,-231.4896164858
S66x8/05-100,-231.4899477382
S66x8/05-105,-231.4899084035
S66x8/05-110,-231.4896392182
S66x8/05-125,-231.4883087269
S66x8/05-150,-231.4861575695
S66x8/05-200,-231.4839248829
S66x8/06-A,-115.7409293433
S66x8/06-B,-95.8720429924
S66x8/06-090,-211.6218126938
S66x8/06-095,-211.6228417904
S66x8/06-100,-211.6231959224
S66x8/06-105,-211.6231004305
S66x8/06-110,-211.6227220196
S66x8/06-125,-211.6209126862
S66x8/06-150,-211.6179715687
S66x8/06-200,-211.6149183949
S66x8/07-A,-115.7410256855
S66x8/07-B,-248.5561970524
S66x8/07-090,-364.3062501561
S66x8/07-095,-364.3073239366
S66x8/07-100,-364.307727176
S66x8/07-105,-364.3076921172
