system,BHLYP/def2-QZVP/TM
S22x5/01-A,-467.2491139551
S22x5/01-B,-454.087786963
S22x5/01-0.9,-921.3567461747
S22x5/01-1.0,-921.3593329335
S22x5/01-1.2,-921.3552510592
S22x5/01-1.5,-921.3468439092
S22x5/01-2.0,-921.3401313456
S22x5/02-A,-467.2485990111
S22x5/02-B,-454.089305961
S22x5/02-0.9,-921.3248046712
S22x5/02-1.0,-921.339828039
S22x5/02-1.2,-921.3425700658
S22x5/02-1.5,-921.3401302814
S22x5/02-2.0,-921.3388348893
S22x5/03-A,-56.5517343551
S22x5/03-B,-56.5517343551
S22x5/03-0.9,-113.1062741616
S22x5/03-1.0,-113.1076879795
S22x5/03-1.2,-113.1067145219
S22x5/03-1.5,-113.1049648959
S22x5/03-2.0,-113.1039773107
S22x5/04-A,-76.4283888993
S22x5/04-B,-76.4284859005
S22x5/04-0.9,-152.8640993409
S22x5/04-1.0,-152.8650673821
S22x5/04-1.2,-152.8634487471
S22x5/04-1.5,-152.8605517897
S22x5/04-2.0,-152.8584000428
S22x5/05-A,-40.5053721012
S22x5/05-B,-40.5053721012
S22x5/05-0.9,-81.0096939976
S22x5/05-1.0,-81.0105095878
S22x5/05-1.2,-81.0106572169
S22x5/05-1.5,-81.0107189655
S22x5/05-2.0,-81.010744086
S22x5/06-A,-78.5704051148
S22x5/06-B,-78.5704051148
S22x5/06-0.9,-157.1384467796
S22x5/06-1.0,-157.1408932501
S22x5/06-1.2,-157.1410001518
S22x5/06-1.5,-157.1408127977
S22x5/06-2.0,-157.1408125601
S22x5/07-A,-78.5703950912
S22x5/07-B,-77.3143541166
S22x5/07-0.9,-155.8854708198
S22x5/07-1.0,-155.8862646057
S22x5/07-1.2,-155.8859802873
S22x5/07-1.5,-155.885304794
S22x5/07-2.0,-155.8849365505
S22x5/08-A,-189.7540661069
S22x5/08-B,-189.7540661069
S22x5/08-0.9,-379.5356990207
S22x5/08-1.0,-379.5385765689
S22x5/08-1.2,-379.5333366917
S22x5/08-1.5,-379.5227565089
S22x5/08-2.0,-379.5137841935
S22x5/09-A,-169.8808799461
S22x5/09-B,-169.8808799461
S22x5/09-0.9,-339.7837153057
S22x5/09-1.0,-339.7864471617
S22x5/09-1.2,-339.7825589987
S22x5/09-1.5,-339.7742799564
S22x5/09-2.0,-339.7672530973
S22x5/10-A,-232.1993856089
S22x5/10-B,-76.4282746512
