system,BPBE/def2-QZVP/ORCA
S22x5/01-A,-467.330663673
S22x5/01-B,-454.1540494656
S22x5/01-0.9,-921.4999184122
S22x5/01-1.0,-921.5024616773
S22x5/01-1.2,-921.4991654731
S22x5/01-1.5,-921.4924618314
S22x5/01-2.0,-921.4873863434
S22x5/02-A,-467.3302354156
S22x5/02-B,-454.15482143
S22x5/02-0.9,-921.4629594895
S22x5/02-1.0,-921.4781521732
S22x5/02-1.2,-921.484900204
S22x5/02-1.5,-921.4862643171
S22x5/02-2.0,-921.485841694
S22x5/03-A,-56.5627047257
S22x5/03-B,-56.5627047257
S22x5/03-0.9,-113.1260228435
S22x5/03-1.0,-113.1276016603
S22x5/03-1.2,-113.1273810538
S22x5/03-1.5,-113.1264912123
S22x5/03-2.0,-113.1258322324
S22x5/04-A,-76.4400300066
S22x5/04-B,-76.4400195006
S22x5/04-0.9,-152.8847155763
S22x5/04-1.0,-152.8859408905
S22x5/04-1.2,-152.8849975742
S22x5/04-1.5,-152.8829770552
S22x5/04-2.0,-152.8814080911
S22x5/05-A,-40.5094589971
S22x5/05-B,-40.5094589971
S22x5/05-0.9,-81.0155947404
S22x5/05-1.0,-81.0173349558
S22x5/05-1.2,-81.0184937683
S22x5/05-1.5,-81.0188624447
S22x5/05-2.0,-81.0189183558
S22x5/06-A,-78.5776295099
S22x5/06-B,-78.5776295099
S22x5/06-0.9,-157.1495341511
S22x5/06-1.0,-157.1526961602
S22x5/06-1.2,-157.1544519596
S22x5/06-1.5,-157.1551400574
S22x5/06-2.0,-157.1552569407
S22x5/07-A,-78.5776415456
S22x5/07-B,-77.3231845178
S22x5/07-0.9,-155.8999561089
S22x5/07-1.0,-155.9009546294
S22x5/07-1.2,-155.9012847479
S22x5/07-1.5,-155.9011547776
S22x5/07-2.0,-155.9009772633
S22x5/08-A,-189.7839347287
S22x5/08-B,-189.7839347287
S22x5/08-0.9,-379.589700277
S22x5/08-1.0,-379.5929260494
S22x5/08-1.2,-379.5885195379
S22x5/08-1.5,-379.5796342641
S22x5/08-2.0,-379.5725652013
S22x5/09-A,-169.9096133749
S22x5/09-B,-169.9096133749
S22x5/09-0.9,-339.8359042711
S22x5/09-1.0,-339.838665189
S22x5/09-1.2,-339.8357685338
S22x5/09-1.5,-339.8293760219
S22x5/09-2.0,-339.8240113414
S22x5/10-A,-232.2221522067
S22x5/10-B,-76.4399833879
S22x5/10-0.9,-308.6616180291
S22x5/10-1.0,-308.6630535064
S22x5/10-1.2,-308.6634971564
S22x5/10-1.5,-308.6632138436
S22x5/10-2.0,-308.6626964314
S22x5/11-A,-232.2221466798
S22x5/11-B,-56.562597081
S22x5/11-0.9,-288.7819185568
S22x5/11-1.0,-288.7836322088
S22x5/11-1.2,-288.7847369324
S22x5/11-1.5,-288.7850386569
S22x5/11-2.0,-288.7849703706
S22x5/12-A,-232.2221538665
S22x5/12-B,-40.5093537258
S22x5/12-0.9,-272.7268533931
S22x5/12-1.0,-272.7288579745
S22x5/12-1.2,-272.7304233542
S22x5/12-1.5,-272.7311890828
S22x5/12-2.0,-272.7314833005
S22x5/13-A,-232.2221632227
S22x5/13-B,-232.2221667493
S22x5/13-0.9,-464.4382584777
S22x5/13-1.0,-464.4410930014
S22x5/13-1.2,-464.4432302811
S22x5/13-1.5,-464.4441035768
S22x5/13-2.0,-464.4444036985
S22x5/14-A,-232.2221157613
S22x5/14-B,-232.2221157613
S22x5/14-0.9,-464.4276291977
S22x5/14-1.0,-464.4363376166
S22x5/14-1.2,-464.4416961992
S22x5/14-1.5,-464.44365854
S22x5/14-2.0,-464.4442105807
S22x5/15-A,-232.2221670437
S22x5/15-B,-363.7941002249
S22x5/15-0.9,-596.011781073
S22x5/15-1.0,-596.0152228894
S22x5/15-1.2,-596.017357118
S22x5/15-1.5,-596.0175793378
S22x5/15-2.0,-596.0171413306
S22x5/16-A,-232.2221335587
S22x5/16-B,-363.7940066081
S22x5/16-0.9,-595.9960223535
S22x5/16-1.0,-596.0063351768
S22x5/16-1.2,-596.0124624855
S22x5/16-1.5,-596.0149160722
S22x5/16-2.0,-596.015850696
S22x5/17-A,-264.3072096022
S22x5/17-B,-264.3071951581
S22x5/17-0.9,-528.5988068384
S22x5/17-1.0,-528.6080422886
S22x5/17-1.2,-528.6128996638
S22x5/17-1.5,-528.6142713338
S22x5/17-2.0,-528.6144621763
S22x5/18-A,-323.5193334633
S22x5/18-B,-303.6402171078
S22x5/18-0.9,-627.1768933861
S22x5/18-1.0,-627.1794374237
S22x5/18-1.2,-627.1761019088
S22x5/18-1.5,-627.1690865547
S22x5/18-2.0,-627.1635509488
S22x5/19-A,-307.4590873558
S22x5/19-B,-307.4590409323
S22x5/19-0.9,-614.9177309256
S22x5/19-1.0,-614.9198940185
S22x5/19-1.2,-614.9205501331
S22x5/19-1.5,-614.9198003229
S22x5/19-2.0,-614.9191062931
