system,BPW/def2-QZVP/ORCA
S22x5/01-A,-467.4962684461
S22x5/01-B,-454.3116533318
S22x5/01-0.9,-921.8231609028
S22x5/01-1.0,-921.8257661925
S22x5/01-1.2,-921.8224896727
S22x5/01-1.5,-921.8157257553
S22x5/01-2.0,-921.8105992604
S22x5/02-A,-467.4958354521
S22x5/02-B,-454.3124488242
S22x5/02-0.9,-921.7862588575
S22x5/02-1.0,-921.8016083904
S22x5/02-1.2,-921.8082317505
S22x5/02-1.5,-921.809498325
S22x5/02-2.0,-921.8090720456
S22x5/03-A,-56.583809279
S22x5/03-B,-56.583809279
S22x5/03-0.9,-113.1682894883
S22x5/03-1.0,-113.1698702305
S22x5/03-1.2,-113.1696160346
S22x5/03-1.5,-113.1687022844
S22x5/03-2.0,-113.1680410225
S22x5/04-A,-76.4642497101
S22x5/04-B,-76.4642413142
S22x5/04-0.9,-152.9332155401
S22x5/04-1.0,-152.9344501195
S22x5/04-1.2,-152.9334859673
S22x5/04-1.5,-152.9314300375
S22x5/04-2.0,-152.929849438
S22x5/05-A,-40.5281277937
S22x5/05-B,-40.5281277937
S22x5/05-0.9,-81.0529963145
S22x5/05-1.0,-81.0547022945
S22x5/05-1.2,-81.0558357411
S22x5/05-1.5,-81.0562005066
S22x5/05-2.0,-81.0562560318
S22x5/06-A,-78.6109176671
S22x5/06-B,-78.6109176671
S22x5/06-0.9,-157.2162003732
S22x5/06-1.0,-157.2193379681
S22x5/06-1.2,-157.2210396292
S22x5/06-1.5,-157.2217164831
S22x5/06-2.0,-157.2218332625
S22x5/07-A,-78.6109296038
S22x5/07-B,-77.3547065578
S22x5/07-0.9,-155.9648015728
S22x5/07-1.0,-155.9657938883
S22x5/07-1.2,-155.9661028254
S22x5/07-1.5,-155.9659635725
S22x5/07-2.0,-155.9657865133
S22x5/08-A,-189.8446619036
S22x5/08-B,-189.8446619036
S22x5/08-0.9,-379.7111275956
S22x5/08-1.0,-379.7144441659
S22x5/08-1.2,-379.7100994177
S22x5/08-1.5,-379.7011652666
S22x5/08-2.0,-379.694028763
S22x5/09-A,-169.9672626238
S22x5/09-B,-169.9672626238
S22x5/09-0.9,-339.9512484982
S22x5/09-1.0,-339.9540744303
S22x5/09-1.2,-339.9511869338
S22x5/09-1.5,-339.9447253992
S22x5/09-2.0,-339.9393144882
S22x5/10-A,-232.3146819145
S22x5/10-B,-76.4642007316
S22x5/10-0.9,-308.7783994037
S22x5/10-1.0,-308.7798421795
S22x5/10-1.2,-308.7802600019
S22x5/10-1.5,-308.7799553144
S22x5/10-2.0,-308.7794391775
S22x5/11-A,-232.3146762008
S22x5/11-B,-56.5837006042
S22x5/11-0.9,-288.8955970728
S22x5/11-1.0,-288.8973106844
S22x5/11-1.2,-288.8983874634
S22x5/11-1.5,-288.8986696221
S22x5/11-2.0,-288.8986018162
S22x5/12-A,-232.3146830937
S22x5/12-B,-40.5280321785
S22x5/12-0.9,-272.8381152728
S22x5/12-1.0,-272.8401183002
S22x5/12-1.2,-272.8416543818
