system,CAM-B3LYP/def2-QZVP/ORCA
S22x5/01-A,-467.3151120505
S22x5/01-B,-454.1551136536
S22x5/01-0.9,-921.4910919562
S22x5/01-1.0,-921.4934206879
S22x5/01-1.2,-921.4890026628
S22x5/01-1.5,-921.4803761045
S22x5/01-2.0,-921.4734994319
S22x5/02-A,-467.3142609727
S22x5/02-B,-454.1561784563
S22x5/02-0.9,-921.4607046952
S22x5/02-1.0,-921.474141435
S22x5/02-1.2,-921.4756733746
S22x5/02-1.5,-921.472782081
S22x5/02-2.0,-921.4713768229
S22x5/03-A,-56.5626484645
S22x5/03-B,-56.5626484436
S22x5/03-0.9,-113.1286335322
S22x5/03-1.0,-113.1299114614
S22x5/03-1.2,-113.128620695
S22x5/03-1.5,-113.126772735
S22x5/03-2.0,-113.1257197997
S22x5/04-A,-76.4449102832
S22x5/04-B,-76.4449715099
S22x5/04-0.9,-152.8977564609
S22x5/04-1.0,-152.898546913
S22x5/04-1.2,-152.8967234255
S22x5/04-1.5,-152.8936837963
S22x5/04-2.0,-152.8914374488
S22x5/05-A,-40.5081661122
S22x5/05-B,-40.5081661332
S22x5/05-0.9,-81.0155111524
S22x5/05-1.0,-81.0162336156
S22x5/05-1.2,-81.016306399
S22x5/05-1.5,-81.01631723
S22x5/05-2.0,-81.0163337571
S22x5/06-A,-78.5746750934
S22x5/06-B,-78.5746752734
S22x5/06-0.9,-157.1476466239
S22x5/06-1.0,-157.1497489395
S22x5/06-1.2,-157.1496478813
S22x5/06-1.5,-157.1493694162
S22x5/06-2.0,-157.1493525719
S22x5/07-A,-78.5746649877
S22x5/07-B,-77.3195911675
S22x5/07-0.9,-155.8950841578
S22x5/07-1.0,-155.8957960593
S22x5/07-1.2,-155.8954731753
S22x5/07-1.5,-155.8947961846
S22x5/07-2.0,-155.8944326902
S22x5/08-A,-189.7907155846
S22x5/08-B,-189.790715587
S22x5/08-0.9,-379.6098046315
S22x5/08-1.0,-379.6125584089
S22x5/08-1.2,-379.607007761
S22x5/08-1.5,-379.5962070753
S22x5/08-2.0,-379.5871043082
S22x5/09-A,-169.9115217119
S22x5/09-B,-169.9115218181
S22x5/09-0.9,-339.8456475946
S22x5/09-1.0,-339.8481550646
S22x5/09-1.2,-339.8440614272
S22x5/09-1.5,-339.8356661242
S22x5/09-2.0,-339.8285458641
S22x5/10-A,-232.2105829571
S22x5/10-B,-76.4447929595
S22x5/10-0.9,-308.6580823672
S22x5/10-1.0,-308.658992035
S22x5/10-1.2,-308.6584106377
S22x5/10-1.5,-308.6570656538
S22x5/10-2.0,-308.6560847774
S22x5/11-A,-232.2106237257
S22x5/11-B,-56.5625047114
S22x5/11-0.9,-288.7733819583
S22x5/11-1.0,-288.7746112483
S22x5/11-1.2,-288.7745315916
S22x5/11-1.5,-288.7738264364
S22x5/11-2.0,-288.7733715296
S22x5/12-A,-232.2106803041
S22x5/12-B,-40.5081826975
S22x5/12-0.9,-272.7172634292
S22x5/12-1.0,-272.7187282146
S22x5/12-1.2,-272.7191807996
S22x5/12-1.5,-272.7189465096
S22x5/12-2.0,-272.7188737713
S22x5/13-A,-232.2106579582
S22x5/13-B,-232.2106440889
S22x5/13-0.9,-464.4190840198
S22x5/13-1.0,-464.4213157787
S22x5/13-1.2,-464.4221699754
S22x5/13-1.5,-464.4217836454
S22x5/13-2.0,-464.4214563043
S22x5/14-A,-232.2106777204
S22x5/14-B,-232.2106775891
S22x5/14-0.9,-464.4094558336
S22x5/14-1.0,-464.4177284913
S22x5/14-1.2,-464.4206605903
S22x5/14-1.5,-464.4209727699
S22x5/14-2.0,-464.4212103626
S22x5/15-A,-232.21051166
S22x5/15-B,-363.774545387
S22x5/15-0.9,-595.9853412119
S22x5/15-1.0,-595.9881885012
S22x5/15-1.2,-595.988916729
S22x5/15-1.5,-595.9875112894
S22x5/15-2.0,-595.9861413967
S22x5/16-A,-232.2106095849
S22x5/16-B,-363.7744960062
S22x5/16-0.9,-595.9711575767
S22x5/16-1.0,-595.9810622034
S22x5/16-1.2,-595.9845742323
S22x5/16-1.5,-595.9845401671
S22x5/16-2.0,-595.9848493499
S22x5/17-A,-264.2957882506
S22x5/17-B,-264.2957738389
S22x5/17-0.9,-528.5817803406
S22x5/17-1.0,-528.5903792242
S22x5/17-1.2,-528.5924573843
S22x5/17-1.5,-528.5918314267
S22x5/17-2.0,-528.5916147995
S22x5/18-A,-323.5110823425
S22x5/18-B,-303.6296440111
S22x5/18-0.9,-627.1625854497
S22x5/18-1.0,-627.1651490134
S22x5/18-1.2,-627.1610588158
S22x5/18-1.5,-627.1524679678
S22x5/18-2.0,-627.1453154828
S22x5/19-A,-307.4526286843
S22x5/19-B,-307.4526682377
S22x5/19-0.9,-614.9111970399
S22x5/19-1.0,-614.9126389946
S22x5/19-1.2,-614.9116652073
S22x5/19-1.5,-614.9089516089
