system,cam-QTP-01/def2-QZVP/Turbomole
S22x5/01-A,-467.0484946489
S22x5/01-B,-453.9041395511
S22x5/01-0.9,-920.9783193065
S22x5/01-1.0,-920.9796713925
S22x5/01-1.2,-920.9737542118
S22x5/01-1.5,-920.9638319893
S22x5/01-2.0,-920.9562009455
S22x5/02-A,-467.0474641285
S22x5/02-B,-453.9051737815
S22x5/02-0.9,-920.953758116
S22x5/02-1.0,-920.963239592
S22x5/02-1.2,-920.9604037342
S22x5/02-1.5,-920.9554864366
S22x5/02-2.0,-920.9535943918
S22x5/03-A,-56.5268428745
S22x5/03-B,-56.5268428745
S22x5/03-0.9,-113.0589035733
S22x5/03-1.0,-113.0595718407
S22x5/03-1.2,-113.0577295432
S22x5/03-1.5,-113.0554539597
S22x5/03-2.0,-113.0542382082
S22x5/04-A,-76.4053917263
S22x5/04-B,-76.405444956
S22x5/04-0.9,-152.8206735035
S22x5/04-1.0,-152.8209778935
S22x5/04-1.2,-152.8184739986
S22x5/04-1.5,-152.8149486693
S22x5/04-2.0,-152.8124668944
S22x5/05-A,-40.4752410654
S22x5/05-B,-40.4752410654
S22x5/05-0.9,-80.9508599588
S22x5/05-1.0,-80.951043397
S22x5/05-1.2,-80.9506254034
S22x5/05-1.5,-80.9504885998
S22x5/05-2.0,-80.9504832258
S22x5/06-A,-78.5162677218
S22x5/06-B,-78.5162677218
S22x5/06-0.9,-157.033311292
S22x5/06-1.0,-157.0344517781
S22x5/06-1.2,-157.0333172431
S22x5/06-1.5,-157.0326292532
S22x5/06-2.0,-157.0325410695
S22x5/07-A,-78.5162535086
S22x5/07-B,-77.2625739446
S22x5/07-0.9,-155.7807543127
S22x5/07-1.0,-155.7811309854
S22x5/07-1.2,-155.7803936338
S22x5/07-1.5,-155.7794751386
S22x5/07-2.0,-155.779021667
S22x5/08-A,-189.6924604971
S22x5/08-B,-189.6924604971
S22x5/08-0.9,-379.4186381179
S22x5/08-1.0,-379.4203530484
S22x5/08-1.2,-379.4131936498
S22x5/08-1.5,-379.4009413919
S22x5/08-2.0,-379.3909530686
S22x5/09-A,-169.8171330217
S22x5/09-B,-169.8171330217
S22x5/09-0.9,-339.6613432118
S22x5/09-1.0,-339.6629498047
S22x5/09-1.2,-339.6574040325
S22x5/09-1.5,-339.6478121024
S22x5/09-2.0,-339.6400277456
S22x5/10-A,-232.0555135003
S22x5/10-B,-76.4052568443
S22x5/10-0.9,-308.4656582722
S22x5/10-1.0,-308.4659858421
S22x5/10-1.2,-308.4645828322
S22x5/10-1.5,-308.4626905771
S22x5/10-2.0,-308.4614864555
S22x5/11-A,-232.0555664984
S22x5/11-B,-56.5266864957
S22x5/11-0.9,-288.5846391649
S22x5/11-1.0,-288.5852243041
S22x5/11-1.2,-288.5844220482
S22x5/11-1.5,-288.5832207722
S22x5/11-2.0,-288.5825672558
