system,DFTB3/3ob-3-1/dftb+
S22x5/01-A,-22.4057678723
S22x5/01-B,-22.2461078024
S22x5/01-0.9,-44.6575591458
S22x5/01-1.0,-44.6640741118
S22x5/01-1.2,-44.6623816345
S22x5/01-1.5,-44.6567519301
S22x5/01-2.0,-44.6535755696
S22x5/02-A,-22.405769901
S22x5/02-B,-22.2458027588
S22x5/02-0.9,-44.6519089392
S22x5/02-1.0,-44.6575484779
S22x5/02-1.2,-44.6559856348
S22x5/02-1.5,-44.6538064981
S22x5/02-2.0,-44.6524603446
S22x5/03-A,-3.5322689534
S22x5/03-B,-3.5322689534
S22x5/03-0.9,-7.0629009144
S22x5/03-1.0,-7.0652625227
S22x5/03-1.2,-7.0655512576
S22x5/03-1.5,-7.0650298107
S22x5/03-2.0,-7.0647118655
S22x5/04-A,-4.0636044418
S22x5/04-B,-4.0636626965
S22x5/04-0.9,-8.1313482584
S22x5/04-1.0,-8.1326956847
S22x5/04-1.2,-8.1313963324
S22x5/04-1.5,-8.1295291188
S22x5/04-2.0,-8.1283534989
S22x5/05-A,-3.2301481617
S22x5/05-B,-3.2301481617
S22x5/05-0.9,-6.4598371511
S22x5/05-1.0,-6.4602272255
S22x5/05-1.2,-6.4602847823
S22x5/05-1.5,-6.4602935318
S22x5/05-2.0,-6.4602958805
S22x5/06-A,-4.8990103319
S22x5/06-B,-4.8990103319
S22x5/06-0.9,-9.7964791524
S22x5/06-1.0,-9.7981257008
S22x5/06-1.2,-9.7981196517
S22x5/06-1.5,-9.7980405885
S22x5/06-2.0,-9.7980239188
S22x5/07-A,-4.8990003562
S22x5/07-B,-4.094545703
S22x5/07-0.9,-8.9943211325
S22x5/07-1.0,-8.9942977607
S22x5/07-1.2,-8.9938901738
S22x5/07-1.5,-8.9936977044
S22x5/07-2.0,-8.9936001726
S22x5/08-A,-9.083055228
S22x5/08-B,-9.083055228
S22x5/08-0.9,-18.1838299054
S22x5/08-1.0,-18.1895114246
S22x5/08-1.2,-18.1856198444
S22x5/08-1.5,-18.1762450231
S22x5/08-2.0,-18.1703228838
S22x5/09-A,-8.5463841854
S22x5/09-B,-8.5463841854
S22x5/09-0.9,-17.1074131949
S22x5/09-1.0,-17.1118614801
S22x5/09-1.2,-17.1082740176
S22x5/09-1.5,-17.1016051435
S22x5/09-2.0,-17.097089698
S22x5/10-A,-12.5122968564
S22x5/10-B,-4.0633508194
S22x5/10-0.9,-16.5773404799
S22x5/10-1.0,-16.5776485175
S22x5/10-1.2,-16.5769962382
S22x5/10-1.5,-16.5763904491
S22x5/10-2.0,-16.5759799325
S22x5/11-A,-12.5122925207
S22x5/11-B,-3.5320037667
S22x5/11-0.9,-16.0444938559
S22x5/11-1.0,-16.0450422984
S22x5/11-1.2,-16.0448318829
S22x5/11-1.5,-16.0445705296
S22x5/11-2.0,-16.0444055451
S22x5/12-A,-12.51229022
S22x5/12-B,-3.2302431794
S22x5/12-0.9,-15.7419627926
S22x5/12-1.0,-15.7426289089
S22x5/12-1.2,-15.7426510325
S22x5/12-1.5,-15.7425775881
S22x5/12-2.0,-15.7425477566
S22x5/13-A,-12.5122956729
S22x5/13-B,-12.5122990114
S22x5/13-0.9,-25.0227872912
S22x5/13-1.0,-25.0244589273
S22x5/13-1.2,-25.0248837122
S22x5/13-1.5,-25.0247361111
S22x5/13-2.0,-25.0246528502
S22x5/14-A,-12.512285064
S22x5/14-B,-12.512285064
S22x5/14-0.9,-25.0205627435
S22x5/14-1.0,-25.023600962
S22x5/14-1.2,-25.0243252363
S22x5/14-1.5,-25.0244812856
S22x5/14-2.0,-25.0245487956
S22x5/15-A,-12.5123019855
S22x5/15-B,-18.7059186061
S22x5/15-0.9,-31.2175480767
S22x5/15-1.0,-31.2197197779
S22x5/15-1.2,-31.2200316908
S22x5/15-1.5,-31.219285654
S22x5/15-2.0,-31.2187255331
S22x5/16-A,-12.5122871546
S22x5/16-B,-18.7056964727
S22x5/16-0.9,-31.2126332342
S22x5/16-1.0,-31.2169305896
S22x5/16-1.2,-31.2177590351
S22x5/16-1.5,-31.2178179
S22x5/16-2.0,-31.2178991129
S22x5/17-A,-13.1059070908
S22x5/17-B,-13.1059144063
S22x5/17-0.9,-26.2092455007
S22x5/17-1.0,-26.2120464324
S22x5/17-1.2,-26.2120997328
S22x5/17-1.5,-26.2119191946
S22x5/17-2.0,-26.2118457303
S22x5/18-A,-16.1310371151
S22x5/18-B,-15.5960815261
S22x5/18-0.9,-31.7345769941
S22x5/18-1.0,-31.7411799477
S22x5/18-1.2,-31.7393024731
S22x5/18-1.5,-31.733522373
S22x5/18-2.0,-31.7300012699
S22x5/19-A,-15.8243120361
S22x5/19-B,-15.8241437531
S22x5/19-0.9,-31.6503126427
S22x5/19-1.0,-31.6524431566
S22x5/19-1.2,-31.6518182255
S22x5/19-1.5,-31.6502114765
S22x5/19-2.0,-31.6492218552
S22x5/20-A,-19.7717217002
S22x5/20-B,-19.7717217002
S22x5/20-0.9,-39.5462900166
S22x5/20-1.0,-39.5501954369
S22x5/20-1.2,-39.5480023163
S22x5/20-1.5,-39.5457422138
S22x5/20-2.0,-39.5443748944
S22x5/21-A,-19.7721355603
S22x5/21-B,-19.7721355603
S22x5/21-0.9,-39.5612101559
S22x5/21-1.0,-39.5677971005
S22x5/21-1.2,-39.5646611992
S22x5/21-1.5,-39.5561958707
S22x5/21-2.0,-39.5500292926
S22x5/22-A,-12.5123013154
S22x5/22-B,-4.4599061176
S22x5/22-0.9,-16.9726572131
S22x5/22-1.0,-16.9740656281
S22x5/22-1.2,-16.9738897045
S22x5/22-1.5,-16.9731453883
S22x5/22-2.0,-16.9726395695
S66x8/01-A,-4.0636019939
S66x8/01-B,-4.0635691148
S66x8/01-090,-8.1317528138
S66x8/01-095,-8.1323942382
S66x8/01-100,-8.1324596386
S66x8/01-105,-8.1322098702
S66x8/01-110,-8.131813513
S66x8/01-125,-8.1305479594
S66x8/01-150,-8.1292254643
S66x8/01-200,-8.1281164357
S66x8/02-A,-4.0636327394
S66x8/02-B,-6.5186975858
S66x8/02-090,-10.5862425447
S66x8/02-095,-10.5871821372
S66x8/02-100,-10.5874389842
S66x8/02-105,-10.5873007986
S66x8/02-110,-10.586959872
S66x8/02-125,-10.5856993131
S66x8/02-150,-10.5843130804
S66x8/02-200,-10.5831982486
S66x8/03-A,-4.0636979796
S66x8/03-B,-5.9877748673
S66x8/03-090,-10.0540475459
S66x8/03-095,-10.0554265169
S66x8/03-100,-10.05586293
S66x8/03-105,-10.0557585334
S66x8/03-110,-10.0553880772
S66x8/03-125,-10.0540409224
S66x8/03-150,-10.0527492857
S66x8/03-200,-10.0519067859
S66x8/04-A,-4.0636870293
S66x8/04-B,-13.4873905143
S66x8/04-090,-17.5590937535
S66x8/04-095,-17.5599784907
S66x8/04-100,-17.5601013836
S66x8/04-105,-17.5597716813
S66x8/04-110,-17.559204555
S66x8/04-125,-17.5572171624
S66x8/04-150,-17.5548831657
S66x8/04-200,-17.552625222
S66x8/05-A,-6.5189846807
S66x8/05-B,-6.5187450119
S66x8/05-090,-13.040698135
S66x8/05-095,-13.0419361833
S66x8/05-100,-13.0424077812
S66x8/05-105,-13.0424200054
S66x8/05-110,-13.0421812313
S66x8/05-125,-13.0410614458
S66x8/05-150,-13.0397318314
S66x8/05-200,-13.0386656056
S66x8/06-A,-6.5189730147
S66x8/06-B,-5.9877708964
S66x8/06-090,-12.507961353
