system,DODPBE/def2-QZVP/ORCA
S22x5/01-A,-466.7731922969
S22x5/01-B,-453.635541944
S22x5/01-0.9,-920.4290602661
S22x5/01-1.0,-920.4315445935
S22x5/01-1.2,-920.4275203706
S22x5/01-1.5,-920.4192479368
S22x5/01-2.0,-920.4123849825
S22x5/02-A,-466.7729535282
S22x5/02-B,-453.6366257023
S22x5/02-0.9,-920.4082752399
S22x5/02-1.0,-920.418935364
S22x5/02-1.2,-920.4179784234
S22x5/02-1.5,-920.4132866201
S22x5/02-2.0,-920.4107192922
S22x5/03-A,-56.4999982771
S22x5/03-B,-56.4999982771
S22x5/03-0.9,-113.0028839506
S22x5/03-1.0,-113.0042829515
S22x5/03-1.2,-113.0034128687
S22x5/03-1.5,-113.0016714222
S22x5/03-2.0,-113.0005446248
S22x5/04-A,-76.3647089019
S22x5/04-B,-76.3647431979
S22x5/04-0.9,-152.7359500108
S22x5/04-1.0,-152.7370924801
S22x5/04-1.2,-152.7357959204
S22x5/04-1.5,-152.7331401753
S22x5/04-2.0,-152.7309989662
S22x5/05-A,-40.4604358739
S22x5/05-B,-40.4604358739
S22x5/05-0.9,-80.920281724
S22x5/05-1.0,-80.9210488552
S22x5/05-1.2,-80.9210383327
S22x5/05-1.5,-80.9209091301
S22x5/05-2.0,-80.920876121
S22x5/06-A,-78.4804700487
S22x5/06-B,-78.4804700486
S22x5/06-0.9,-156.9597067962
S22x5/06-1.0,-156.9617887226
S22x5/06-1.2,-156.9616593606
S22x5/06-1.5,-156.9611126117
S22x5/06-2.0,-156.9609580953
S22x5/07-A,-78.48046558
S22x5/07-B,-77.2274410691
S22x5/07-0.9,-155.7090652157
S22x5/07-1.0,-155.7097317252
S22x5/07-1.2,-155.7093503695
S22x5/07-1.5,-155.7085816385
S22x5/07-2.0,-155.7081104464
S22x5/08-A,-189.5818658395
S22x5/08-B,-189.5818658395
S22x5/08-0.9,-379.1885834309
S22x5/08-1.0,-379.1918900493
S22x5/08-1.2,-379.1874565197
S22x5/08-1.5,-379.1777847316
S22x5/08-2.0,-379.1693398768
S22x5/09-A,-169.7200306153
S22x5/09-B,-169.7200306152
S22x5/09-0.9,-339.4605017482
S22x5/09-1.0,-339.4634114833
S22x5/09-1.2,-339.4600373903
S22x5/09-1.5,-339.4523488445
S22x5/09-2.0,-339.4455450432
S22x5/10-A,-231.9315333139
S22x5/10-B,-76.3646619879
S22x5/10-0.9,-308.2995802864
