system,DODPBEB95/def2-QZVP/ORCA
S22x5/01-A,-466.8121502477
S22x5/01-B,-453.6706107018
S22x5/01-0.9,-920.5025045113
S22x5/01-1.0,-920.5053519753
S22x5/01-1.2,-920.5016672145
S22x5/01-1.5,-920.4934139843
S22x5/01-2.0,-920.4864462618
S22x5/02-A,-466.8118494275
S22x5/02-B,-453.671757784
S22x5/02-0.9,-920.4882784907
S22x5/02-1.0,-920.4969438846
S22x5/02-1.2,-920.4938621745
S22x5/02-1.5,-920.4876276533
S22x5/02-2.0,-920.484748693
S22x5/03-A,-56.4975854811
S22x5/03-B,-56.4975854805
S22x5/03-0.9,-112.9982397944
S22x5/03-1.0,-112.9996556279
S22x5/03-1.2,-112.9987264991
S22x5/03-1.5,-112.9968884017
S22x5/03-2.0,-112.995717362
S22x5/04-A,-76.3684744572
S22x5/04-B,-76.3685178995
S22x5/04-0.9,-152.7434191099
S22x5/04-1.0,-152.7446763241
S22x5/04-1.2,-152.7434659611
S22x5/04-1.5,-152.7407419474
S22x5/04-2.0,-152.7385534497
S22x5/05-A,-40.453459511
S22x5/05-B,-40.4534595113
S22x5/05-0.9,-80.9068573044
S22x5/05-1.0,-80.9074080907
S22x5/05-1.2,-80.907158086
S22x5/05-1.5,-80.9069550931
S22x5/05-2.0,-80.9069229097
S22x5/06-A,-78.4780336088
S22x5/06-B,-78.4780336081
S22x5/06-0.9,-156.9558519526
S22x5/06-1.0,-156.9575143953
S22x5/06-1.2,-156.957216992
S22x5/06-1.5,-156.9562984547
S22x5/06-2.0,-156.9560880008
S22x5/07-A,-78.4780282827
S22x5/07-B,-77.2314890289
S22x5/07-0.9,-155.7106898947
S22x5/07-1.0,-155.7114212801
S22x5/07-1.2,-155.710986045
S22x5/07-1.5,-155.7102117528
S22x5/07-2.0,-155.7097189299
S22x5/08-A,-189.5995179419
S22x5/08-B,-189.5995179399
S22x5/08-0.9,-379.223237788
S22x5/08-1.0,-379.2269363433
