system,DODPBEP86/def2-QZVP/ORCA
S22x5/01-A,-466.7505690235
S22x5/01-B,-453.6172294006
S22x5/01-0.9,-920.3886906134
S22x5/01-1.0,-920.3912755718
S22x5/01-1.2,-920.3871846207
S22x5/01-1.5,-920.3786055192
S22x5/01-2.0,-920.3714693141
S22x5/02-A,-466.7503224228
S22x5/02-B,-453.6182600186
S22x5/02-0.9,-920.3687556834
S22x5/02-1.0,-920.3795328586
S22x5/02-1.2,-920.3777544048
S22x5/02-1.5,-920.3723340813
S22x5/02-2.0,-920.3697277632
S22x5/03-A,-56.4972928265
S22x5/03-B,-56.4972928265
S22x5/03-0.9,-112.9978344803
S22x5/03-1.0,-112.999188055
S22x5/03-1.2,-112.9981488308
S22x5/03-1.5,-112.9962670198
S22x5/03-2.0,-112.9951312467
S22x5/04-A,-76.3637289251
S22x5/04-B,-76.3637567346
S22x5/04-0.9,-152.7343201665
S22x5/04-1.0,-152.7354440976
S22x5/04-1.2,-152.7340310583
S22x5/04-1.5,-152.7312188406
S22x5/04-2.0,-152.7290234212
S22x5/05-A,-40.4562719186
S22x5/05-B,-40.4562719186
S22x5/05-0.9,-80.9122635735
S22x5/05-1.0,-80.9128655537
S22x5/05-1.2,-80.9127074689
S22x5/05-1.5,-80.9125769961
S22x5/05-2.0,-80.912548414
S22x5/06-A,-78.4745835516
S22x5/06-B,-78.4745835516
S22x5/06-0.9,-156.9484821363
S22x5/06-1.0,-156.9504172468
S22x5/06-1.2,-156.9499476979
S22x5/06-1.5,-156.9493261299
S22x5/06-2.0,-156.9491853933
S22x5/07-A,-78.4745793933
S22x5/07-B,-77.2232737938
S22x5/07-0.9,-155.6992131359
S22x5/07-1.0,-155.699836667
S22x5/07-1.2,-155.6993515444
S22x5/07-1.5,-155.6985210993
S22x5/07-2.0,-155.6980561601
S22x5/08-A,-189.578855405
S22x5/08-B,-189.578855405
S22x5/08-0.9,-379.1828820747
S22x5/08-1.0,-379.1863817733
S22x5/08-1.2,-379.1820149308
S22x5/08-1.5,-379.1721054883
S22x5/08-2.0,-379.1633535587
S22x5/09-A,-169.7150991534
S22x5/09-B,-169.7150991532
S22x5/09-0.9,-339.4511374334
S22x5/09-1.0,-339.4541547498
S22x5/09-1.2,-339.450708245
S22x5/09-1.5,-339.4427160797
S22x5/09-2.0,-339.4356823422
S22x5/10-A,-231.9144621128
S22x5/10-B,-76.3636776481
S22x5/10-0.9,-308.281850204
S22x5/10-1.0,-308.2826462341
S22x5/10-1.2,-308.2817584903
S22x5/10-1.5,-308.2800883931
S22x5/10-2.0,-308.2788734343
S22x5/11-A,-231.9144676841
S22x5/11-B,-56.497225973
S22x5/11-0.9,-288.4134432212
S22x5/11-1.0,-288.4143458587
S22x5/11-1.2,-288.4138845547
S22x5/11-1.5,-288.412783094
S22x5/11-2.0,-288.4120559352
S22x5/12-A,-231.9144748424
S22x5/12-B,-40.4562569805
S22x5/12-0.9,-272.3707416419
S22x5/12-1.0,-272.3718480658
S22x5/12-1.2,-272.3718227878
S22x5/12-1.5,-272.3711811975
S22x5/12-2.0,-272.3708342691
S22x5/13-A,-231.9144676828
S22x5/13-B,-231.9144687814
S22x5/13-0.9,-463.8296200166
S22x5/13-1.0,-463.831255378
S22x5/13-1.2,-463.8312661776
S22x5/13-1.5,-463.830123309
S22x5/13-2.0,-463.8293053033
S22x5/14-A,-231.9144653934
S22x5/14-B,-231.9144653933
S22x5/14-0.9,-463.8235103449
S22x5/14-1.0,-463.8297617111
S22x5/14-1.2,-463.8303926378
S22x5/14-1.5,-463.8292402312
S22x5/14-2.0,-463.8289379349
S22x5/15-A,-231.9144470809
S22x5/15-B,-363.3186383281
S22x5/15-0.9,-595.2371821101
S22x5/15-1.0,-595.2393272235
S22x5/15-1.2,-595.2390152989
S22x5/15-1.5,-595.2366270982
S22x5/15-2.0,-595.2345132421
S22x5/16-A,-231.914453049
S22x5/16-B,-363.3186032528
S22x5/16-0.9,-595.2278578639
S22x5/16-1.0,-595.2353838654
S22x5/16-1.2,-595.2358410938
S22x5/16-1.5,-595.2336572909
S22x5/16-2.0,-595.2329455125
S22x5/17-A,-263.9715780736
S22x5/17-B,-263.9715738204
S22x5/17-0.9,-527.9398024749
S22x5/17-1.0,-527.9463684986
S22x5/17-1.2,-527.9462153542
S22x5/17-1.5,-527.9441272698
S22x5/17-2.0,-527.9433323036
S22x5/18-A,-323.1191852787
S22x5/18-B,-303.2539142242
S22x5/18-0.9,-626.3948930438
S22x5/18-1.0,-626.397673186
S22x5/18-1.2,-626.3938555517
S22x5/18-1.5,-626.3853390002
S22x5/18-2.0,-626.3779685261
S22x5/19-A,-307.0749125149
S22x5/19-B,-307.0749361654
S22x5/19-0.9,-614.1571175559
S22x5/19-1.0,-614.1586105704
S22x5/19-1.2,-614.1573989176
S22x5/19-1.5,-614.1543177862
S22x5/19-2.0,-614.1516413523
S22x5/20-A,-414.3555676992
S22x5/20-B,-414.3555676995
S22x5/20-0.9,-828.7133626531
S22x5/20-1.0,-828.7211386965
S22x5/20-1.2,-828.7185651112
S22x5/20-1.5,-828.7141175376
S22x5/20-2.0,-828.7120685481
S22x5/21-A,-414.3548189646
S22x5/21-B,-414.3548189645
S22x5/21-0.9,-828.7366800995
S22x5/21-1.0,-828.7397453437
S22x5/21-1.2,-828.7351793771
S22x5/21-1.5,-828.7252692349
S22x5/21-2.0,-828.7164512187
S22x5/22-A,-231.9144548156
S22x5/22-B,-93.3139973445
S22x5/22-0.9,-325.2332495635
S22x5/22-1.0,-325.2344659646
S22x5/22-1.2,-325.2336335504
S22x5/22-1.5,-325.2314611807
S22x5/22-2.0,-325.2297117267
S66x8/01-A,-76.3637507756
S66x8/01-B,-76.3637472828
S66x8/01-090,-152.7348587401
S66x8/01-095,-152.7353492985
S66x8/01-100,-152.7353635002
S66x8/01-105,-152.73509034
S66x8/01-110,-152.7346554971
S66x8/01-125,-152.7330632755
S66x8/01-150,-152.7308848388
S66x8/01-200,-152.7288792352
S66x8/02-A,-76.3637541263
S66x8/02-B,-115.6004442649
S66x8/02-090,-191.9720380252
S66x8/02-095,-191.9726375695
S66x8/02-100,-191.9727002027
S66x8/02-105,-191.9724339807
S66x8/02-110,-191.9719790372
S66x8/02-125,-191.9702528027
S66x8/02-150,-191.967841974
S66x8/02-200,-191.9656217396
S66x8/03-A,-76.3637539545
S66x8/03-B,-95.7391684401
S66x8/03-090,-172.1129546423
S66x8/03-095,-172.1135751532
S66x8/03-100,-172.1136030862
S66x8/03-105,-172.11326043
S66x8/03-110,-172.1126996655
S66x8/03-125,-172.1105684321
S66x8/03-150,-172.1075065155
S66x8/03-200,-172.1045833903
S66x8/04-A,-76.3637548976
S66x8/04-B,-248.231132415
S66x8/04-090,-324.6060006158
S66x8/04-095,-324.606731483
S66x8/04-100,-324.6068266874
S66x8/04-105,-324.6065194602
S66x8/04-110,-324.605971139
S66x8/04-125,-324.6037959744
S66x8/04-150,-324.6005472955
S66x8/04-200,-324.596950142
S66x8/05-A,-115.6003228558
S66x8/05-B,-115.6004587959
S66x8/05-090,-231.2085222928
S66x8/05-095,-231.2092357987
S66x8/05-100,-231.2093806071
S66x8/05-105,-231.2091720982
S66x8/05-110,-231.2087557
S66x8/05-125,-231.207070471
S66x8/05-150,-231.204624201
S66x8/05-200,-231.2023182407
S66x8/06-A,-115.6000932053
S66x8/06-B,-95.7391700925
S66x8/06-090,-211.3493884846
S66x8/06-095,-211.3502872645
S66x8/06-100,-211.3504909345
S66x8/06-105,-211.3502516737
S66x8/06-110,-211.3497442373
S66x8/06-125,-211.347607406
S66x8/06-150,-211.344376191
S66x8/06-200,-211.3412223427
S66x8/07-A,-115.6002023222
S66x8/07-B,-248.23115257
S66x8/07-090,-363.8421851536
S66x8/07-095,-363.8430946586
S66x8/07-100,-363.8433179962
S66x8/07-105,-363.8431002672
S66x8/07-110,-363.8426117415
S66x8/07-125,-363.8404994713
