system,DODSVWN/def2-QZVP/ORCA
S22x5/01-A,-465.4024776267
S22x5/01-B,-452.3476984627
S22x5/01-0.9,-917.7725901646
S22x5/01-1.0,-917.7747948512
S22x5/01-1.2,-917.7701599469
S22x5/01-1.5,-917.7612091856
S22x5/01-2.0,-917.7539254799
S22x5/02-A,-465.4020226793
S22x5/02-B,-452.3486559219
S22x5/02-0.9,-917.7537302993
S22x5/02-1.0,-917.7631997615
S22x5/02-1.2,-917.7603030552
S22x5/02-1.5,-917.7545929342
S22x5/02-2.0,-917.7518523477
S22x5/03-A,-56.3316729095
S22x5/03-B,-56.3316729095
S22x5/03-0.9,-112.6670384669
S22x5/03-1.0,-112.6682252621
S22x5/03-1.2,-112.6670217698
S22x5/03-1.5,-112.6650775048
S22x5/03-2.0,-112.6639041601
S22x5/04-A,-76.1741441246
S22x5/04-B,-76.174173504
S22x5/04-0.9,-152.355799016
S22x5/04-1.0,-152.3567236071
S22x5/04-1.2,-152.3550741928
S22x5/04-1.5,-152.3521406339
S22x5/04-2.0,-152.3498934417
S22x5/05-A,-40.312977168
S22x5/05-B,-40.312977168
S22x5/05-0.9,-80.6258221966
S22x5/05-1.0,-80.6263483298
S22x5/05-1.2,-80.6261512449
S22x5/05-1.5,-80.6259941079
S22x5/05-2.0,-80.625959209
S22x5/06-A,-78.2133212636
S22x5/06-B,-78.2133212636
S22x5/06-0.9,-156.4264156303
S22x5/06-1.0,-156.4281065502
S22x5/06-1.2,-156.4274930268
S22x5/06-1.5,-156.4268245324
S22x5/06-2.0,-156.4266618837
S22x5/07-A,-78.2133152185
S22x5/07-B,-76.9744739731
S22x5/07-0.9,-155.1893357904
S22x5/07-1.0,-155.1898883288
S22x5/07-1.2,-155.1893408521
S22x5/07-1.5,-155.1884835555
S22x5/07-2.0,-155.1879969755
S22x5/08-A,-189.0947097171
S22x5/08-B,-189.0947097171
S22x5/08-0.9,-378.2165692344
S22x5/08-1.0,-378.2195998394
S22x5/08-1.2,-378.2145364205
S22x5/08-1.5,-378.2041141889
S22x5/08-2.0,-378.1951578007
S22x5/09-A,-169.2552061788
S22x5/09-B,-169.2552061789
S22x5/09-0.9,-338.5328750758
S22x5/09-1.0,-338.5354920332
S22x5/09-1.2,-338.5314950947
S22x5/09-1.5,-338.5231531452
S22x5/09-2.0,-338.515990776
S22x5/10-A,-231.171500948
S22x5/10-B,-76.1740749677
S22x5/10-0.9,-307.3497809978
S22x5/10-1.0,-307.3504063394
S22x5/10-1.2,-307.3493428044
S22x5/10-1.5,-307.347596078
S22x5/10-2.0,-307.3463320232
S22x5/11-A,-231.1715148154
S22x5/11-B,-56.3315784989
S22x5/11-0.9,-287.505264907
S22x5/11-1.0,-287.5060123984
S22x5/11-1.2,-287.5053999977
S22x5/11-1.5,-287.5042381521
S22x5/11-2.0,-287.5034699302
S22x5/12-A,-231.171529551
S22x5/12-B,-40.3129517914
S22x5/12-0.9,-271.4848750251
S22x5/12-1.0,-271.4858338973
S22x5/12-1.2,-271.4856662284
S22x5/12-1.5,-271.4849720421
S22x5/12-2.0,-271.4845933342
S22x5/13-A,-231.1715189685
S22x5/13-B,-231.1715155034
S22x5/13-0.9,-462.3443296232
S22x5/13-1.0,-462.3457562178
S22x5/13-1.2,-462.34554027
S22x5/13-1.5,-462.3442967923
S22x5/13-2.0,-462.3434261238
S22x5/14-A,-231.1715226356
S22x5/14-B,-231.1715226358
S22x5/14-0.9,-462.3387933605
S22x5/14-1.0,-462.3444784621
S22x5/14-1.2,-462.3446630967
S22x5/14-1.5,-462.3434018128
S22x5/14-2.0,-462.3430562718
S22x5/15-A,-231.1714729741
S22x5/15-B,-362.1901697945
S22x5/15-0.9,-593.3666102364
S22x5/15-1.0,-593.3684890972
S22x5/15-1.2,-593.3678637766
S22x5/15-1.5,-593.3653144926
S22x5/15-2.0,-593.3631198556
S22x5/16-A,-231.1715028131
S22x5/16-B,-362.1901349993
S22x5/16-0.9,-593.3581102107
S22x5/16-1.0,-593.3649034702
S22x5/16-1.2,-593.3646893342
S22x5/16-1.5,-593.3623186209
S22x5/16-2.0,-593.3615362232
S22x5/17-A,-263.1828357135
S22x5/17-B,-263.1828280333
S22x5/17-0.9,-526.3637073463
S22x5/17-1.0,-526.3696129386
S22x5/17-1.2,-526.3689284003
S22x5/17-1.5,-526.3667062835
S22x5/17-2.0,-526.365852649
S22x5/18-A,-322.1775751996
S22x5/18-B,-302.3367201142
S22x5/18-0.9,-624.5375980433
S22x5/18-1.0,-624.5400141867
S22x5/18-1.2,-624.5356633462
S22x5/18-1.5,-624.5267697026
S22x5/18-2.0,-624.5192511487
S22x5/19-A,-306.1560814832
S22x5/19-B,-306.1560477538
S22x5/19-0.9,-612.3204875527
S22x5/19-1.0,-612.3216693089
S22x5/19-1.2,-612.3200727161
S22x5/19-1.5,-612.3167692945
S22x5/19-2.0,-612.3139957458
S22x5/20-A,-413.2155794693
S22x5/20-B,-413.2155794691
S22x5/20-0.9,-826.4354521593
S22x5/20-1.0,-826.4422188774
S22x5/20-1.2,-826.4388785485
S22x5/20-1.5,-826.4342468415
S22x5/20-2.0,-826.4321047051
S22x5/21-A,-413.2148769752
S22x5/21-B,-413.2148769756
S22x5/21-0.9,-826.4585227234
S22x5/21-1.0,-826.4611644752
S22x5/21-1.2,-826.4559923418
S22x5/21-1.5,-826.4456662056
S22x5/21-2.0,-826.4366856586
S22x5/22-A,-231.1714862796
S22x5/22-B,-93.0417347797
S22x5/22-0.9,-324.2186614437
S22x5/22-1.0,-324.2196803724
S22x5/22-1.2,-324.2186181147
S22x5/22-1.5,-324.2163315742
S22x5/22-2.0,-324.2145167656
S66x8/01-A,-76.1741620176
S66x8/01-B,-76.174157303
S66x8/01-090,-152.3562634116
S66x8/01-095,-152.35665257
S66x8/01-100,-152.3565815233
S66x8/01-105,-152.3562377058
S66x8/01-110,-152.3557454734
S66x8/01-125,-152.3540409793
S66x8/01-150,-152.3517883116
S66x8/01-200,-152.349733304
S66x8/02-A,-76.1741677726
S66x8/02-B,-115.2806234387
S66x8/02-090,-191.463333608
S66x8/02-095,-191.4638150993
S66x8/02-100,-191.4637774102
S66x8/02-105,-191.4634269778
S66x8/02-110,-191.4629025544
S66x8/02-125,-191.4610371393
S66x8/02-150,-191.4585301159
S66x8/02-200,-191.4562502064
S66x8/03-A,-76.1741731729
S66x8/03-B,-95.4434984863
S66x8/03-090,-171.6283473424
S66x8/03-095,-171.6288734848
S66x8/03-100,-171.6288180684
S66x8/03-105,-171.628402565
S66x8/03-110,-171.6277790833
S66x8/03-125,-171.6255136463
S66x8/03-150,-171.622348567
S66x8/03-200,-171.6193677434
S66x8/04-A,-76.1741731449
S66x8/04-B,-247.5119097343
S66x8/04-090,-323.698094291
S66x8/04-095,-323.6986906276
S66x8/04-100,-323.6986685142
S66x8/04-105,-323.6982604069
S66x8/04-110,-323.6976266071
S66x8/04-125,-323.6952697149
S66x8/04-150,-323.6918832442
S66x8/04-200,-323.6881943183
S66x8/05-A,-115.2805640298
S66x8/05-B,-115.2806430139
S66x8/05-090,-230.5696903258
S66x8/05-095,-230.5702820986
S66x8/05-100,-230.5703228529
S66x8/05-105,-230.570026509
S66x8/05-110,-230.5695372676
S66x8/05-125,-230.5677041305
S66x8/05-150,-230.5651528031
S66x8/05-200,-230.5627833444
S66x8/06-A,-115.2803513697
S66x8/06-B,-95.4434982251
S66x8/06-090,-210.7347406497
S66x8/06-095,-210.7355285931
S66x8/06-100,-210.7356351653
S66x8/06-105,-210.7353117512
S66x8/06-110,-210.7347311433
S66x8/06-125,-210.732437481
S66x8/06-150,-210.7290804613
S66x8/06-200,-210.7258553925
S66x8/07-A,-115.2804532223
S66x8/07-B,-247.5119107054
S66x8/07-090,-362.8041506033
S66x8/07-095,-362.8049200328
S66x8/07-100,-362.8050196254
S66x8/07-105,-362.8046938721
S66x8/07-110,-362.8041133219
