system,DSDBLYP/def2-QZVP/ORCA
S22x5/01-A,-467.0115098188
S22x5/01-B,-453.8606914785
S22x5/01-0.9,-920.8940044043
S22x5/01-1.0,-920.8962929905
S22x5/01-1.2,-920.891817709
S22x5/01-1.5,-920.8830213384
S22x5/01-2.0,-920.8758767099
S22x5/02-A,-467.0112884474
S22x5/02-B,-453.8617895784
S22x5/02-0.9,-920.8757775216
S22x5/02-1.0,-920.8855029833
S22x5/02-1.2,-920.8827087581
S22x5/02-1.5,-920.8770460336
S22x5/02-2.0,-920.8743201687
S22x5/03-A,-56.5246230268
S22x5/03-B,-56.5246230268
S22x5/03-0.9,-113.0524987151
S22x5/03-1.0,-113.0537933039
S22x5/03-1.2,-113.0527207215
S22x5/03-1.5,-113.0508819423
S22x5/03-2.0,-113.0497910077
S22x5/04-A,-76.4005245435
S22x5/04-B,-76.400563686
S22x5/04-0.9,-152.8081130993
S22x5/04-1.0,-152.8091496071
S22x5/04-1.2,-152.8076363018
S22x5/04-1.5,-152.8047964308
S22x5/04-2.0,-152.8026256379
S22x5/05-A,-40.475329538
S22x5/05-B,-40.475329538
S22x5/05-0.9,-80.9501855861
S22x5/05-1.0,-80.9508315465
S22x5/05-1.2,-80.9507709044
S22x5/05-1.5,-80.9506891947
S22x5/05-2.0,-80.9506654522
S22x5/06-A,-78.5159726838
S22x5/06-B,-78.5159726838
S22x5/06-0.9,-157.03114064
S22x5/06-1.0,-157.0330492773
S22x5/06-1.2,-157.0326309423
S22x5/06-1.5,-157.0320983859
S22x5/06-2.0,-157.0319686137
S22x5/07-A,-78.5159692226
S22x5/07-B,-77.2680153403
S22x5/07-0.9,-155.7852916134
S22x5/07-1.0,-155.7859036451
S22x5/07-1.2,-155.7854352544
S22x5/07-1.5,-155.7846413319
S22x5/07-2.0,-155.7841928399
S22x5/08-A,-189.6757118265
S22x5/08-B,-189.6757118265
S22x5/08-0.9,-379.3774388378
S22x5/08-1.0,-379.3807009088
S22x5/08-1.2,-379.3759812239
S22x5/08-1.5,-379.3658194408
S22x5/08-2.0,-379.3570344087
S22x5/09-A,-169.8029192002
S22x5/09-B,-169.8029192002
S22x5/09-0.9,-339.6274042756
S22x5/09-1.0,-339.6302069613
S22x5/09-1.2,-339.6264669893
S22x5/09-1.5,-339.6183191004
S22x5/09-2.0,-339.6113070697
S22x5/10-A,-232.0486199526
S22x5/10-B,-76.4004661557
S22x5/10-0.9,-308.4527669005
S22x5/10-1.0,-308.4535117985
S22x5/10-1.2,-308.4526064559
S22x5/10-1.5,-308.450995087
S22x5/10-2.0,-308.4498254061
S22x5/11-A,-232.0486327322
S22x5/11-B,-56.5245541779
S22x5/11-0.9,-288.5749098347
S22x5/11-1.0,-288.5757617064
S22x5/11-1.2,-288.5752857129
S22x5/11-1.5,-288.5742416124
S22x5/11-2.0,-288.5735558218
S22x5/12-A,-232.0486457282
S22x5/12-B,-40.4753728958
S22x5/12-0.9,-272.5240171279
S22x5/12-1.0,-272.5250684159
S22x5/12-1.2,-272.5250232277
S22x5/12-1.5,-272.5244375684
S22x5/12-2.0,-272.5241279293
S22x5/13-A,-232.0486307957
S22x5/13-B,-232.0486309672
S22x5/13-0.9,-464.0982336368
S22x5/13-1.0,-464.0997488906
S22x5/13-1.2,-464.0996338668
S22x5/13-1.5,-464.0984672966
S22x5/13-2.0,-464.0976615122
S22x5/14-A,-232.0486321553
S22x5/14-B,-232.0486321561
S22x5/14-0.9,-464.0927783248
S22x5/14-1.0,-464.0985396236
S22x5/14-1.2,-464.0988107081
S22x5/14-1.5,-464.0976316427
S22x5/14-2.0,-464.097303731
S22x5/15-A,-232.0485914973
S22x5/15-B,-363.5280543989
S22x5/15-0.9,-595.5812638282
S22x5/15-1.0,-595.583226334
S22x5/15-1.2,-595.5827081698
S22x5/15-1.5,-595.5802407473
S22x5/15-2.0,-595.5781256945
S22x5/16-A,-232.0486109955
S22x5/16-B,-363.528034025
S22x5/16-0.9,-595.5730744395
S22x5/16-1.0,-595.5799226604
S22x5/16-1.2,-595.5797275487
S22x5/16-1.5,-595.5773858374
S22x5/16-2.0,-595.5766063287
S22x5/17-A,-264.121122491
S22x5/17-B,-264.1211161184
S22x5/17-0.9,-528.2401082983
S22x5/17-1.0,-528.2460902711
S22x5/17-1.2,-528.2454604083
S22x5/17-1.5,-528.2432940417
S22x5/17-2.0,-528.2424534805
S22x5/18-A,-323.2974728066
S22x5/18-B,-303.4243830572
S22x5/18-0.9,-626.7447446713
S22x5/18-1.0,-626.747200335
S22x5/18-1.2,-626.7429487978
S22x5/18-1.5,-626.7341629645
S22x5/18-2.0,-626.7267454611
S22x5/19-A,-307.2467715213
S22x5/19-B,-307.2468135135
S22x5/19-0.9,-614.5015275434
S22x5/19-1.0,-614.5028047811
S22x5/19-1.2,-614.5013342006
S22x5/19-1.5,-614.4981120871
S22x5/19-2.0,-614.4954273725
S22x5/20-A,-414.5784504479
S22x5/20-B,-414.5784504478
S22x5/20-0.9,-829.1607550701
S22x5/20-1.0,-829.167797664
S22x5/20-1.2,-829.164605916
S22x5/20-1.5,-829.1600350044
S22x5/20-2.0,-829.1579010942
S22x5/21-A,-414.5776799134
S22x5/21-B,-414.5776799133
S22x5/21-0.9,-829.1838233249
S22x5/21-1.0,-829.1865297741
S22x5/21-1.2,-829.18146095
S22x5/21-1.5,-829.1711976357
S22x5/21-2.0,-829.1622599329
S22x5/22-A,-232.048607557
S22x5/22-B,-93.3664629537
S22x5/22-0.9,-325.4199860906
S22x5/22-1.0,-325.421121391
S22x5/22-1.2,-325.4202107627
S22x5/22-1.5,-325.4180472195
S22x5/22-2.0,-325.4163366431
S66x8/01-A,-76.40056136
S66x8/01-B,-76.4005465275
S66x8/01-090,-152.8086172285
S66x8/01-095,-152.8090616914
S66x8/01-100,-152.809037207
S66x8/01-105,-152.8087324744
S66x8/01-110,-152.8082724058
S66x8/01-125,-152.8066364889
S66x8/01-150,-152.8044468127
S66x8/01-200,-152.8024636237
S66x8/02-A,-76.4005657632
S66x8/02-B,-115.6569731614
S66x8/02-090,-192.0656286366
S66x8/02-095,-192.0661702009
S66x8/02-100,-192.0661826921
S66x8/02-105,-192.0658745996
S66x8/02-110,-192.0653855853
S66x8/02-125,-192.0635944097
S66x8/02-150,-192.0611540717
S66x8/02-200,-192.0589457175
S66x8/03-A,-76.4005688397
S66x8/03-B,-95.7863883656
S66x8/03-090,-172.1971473944
S66x8/03-095,-172.1977110105
S66x8/03-100,-172.1976917215
S66x8/03-105,-172.1973097183
S66x8/03-110,-172.1967166346
S66x8/03-125,-172.194526775
S66x8/03-150,-172.1914458899
S66x8/03-200,-172.188558831
S66x8/04-A,-76.4005689242
S66x8/04-B,-248.3598140245
S66x8/04-090,-324.7717717121
S66x8/04-095,-324.772437966
S66x8/04-100,-324.7724748414
S66x8/04-105,-324.7721162831
S66x8/04-110,-324.7715246159
S66x8/04-125,-324.7692654838
