system,DSDPBE/def2-QZVP/ORCA
S22x5/01-A,-466.766020918
S22x5/01-B,-453.6274711101
S22x5/01-0.9,-920.4146915685
S22x5/01-1.0,-920.4169863412
S22x5/01-1.2,-920.4126975881
S22x5/01-1.5,-920.4042125776
S22x5/01-2.0,-920.3972174884
S22x5/02-A,-466.7658141783
S22x5/02-B,-453.6285401325
S22x5/02-0.9,-920.3963323999
S22x5/02-1.0,-920.4058733839
S22x5/02-1.2,-920.4036844203
S22x5/02-1.5,-920.3983539606
S22x5/02-2.0,-920.395554535
S22x5/03-A,-56.4981733631
S22x5/03-B,-56.4981733631
S22x5/03-0.9,-112.9994408739
S22x5/03-1.0,-113.0007730356
S22x5/03-1.2,-112.9998260417
S22x5/03-1.5,-112.9980425828
S22x5/03-2.0,-112.9969004288
S22x5/04-A,-76.3639151368
S22x5/04-B,-76.3639494833
S22x5/04-0.9,-152.7345352693
S22x5/04-1.0,-152.7356280576
S22x5/04-1.2,-152.7342698508
S22x5/04-1.5,-152.7315753374
S22x5/04-2.0,-152.7294182085
S22x5/05-A,-40.4573507993
S22x5/05-B,-40.4573507993
S22x5/05-0.9,-80.9142526767
S22x5/05-1.0,-80.9149578118
S22x5/05-1.2,-80.9148946254
S22x5/05-1.5,-80.9147465404
S22x5/05-2.0,-80.9147073208
S22x5/06-A,-78.4760060238
S22x5/06-B,-78.4760060237
S22x5/06-0.9,-156.9511786502
S22x5/06-1.0,-156.9531017484
S22x5/06-1.2,-156.9528145731
S22x5/06-1.5,-156.9522067387
S22x5/06-2.0,-156.9520338185
S22x5/07-A,-78.4760019575
S22x5/07-B,-77.2243511713
S22x5/07-0.9,-155.7016908275
S22x5/07-1.0,-155.7023018745
S22x5/07-1.2,-155.7018555817
S22x5/07-1.5,-155.7010499568
S22x5/07-2.0,-155.7005628552
S22x5/08-A,-189.5796588319
S22x5/08-B,-189.5796588319
S22x5/08-0.9,-379.1847140624
S22x5/08-1.0,-379.1879034487
S22x5/08-1.2,-379.183299263
S22x5/08-1.5,-379.1734855086
S22x5/08-2.0,-379.16495693
S22x5/09-A,-169.716900021
S22x5/09-B,-169.7169000209
S22x5/09-0.9,-339.4547787619
S22x5/09-1.0,-339.457558998
S22x5/09-1.2,-339.4540056662
S22x5/09-1.5,-339.4461803256
S22x5/09-2.0,-339.4393064312
S22x5/10-A,-231.9238959527
S22x5/10-B,-76.363871681
S22x5/10-0.9,-308.2915358272
S22x5/10-1.0,-308.2922525933
S22x5/10-1.2,-308.291377014
S22x5/10-1.5,-308.2897657726
S22x5/10-2.0,-308.2885226109
