system,DSDPBEP86/def2-QZVP/ORCA
S22x5/01-A,-467.3466646625
S22x5/01-B,-454.1754243282
S22x5/01-0.9,-921.5452328159
S22x5/01-1.0,-921.5472415841
S22x5/01-1.2,-921.5424042068
S22x5/01-1.5,-921.5332993809
S22x5/01-2.0,-921.5258872321
S22x5/02-A,-467.3464536961
S22x5/02-B,-454.176476794
S22x5/02-0.9,-921.5292275953
S22x5/02-1.0,-921.5377119638
S22x5/02-1.2,-921.5336375831
S22x5/02-1.5,-921.5271430492
S22x5/02-2.0,-921.524168847
S22x5/03-A,-56.5781953331
S22x5/03-B,-56.5781953331
S22x5/03-0.9,-113.1601876222
S22x5/03-1.0,-113.1613389364
S22x5/03-1.2,-113.1600938578
S22x5/03-1.5,-113.158114413
S22x5/03-2.0,-113.1569454177
S22x5/04-A,-76.4474916418
S22x5/04-B,-76.4475272737
S22x5/04-0.9,-152.9024051367
S22x5/04-1.0,-152.9033522711
S22x5/04-1.2,-152.901736215
S22x5/04-1.5,-152.8988106472
S22x5/04-2.0,-152.8965724871
S22x5/05-A,-40.5339793136
S22x5/05-B,-40.5339793135
S22x5/05-0.9,-81.0679747696
S22x5/05-1.0,-81.0684389714
S22x5/05-1.2,-81.0681735028
S22x5/05-1.5,-81.0680045959
S22x5/05-2.0,-81.067965203
S22x5/06-A,-78.6018625291
S22x5/06-B,-78.601862529
S22x5/06-0.9,-157.2039078262
S22x5/06-1.0,-157.2054628145
S22x5/06-1.2,-157.2046653734
S22x5/06-1.5,-157.2039230163
S22x5/06-2.0,-157.2037491888
S22x5/07-A,-78.6018584582
S22x5/07-B,-77.3365647409
S22x5/07-0.9,-155.9402197171
S22x5/07-1.0,-155.9406953154
S22x5/07-1.2,-155.9400510038
S22x5/07-1.5,-155.9391362046
S22x5/07-2.0,-155.9386369547
S22x5/08-A,-189.782386324
S22x5/08-B,-189.7823863241
S22x5/08-0.9,-379.5918934208
S22x5/08-1.0,-379.5948958441
S22x5/08-1.2,-379.5898663019
S22x5/08-1.5,-379.5794864278
S22x5/08-2.0,-379.5704986716
S22x5/09-A,-169.9161424552
S22x5/09-B,-169.9161424552
S22x5/09-0.9,-339.854911159
S22x5/09-1.0,-339.8574599893
S22x5/09-1.2,-339.8534253973
S22x5/09-1.5,-339.8450443664
S22x5/09-2.0,-339.8378303221
S22x5/10-A,-232.2627188765
