system,DSDSVWN/def2-QZVP/ORCA
S22x5/01-A,-465.5996862897
S22x5/01-B,-452.5322704024
S22x5/01-0.9,-918.1549270132
S22x5/01-1.0,-918.1569911227
S22x5/01-1.2,-918.1521853872
S22x5/01-1.5,-918.1431169701
S22x5/01-2.0,-918.1357591032
S22x5/02-A,-465.5992778619
S22x5/02-B,-452.5332471816
S22x5/02-0.9,-918.1377811588
S22x5/02-1.0,-918.1464965812
S22x5/02-1.2,-918.1428046739
S22x5/02-1.5,-918.1366640921
S22x5/02-2.0,-918.1337466391
S22x5/03-A,-56.3558712406
S22x5/03-B,-56.3558712406
S22x5/03-0.9,-112.7155288062
S22x5/03-1.0,-112.7166820049
S22x5/03-1.2,-112.7154470328
S22x5/03-1.5,-112.7134863206
S22x5/03-2.0,-112.7123044323
S22x5/04-A,-76.2020075932
S22x5/04-B,-76.202040051
S22x5/04-0.9,-152.4115911253
S22x5/04-1.0,-152.4124917815
S22x5/04-1.2,-152.4108210797
S22x5/04-1.5,-152.4078791712
S22x5/04-2.0,-152.4056273496
S22x5/05-A,-40.3336278027
S22x5/05-B,-40.3336278027
S22x5/05-0.9,-80.6671967791
S22x5/05-1.0,-80.6676956167
S22x5/05-1.2,-80.6674721025
S22x5/05-1.5,-80.6673014592
S22x5/05-2.0,-80.6672615514
S22x5/06-A,-78.2504809814
S22x5/06-B,-78.2504809814
S22x5/06-0.9,-156.5009653816
S22x5/06-1.0,-156.5025688458
S22x5/06-1.2,-156.5018710352
S22x5/06-1.5,-156.5011617376
S22x5/06-2.0,-156.5009843531
S22x5/07-A,-78.250475344
S22x5/07-B,-77.0099089471
S22x5/07-0.9,-155.2620479839
S22x5/07-1.0,-155.2625658016
S22x5/07-1.2,-155.2619787948
S22x5/07-1.5,-155.2610967436
S22x5/07-2.0,-155.26059718
S22x5/08-A,-189.164796461
S22x5/08-B,-189.164796461
S22x5/08-0.9,-378.3570582447
S22x5/08-1.0,-378.3599949281
S22x5/08-1.2,-378.3548258898
S22x5/08-1.5,-378.3443412303
S22x5/08-2.0,-378.3353523935
S22x5/09-A,-169.3217439515
S22x5/09-B,-169.3217439515
S22x5/09-0.9,-338.6662589483
S22x5/09-1.0,-338.6687835781
S22x5/09-1.2,-338.664682528
S22x5/09-1.5,-338.6562781145
S22x5/09-2.0,-338.6490825314
S22x5/10-A,-231.2796771752
S22x5/10-B,-76.2019424973
S22x5/10-0.9,-307.4860587827
S22x5/10-1.0,-307.4866170799
S22x5/10-1.2,-307.4854755187
S22x5/10-1.5,-307.4836787165
S22x5/10-2.0,-307.4823876925
S22x5/11-A,-231.2796922614
S22x5/11-B,-56.3557828889
S22x5/11-0.9,-287.6379072337
S22x5/11-1.0,-287.6385802026
S22x5/11-1.2,-287.637878943
S22x5/11-1.5,-287.6366614022
S22x5/11-2.0,-287.635863558
S22x5/12-A,-231.2797079409
S22x5/12-B,-40.333617468
S22x5/12-0.9,-271.6139927727
S22x5/12-1.0,-271.6148721241
S22x5/12-1.2,-271.6146109679
S22x5/12-1.5,-271.6138577398
S22x5/12-2.0,-271.613448578
S22x5/13-A,-231.2796957629
S22x5/13-B,-231.2796922144
S22x5/13-0.9,-462.561207596
S22x5/13-1.0,-462.5624962724
S22x5/13-1.2,-462.5621092854
S22x5/13-1.5,-462.560747371
S22x5/13-2.0,-462.559810022
S22x5/14-A,-231.2797001824
S22x5/14-B,-231.2797001826
S22x5/14-0.9,-462.5563313854
S22x5/14-1.0,-462.5615751876
S22x5/14-1.2,-462.5613226649
S22x5/14-1.5,-462.5598479029
S22x5/14-2.0,-462.5594279592
S22x5/15-A,-231.2796467034
S22x5/15-B,-362.355356668
S22x5/15-0.9,-593.6407048843
S22x5/15-1.0,-593.6424069984
S22x5/15-1.2,-593.6415528296
S22x5/15-1.5,-593.6388338632
S22x5/15-2.0,-593.6365353856
S22x5/16-A,-231.2796787236
S22x5/16-B,-362.355324418
S22x5/16-0.9,-593.6331576723
S22x5/16-1.0,-593.6393973404
S22x5/16-1.2,-593.6385769588
S22x5/16-1.5,-593.635865504
S22x5/16-2.0,-593.6349401805
S22x5/17-A,-263.2974975883
S22x5/17-B,-263.2974898356
S22x5/17-0.9,-526.594290983
S22x5/17-1.0,-526.5997317891
S22x5/17-1.2,-526.5985824056
S22x5/17-1.5,-526.5961313153
S22x5/17-2.0,-526.5951952137
S22x5/18-A,-322.3143126704
S22x5/18-B,-302.4704494837
S22x5/18-0.9,-624.8086637417
S22x5/18-1.0,-624.8109262441
S22x5/18-1.2,-624.8063872262
S22x5/18-1.5,-624.7973646292
S22x5/18-2.0,-624.7897678218
S22x5/19-A,-306.2900465629
S22x5/19-B,-306.2900141133
S22x5/19-0.9,-612.5889398026
S22x5/19-1.0,-612.5900148304
S22x5/19-1.2,-612.5882747642
S22x5/19-1.5,-612.5848511455
S22x5/19-2.0,-612.5819887773
S22x5/20-A,-413.3810802122
S22x5/20-B,-413.3810802116
S22x5/20-0.9,-826.7678748621
S22x5/20-1.0,-826.7741418625
S22x5/20-1.2,-826.7702853318
S22x5/20-1.5,-826.7653809915
S22x5/20-2.0,-826.763132467
S22x5/21-A,-413.3803720342
S22x5/21-B,-413.3803720343
S22x5/21-0.9,-826.7900574073
S22x5/21-1.0,-826.7925533915
S22x5/21-1.2,-826.7872079576
S22x5/21-1.5,-826.7767661949
S22x5/21-2.0,-826.767717303
S22x5/22-A,-231.2796613983
S22x5/22-B,-93.0806688167
S22x5/22-0.9,-324.3661240564
S22x5/22-1.0,-324.3670488498
S22x5/22-1.2,-324.3658712849
S22x5/22-1.5,-324.3635060909
S22x5/22-2.0,-324.3616472492
S66x8/01-A,-76.2020315873
S66x8/01-B,-76.2020237585
S66x8/01-090,-152.4120464911
S66x8/01-095,-152.4124236808
S66x8/01-100,-152.41234365
S66x8/01-105,-152.4119931207
S66x8/01-110,-152.4114959417
S66x8/01-125,-152.4097830716
S66x8/01-150,-152.4075248375
S66x8/01-200,-152.4054648173
S66x8/02-A,-76.202036847
S66x8/02-B,-115.3269210295
S66x8/02-090,-191.5376060771
S66x8/02-095,-191.5380688032
S66x8/02-100,-191.5380160778
S66x8/02-105,-191.5376535984
S66x8/02-110,-191.5371195524
S66x8/02-125,-191.5352350776
S66x8/02-150,-191.5327121876
S66x8/02-200,-191.5304185836
S66x8/03-A,-76.202041367
S66x8/03-B,-95.4863280448
S66x8/03-090,-171.6991500169
S66x8/03-095,-171.6996531689
S66x8/03-100,-171.6995794651
S66x8/03-105,-171.6991495124
S66x8/03-110,-171.6985147287
S66x8/03-125,-171.6962283661
S66x8/03-150,-171.6930490538
S66x8/03-200,-171.6900589247
S66x8/04-A,-76.2020413997
S66x8/04-B,-247.6162485659
S66x8/04-090,-323.8304451938
S66x8/04-095,-323.8310196864
S66x8/04-100,-323.8309793145
S66x8/04-105,-323.8305559416
S66x8/04-110,-323.829909416
