system,HSE06/def2-QZVP/Turbomole
S22x5/01-A,-467.0453900498
S22x5/01-B,-453.8829297514
S22x5/01-0.9,-920.9502813699
S22x5/01-1.0,-920.9520958507
S22x5/01-1.2,-920.9472373054
S22x5/01-1.5,-920.9386623123
S22x5/01-2.0,-920.9318242303
S22x5/02-A,-467.0448617156
S22x5/02-B,-453.8840113901
S22x5/02-0.9,-920.921318971
S22x5/02-1.0,-920.9329913659
S22x5/02-1.2,-920.9345440228
S22x5/02-1.5,-920.9316631831
S22x5/02-2.0,-920.9298114656
S22x5/03-A,-56.525434778
S22x5/03-B,-56.525434778
S22x5/03-0.9,-113.0544984264
S22x5/03-1.0,-113.0555174595
S22x5/03-1.2,-113.0543975187
S22x5/03-1.5,-113.0525741493
S22x5/03-2.0,-113.0514090992
S22x5/04-A,-76.3936624532
S22x5/04-B,-76.3937032314
S22x5/04-0.9,-152.7950292377
S22x5/04-1.0,-152.7957841445
S22x5/04-1.2,-152.7940397068
S22x5/04-1.5,-152.7911888611
S22x5/04-2.0,-152.7889349091
S22x5/05-A,-40.4819315865
S22x5/05-B,-40.4819315865
S22x5/05-0.9,-80.9631421519
S22x5/05-1.0,-80.9639786303
S22x5/05-1.2,-80.964013447
S22x5/05-1.5,-80.9638841231
S22x5/05-2.0,-80.9638642568
S22x5/06-A,-78.5256496039
S22x5/06-B,-78.5256496039
S22x5/06-0.9,-157.0499187263
S22x5/06-1.0,-157.0519063587
S22x5/06-1.2,-157.0519272293
S22x5/06-1.5,-157.0514253665
S22x5/06-2.0,-157.0513051552
S22x5/07-A,-78.5256399959
S22x5/07-B,-77.2691515566
S22x5/07-0.9,-155.7962214993
S22x5/07-1.0,-155.7967505846
S22x5/07-1.2,-155.796285187
S22x5/07-1.5,-155.7954662882
S22x5/07-2.0,-155.794986533
S22x5/08-A,-189.6679326893
S22x5/08-B,-189.6679326893
S22x5/08-0.9,-379.3644485452
S22x5/08-1.0,-379.3668806501
S22x5/08-1.2,-379.3610436331
S22x5/08-1.5,-379.3504229258
S22x5/08-2.0,-379.3416473008
S22x5/09-A,-169.8035720985
S22x5/09-B,-169.8035720985
S22x5/09-0.9,-339.6301771074
S22x5/09-1.0,-339.6322668878
S22x5/09-1.2,-339.6278478252
S22x5/09-1.5,-339.6197080316
S22x5/09-2.0,-339.6127233232
S22x5/10-A,-232.0808297299
S22x5/10-B,-76.3935900753
S22x5/10-0.9,-308.4775854202
S22x5/10-1.0,-308.4783699524
S22x5/10-1.2,-308.4777082918
S22x5/10-1.5,-308.4762750789
S22x5/10-2.0,-308.4751154529
S22x5/11-A,-232.0808528227
S22x5/11-B,-56.5253623951
S22x5/11-0.9,-288.6070511667
S22x5/11-1.0,-288.608073709
S22x5/11-1.2,-288.6079853803
S22x5/11-1.5,-288.6071758231
S22x5/11-2.0,-288.6065286571
S22x5/12-A,-232.0808769362
S22x5/12-B,-40.4819248973
S22x5/12-0.9,-272.5617845376
S22x5/12-1.0,-272.5630482648
S22x5/12-1.2,-272.5634411915
S22x5/12-1.5,-272.5631137469
S22x5/12-2.0,-272.5628605298
S22x5/13-A,-232.0808585068
S22x5/13-B,-232.0808506602
S22x5/13-0.9,-464.1604045015
S22x5/13-1.0,-464.1623323983
S22x5/13-1.2,-464.1630141075
S22x5/13-1.5,-464.1625009883
S22x5/13-2.0,-464.1619542672
S22x5/14-A,-232.0808719221
S22x5/14-B,-232.0808719222
S22x5/14-0.9,-464.1520965836
S22x5/14-1.0,-464.1591642841
S22x5/14-1.2,-464.1616525793
S22x5/14-1.5,-464.1616605558
S22x5/14-2.0,-464.161670588
S22x5/15-A,-232.0807840611
S22x5/15-B,-363.5748264358
S22x5/15-0.9,-595.6571334655
S22x5/15-1.0,-595.6596255625
S22x5/15-1.2,-595.6600795259
S22x5/15-1.5,-595.6585173971
S22x5/15-2.0,-595.6568255341
S22x5/16-A,-232.0808408961
S22x5/16-B,-363.5748072566
S22x5/16-0.9,-595.6445149744
S22x5/16-1.0,-595.6529089301
S22x5/16-1.2,-595.6557012298
S22x5/16-1.5,-595.6554280182
S22x5/16-2.0,-595.655361552
S22x5/17-A,-264.1415520142
S22x5/17-B,-264.1415416806
S22x5/17-0.9,-528.2751137642
S22x5/17-1.0,-528.2825346103
S22x5/17-1.2,-528.2844541637
S22x5/17-1.5,-528.2836381903
S22x5/17-2.0,-528.2831900464
