system,HSESOL/def2-QZVP/ORCA5.0.1
S22x5/01-A,-465.3672290311
S22x5/01-B,-452.2905548488
S22x5/01-0.9,-917.68282729
S22x5/01-1.0,-917.6833702127
S22x5/01-1.2,-917.6771807329
S22x5/01-1.5,-917.6680259879
S22x5/01-2.0,-917.6612343517
S22x5/02-A,-465.366543387
S22x5/02-B,-452.2914441761
S22x5/02-0.9,-917.6559846016
S22x5/02-1.0,-917.664059817
S22x5/02-1.2,-917.6633500084
S22x5/02-1.5,-917.6606216494
S22x5/02-2.0,-917.6589217461
S22x5/03-A,-56.3124365813
S22x5/03-B,-56.3124365814
S22x5/03-0.9,-112.6291840047
S22x5/03-1.0,-112.6297760806
S22x5/03-1.2,-112.6283516956
S22x5/03-1.5,-112.6265403336
S22x5/03-2.0,-112.6254198432
S22x5/04-A,-76.14967567
S22x5/04-B,-76.1497088059
S22x5/04-0.9,-152.3079079858
S22x5/04-1.0,-152.3082281535
S22x5/04-1.2,-152.3061034659
S22x5/04-1.5,-152.3031481895
S22x5/04-2.0,-152.3009586505
S22x5/05-A,-40.2947772969
S22x5/05-B,-40.2947772969
S22x5/05-0.9,-80.5888210395
S22x5/05-1.0,-80.5895243988
S22x5/05-1.2,-80.5896408879
S22x5/05-1.5,-80.5895709556
S22x5/05-2.0,-80.5895551977
S22x5/06-A,-78.1899384023
S22x5/06-B,-78.189938402
S22x5/06-0.9,-156.379216301
S22x5/06-1.0,-156.3805686038
S22x5/06-1.2,-156.3803625383
S22x5/06-1.5,-156.3799961406
S22x5/06-2.0,-156.3798830729
S22x5/07-A,-78.189925328
S22x5/07-B,-76.9497511339
S22x5/07-0.9,-155.141369659
S22x5/07-1.0,-155.1416885135
S22x5/07-1.2,-155.1411162974
S22x5/07-1.5,-155.1403415021
S22x5/07-2.0,-155.1398779176
S22x5/08-A,-189.0540443069
S22x5/08-B,-189.0540443068
S22x5/08-0.9,-378.1405449028
S22x5/08-1.0,-378.1415156612
S22x5/08-1.2,-378.1340650291
S22x5/08-1.5,-378.1226555845
S22x5/08-2.0,-378.1137870832
S22x5/09-A,-169.2208588641
S22x5/09-B,-169.2208588641
S22x5/09-0.9,-338.4675535651
S22x5/09-1.0,-338.4684419267
S22x5/09-1.2,-338.4628369467
S22x5/09-1.5,-338.4541940469
