system,LC-BPW91/def2-QZVP/Gaussian
S22x5/01-A,-466.412276651
S22x5/01-B,-453.318606529
S22x5/01-0.9,-919.756098142
S22x5/01-1.0,-919.756828421
S22x5/01-1.2,-919.750619382
S22x5/01-1.5,-919.741192145
S22x5/01-2.0,-919.734290561
S22x5/02-A,-466.41083664
S22x5/02-B,-453.31951276
S22x5/02-0.9,-919.733897732
S22x5/02-1.0,-919.739996562
S22x5/02-1.2,-919.736446262
S22x5/02-1.5,-919.732877826
S22x5/02-2.0,-919.73130035
S22x5/03-A,-56.4624886041
S22x5/03-B,-56.4624886041
S22x5/03-0.9,-112.929374749
S22x5/03-1.0,-112.929998486
S22x5/03-1.2,-112.928461145
S22x5/03-1.5,-112.92660496
S22x5/03-2.0,-112.925529202
S22x5/04-A,-76.3312999859
S22x5/04-B,-76.3313535906
S22x5/04-0.9,-152.671654678
S22x5/04-1.0,-152.671872747
S22x5/04-1.2,-152.669558397
S22x5/04-1.5,-152.666465383
S22x5/04-2.0,-152.664277883
S22x5/05-A,-40.4182833857
S22x5/05-B,-40.4182833857
S22x5/05-0.9,-80.8361134335
S22x5/05-1.0,-80.8365461745
S22x5/05-1.2,-80.836563124
S22x5/05-1.5,-80.8365628584
S22x5/05-2.0,-80.8365657074
S22x5/06-A,-78.3922399541
S22x5/06-B,-78.3922399541
S22x5/06-0.9,-156.784682052
S22x5/06-1.0,-156.785546885
S22x5/06-1.2,-156.784890167
S22x5/06-1.5,-156.78454722
S22x5/06-2.0,-156.78448552
S22x5/07-A,-78.3922198421
S22x5/07-B,-77.1318737688
S22x5/07-0.9,-155.525643967
S22x5/07-1.0,-155.525977484
S22x5/07-1.2,-155.52540111
S22x5/07-1.5,-155.524693337
S22x5/07-2.0,-155.5242912
S22x5/08-A,-189.477463153
S22x5/08-B,-189.477463153
S22x5/08-0.9,-378.989169128
S22x5/08-1.0,-378.989963558
S22x5/08-1.2,-378.982020173
S22x5/08-1.5,-378.969967655
S22x5/08-2.0,-378.960721137
S22x5/09-A,-169.612592362
S22x5/09-B,-169.612592362
S22x5/09-0.9,-339.251651269
S22x5/09-1.0,-339.252684575
S22x5/09-1.2,-339.246937544
S22x5/09-1.5,-339.237915246
S22x5/09-2.0,-339.230831584
S22x5/10-A,-231.687148353
S22x5/10-B,-76.331153218
S22x5/10-0.9,-308.023190642
S22x5/10-1.0,-308.023199629
S22x5/10-1.2,-308.02177905
S22x5/10-1.5,-308.020177773
S22x5/10-2.0,-308.019076209
S22x5/11-A,-231.687226512
S22x5/11-B,-56.4623036125
S22x5/11-0.9,-288.15177625
S22x5/11-1.0,-288.152099402
S22x5/11-1.2,-288.151341512
S22x5/11-1.5,-288.150432123
S22x5/11-2.0,-288.149874399
S22x5/12-A,-231.687311092
S22x5/12-B,-40.4183130064
S22x5/12-0.9,-272.105863772
S22x5/12-1.0,-272.106456269
S22x5/12-1.2,-272.106213403
S22x5/12-1.5,-272.105827205
S22x5/12-2.0,-272.105675613
S22x5/13-A,-231.687258154
S22x5/13-B,-231.687223888
S22x5/13-0.9,-463.375227362
S22x5/13-1.0,-463.376230892
S22x5/13-1.2,-463.375942172
S22x5/13-1.5,-463.375156683
S22x5/13-2.0,-463.37472503
S22x5/14-A,-231.687313957
S22x5/14-B,-231.687313957
S22x5/14-0.9,-463.369140794
S22x5/14-1.0,-463.373746957
S22x5/14-1.2,-463.374349413
S22x5/14-1.5,-463.37435475
S22x5/14-2.0,-463.374570989
S22x5/15-A,-231.687017702
S22x5/15-B,-362.995694755
S22x5/15-0.9,-594.68727449
S22x5/15-1.0,-594.688566782
S22x5/15-1.2,-594.687635486
S22x5/15-1.5,-594.685554186
S22x5/15-2.0,-594.68396407
S22x5/16-A,-231.687225742
S22x5/16-B,-362.995712914
S22x5/16-0.9,-594.677728622
S22x5/16-1.0,-594.683022304
S22x5/16-1.2,-594.682893314
S22x5/16-1.5,-594.682261617
S22x5/16-2.0,-594.682557305
S22x5/17-A,-263.747390186
S22x5/17-B,-263.747373978
S22x5/17-0.9,-527.491786883
S22x5/17-1.0,-527.496510014
S22x5/17-1.2,-527.496100858
S22x5/17-1.5,-527.495135349
S22x5/17-2.0,-527.494848964
S22x5/18-A,-322.87026447
S22x5/18-B,-303.003749077
S22x5/18-0.9,-625.900061043
S22x5/18-1.0,-625.901105003
S22x5/18-1.2,-625.895239436
S22x5/18-1.5,-625.885862065
S22x5/18-2.0,-625.878694485
S22x5/19-A,-306.822970578
S22x5/19-B,-306.822780914
S22x5/19-0.9,-613.654626916
S22x5/19-1.0,-613.655018062
S22x5/19-1.2,-613.652826105
S22x5/19-1.5,-613.64962589
S22x5/19-2.0,-613.647349285
S22x5/20-A,-414.088974557
S22x5/20-B,-414.088974557
S22x5/20-0.9,-828.182810018
S22x5/20-1.0,-828.187018302
S22x5/20-1.2,-828.183522835
S22x5/20-1.5,-828.180372711
S22x5/20-2.0,-828.178836636
S22x5/21-A,-414.088394737
S22x5/21-B,-414.088394737
S22x5/21-0.9,-828.209487756
S22x5/21-1.0,-828.210542147
S22x5/21-1.2,-828.203600085
S22x5/21-1.5,-828.192589983
S22x5/21-2.0,-828.183771008
S22x5/22-A,-231.687078703
S22x5/22-B,-93.2211005628
S22x5/22-0.9,-324.914989391
S22x5/22-1.0,-324.915195737
S22x5/22-1.2,-324.913456009
S22x5/22-1.5,-324.911159601
S22x5/22-2.0,-324.909508237
S66x8/01-A,-76.3313282713
S66x8/01-B,-76.3313003379
S66x8/01-090,-152.671799534
S66x8/01-095,-152.67183823
S66x8/01-100,-152.671494316
S66x8/01-105,-152.670942858
S66x8/01-110,-152.670296569
S66x8/01-125,-152.668353331
S66x8/01-150,-152.666053016
S66x8/01-200,-152.664045327
S66x8/02-A,-76.3313446676
S66x8/02-B,-115.53378339
S66x8/02-090,-191.875001894
S66x8/02-095,-191.87508441
S66x8/02-100,-191.874733185
S66x8/02-105,-191.874142197
S66x8/02-110,-191.873438287
S66x8/02-125,-191.871293047
S66x8/02-150,-191.868738057
S66x8/02-200,-191.866557864
S66x8/03-A,-76.3313761185
S66x8/03-B,-95.6710293311
S66x8/03-090,-172.0147239
S66x8/03-095,-172.014823354
S66x8/03-100,-172.014415907
S66x8/03-105,-172.013714606
S66x8/03-110,-172.0128642
S66x8/03-125,-172.010192056
S66x8/03-150,-172.006868939
S66x8/03-200,-172.00399011
S66x8/04-A,-76.3313710666
S66x8/04-B,-248.065564727
S66x8/04-090,-324.411068246
S66x8/04-095,-324.411152608
S66x8/04-100,-324.410712518
S66x8/04-105,-324.409970137
S66x8/04-110,-324.409073249
S66x8/04-125,-324.406235365
S66x8/04-150,-324.402631457
S66x8/04-200,-324.399010287
S66x8/05-A,-115.53395419
S66x8/05-B,-115.533809783
S66x8/05-090,-231.077425999
S66x8/05-095,-231.07763277
S66x8/05-100,-231.077372235
S66x8/05-105,-231.076846162
S66x8/05-110,-231.076187792
S66x8/05-125,-231.074103928
S66x8/05-150,-231.071549505
S66x8/05-200,-231.069339648
S66x8/06-A,-115.533769112
S66x8/06-B,-95.6710163343
S66x8/06-090,-211.217230011
S66x8/06-095,-211.217559282
S66x8/06-100,-211.217298484
S66x8/06-105,-211.216680393
S66x8/06-110,-211.21586861
S66x8/06-125,-211.213189
S66x8/06-150,-211.209734409
S66x8/06-200,-211.206718358
S66x8/07-A,-115.533830566
S66x8/07-B,-248.065333558
S66x8/07-090,-363.6128741
S66x8/07-095,-363.613127256
S66x8/07-100,-363.612806672
S66x8/07-105,-363.612143925
S66x8/07-110,-363.611297035
S66x8/07-125,-363.608517529
S66x8/07-150,-363.604459246
S66x8/07-200,-363.600822153
S66x8/08-A,-115.533979931
S66x8/08-B,-76.3313093796
S66x8/08-090,-191.874244707
S66x8/08-095,-191.87439255
S66x8/08-100,-191.874126455
S66x8/08-105,-191.873629743
S66x8/08-110,-191.873021482
S66x8/08-125,-191.871130911
S66x8/08-150,-191.868837639
