system,LC-DFTB2/ob2-1-1-base/dftb+
S22x5/01-A,-26.9287090675
S22x5/01-B,-26.600684918
S22x5/01-0.9,-53.5414691277
S22x5/01-1.0,-53.5476951825
S22x5/01-1.2,-53.542137725
S22x5/01-1.5,-53.5341895893
S22x5/01-2.0,-53.5310586142
S22x5/02-A,-26.929301757
S22x5/02-B,-26.6009025061
S22x5/02-0.9,-53.5373926678
S22x5/02-1.0,-53.5376438315
S22x5/02-1.2,-53.5343104627
S22x5/02-1.5,-53.5322522538
S22x5/02-2.0,-53.5310053837
S22x5/03-A,-4.2050535051
S22x5/03-B,-4.2050535051
S22x5/03-0.9,-8.4111923375
S22x5/03-1.0,-8.4120673029
S22x5/03-1.2,-8.411034036
S22x5/03-1.5,-8.41049286
S22x5/03-2.0,-8.4102443767
S22x5/04-A,-4.7594329936
S22x5/04-B,-4.7594428112
S22x5/04-0.9,-9.5237436616
S22x5/04-1.0,-9.5252424119
S22x5/04-1.2,-9.5228452013
S22x5/04-1.5,-9.5206942243
S22x5/04-2.0,-9.5197438502
S22x5/05-A,-3.8875645076
S22x5/05-B,-3.8875645076
S22x5/05-0.9,-7.7751409867
S22x5/05-1.0,-7.7751170368
S22x5/05-1.2,-7.7751222724
S22x5/05-1.5,-7.7751271315
S22x5/05-2.0,-7.7751287215
S22x5/06-A,-5.9335177618
S22x5/06-B,-5.9335177618
S22x5/06-0.9,-11.8687853923
S22x5/06-1.0,-11.8677709285
S22x5/06-1.2,-11.8671163901
S22x5/06-1.5,-11.867052264
S22x5/06-2.0,-11.8670381518
S22x5/07-A,-5.9335095331
S22x5/07-B,-4.987324581
S22x5/07-0.9,-10.9229581098
S22x5/07-1.0,-10.9217724125
S22x5/07-1.2,-10.9210869634
S22x5/07-1.5,-10.9209504124
S22x5/07-2.0,-10.9208763875
S22x5/08-A,-10.7228796671
S22x5/08-B,-10.7228796671
S22x5/08-0.9,-21.4616441834
S22x5/08-1.0,-21.4720021636
S22x5/08-1.2,-21.4679630867
S22x5/08-1.5,-21.4559634322
S22x5/08-2.0,-21.4499022104
S22x5/09-A,-10.1498932694
S22x5/09-B,-10.1498932694
S22x5/09-0.9,-20.3176902512
S22x5/09-1.0,-20.3229086033
S22x5/09-1.2,-20.316481478
S22x5/09-1.5,-20.3081735031
S22x5/09-2.0,-20.3038727456
S22x5/10-A,-15.2210508198
S22x5/10-B,-4.7592096469
S22x5/10-0.9,-19.9848800359
S22x5/10-1.0,-19.9830858585
S22x5/10-1.2,-19.9813925297
S22x5/10-1.5,-19.980870917
S22x5/10-2.0,-19.9805399289
S22x5/11-A,-15.2210152296
S22x5/11-B,-4.204937216
S22x5/11-0.9,-19.4285461442
S22x5/11-1.0,-19.4273389194
S22x5/11-1.2,-19.4263976674
S22x5/11-1.5,-19.4261753469
S22x5/11-2.0,-19.4260435623
S22x5/12-A,-15.2209848737
S22x5/12-B,-3.88752336
S22x5/12-0.9,-19.1099311388
S22x5/12-1.0,-19.1091263543
S22x5/12-1.2,-19.1086033613
S22x5/12-1.5,-19.1085406929
S22x5/12-2.0,-19.108519049
S22x5/13-A,-15.2210100509
S22x5/13-B,-15.2210285076
S22x5/13-0.9,-30.4441579157
