system,Lh07s-SVWN/def2-QZVP/TM
S22x5/01-A,-465.4137847876
S22x5/01-B,-452.349530695
S22x5/01-0.9,-917.7755914044
S22x5/01-1.0,-917.7786295935
S22x5/01-1.2,-917.7762067944
S22x5/01-1.5,-917.7705072607
S22x5/01-2.0,-917.7660998276
S22x5/02-A,-465.4131311815
S22x5/02-B,-452.3505299096
S22x5/02-0.9,-917.7334195893
S22x5/02-1.0,-917.7517164743
S22x5/02-1.2,-917.7621259455
S22x5/02-1.5,-917.7650524011
S22x5/02-2.0,-917.764580303
S22x5/03-A,-56.3506512846
S22x5/03-B,-56.3506512847
S22x5/03-0.9,-112.7001678898
S22x5/03-1.0,-112.7023073006
S22x5/03-1.2,-112.7028978924
S22x5/03-1.5,-112.7024533525
S22x5/03-2.0,-112.701829869
S22x5/04-A,-76.1734762
S22x5/04-B,-76.1735046134
S22x5/04-0.9,-152.350605166
S22x5/04-1.0,-152.3520511155
S22x5/04-1.2,-152.3515467719
S22x5/04-1.5,-152.3499442076
S22x5/04-2.0,-152.3484908077
S22x5/05-A,-40.3503852396
S22x5/05-B,-40.3503852394
S22x5/05-0.9,-80.6963813147
S22x5/05-1.0,-80.6986899806
S22x5/05-1.2,-80.7003337207
S22x5/05-1.5,-80.7007500777
S22x5/05-2.0,-80.7007713699
S22x5/06-A,-78.2508930277
S22x5/06-B,-78.2508930278
S22x5/06-0.9,-156.4936283985
S22x5/06-1.0,-156.4978768264
S22x5/06-1.2,-156.5007688824
S22x5/06-1.5,-156.5017534983
S22x5/06-2.0,-156.5017896832
S22x5/07-A,-78.2508836654
S22x5/07-B,-76.9930516555
S22x5/07-0.9,-155.2421801488
S22x5/07-1.0,-155.2435132448
S22x5/07-1.2,-155.2442476451
S22x5/07-1.5,-155.2443164067
S22x5/07-2.0,-155.24411636
S22x5/08-A,-189.0771452011
S22x5/08-B,-189.0771452012
S22x5/08-0.9,-378.1751866517
S22x5/08-1.0,-378.1782918164
S22x5/08-1.2,-378.1740631449
S22x5/08-1.5,-378.1657440927
S22x5/08-2.0,-378.1592390191
S22x5/09-A,-169.2577728047
