system,Lh12ct-SsifPW92/def2-QZVP/TM
S22x5/01-A,-465.5711873775
S22x5/01-B,-452.4881060289
S22x5/01-0.9,-918.0674222596
S22x5/01-1.0,-918.0716265418
S22x5/01-1.2,-918.0707783269
S22x5/01-1.5,-918.0660086595
S22x5/01-2.0,-918.0618535653
S22x5/02-A,-465.5703172293
S22x5/02-B,-452.4892742617
S22x5/02-0.9,-918.0280574613
S22x5/02-1.0,-918.0477325468
S22x5/02-1.2,-918.0582966942
S22x5/02-1.5,-918.0606534962
S22x5/02-2.0,-918.0604572814
S22x5/03-A,-56.3597486552
S22x5/03-B,-56.3597486553
S22x5/03-0.9,-112.7164602606
S22x5/03-1.0,-112.7193309449
S22x5/03-1.2,-112.7205877391
S22x5/03-1.5,-112.720400787
S22x5/03-2.0,-112.719962508
S22x5/04-A,-76.1942366199
S22x5/04-B,-76.1943018361
S22x5/04-0.9,-152.3902101856
S22x5/04-1.0,-152.3922425106
S22x5/04-1.2,-152.3924444058
S22x5/04-1.5,-152.3912149388
S22x5/04-2.0,-152.3899454185
S22x5/05-A,-40.3459188407
S22x5/05-B,-40.3459188407
S22x5/05-0.9,-80.6867507519
S22x5/05-1.0,-80.6893505194
S22x5/05-1.2,-80.6911532268
S22x5/05-1.5,-80.6917343648
S22x5/05-2.0,-80.6918343831
S22x5/06-A,-78.2639162908
S22x5/06-B,-78.2639162909
S22x5/06-0.9,-156.518322826
S22x5/06-1.0,-156.5232718323
S22x5/06-1.2,-156.5264928863
S22x5/06-1.5,-156.5276157406
S22x5/06-2.0,-156.5278252146
S22x5/07-A,-78.26391115
S22x5/07-B,-77.0192589604
S22x5/07-0.9,-155.2801875467
S22x5/07-1.0,-155.2819320223
S22x5/07-1.2,-155.2830607879
S22x5/07-1.5,-155.2833491323
S22x5/07-2.0,-155.2833126816
S22x5/08-A,-189.1352851271
S22x5/08-B,-189.1352851275
S22x5/08-0.9,-378.2875813576
S22x5/08-1.0,-378.2917442851
S22x5/08-1.2,-378.28904666
S22x5/08-1.5,-378.2816972993
S22x5/08-2.0,-378.2753909044
S22x5/09-A,-169.3057665935
S22x5/09-B,-169.3057665936
S22x5/09-0.9,-338.6227206505
S22x5/09-1.0,-338.6269409825
S22x5/09-1.2,-338.6261241143
S22x5/09-1.5,-338.6212567614
S22x5/09-2.0,-338.6165101502
S22x5/10-A,-231.297565096
S22x5/10-B,-76.1940881932
S22x5/10-0.9,-307.4889281815
S22x5/10-1.0,-307.4911367271
S22x5/10-1.2,-307.492474901
S22x5/10-1.5,-307.4926115376
S22x5/10-2.0,-307.4922454883
S22x5/11-A,-231.2975555826
S22x5/11-B,-56.3595723817
S22x5/11-0.9,-287.6521468766
S22x5/11-1.0,-287.6546315447
S22x5/11-1.2,-287.6565299159
S22x5/11-1.5,-287.657238972
S22x5/11-2.0,-287.6573341603
S22x5/12-A,-231.2975509356
S22x5/12-B,-40.3458831321
S22x5/12-0.9,-271.6363197509
S22x5/12-1.0,-271.6391566113
S22x5/12-1.2,-271.6416489377
S22x5/12-1.5,-271.6428832281
S22x5/12-2.0,-271.643373292
S22x5/13-A,-231.297555147
S22x5/13-B,-231.2975617675
S22x5/13-0.9,-462.5860647207
S22x5/13-1.0,-462.5898280525
S22x5/13-1.2,-462.5930864563
S22x5/13-1.5,-462.5945971148
S22x5/13-2.0,-462.5951465355
S22x5/14-A,-231.2975411351
S22x5/14-B,-231.2975411354
S22x5/14-0.9,-462.5726329764
S22x5/14-1.0,-462.5841698853
S22x5/14-1.2,-462.5915653708
S22x5/14-1.5,-462.5941985775
S22x5/14-2.0,-462.5949691961
S22x5/15-A,-231.2975772389
