system,Lh12ct-SsirPW92/def2-QZVP/TM
S22x5/01-A,-465.6952604092
S22x5/01-B,-452.6076312338
S22x5/01-0.9,-918.3119925169
S22x5/01-1.0,-918.3161655541
S22x5/01-1.2,-918.3151023543
S22x5/01-1.5,-918.3099843108
S22x5/01-2.0,-918.3055405548
S22x5/02-A,-465.6944014746
S22x5/02-B,-452.608767991
S22x5/02-0.9,-918.2738263985
S22x5/02-1.0,-918.2929842803
S22x5/02-1.2,-918.3026434676
S22x5/02-1.5,-918.3043992286
S22x5/02-2.0,-918.3040425645
S22x5/03-A,-56.3786059297
S22x5/03-B,-56.3786059298
S22x5/03-0.9,-112.7547630998
S22x5/03-1.0,-112.7575075993
S22x5/03-1.2,-112.7585473386
S22x5/03-1.5,-112.7581914933
S22x5/03-2.0,-112.7576835815
S22x5/04-A,-76.2120966769
S22x5/04-B,-76.2121555234
S22x5/04-0.9,-152.4264594015
S22x5/04-1.0,-152.4284137917
S22x5/04-1.2,-152.4284480715
S22x5/04-1.5,-152.427045043
S22x5/04-2.0,-152.4256744525
S22x5/05-A,-40.3669569563
S22x5/05-B,-40.3669569561
S22x5/05-0.9,-80.7292883982
S22x5/05-1.0,-80.731701845
S22x5/05-1.2,-80.7333131765
S22x5/05-1.5,-80.7338228609
S22x5/05-2.0,-80.7339111318
S22x5/06-A,-78.2956154845
S22x5/06-B,-78.2956154845
S22x5/06-0.9,-156.5824764569
S22x5/06-1.0,-156.5871900582
S22x5/06-1.2,-156.5900830292
S22x5/06-1.5,-156.5910451489
S22x5/06-2.0,-156.5912248207
S22x5/07-A,-78.2956101569
S22x5/07-B,-77.0456257078
S22x5/07-0.9,-155.338630427
S22x5/07-1.0,-155.3402861731
S22x5/07-1.2,-155.3412710998
S22x5/07-1.5,-155.3414549668
S22x5/07-2.0,-155.3413809009
S22x5/08-A,-189.178799936
S22x5/08-B,-189.1787999363
S22x5/08-0.9,-378.375430626
S22x5/08-1.0,-378.3796138233
S22x5/08-1.2,-378.3767750246
S22x5/08-1.5,-378.3691162073
S22x5/08-2.0,-378.3625171209
S22x5/09-A,-169.3498416525
S22x5/09-B,-169.3498416523
S22x5/09-0.9,-338.7117354632
S22x5/09-1.0,-338.7159302367
S22x5/09-1.2,-338.7149055293
S22x5/09-1.5,-338.7097149778
S22x5/09-2.0,-338.7047204724
S22x5/10-A,-231.3756580783
S22x5/10-B,-76.2119504638
S22x5/10-0.9,-307.5854245876
S22x5/10-1.0,-307.5875212822
S22x5/10-1.2,-307.5886641719
S22x5/10-1.5,-307.5886382373
S22x5/10-2.0,-307.5882023107
S22x5/11-A,-231.3756496705
S22x5/11-B,-56.378431661
S22x5/11-0.9,-287.7496417166
S22x5/11-1.0,-287.75201077
S22x5/11-1.2,-287.7537140741
S22x5/11-1.5,-287.7542658942
S22x5/11-2.0,-287.7542937643
S22x5/12-A,-231.3756457566
S22x5/12-B,-40.366921665
S22x5/12-0.9,-271.7360180047
S22x5/12-1.0,-271.7387351162
S22x5/12-1.2,-271.7410260848
S22x5/12-1.5,-271.7420979379
S22x5/12-2.0,-271.7425168804
S22x5/13-A,-231.3756488883
S22x5/13-B,-231.3756551301
S22x5/13-0.9,-462.7429287282
S22x5/13-1.0,-462.7465697252
S22x5/13-1.2,-462.7496005589
S22x5/13-1.5,-462.7509034186
S22x5/13-2.0,-462.7513491694
S22x5/14-A,-231.3756362803
S22x5/14-B,-231.3756362805
S22x5/14-0.9,-462.7300116061
S22x5/14-1.0,-462.7412393469
S22x5/14-1.2,-462.7481387298
S22x5/14-1.5,-462.7504732852
S22x5/14-2.0,-462.7511643452
S22x5/15-A,-231.3756680917
S22x5/15-B,-362.4786358536
S22x5/15-0.9,-593.846950025
S22x5/15-1.0,-593.8514141401
S22x5/15-1.2,-593.8546951054
S22x5/15-1.5,-593.8554563479
S22x5/15-2.0,-593.8551777859
S22x5/16-A,-231.375638928
S22x5/16-B,-362.4785554614
S22x5/16-0.9,-593.8282969703
S22x5/16-1.0,-593.8414915018
S22x5/16-1.2,-593.849749159
S22x5/16-1.5,-593.852677886
S22x5/16-2.0,-593.8538066285
S22x5/17-A,-263.3691928299
S22x5/17-B,-263.3691899241
S22x5/17-0.9,-526.7182796709
S22x5/17-1.0,-526.7299380975
S22x5/17-1.2,-526.7364031765
S22x5/17-1.5,-526.7381317007
S22x5/17-2.0,-526.7384362603
S22x5/18-A,-322.3920924381
S22x5/18-B,-302.5618341593
S22x5/18-0.9,-624.9653378822
S22x5/18-1.0,-624.9693995366
S22x5/18-1.2,-624.9682033529
S22x5/18-1.5,-624.9628235069
S22x5/18-2.0,-624.957942085
S22x5/19-A,-306.3802918421
S22x5/19-B,-306.3803178092
S22x5/19-0.9,-612.7570684821
S22x5/19-1.0,-612.7602859361
S22x5/19-1.2,-612.7620520533
S22x5/19-1.5,-612.7620199056
S22x5/19-2.0,-612.7615450047
S22x5/20-A,-413.4408731552
S22x5/20-B,-413.4408731553
S22x5/20-0.9,-826.8623407243
S22x5/20-1.0,-826.8768668811
S22x5/20-1.2,-826.8830523316
S22x5/20-1.5,-826.8834399763
S22x5/20-2.0,-826.8826282596
S22x5/21-A,-413.4401127358
S22x5/21-B,-413.4401127359
S22x5/21-0.9,-826.8983161755
S22x5/21-1.0,-826.902391551
S22x5/21-1.2,-826.9001069728
S22x5/21-1.5,-826.8930601112
S22x5/21-2.0,-826.8864773381
S22x5/22-A,-231.3756635459
S22x5/22-B,-93.1002959113
S22x5/22-0.9,-324.4734090978
S22x5/22-1.0,-324.476064369
S22x5/22-1.2,-324.4776337961
S22x5/22-1.5,-324.4775925872
S22x5/22-2.0,-324.4769668871
S66x8/01-A,-76.2121340457
S66x8/01-B,-76.2121004967
S66x8/01-090,-152.4271665561
S66x8/01-095,-152.4280853395
S66x8/01-100,-152.4285124178
S66x8/01-105,-152.4286333875
S66x8/01-110,-152.4285688093
S66x8/01-125,-152.4279239808
S66x8/01-150,-152.4267726816
S66x8/01-200,-152.425471479
S66x8/02-A,-76.2121501155
S66x8/02-B,-115.3538551921
S66x8/02-090,-191.568472346
S66x8/02-095,-191.5695686029
S66x8/02-100,-191.5701093275
S66x8/02-105,-191.5702995514
S66x8/02-110,-191.5702740754
S66x8/02-125,-191.5696552981
S66x8/02-150,-191.5684803487
S66x8/02-200,-191.5671772944
S66x8/03-A,-76.2121809449
S66x8/03-B,-95.5259361779
S66x8/03-090,-171.743144932
S66x8/03-095,-171.7441494027
S66x8/03-100,-171.7445526931
S66x8/03-105,-171.7445749266
S66x8/03-110,-171.744364837
S66x8/03-125,-171.743184521
S66x8/03-150,-171.7413006264
S66x8/03-200,-171.7394076043
S66x8/04-A,-76.2121758658
S66x8/04-B,-247.6766898484
S66x8/04-090,-323.8933339803
S66x8/04-095,-323.8945763179
S66x8/04-100,-323.8951775357
S66x8/04-105,-323.8953663689
S66x8/04-110,-323.895296342
S66x8/04-125,-323.8944098914
S66x8/04-150,-323.8927225967
S66x8/04-200,-323.8905751767
S66x8/05-A,-115.3536348358
S66x8/05-B,-115.3538810929
S66x8/05-090,-230.7097328454
S66x8/05-095,-230.7109488387
S66x8/05-100,-230.7115781819
S66x8/05-105,-230.7118333705
S66x8/05-110,-230.7118546183
S66x8/05-125,-230.7113057785
S66x8/05-150,-230.7101492892
S66x8/05-200,-230.7088378505
S66x8/06-A,-115.3533400049
S66x8/06-B,-95.5259490986
S66x8/06-090,-210.8829509903
S66x8/06-095,-210.8844294017
S66x8/06-100,-210.8851805972
S66x8/06-105,-210.8854578101
S66x8/06-110,-210.8854325935
S66x8/06-125,-210.8845492771
S66x8/06-150,-210.882794604
S66x8/06-200,-210.8809217439
S66x8/07-A,-115.3534817669
S66x8/07-B,-247.6767215652
S66x8/07-090,-363.0340528887
S66x8/07-095,-363.0354701576
S66x8/07-100,-363.0361992169
S66x8/07-105,-363.0364803255
S66x8/07-110,-363.0364753629
S66x8/07-125,-363.0356848877
S66x8/07-150,-363.0338104334
S66x8/07-200,-363.0316397942
S66x8/08-A,-115.353668572
S66x8/08-B,-76.2121093961
S66x8/08-090,-191.5684184899
S66x8/08-095,-191.569451933
S66x8/08-100,-191.5699639122
S66x8/08-105,-191.5701470795
S66x8/08-110,-191.5701275308
S66x8/08-125,-191.5695539921
S66x8/08-150,-191.5684354797
S66x8/08-200,-191.5671522404
S66x8/09-A,-95.5258297403
S66x8/09-B,-115.3538356228
S66x8/09-090,-210.8771781543
S66x8/09-095,-210.878443755
S66x8/09-100,-210.8792520898
S66x8/09-105,-210.8797637862
S66x8/09-110,-210.8800817288
S66x8/09-125,-210.8804486779
S66x8/09-150,-210.8804397004
S66x8/09-200,-210.8801698814
S66x8/10-A,-95.525868056
S66x8/10-B,-95.525909082
S66x8/10-090,-191.048385561
S66x8/10-095,-191.0500819278
S66x8/10-100,-191.051158446
S66x8/10-105,-191.0518294046
S66x8/10-110,-191.0522354355
S66x8/10-125,-191.0526650277
S66x8/10-150,-191.0525617209
S66x8/10-200,-191.0522017612
S66x8/11-A,-95.5256921903
S66x8/11-B,-247.6769138786
S66x8/11-090,-343.1989730461
S66x8/11-095,-343.2008418632
S66x8/11-100,-343.2020598544
S66x8/11-105,-343.2028409185
S66x8/11-110,-343.2033280702
S66x8/11-125,-343.2039222001
S66x8/11-150,-343.2036876688
S66x8/11-200,-343.2032750895
S66x8/12-A,-95.5259297981
S66x8/12-B,-76.2115575673
S66x8/12-090,-171.7422277646
S66x8/12-095,-171.743488145
S66x8/12-100,-171.744071042
S66x8/12-105,-171.7442197227
S66x8/12-110,-171.7440988157
S66x8/12-125,-171.7430613836
S66x8/12-150,-171.741257067
S66x8/12-200,-171.7394026579
S66x8/13-A,-247.6769179616
S66x8/13-B,-115.3538887407
S66x8/13-090,-363.0305647675
S66x8/13-095,-363.032157945
S66x8/13-100,-363.033132324
S66x8/13-105,-363.0336975018
S66x8/13-110,-363.0339925291
S66x8/13-125,-363.0340686228
S66x8/13-150,-363.0334670309
S66x8/13-200,-363.0324451394
S66x8/14-A,-247.6766895932
S66x8/14-B,-95.5259129397
S66x8/14-090,-343.2037085651
S66x8/14-095,-343.2054261089
S66x8/14-100,-343.2064363427
S66x8/14-105,-343.2069748744
S66x8/14-110,-343.2072018443
S66x8/14-125,-343.2069691011
S66x8/14-150,-343.2058862956
S66x8/14-200,-343.2044323241
S66x8/15-A,-247.6766082979
S66x8/15-B,-247.6766853353
S66x8/15-090,-495.3545167506
S66x8/15-095,-495.3562961254
S66x8/15-100,-495.3573746861
S66x8/15-105,-495.3579813887
S66x8/15-110,-495.3582708039
S66x8/15-125,-495.3581792857
S66x8/15-150,-495.3571914368
S66x8/15-200,-495.3554703871
S66x8/16-A,-247.67677295
S66x8/16-B,-76.2121169448
S66x8/16-090,-323.890208011
S66x8/16-095,-323.8914466828
S66x8/16-100,-323.8921594195
S66x8/16-105,-323.8925311105
S66x8/16-110,-323.8926829593
S66x8/16-125,-323.8925091566
S66x8/16-150,-323.8917317823
S66x8/16-200,-323.890576459
S66x8/17-A,-413.4403054841
S66x8/17-B,-413.4404690086
S66x8/17-090,-826.8943456424
S66x8/17-095,-826.8968724438
S66x8/17-100,-826.8980001474
S66x8/17-105,-826.8982115432
S66x8/17-110,-826.897837608
S66x8/17-125,-826.8951501394
S66x8/17-150,-826.890321274
S66x8/17-200,-826.8850912109
S66x8/18-A,-76.2121580577
S66x8/18-B,-247.3744138503
S66x8/18-090,-323.5910391858
S66x8/18-095,-323.5921203376
S66x8/18-100,-323.5925895351
S66x8/18-105,-323.5926697841
S66x8/18-110,-323.592511535
S66x8/18-125,-323.5914581846
S66x8/18-150,-323.5897063321
S66x8/18-200,-323.5879066763
S66x8/19-A,-115.3533557599
S66x8/19-B,-247.3744101783
S66x8/19-090,-362.7315340034
S66x8/19-095,-362.7328869345
S66x8/19-100,-362.7335492622
S66x8/19-105,-362.7337635328
S66x8/19-110,-362.7339255376
S66x8/19-125,-362.732746377
S66x8/19-150,-362.7312137809
S66x8/19-200,-362.7293393099
S66x8/20-A,-228.3546204091
S66x8/20-B,-228.3546202569
