system,Lh14t-calPBE/def2-QZVP/TM
S22x5/01-A,-466.6688138014
S22x5/01-B,-453.5309863825
S22x5/01-0.9,-920.2188561561
S22x5/01-1.0,-920.2215712147
S22x5/01-1.2,-920.2177397449
S22x5/01-1.5,-920.2096254939
S22x5/01-2.0,-920.2029841979
S22x5/02-A,-466.6679933425
S22x5/02-B,0
S22x5/02-0.9,-920.1908809564
S22x5/02-1.0,-920.2037892852
S22x5/02-1.2,-920.2052596569
S22x5/02-1.5,-920.2022211721
S22x5/02-2.0,-920.2009106703
S22x5/03-A,-56.4911696776
S22x5/03-B,-56.4911696776
S22x5/03-0.9,-112.9846007877
S22x5/03-1.0,-112.9861227936
S22x5/03-1.2,-112.9853880277
S22x5/03-1.5,-112.9837726561
S22x5/03-2.0,-112.9828473293
S22x5/04-A,-76.346044944
S22x5/04-B,-76.3460888203
S22x5/04-0.9,-152.6986141837
S22x5/04-1.0,-152.6997570757
S22x5/04-1.2,-152.6984117086
S22x5/04-1.5,-152.6957225081
S22x5/04-2.0,-152.6936467379
S22x5/05-A,-40.4621892728
S22x5/05-B,-40.4621892728
S22x5/05-0.9,-80.923002078
S22x5/05-1.0,-80.9239644198
S22x5/05-1.2,-80.9241825665
S22x5/05-1.5,-80.9243389867
S22x5/05-2.0,-80.9243763703
S22x5/06-A,-78.4739372677
S22x5/06-B,-78.4739372677
S22x5/06-0.9,-156.9453068342
S22x5/06-1.0,-156.9477570034
S22x5/06-1.2,-156.9479874453
S22x5/06-1.5,-156.9477282298
S22x5/06-2.0,-156.9478719884
S22x5/07-A,-78.4739316966
S22x5/07-B,-77.2134483024
S22x5/07-0.9,-155.6878831204
S22x5/07-1.0,-155.6886573754
S22x5/07-1.2,-155.6884282072
S22x5/07-1.5,-155.6878327679
S22x5/07-2.0,-155.6875413755
S22x5/08-A,-189.5319497467
S22x5/08-B,-189.5319497467
S22x5/08-0.9,-379.0902618685
S22x5/08-1.0,-379.0934989429
S22x5/08-1.2,-379.0885836449
S22x5/08-1.5,-379.0783013046
S22x5/08-2.0,-379.06948049
S22x5/09-A,-169.6808727617
S22x5/09-B,-169.6808727617
S22x5/09-0.9,-339.3823960357
S22x5/09-1.0,-339.385344285
S22x5/09-1.2,-339.3818802589
S22x5/09-1.5,-339.3740256525
S22x5/09-2.0,-339.3671569749
S22x5/10-A,-231.8983181409
S22x5/10-B,-76.345910119
S22x5/10-0.9,-308.2467511151
