system,Lrc-wPBEh/def2-QZVP/Turbomole
S22x5/01-A,-467.0667204809
S22x5/01-B,-453.9021845195
S22x5/01-0.9,-920.9891163428
S22x5/01-1.0,-920.9910910697
S22x5/01-1.2,-920.9867289243
S22x5/01-1.5,-920.9786846653
S22x5/01-2.0,-920.9722439221
S22x5/02-A,-467.066127378
S22x5/02-B,-453.903236027
S22x5/02-0.9,-920.9609223082
S22x5/02-1.0,-920.9727088745
S22x5/02-1.2,-920.9744816156
S22x5/02-1.5,-920.9718930991
S22x5/02-2.0,-920.9702818957
S22x5/03-A,-56.5312987728
S22x5/03-B,-56.5312987728
S22x5/03-0.9,-113.0654744
S22x5/03-1.0,-113.06669847
S22x5/03-1.2,-113.0658328365
S22x5/03-1.5,-113.0641916442
S22x5/03-2.0,-113.063129704
S22x5/04-A,-76.3965367259
S22x5/04-B,-76.3965728923
S22x5/04-0.9,-152.7999734618
S22x5/04-1.0,-152.8008695808
S22x5/04-1.2,-152.799400243
S22x5/04-1.5,-152.7967554449
S22x5/04-2.0,-152.7946532043
S22x5/05-A,-40.4901719596
S22x5/05-B,-40.4901719596
S22x5/05-0.9,-80.9792550446
S22x5/05-1.0,-80.9801812676
S22x5/05-1.2,-80.9803669276
S22x5/05-1.5,-80.9803443353
S22x5/05-2.0,-80.9803445324
S22x5/06-A,-78.5348130623
S22x5/06-B,-78.5348130623
S22x5/06-0.9,-157.0676635776
S22x5/06-1.0,-157.0698152334
S22x5/06-1.2,-157.0700088867
S22x5/06-1.5,-157.0696988815
S22x5/06-2.0,-157.0696312789
S22x5/07-A,-78.534801483
S22x5/07-B,-77.2751198648
S22x5/07-0.9,-155.8107847821
S22x5/07-1.0,-155.8114444847
S22x5/07-1.2,-155.8111670894
S22x5/07-1.5,-155.8105124804
S22x5/07-2.0,-155.8101101493
S22x5/08-A,-189.67250369
S22x5/08-B,-189.67250369
S22x5/08-0.9,-379.3721915232
S22x5/08-1.0,-379.3745777178
S22x5/08-1.2,-379.3690807719
S22x5/08-1.5,-379.3590122634
S22x5/08-2.0,-379.3506019757
S22x5/09-A,-169.8105832018
S22x5/09-B,-169.8105832018
S22x5/09-0.9,-339.6425927948
S22x5/09-1.0,-339.6448597476
S22x5/09-1.2,-339.6409698714
S22x5/09-1.5,-339.6332926942
S22x5/09-2.0,-339.6266355303
S22x5/10-A,-232.098370327
S22x5/10-B,-76.3964648951
S22x5/10-0.9,-308.497653097
S22x5/10-1.0,-308.4984591638
S22x5/10-1.2,-308.4978879873
S22x5/10-1.5,-308.4965820693
S22x5/10-2.0,-308.4955207832
S22x5/11-A,-232.0983980391
S22x5/11-B,-56.531216781
S22x5/11-0.9,-288.6300689379
S22x5/11-1.0,-288.6311344142
S22x5/11-1.2,-288.6311434237
S22x5/11-1.5,-288.630461727
S22x5/11-2.0,-288.6299177036
S22x5/12-A,-232.098423798
S22x5/12-B,-40.4901498286
S22x5/12-0.9,-272.5871266205
S22x5/12-1.0,-272.5884537146
S22x5/12-1.2,-272.5889466656
S22x5/12-1.5,-272.588756906
S22x5/12-2.0,-272.588615699
S22x5/13-A,-232.0984039144
S22x5/13-B,-232.0983929745
S22x5/13-0.9,-464.1949973212
S22x5/13-1.0,-464.1969651049
S22x5/13-1.2,-464.1977730252
S22x5/13-1.5,-464.1974136411
S22x5/13-2.0,-464.1970123788
S22x5/14-A,-232.0984217194
S22x5/14-B,-232.0984217194
S22x5/14-0.9,-464.1865190424
S22x5/14-1.0,-464.1937041816
S22x5/14-1.2,-464.1963541974
S22x5/14-1.5,-464.1966122931
S22x5/14-2.0,-464.1967630405
S22x5/15-A,-232.0983179247
S22x5/15-B,-363.5984511498
S22x5/15-0.9,-595.6978366133
S22x5/15-1.0,-595.7003151717
S22x5/15-1.2,-595.7008367232
S22x5/15-1.5,-595.6994346418
S22x5/15-2.0,-595.6979360474
S22x5/16-A,-232.098387777
S22x5/16-B,-363.5984271961
S22x5/16-0.9,-595.6848846886
S22x5/16-1.0,-595.693366602
S22x5/16-1.2,-595.6963578868
S22x5/16-1.5,-595.6963229674
S22x5/16-2.0,-595.6964944171
S22x5/17-A,-264.1553038271
S22x5/17-B,-264.1552910225
S22x5/17-0.9,-528.301874917
S22x5/17-1.0,-528.3094563077
S22x5/17-1.2,-528.3115604772
S22x5/17-1.5,-528.3109892402
S22x5/17-2.0,-528.3106813265
S22x5/18-A,-323.3367767602
S22x5/18-B,-303.4729883721
S22x5/18-0.9,-626.8312436322
S22x5/18-1.0,-626.8333652644
S22x5/18-1.2,-626.8291698194
S22x5/18-1.5,-626.8210968973
S22x5/18-2.0,-626.8143634911
S22x5/19-A,-307.2925454944
S22x5/19-B,-307.2924863219
S22x5/19-0.9,-614.5897155143
S22x5/19-1.0,-614.5913392332
S22x5/19-1.2,-614.5907143982
S22x5/19-1.5,-614.5885035876
S22x5/19-2.0,-614.5864871449
S22x5/20-A,-414.6077421196
S22x5/20-B,-414.6077421196
S22x5/20-0.9,-829.211867842
S22x5/20-1.0,-829.2205321585
S22x5/20-1.2,-829.2206327332
S22x5/20-1.5,-829.2179157352
S22x5/20-2.0,-829.2163565039
S22x5/21-A,-414.6070065236
S22x5/21-B,-414.6070065236
S22x5/21-0.9,-829.2413542954
S22x5/21-1.0,-829.2436173046
S22x5/21-1.2,-829.23855439
