system,M06L/def2-QZVP/ORCA
S22x5/01-A,-467.4697118946
S22x5/01-B,-454.2916601236
S22x5/01-0.9,-921.7835084406
S22x5/01-1.0,-921.7859688677
S22x5/01-1.2,-921.7810550617
S22x5/01-1.5,-921.7715104979
S22x5/01-2.0,-921.7648438559
S22x5/02-A,-467.4695322605
S22x5/02-B,-454.2929864675
S22x5/02-0.9,-921.7720701214
S22x5/02-1.0,-921.7792066413
S22x5/02-1.2,-921.7737732727
S22x5/02-1.5,-921.7661873517
S22x5/02-2.0,-921.7634404395
S22x5/03-A,-56.5778199908
S22x5/03-B,-56.5778199982
S22x5/03-0.9,-113.1590778965
S22x5/03-1.0,-113.1599609511
S22x5/03-1.2,-113.1587519635
S22x5/03-1.5,-113.157256756
S22x5/03-2.0,-113.1561308499
S22x5/04-A,-76.4536576028
S22x5/04-B,-76.453693465
S22x5/04-0.9,-152.9139342194
S22x5/04-1.0,-152.9149990784
S22x5/04-1.2,-152.9132389282
S22x5/04-1.5,-152.910665581
S22x5/04-2.0,-152.9088111588
S22x5/05-A,-40.5311960901
S22x5/05-B,-40.5311960911
S22x5/05-0.9,-81.0626011655
S22x5/05-1.0,-81.0632172807
S22x5/05-1.2,-81.0626728023
S22x5/05-1.5,-81.0624236982
S22x5/05-2.0,-81.0623918497
S22x5/06-A,-78.6106862858
S22x5/06-B,-78.6106863076
S22x5/06-0.9,-157.222223832
S22x5/06-1.0,-157.2232577675
S22x5/06-1.2,-157.2225451466
S22x5/06-1.5,-157.2215884407
S22x5/06-2.0,-157.2213742801
S22x5/07-A,-78.6106803683
S22x5/07-B,-77.3538951248
S22x5/07-0.9,-155.9657304241
S22x5/07-1.0,-155.9660938205
S22x5/07-1.2,-155.9657382883
S22x5/07-1.5,-155.9651422653
S22x5/07-2.0,-155.9647344504
S22x5/08-A,-189.8283204692
S22x5/08-B,-189.8283204832
S22x5/08-0.9,-379.6832249767
S22x5/08-1.0,-379.6872654757
S22x5/08-1.2,-379.6823381811
S22x5/08-1.5,-379.6706378206
S22x5/08-2.0,-379.6621134989
S22x5/09-A,-169.9537219127
S22x5/09-B,-169.9537219264
S22x5/09-0.9,-339.9299108164
S22x5/09-1.0,-339.9326799609
S22x5/09-1.2,-339.9279927861
S22x5/09-1.5,-339.9190083078
