system,M11/def2-QZVP/Turbomole7.5.1
S22x5/01-A,-467.3305241828
S22x5/01-B,-454.1671531554
S22x5/01-0.9,-921.5183686896
S22x5/01-1.0,-921.5209630846
S22x5/01-1.2,-921.5166464632
S22x5/01-1.5,-921.5078028381
S22x5/01-2.0,-921.5011815876
S22x5/02-A,-467.3292669777
S22x5/02-B,-454.1680810792
S22x5/02-0.9,-921.5103874794
S22x5/02-1.0,-921.515372095
S22x5/02-1.2,-921.5071401208
S22x5/02-1.5,-921.5006169481
S22x5/02-2.0,-921.4983745254
S22x5/03-A,-56.5654431991
S22x5/03-B,-56.5654431991
S22x5/03-0.9,-113.1343899094
S22x5/03-1.0,-113.1355644181
S22x5/03-1.2,-113.1343071134
S22x5/03-1.5,-113.1325742844
S22x5/03-2.0,-113.1314784043
S22x5/04-A,-76.4511502034
S22x5/04-B,-76.4512072411
S22x5/04-0.9,-152.9093058376
S22x5/04-1.0,-152.9104648224
S22x5/04-1.2,-152.9088000275
S22x5/04-1.5,-152.9061005357
S22x5/04-2.0,-152.9040395933
S22x5/05-A,-40.5042557282
S22x5/05-B,-40.5042557282
S22x5/05-0.9,-81.0088668912
S22x5/05-1.0,-81.0089904618
S22x5/05-1.2,-81.008662547
S22x5/05-1.5,-81.0085570781
S22x5/05-2.0,-81.0085134045
S22x5/06-A,-78.5703114253
S22x5/06-B,-78.5703114253
S22x5/06-0.9,-157.1424481213
S22x5/06-1.0,-157.1428230343
S22x5/06-1.2,-157.1414533612
S22x5/06-1.5,-157.1407968954
S22x5/06-2.0,-157.1406320338
S22x5/07-A,-78.5703090473
S22x5/07-B,-77.320138639
S22x5/07-0.9,-155.8918535395
S22x5/07-1.0,-155.8923119731
S22x5/07-1.2,-155.8918128209
S22x5/07-1.5,-155.89112972
S22x5/07-2.0,-155.8906708273
S22x5/08-A,-189.7978421588
S22x5/08-B,-189.7978421588
S22x5/08-0.9,-379.6230404606
S22x5/08-1.0,-379.6265299245
S22x5/08-1.2,-379.6214757068
S22x5/08-1.5,-379.6101961508
S22x5/08-2.0,-379.6014991816
S22x5/09-A,-169.9170427598
S22x5/09-B,-169.9170427598
S22x5/09-0.9,-339.8558453162
S22x5/09-1.0,-339.8591572363
S22x5/09-1.2,-339.8550805867
S22x5/09-1.5,-339.8465445615
S22x5/09-2.0,-339.8398191283
S22x5/10-A,-232.2052756415
S22x5/10-B,-76.4509879099
S22x5/10-0.9,-308.6617610195
S22x5/10-1.0,-308.6618536777
S22x5/10-1.2,-308.6602230594
S22x5/10-1.5,-308.6583416427
S22x5/10-2.0,-308.6570388363
S22x5/11-A,-232.2052992406
S22x5/11-B,-56.5652627618
S22x5/11-0.9,-288.7735919098
S22x5/11-1.0,-288.7738815333
S22x5/11-1.2,-288.7728490355
S22x5/11-1.5,-288.7716416411
S22x5/11-2.0,-288.7709313001
S22x5/12-A,-232.2053130821
S22x5/12-B,-40.5042196025
S22x5/12-0.9,-272.7108605433
S22x5/12-1.0,-272.711304993
S22x5/12-1.2,-272.7105876384
S22x5/12-1.5,-272.7098534856
S22x5/12-2.0,-272.709614742
S22x5/13-A,-232.2052897587
S22x5/13-B,-232.2052787763
S22x5/13-0.9,-464.4126282167
S22x5/13-1.0,-464.4135291818
S22x5/13-1.2,-464.4127501159
S22x5/13-1.5,-464.4115280251
S22x5/13-2.0,-464.4108928115
S22x5/14-A,-232.205318232
S22x5/14-B,-232.205318232
S22x5/14-0.9,-464.4100082929
S22x5/14-1.0,-464.4135255204
S22x5/14-1.2,-464.411539259
S22x5/14-1.5,-464.4105383183
S22x5/14-2.0,-464.4105392154
S22x5/15-A,-232.2052366338
S22x5/15-B,-363.7757545338
S22x5/15-0.9,-595.9869961555
S22x5/15-1.0,-595.9883396229
S22x5/15-1.2,-595.9868650131
S22x5/15-1.5,-595.9842134846
S22x5/15-2.0,-595.9823276516
