system,MN12-sx/def2-QZVP/Turbomole7.5.1
S22x5/01-A,-467.184586535
S22x5/01-B,-454.0100448801
S22x5/01-0.9,-921.2132517677
S22x5/01-1.0,-921.2162055617
S22x5/01-1.2,-921.2128297868
S22x5/01-1.5,-921.2043075807
S22x5/01-2.0,-921.1977804308
S22x5/02-A,-467.1841168856
S22x5/02-B,-454.010959945
S22x5/02-0.9,-921.2018901574
S22x5/02-1.0,-921.2105073918
S22x5/02-1.2,-921.2031734348
S22x5/02-1.5,-921.1975142193
S22x5/02-2.0,-921.1961157672
S22x5/03-A,-56.5334824114
S22x5/03-B,-56.5334824114
S22x5/03-0.9,-113.069865785
S22x5/03-1.0,-113.0713887442
S22x5/03-1.2,-113.0701148662
S22x5/03-1.5,-113.0683889828
S22x5/03-2.0,-113.0675420765
S22x5/04-A,-76.4109699961
S22x5/04-B,-76.4110084804
S22x5/04-0.9,-152.8278716091
S22x5/04-1.0,-152.8293696628
S22x5/04-1.2,-152.8282014405
S22x5/04-1.5,-152.8254045976
S22x5/04-2.0,-152.8235726727
S22x5/05-A,-40.485729791
S22x5/05-B,-40.485729791
S22x5/05-0.9,-80.971641762
S22x5/05-1.0,-80.9715819053
S22x5/05-1.2,-80.9714657177
S22x5/05-1.5,-80.9715391672
S22x5/05-2.0,-80.971462968
S22x5/06-A,-78.5458494609
S22x5/06-B,-78.5458494609
S22x5/06-0.9,-157.0923956225
S22x5/06-1.0,-157.0932699246
S22x5/06-1.2,-157.0917863272
S22x5/06-1.5,-157.0919045253
S22x5/06-2.0,-157.0917125413
S22x5/07-A,-78.5458322602
S22x5/07-B,-77.2996387431
S22x5/07-0.9,-155.8466624539
S22x5/07-1.0,-155.8472909799
S22x5/07-1.2,-155.8466812438
S22x5/07-1.5,-155.846060414
S22x5/07-2.0,-155.8456974957
S22x5/08-A,-189.7201761687
S22x5/08-B,-189.7201761687
S22x5/08-0.9,-379.4642743562
S22x5/08-1.0,-379.4682149069
S22x5/08-1.2,-379.4647374353
S22x5/08-1.5,-379.4545739416
S22x5/08-2.0,-379.4456815037
S22x5/09-A,-169.8460145003
S22x5/09-B,-169.8460145002
S22x5/09-0.9,-339.7117779658
S22x5/09-1.0,-339.7152434462
S22x5/09-1.2,-339.7123198397
S22x5/09-1.5,-339.7038466839
S22x5/09-2.0,-339.6973198129
S22x5/10-A,-232.1537607921
S22x5/10-B,-76.410868533
S22x5/10-0.9,-308.5687915391
