system,MN15/def2-QZVP/Turbomole7.5.1
S22x5/01-A,-467.2368068447
S22x5/01-B,-454.0683339023
S22x5/01-0.9,-921.3249785846
S22x5/01-1.0,-921.3280771616
S22x5/01-1.2,-921.3247078914
S22x5/01-1.5,-921.3162880723
S22x5/01-2.0,-921.3086692537
S22x5/02-A,-467.2358178581
S22x5/02-B,-454.0691471159
S22x5/02-0.9,-921.3178721506
S22x5/02-1.0,-921.3246179081
S22x5/02-1.2,-921.3171988012
S22x5/02-1.5,-921.3082577386
S22x5/02-2.0,-921.3059036731
S22x5/03-A,-56.5442148883
S22x5/03-B,-56.5442148883
S22x5/03-0.9,-113.0920191682
S22x5/03-1.0,-113.0934609942
S22x5/03-1.2,-113.0923754334
S22x5/03-1.5,-113.090163505
S22x5/03-2.0,-113.0889369573
S22x5/04-A,-76.4247081278
S22x5/04-B,-76.4247363851
S22x5/04-0.9,-152.8562899695
S22x5/04-1.0,-152.8575548266
S22x5/04-1.2,-152.8562975205
S22x5/04-1.5,-152.8533839084
S22x5/04-2.0,-152.8509921967
S22x5/05-A,-40.494527292
S22x5/05-B,-40.494527292
S22x5/05-0.9,-80.9901417332
S22x5/05-1.0,-80.9901888187
S22x5/05-1.2,-80.9893065191
S22x5/05-1.5,-80.9890645994
S22x5/05-2.0,-80.9890565699
S22x5/06-A,-78.5568582081
S22x5/06-B,-78.5568582081
S22x5/06-0.9,-157.1160211884
S22x5/06-1.0,-157.1170074705
S22x5/06-1.2,-157.1150248155
S22x5/06-1.5,-157.1137959831
S22x5/06-2.0,-157.1137216904
S22x5/07-A,-78.5568499396
S22x5/07-B,-77.3082880635
S22x5/07-0.9,-155.8666604801
S22x5/07-1.0,-155.8673866992
S22x5/07-1.2,-155.8668028849
S22x5/07-1.5,-155.8657638655
S22x5/07-2.0,-155.8653088072
S22x5/08-A,-189.7490498226
S22x5/08-B,-189.7490498226
S22x5/08-0.9,-379.5242797981
S22x5/08-1.0,-379.5279537264
S22x5/08-1.2,-379.5238190716
S22x5/08-1.5,-379.513741062
S22x5/08-2.0,-379.5040711362
S22x5/09-A,-169.8712226408
S22x5/09-B,-169.8712226408
S22x5/09-0.9,-339.7633405845
S22x5/09-1.0,-339.7667217104
S22x5/09-1.2,-339.7637942832
S22x5/09-1.5,-339.7557392755
S22x5/09-2.0,-339.7480121465
S22x5/10-A,-232.1746572528
S22x5/10-B,-76.4245689455
S22x5/10-0.9,-308.6050681944
S22x5/10-1.0,-308.605438217
S22x5/10-1.2,-308.6037043478
S22x5/10-1.5,-308.6012212998
S22x5/10-2.0,-308.5998735957
S22x5/11-A,-232.1746704976
S22x5/11-B,-56.5440530561
S22x5/11-0.9,-288.722432608
S22x5/11-1.0,-288.7229468063
S22x5/11-1.2,-288.7216917847
S22x5/11-1.5,-288.7198204776
S22x5/11-2.0,-288.7190089586
S22x5/12-A,-232.1746799071
S22x5/12-B,-40.4945464347
S22x5/12-0.9,-272.6712683739
S22x5/12-1.0,-272.6719807749
S22x5/12-1.2,-272.6711504528
S22x5/12-1.5,-272.6697095339
S22x5/12-2.0,-272.6692682987
S22x5/13-A,-232.1746598345
S22x5/13-B,-232.1746552601
S22x5/13-0.9,-464.3521469055
S22x5/13-1.0,-464.3532509405
S22x5/13-1.2,-464.3524418031
S22x5/13-1.5,-464.3505036576
S22x5/13-2.0,-464.3495301441
S22x5/14-A,-232.1746801491
S22x5/14-B,-232.1746801491
S22x5/14-0.9,-464.3495283439
S22x5/14-1.0,-464.3542816701
S22x5/14-1.2,-464.3522028519
S22x5/14-1.5,-464.3494666275
S22x5/14-2.0,-464.3492655187
S22x5/15-A,-232.174622885
S22x5/15-B,-363.7238721484
S22x5/15-0.9,-595.9051056202
S22x5/15-1.0,-595.9067664794
S22x5/15-1.2,-595.9054664874
S22x5/15-1.5,-595.9020000086
S22x5/15-2.0,-595.8995983639
S22x5/16-A,-232.1746582413
S22x5/16-B,-363.7238181163
S22x5/16-0.9,-595.9006820598
S22x5/16-1.0,-595.9064687883
S22x5/16-1.2,-595.9037848771
S22x5/16-1.5,-595.8989004339
S22x5/16-2.0,-595.8981875168
S22x5/17-A,-264.2502494708
S22x5/17-B,-264.2502370274
S22x5/17-0.9,-528.5018951299
S22x5/17-1.0,-528.5071905502
S22x5/17-1.2,-528.5047603137
S22x5/17-1.5,-528.5011780397
S22x5/17-2.0,-528.5005821205
S22x5/18-A,-323.4532887965
S22x5/18-B,-303.5764272818
S22x5/18-0.9,-627.0502701591
S22x5/18-1.0,-627.0535584552
S22x5/18-1.2,-627.0505507262
S22x5/18-1.5,-627.0423559779
S22x5/18-2.0,-627.0345025884
S22x5/19-A,-307.4029153115
S22x5/19-B,-307.4028517322
S22x5/19-0.9,-614.8148768984
S22x5/19-1.0,-614.8163152583
S22x5/19-1.2,-614.8147507881
S22x5/19-1.5,-614.8108395339
S22x5/19-2.0,-614.8073651901
S22x5/20-A,-414.7644742755
S22x5/20-B,-414.7644742755
S22x5/20-0.9,-829.539387764
S22x5/20-1.0,-829.5443157718
S22x5/20-1.2,-829.5379091698
S22x5/20-1.5,-829.5316301395
S22x5/20-2.0,-829.5298062919
S22x5/21-A,-414.7638271574
S22x5/21-B,-414.7638271574
S22x5/21-0.9,-829.5543366206
S22x5/21-1.0,-829.5577787149
S22x5/21-1.2,-829.5538260843
S22x5/21-1.5,-829.5440272477
S22x5/21-2.0,-829.5345954997
S22x5/22-A,-232.1746199302
S22x5/22-B,-93.4022982578
S22x5/22-0.9,-325.5838967199
S22x5/22-1.0,-325.5847126691
S22x5/22-1.2,-325.5831511458
S22x5/22-1.5,-325.5800748529
S22x5/22-2.0,-325.5780704797
S66x8/01-A,-76.4247020298
S66x8/01-B,-76.4246980582
S66x8/01-090,-152.8568159429
S66x8/01-095,-152.8573799486
S66x8/01-100,-152.8574583246
S66x8/01-105,-152.8572378874
S66x8/01-110,-152.8568407547
S66x8/01-125,-152.8552769139
S66x8/01-150,-152.8529626832
S66x8/01-200,-152.8507919279
S66x8/02-A,-76.4247173164
S66x8/02-B,-115.7044304851
S66x8/02-090,-192.1370323669
S66x8/02-095,-192.1376767603
S66x8/02-100,-192.1377823666
S66x8/02-105,-192.1375550469
S66x8/02-110,-192.1371299716
S66x8/02-125,-192.1354308134
S66x8/02-150,-192.1329137643
S66x8/02-200,-192.1305422157
S66x8/03-A,-76.4247445519
S66x8/03-B,-95.8281993106
S66x8/03-090,-172.262576001
S66x8/03-095,-172.263327826
S66x8/03-100,-172.2634719972
S66x8/03-105,-172.26322836
S66x8/03-110,-172.2627497874
S66x8/03-125,-172.2607651633
S66x8/03-150,-172.2576896886
S66x8/03-200,-172.2545563358
S66x8/04-A,-76.4247408547
S66x8/04-B,-248.472625606
S66x8/04-090,-324.9097167634
S66x8/04-095,-324.9104301217
S66x8/04-100,-324.9105085189
S66x8/04-105,-324.9101773161
S66x8/04-110,-324.909595011
S66x8/04-125,-324.9072720048
S66x8/04-150,-324.9036014601
S66x8/04-200,-324.8994388815
S66x8/05-A,-115.704432132
S66x8/05-B,-115.7044556378
S66x8/05-090,-231.416521564
S66x8/05-095,-231.4172815807
S66x8/05-100,-231.4174742892
S66x8/05-105,-231.4173117728
