system,mPW1LYP/def2-QZVP/ORCA
S22x5/01-A,-467.3177382682
S22x5/01-B,-454.1519031985
S22x5/01-0.9,-921.4893513008
S22x5/01-1.0,-921.4922027897
S22x5/01-1.2,-921.4884456931
S22x5/01-1.5,-921.4801429619
S22x5/01-2.0,-921.4732239801
S22x5/02-A,-467.3172031966
S22x5/02-B,-454.1530069303
S22x5/02-0.9,-921.4558083573
S22x5/02-1.0,-921.4718694975
S22x5/02-1.2,-921.4756224811
S22x5/02-1.5,-921.473065486
S22x5/02-2.0,-921.4712038064
S22x5/03-A,-56.5566280535
S22x5/03-B,-56.5566280535
S22x5/03-0.9,-113.1165586402
S22x5/03-1.0,-113.1179606344
S22x5/03-1.2,-113.1169470908
S22x5/03-1.5,-113.1150444559
S22x5/03-2.0,-113.1138322431
S22x5/04-A,-76.439944964
S22x5/04-B,-76.4399794532
S22x5/04-0.9,-152.8875383793
S22x5/04-1.0,-152.8885788886
S22x5/04-1.2,-152.8869726818
S22x5/04-1.5,-152.8839468896
S22x5/04-2.0,-152.8815677743
S22x5/05-A,-40.501985546
S22x5/05-B,-40.501985546
S22x5/05-0.9,-81.0032625572
S22x5/05-1.0,-81.0041381987
S22x5/05-1.2,-81.0041770633
S22x5/05-1.5,-81.0040255392
S22x5/05-2.0,-81.0039715331
S22x5/06-A,-78.5729501923
S22x5/06-B,-78.5729501923
S22x5/06-0.9,-157.1437204018
S22x5/06-1.0,-157.1463754274
S22x5/06-1.2,-157.1465333801
S22x5/06-1.5,-157.1460827991
S22x5/06-2.0,-157.1459077842
S22x5/07-A,-78.572941991
S22x5/07-B,-77.3235365068
S22x5/07-0.9,-155.8975144738
S22x5/07-1.0,-155.898295948
S22x5/07-1.2,-155.8979793668
S22x5/07-1.5,-155.8971910285
S22x5/07-2.0,-155.8966875041
S22x5/08-A,-189.7882446135
S22x5/08-B,-189.7882446135
S22x5/08-0.9,-379.602687296
S22x5/08-1.0,-379.6061669444
S22x5/08-1.2,-379.6015879285
S22x5/08-1.5,-379.5913686136
S22x5/08-2.0,-379.5823850079
S22x5/09-A,-169.908097131
S22x5/09-B,-169.908097131
S22x5/09-0.9,-339.8374244419
S22x5/09-1.0,-339.8404978283
S22x5/09-1.2,-339.8370518535
S22x5/09-1.5,-339.8290082113
S22x5/09-2.0,-339.8218864197
S22x5/10-A,-232.2153873819
S22x5/10-B,-76.4398458689
S22x5/10-0.9,-308.6575149357
S22x5/10-1.0,-308.6587743491
S22x5/10-1.2,-308.6584499513
S22x5/10-1.5,-308.6571076687
S22x5/10-2.0,-308.6559474144
S22x5/11-A,-232.2154023153
S22x5/11-B,-56.5565254434
S22x5/11-0.9,-288.7719392291
S22x5/11-1.0,-288.7734060811
S22x5/11-1.2,-288.7736135918
S22x5/11-1.5,-288.7729061666
S22x5/11-2.0,-288.7722702066
S22x5/12-A,-232.215418765
S22x5/12-B,-40.502000491
S22x5/12-0.9,-272.7155924788
S22x5/12-1.0,-272.71729488
S22x5/12-1.2,-272.7179761374
S22x5/12-1.5,-272.717751539
S22x5/12-2.0,-272.7175081922
S22x5/13-A,-232.2154031165
S22x5/13-B,-232.2154017249
S22x5/13-0.9,-464.4280478199
S22x5/13-1.0,-464.4307031702
S22x5/13-1.2,-464.4319386903
S22x5/13-1.5,-464.4315729058
S22x5/13-2.0,-464.4310815037
S22x5/14-A,-232.2154050726
S22x5/14-B,-232.2154050726
S22x5/14-0.9,-464.4172671608
S22x5/14-1.0,-464.4267006612
S22x5/14-1.2,-464.4304824698
S22x5/14-1.5,-464.4307710066
S22x5/14-2.0,-464.4307705257
S22x5/15-A,-232.2153554914
S22x5/15-B,-363.7804732804
S22x5/15-0.9,-595.9951675251
S22x5/15-1.0,-595.9985488588
S22x5/15-1.2,-595.9998540406
S22x5/15-1.5,-595.9986125717
S22x5/15-2.0,-595.9970600918
S22x5/16-A,-232.2153814698
S22x5/16-B,-363.7804547325
S22x5/16-0.9,-595.9793567724
S22x5/16-1.0,-595.9907923616
S22x5/16-1.2,-595.9955085625
S22x5/16-1.5,-595.9956501747
S22x5/16-2.0,-595.9956297607
S22x5/17-A,-264.3017803106
S22x5/17-B,-264.3017700697
S22x5/17-0.9,-528.5917728623
S22x5/17-1.0,-528.6016118584
S22x5/17-1.2,-528.6047406462
S22x5/17-1.5,-528.604150128
S22x5/17-2.0,-528.6036672839
S22x5/18-A,-323.5143977167
S22x5/18-B,-303.6314449175
S22x5/18-0.9,-627.1666380517
S22x5/18-1.0,-627.1696817353
S22x5/18-1.2,-627.1661813928
S22x5/18-1.5,-627.1579028094
S22x5/18-2.0,-627.150691927
S22x5/19-A,-307.4555006531
S22x5/19-B,-307.4555464026
S22x5/19-0.9,-614.9158430845
S22x5/19-1.0,-614.9178385397
S22x5/19-1.2,-614.9173449484
S22x5/19-1.5,-614.9149050949
S22x5/19-2.0,-614.9126837106
S22x5/20-A,-414.8445045573
S22x5/20-B,-414.8445045573
S22x5/20-0.9,-829.6824067002
S22x5/20-1.0,-829.6936296187
S22x5/20-1.2,-829.6945516103
S22x5/20-1.5,-829.691689054
S22x5/20-2.0,-829.6899176052
S22x5/21-A,-414.8436892061
S22x5/21-B,-414.8436892061
S22x5/21-0.9,-829.7149180118
S22x5/21-1.0,-829.7180522548
S22x5/21-1.2,-829.7134649923
S22x5/21-1.5,-829.7034354634
S22x5/21-2.0,-829.6944541295
S22x5/22-A,-232.2153733323
S22x5/22-B,-93.4255325959
S22x5/22-0.9,-325.6435425718
S22x5/22-1.0,-325.6453918502
S22x5/22-1.2,-325.6453414806
S22x5/22-1.5,-325.6436782126
S22x5/22-2.0,-325.6421142106
S66x8/01-A,-76.4399609825
S66x8/01-B,-76.4399510106
S66x8/01-090,-152.8880222749
S66x8/01-095,-152.8884658491
S66x8/01-100,-152.8884287108
S66x8/01-105,-152.8881036129
S66x8/01-110,-152.8876173923
S66x8/01-125,-152.8858856067
S66x8/01-150,-152.8835430161
S66x8/01-200,-152.881367491
S66x8/02-A,-76.4399706457
S66x8/02-B,-115.7257052773
S66x8/02-090,-192.173953568
S66x8/02-095,-192.1745511971
S66x8/02-100,-192.174601036
S66x8/02-105,-192.1743152853
S66x8/02-110,-192.1738377444
S66x8/02-125,-192.1720326504
S66x8/02-150,-192.1695108125
S66x8/02-200,-192.1671538989
S66x8/03-A,-76.4399852543
S66x8/03-B,-95.8462956823
S66x8/03-090,-172.2968208514
S66x8/03-095,-172.2974271744
S66x8/03-100,-172.297434935
S66x8/03-105,-172.297065731
S66x8/03-110,-172.2964729522
S66x8/03-125,-172.2942431271
S66x8/03-150,-172.2910522077
S66x8/03-200,-172.2879936519
S66x8/04-A,-76.4399835432
S66x8/04-B,-248.5179723142
S66x8/04-090,-324.9694107986
S66x8/04-095,-324.970143818
S66x8/04-100,-324.9702331885
S66x8/04-105,-324.9699134022
S66x8/04-110,-324.9693500695
S66x8/04-125,-324.9671373567
S66x8/04-150,-324.9638246912
S66x8/04-200,-324.9601047606
S66x8/05-A,-115.7255424552
S66x8/05-B,-115.7257215047
S66x8/05-090,-231.4592776897
S66x8/05-095,-231.4600165721
S66x8/05-100,-231.4601729562
S66x8/05-105,-231.4599653338
S66x8/05-110,-231.4595439529
S66x8/05-125,-231.4578175911
S66x8/05-150,-231.4552961465
S66x8/05-200,-231.4528751362
S66x8/06-A,-115.7252878924
S66x8/06-B,-95.8462993241
S66x8/06-090,-211.5816314699
S66x8/06-095,-211.5826115769
S66x8/06-100,-211.5828729667
S66x8/06-105,-211.5826756059
S66x8/06-110,-211.5821981685
S66x8/06-125,-211.5800919867
S66x8/06-150,-211.5768411227
S66x8/06-200,-211.5736165311
S66x8/07-A,-115.7253896004
S66x8/07-B,-248.517900648
S66x8/07-090,-364.2542210788
S66x8/07-095,-364.2551555836
S66x8/07-100,-364.2553970822
S66x8/07-105,-364.2551906921
S66x8/07-110,-364.2547082528
S66x8/07-125,-364.2526049749
S66x8/07-150,-364.2488741269
S66x8/07-200,-364.2450199689
