system,mPW1PW/def2-QZVP/ORCA
S22x5/01-A,-467.4167325383
S22x5/01-B,-454.2358438108
S22x5/01-0.9,-921.6723402818
S22x5/01-1.0,-921.6743049298
S22x5/01-1.2,-921.6699653237
S22x5/01-1.5,-921.6620867767
S22x5/01-2.0,-921.6559473555
S22x5/02-A,-467.4162467047
S22x5/02-B,-454.2369922603
S22x5/02-0.9,-921.6407747884
S22x5/02-1.0,-921.6536944233
S22x5/02-1.2,-921.6570844596
S22x5/02-1.5,-921.6558168409
S22x5/02-2.0,-921.65420743
S22x5/03-A,-56.5743374106
S22x5/03-B,-56.5743374106
S22x5/03-0.9,-113.1512208319
S22x5/03-1.0,-113.1524791633
S22x5/03-1.2,-113.1517376846
S22x5/03-1.5,-113.1502851451
S22x5/03-2.0,-113.1492338184
S22x5/04-A,-76.4491479456
S22x5/04-B,-76.4491929299
S22x5/04-0.9,-152.905042913
S22x5/04-1.0,-152.905942986
S22x5/04-1.2,-152.9044936168
S22x5/04-1.5,-152.9019484921
S22x5/04-2.0,-152.8999231242
S22x5/05-A,-40.5256841616
S22x5/05-B,-40.5256841616
S22x5/05-0.9,-81.0498253519
S22x5/05-1.0,-81.0509728892
S22x5/05-1.2,-81.0514354257
S22x5/05-1.5,-81.0514095913
S22x5/05-2.0,-81.0513682569
S22x5/06-A,-78.601311036
S22x5/06-B,-78.601311036
S22x5/06-0.9,-157.1997842274
S22x5/06-1.0,-157.2021882602
S22x5/06-1.2,-157.2029022204
S22x5/06-1.5,-157.2027783456
S22x5/06-2.0,-157.2026291293
S22x5/07-A,-78.6013004561
S22x5/07-B,-77.3395036516
S22x5/07-0.9,-155.9415203613
S22x5/07-1.0,-155.9422241042
S22x5/07-1.2,-155.9420447679
S22x5/07-1.5,-155.9414631381
S22x5/07-2.0,-155.9410113654
S22x5/08-A,-189.8046394213
S22x5/08-B,-189.8046394213
S22x5/08-0.9,-379.636155417
S22x5/08-1.0,-379.6385396079
S22x5/08-1.2,-379.6330080165
S22x5/08-1.5,-379.6229738
S22x5/08-2.0,-379.6148424532
S22x5/09-A,-169.9334706477
S22x5/09-B,-169.9334706477
S22x5/09-0.9,-339.8881113499
S22x5/09-1.0,-339.8903068336
S22x5/09-1.2,-339.8863538972
S22x5/09-1.5,-339.8788086032
S22x5/09-2.0,-339.8724365336
S22x5/10-A,-232.2882841177
S22x5/10-B,-76.4490776334
S22x5/10-0.9,-308.7394487203
S22x5/10-1.0,-308.7404346349
S22x5/10-1.2,-308.7401476264
S22x5/10-1.5,-308.7391209763
S22x5/10-2.0,-308.7380881661
S22x5/11-A,-232.2883086594
S22x5/11-B,-56.5742728186
S22x5/11-0.9,-288.862322395
S22x5/11-1.0,-288.8635696827
S22x5/11-1.2,-288.8638712114
S22x5/11-1.5,-288.8634633473
S22x5/11-2.0,-288.8629270719
S22x5/12-A,-232.2883340081
S22x5/12-B,-40.5256940966
S22x5/12-0.9,-272.8119035866
S22x5/12-1.0,-272.8134100723
S22x5/12-1.2,-272.814192041
S22x5/12-1.5,-272.8142518075
S22x5/12-2.0,-272.8141126075
S22x5/13-A,-232.288312807
S22x5/13-B,-232.2883047989
S22x5/13-0.9,-464.5738669784
S22x5/13-1.0,-464.5760860046
S22x5/13-1.2,-464.5772438813
S22x5/13-1.5,-464.5772323552
S22x5/13-2.0,-464.5768945312
S22x5/14-A,-232.2883258698
S22x5/14-B,-232.2883258699
S22x5/14-0.9,-464.5644271338
S22x5/14-1.0,-464.5722817135
S22x5/14-1.2,-464.575778451
S22x5/14-1.5,-464.5765094414
S22x5/14-2.0,-464.5765962444
S22x5/15-A,-232.2882347618
S22x5/15-B,-363.8875855412
S22x5/15-0.9,-596.1755225968
S22x5/15-1.0,-596.1783053501
S22x5/15-1.2,-596.1793253826
S22x5/15-1.5,-596.1784144618
S22x5/15-2.0,-596.1770827515
S22x5/16-A,-232.2882927083
S22x5/16-B,-363.8875721307
S22x5/16-0.9,-596.1614483767
S22x5/16-1.0,-596.1706627293
S22x5/16-1.2,-596.1746448841
S22x5/16-1.5,-596.1754240675
S22x5/16-2.0,-596.1756038191
S22x5/17-A,-264.3601407728
S22x5/17-B,-264.3601281363
S22x5/17-0.9,-528.7095491632
S22x5/17-1.0,-528.7177551012
S22x5/17-1.2,-528.7207095012
S22x5/17-1.5,-528.7207394586
S22x5/17-2.0,-528.7203753795
S22x5/18-A,-323.5832633149
S22x5/18-B,-303.7098108227
S22x5/18-0.9,-627.3143167954
S22x5/18-1.0,-627.3164061313
S22x5/18-1.2,-627.3121703871
S22x5/18-1.5,-627.3041792876
S22x5/18-2.0,-627.2977040065
S22x5/19-A,-307.5314697349
S22x5/19-B,-307.5314015531
S22x5/19-0.9,-615.0665806182
S22x5/19-1.0,-615.0683036546
S22x5/19-1.2,-615.0678738519
S22x5/19-1.5,-615.0660581267
S22x5/19-2.0,-615.0643846375
S22x5/20-A,-414.9098953947
S22x5/20-B,-414.9098953947
S22x5/20-0.9,-829.8132699619
S22x5/20-1.0,-829.8227753682
S22x5/20-1.2,-829.8241737449
S22x5/20-1.5,-829.8223406763
S22x5/20-2.0,-829.8206850602
S22x5/21-A,-414.9090799054
S22x5/21-B,-414.9090799054
S22x5/21-0.9,-829.8454593137
S22x5/21-1.0,-829.847621945
S22x5/21-1.2,-829.8424203102
S22x5/21-1.5,-829.8329324493
S22x5/21-2.0,-829.8248884101
S22x5/22-A,-232.2882551145
S22x5/22-B,-93.4348427888
S22x5/22-0.9,-325.7261245672
S22x5/22-1.0,-325.7274388622
S22x5/22-1.2,-325.7271597843
S22x5/22-1.5,-325.7257661235
S22x5/22-2.0,-325.7243442712
S66x8/01-A,-76.4491897814
S66x8/01-B,-76.4491692124
S66x8/01-090,-152.9054339593
S66x8/01-095,-152.9058181814
S66x8/01-100,-152.9057717935
S66x8/01-105,-152.9054730949
S66x8/01-110,-152.9050414579
S66x8/01-125,-152.9035558534
S66x8/01-150,-152.9016174027
S66x8/01-200,-152.8997393682
S66x8/02-A,-76.4491958358
S66x8/02-B,-115.7509131234
S66x8/02-090,-192.2071906396
S66x8/02-095,-192.20771906
S66x8/02-100,-192.2077543789
S66x8/02-105,-192.2074943672
S66x8/02-110,-192.2070711948
S66x8/02-125,-192.205533638
S66x8/02-150,-192.2034731275
S66x8/02-200,-192.2014920748
S66x8/03-A,-76.4492031261
S66x8/03-B,-95.8812995977
S66x8/03-090,-172.3405745299
S66x8/03-095,-172.341015298
S66x8/03-100,-172.3409067411
S66x8/03-105,-172.3404650562
S66x8/03-110,-172.3398382855
S66x8/03-125,-172.3376573787
S66x8/03-150,-172.3347570158
S66x8/03-200,-172.3320787447
S66x8/04-A,-76.4492023428
S66x8/04-B,-248.5793941637
S66x8/04-090,-325.0388217794
S66x8/04-095,-325.03942694
S66x8/04-100,-325.0394534119
S66x8/04-105,-325.0391256562
S66x8/04-110,-325.0385929697
S66x8/04-125,-325.0365947512
S66x8/04-150,-325.0337836085
S66x8/04-200,-325.0306189477
S66x8/05-A,-115.7508992583
S66x8/05-B,-115.7509314024
S66x8/05-090,-231.5086917157
S66x8/05-095,-231.5093459271
S66x8/05-100,-231.5094742976
S66x8/05-105,-231.5092831829
S66x8/05-110,-231.5089091026
S66x8/05-125,-231.5074390705
S66x8/05-150,-231.5053789119
S66x8/05-200,-231.5033591769
S66x8/06-A,-115.7506753295
S66x8/06-B,-95.8812927146
S66x8/06-090,-211.6415429068
S66x8/06-095,-211.6423319818
S66x8/06-100,-211.6424715005
S66x8/06-105,-211.6422004982
S66x8/06-110,-211.6416830064
S66x8/06-125,-211.6396358537
S66x8/06-150,-211.636697595
S66x8/06-200,-211.6338911986
S66x8/07-A,-115.7507672918
S66x8/07-B,-248.5791168793
S66x8/07-090,-364.339769434
S66x8/07-095,-364.3405431584
S66x8/07-100,-364.3406866256
S66x8/07-105,-364.3404374698
S66x8/07-110,-364.3399556793
S66x8/07-125,-364.3380183113
S66x8/07-150,-364.3348191245
S66x8/07-200,-364.3315380286
S66x8/08-A,-115.750928648
S66x8/08-B,-76.4491731277
S66x8/08-090,-192.2069148104
S66x8/08-095,-192.2074140471
S66x8/08-100,-192.2074531885
S66x8/08-105,-192.2072171512
S66x8/08-110,-192.206829459
S66x8/08-125,-192.2054093719
S66x8/08-150,-192.2034858793
S66x8/08-200,-192.2016014142
S66x8/09-A,-95.8812808228
S66x8/09-B,-115.7509690204
S66x8/09-090,-211.6342807016
S66x8/09-095,-211.6348778132
S66x8/09-100,-211.6351183019
S66x8/09-105,-211.6351485074
S66x8/09-110,-211.635052925
S66x8/09-125,-211.6345180174
S66x8/09-150,-211.6337011028
S66x8/09-200,-211.632855492
S66x8/10-A,-95.8812873234
S66x8/10-B,-95.8812730675
S66x8/10-090,-191.7652636692
S66x8/10-095,-191.7661055673
S66x8/10-100,-191.7664411823
S66x8/10-105,-191.7664652065
S66x8/10-110,-191.7663179756
S66x8/10-125,-191.7655438181
S66x8/10-150,-191.7641768427
S66x8/10-200,-191.7631114603
S66x8/11-A,-95.8810973454
S66x8/11-B,-248.5792655679
S66x8/11-090,-344.4635444649
S66x8/11-095,-344.4645294057
S66x8/11-100,-344.4649717182
S66x8/11-105,-344.4650755676
S66x8/11-110,-344.4649758071
S66x8/11-125,-344.4637522203
S66x8/11-150,-344.4622100988
S66x8/11-200,-344.461140069
S66x8/12-A,-95.8812549864
S66x8/12-B,-76.4487082094
S66x8/12-090,-172.3401266073
S66x8/12-095,-172.3407634715
S66x8/12-100,-172.3407820951
S66x8/12-105,-172.3404207904
S66x8/12-110,-172.3398420813
S66x8/12-125,-172.3377073481
S66x8/12-150,-172.33479079
S66x8/12-200,-172.3320678085
S66x8/13-A,-248.5791664264
S66x8/13-B,-115.7509492804
S66x8/13-090,-364.3355934858
S66x8/13-095,-364.336477816
S66x8/13-100,-364.3368225806
S66x8/13-105,-364.3368279684
S66x8/13-110,-364.3366307762
S66x8/13-125,-364.3355861596
S66x8/13-150,-364.3339107892
