system,mPW2PLYP/def2-QZVP/ORCA
S22x5/01-A,-467.1914230953
S22x5/01-B,-454.0299340569
S22x5/01-0.9,-921.243878705
S22x5/01-1.0,-921.246124515
S22x5/01-1.2,-921.2415217398
S22x5/01-1.5,-921.2325301574
S22x5/01-2.0,-921.2251679304
S22x5/02-A,-467.1910789156
S22x5/02-B,-454.0310564633
S22x5/02-0.9,-921.2213554708
S22x5/02-1.0,-921.2325908482
S22x5/02-1.2,-921.2311925249
S22x5/02-1.5,-921.2260238407
S22x5/02-2.0,-921.2233229831
S22x5/03-A,-56.543791459
S22x5/03-B,-56.543791459
S22x5/03-0.9,-113.0914248069
S22x5/03-1.0,-113.0926307725
S22x5/03-1.2,-113.0913954316
S22x5/03-1.5,-113.0893834102
S22x5/03-2.0,-113.0881575946
S22x5/04-A,-76.4226152814
S22x5/04-B,-76.4226587072
S22x5/04-0.9,-152.8531120934
S22x5/04-1.0,-152.8540353823
S22x5/04-1.2,-152.8523169338
S22x5/04-1.5,-152.8492545499
S22x5/04-2.0,-152.8468941532
S22x5/05-A,-40.4923045524
S22x5/05-B,-40.4923045524
S22x5/05-0.9,-80.9844783656
S22x5/05-1.0,-80.9850619616
S22x5/05-1.2,-80.9848710088
S22x5/05-1.5,-80.9846707798
S22x5/05-2.0,-80.9846139795
S22x5/06-A,-78.549905373
S22x5/06-B,-78.549905373
S22x5/06-0.9,-157.0992622031
S22x5/06-1.0,-157.1012144204
S22x5/06-1.2,-157.1007201853
S22x5/06-1.5,-157.1000365344
S22x5/06-2.0,-157.0998304379
S22x5/07-A,-78.5499001974
S22x5/07-B,-77.3003162178
S22x5/07-0.9,-155.8518188502
S22x5/07-1.0,-155.8524032669
S22x5/07-1.2,-155.8518618389
S22x5/07-1.5,-155.8509642504
S22x5/07-2.0,-155.8504354057
S22x5/08-A,-189.7381161643
S22x5/08-B,-189.7381161643
S22x5/08-0.9,-379.5037193439
S22x5/08-1.0,-379.5068268037
S22x5/08-1.2,-379.5018012017
S22x5/08-1.5,-379.4912725383
S22x5/08-2.0,-379.4821279567
S22x5/09-A,-169.8624603265
S22x5/09-B,-169.8624603265
S22x5/09-0.9,-339.7476119661
S22x5/09-1.0,-339.7503030005
S22x5/09-1.2,-339.7463400927
S22x5/09-1.5,-339.7379125614
S22x5/09-2.0,-339.7306093475
S22x5/10-A,-232.1491017704
S22x5/10-B,-76.4225403027
S22x5/10-0.9,-308.575474873
S22x5/10-1.0,-308.5762736159
S22x5/10-1.2,-308.5753798446
S22x5/10-1.5,-308.5736896122
S22x5/10-2.0,-308.5724040175
S22x5/11-A,-232.149119163
S22x5/11-B,-56.5437116893
S22x5/11-0.9,-288.694552585
S22x5/11-1.0,-288.6954975243
S22x5/11-1.2,-288.6950774898
S22x5/11-1.5,-288.6939894559
S22x5/11-2.0,-288.6932159836
S22x5/12-A,-232.1491371998
S22x5/12-B,-40.492351945
S22x5/12-0.9,-272.6414277716
S22x5/12-1.0,-272.642584458
S22x5/12-1.2,-272.6426128824
S22x5/12-1.5,-272.6419991005
S22x5/12-2.0,-272.6416145898
S22x5/13-A,-232.1491187733
S22x5/13-B,-232.1491171274
S22x5/13-0.9,-464.2986620379
S22x5/13-1.0,-464.3004263926
S22x5/13-1.2,-464.3005582684
S22x5/13-1.5,-464.2994708912
S22x5/13-2.0,-464.2986357671
S22x5/14-A,-232.1491224522
S22x5/14-B,-232.1491224523
S22x5/14-0.9,-464.2917175958
S22x5/14-1.0,-464.2984337099
S22x5/14-1.2,-464.2995248064
S22x5/14-1.5,-464.2985926278
S22x5/14-2.0,-464.2982675457
S22x5/15-A,-232.1490652201
S22x5/15-B,-363.6801718986
S22x5/15-0.9,-595.8329954648
S22x5/15-1.0,-595.8352757555
S22x5/15-1.2,-595.8351197238
S22x5/15-1.5,-595.8328209257
S22x5/15-2.0,-595.8307078113
S22x5/16-A,-232.1490961635
S22x5/16-B,-363.680160532
S22x5/16-0.9,-595.8226374096
S22x5/16-1.0,-595.8307011943
S22x5/16-1.2,-595.8317143163
S22x5/16-1.5,-595.8298804172
S22x5/16-2.0,-595.8291861135
S22x5/17-A,-264.2267037637
S22x5/17-B,-264.2266949504
S22x5/17-0.9,-528.4491144071
S22x5/17-1.0,-528.4561008354
S22x5/17-1.2,-528.4563462043
S22x5/17-1.5,-528.4544359973
S22x5/17-2.0,-528.4535910192
S22x5/18-A,-323.4241276101
S22x5/18-B,-303.5473356858
S22x5/18-0.9,-626.9949492499
S22x5/18-1.0,-626.997396593
S22x5/18-1.2,-626.9930658448
S22x5/18-1.5,-626.9841167463
S22x5/18-2.0,-626.9764953604
S22x5/19-A,-307.3702828706
S22x5/19-B,-307.3703153613
S22x5/19-0.9,-614.7485086089
S22x5/19-1.0,-614.7498635393
S22x5/19-1.2,-614.7484597716
S22x5/19-1.5,-614.7452411899
S22x5/19-2.0,-614.7424950247
S22x5/20-A,-414.7311144565
S22x5/20-B,-414.7311144568
S22x5/20-0.9,-829.464455977
S22x5/20-1.0,-829.472353192
S22x5/20-1.2,-829.4698612359
S22x5/20-1.5,-829.4654239788
S22x5/20-2.0,-829.4632185346
S22x5/21-A,-414.7303206141
S22x5/21-B,-414.730320614
S22x5/21-0.9,-829.4901864575
S22x5/21-1.0,-829.4928151954
S22x5/21-1.2,-829.4875530191
S22x5/21-1.5,-829.4770141958
S22x5/21-2.0,-829.4677722772
S22x5/22-A,-232.1490857035
S22x5/22-B,-93.4001477613
S22x5/22-0.9,-325.5540748005
S22x5/22-1.0,-325.555333318
S22x5/22-1.2,-325.5545209757
S22x5/22-1.5,-325.5523372372
S22x5/22-2.0,-325.5505325265
S66x8/01-A,-76.4226531883
S66x8/01-B,-76.4226340954
S66x8/01-090,-152.8535635439
