system,mPWB1K/def2-QZVP/ORCA
S22x5/01-A,-467.3058361181
S22x5/01-B,-454.1285616866
S22x5/01-0.9,-921.454214758
S22x5/01-1.0,-921.4565355671
S22x5/01-1.2,-921.4524294539
S22x5/01-1.5,-921.4443255194
S22x5/01-2.0,-921.4378497618
S22x5/02-A,-467.3052844117
S22x5/02-B,-454.1299971878
S22x5/02-0.9,-921.4377731151
S22x5/02-1.0,-921.4453978975
S22x5/02-1.2,-921.4431439944
S22x5/02-1.5,-921.4384828953
S22x5/02-2.0,-921.4362525491
S22x5/03-A,-56.5508778244
S22x5/03-B,-56.5508778231
S22x5/03-0.9,-113.1048125504
S22x5/03-1.0,-113.1060407046
S22x5/03-1.2,-113.1050989852
S22x5/03-1.5,-113.1034276512
S22x5/03-2.0,-113.1023040067
S22x5/04-A,-76.4302834575
S22x5/04-B,-76.430372722
S22x5/04-0.9,-152.8674063909
S22x5/04-1.0,-152.8684266934
S22x5/04-1.2,-152.8670583491
S22x5/04-1.5,-152.8643625265
S22x5/04-2.0,-152.8622544874
S22x5/05-A,-40.5004473209
S22x5/05-B,-40.5004473216
S22x5/05-0.9,-81.0005106163
S22x5/05-1.0,-81.0011376636
S22x5/05-1.2,-81.0010792152
S22x5/05-1.5,-81.0009248121
S22x5/05-2.0,-81.0008943816
S22x5/06-A,-78.5676746663
S22x5/06-B,-78.5676746653
S22x5/06-0.9,-157.1349790926
S22x5/06-1.0,-157.1363400247
S22x5/06-1.2,-157.136447905
S22x5/06-1.5,-157.1356000317
S22x5/06-2.0,-157.1353641391
S22x5/07-A,-78.5676623758
S22x5/07-B,-77.3147174527
S22x5/07-0.9,-155.8833410209
S22x5/07-1.0,-155.8840799277
S22x5/07-1.2,-155.883727223
S22x5/07-1.5,-155.8830769038
S22x5/07-2.0,-155.8825873351
S22x5/08-A,-189.7662722526
S22x5/08-B,-189.7662722495
S22x5/08-0.9,-379.5594782634
S22x5/08-1.0,-379.5621579124
S22x5/08-1.2,-379.5569132941
S22x5/08-1.5,-379.5467588427
S22x5/08-2.0,-379.5382848365
S22x5/09-A,-169.8904275151
S22x5/09-B,-169.8904275203
S22x5/09-0.9,-339.8022789032
S22x5/09-1.0,-339.8047408533
S22x5/09-1.2,-339.8009805728
S22x5/09-1.5,-339.7932123901
S22x5/09-2.0,-339.7864493847
