system,mPWPW/def2-QZVP/ORCA
S22x5/01-A,-467.4960676189
S22x5/01-B,-454.311416572
S22x5/01-0.9,-921.8260865391
S22x5/01-1.0,-921.8283849027
S22x5/01-1.2,-921.8244651926
S22x5/01-1.5,-921.8168687089
S22x5/01-2.0,-921.8108686567
S22x5/02-A,-467.4955927753
S22x5/02-B,-454.3121481265
S22x5/02-0.9,-921.7917493557
S22x5/02-1.0,-921.8059506234
S22x5/02-1.2,-921.8108940953
S22x5/02-1.5,-921.8102769093
S22x5/02-2.0,-921.8087062609
S22x5/03-A,-56.5812259363
S22x5/03-B,-56.5812259363
S22x5/03-0.9,-113.1648808592
S22x5/03-1.0,-113.1661643822
S22x5/03-1.2,-113.1655027542
S22x5/03-1.5,-113.1640996797
S22x5/03-2.0,-113.1630316521
S22x5/04-A,-76.4624703537
S22x5/04-B,-76.4624502113
S22x5/04-0.9,-152.9314161097
S22x5/04-1.0,-152.9324294631
S22x5/04-1.2,-152.9310750338
S22x5/04-1.5,-152.9285549081
S22x5/04-2.0,-152.9265185716
S22x5/05-A,-40.5246858111
S22x5/05-B,-40.5246858111
S22x5/05-0.9,-81.0475351872
S22x5/05-1.0,-81.0488682228
S22x5/05-1.2,-81.0494618246
S22x5/05-1.5,-81.0494359414
S22x5/05-2.0,-81.0493722475
S22x5/06-A,-78.6072631339
S22x5/06-B,-78.6072631339
S22x5/06-0.9,-157.210968227
S22x5/06-1.0,-157.2137075662
S22x5/06-1.2,-157.2147490656
S22x5/06-1.5,-157.2147133543
S22x5/06-2.0,-157.2145343894
S22x5/07-A,-78.607254532
S22x5/07-B,-77.351595416
S22x5/07-0.9,-155.9593100939
S22x5/07-1.0,-155.9600806115
S22x5/07-1.2,-155.960014625
S22x5/07-1.5,-155.959496337
S22x5/07-2.0,-155.9590519367
S22x5/08-A,-189.8436694703
S22x5/08-B,-189.8436694703
S22x5/08-0.9,-379.7120673716
S22x5/08-1.0,-379.7151319116
S22x5/08-1.2,-379.710318702
S22x5/08-1.5,-379.7007087186
S22x5/08-2.0,-379.6927960142
S22x5/09-A,-169.9655299923
S22x5/09-B,-169.9655299923
S22x5/09-0.9,-339.9505937477
S22x5/09-1.0,-339.9531971436
S22x5/09-1.2,-339.9497657879
S22x5/09-1.5,-339.9425994577
S22x5/09-2.0,-339.9364467412
S22x5/10-A,-232.3108875387
S22x5/10-B,-76.4624185819
S22x5/10-0.9,-308.7748113686
S22x5/10-1.0,-308.7759527752
S22x5/10-1.2,-308.7758943946
S22x5/10-1.5,-308.7750119769
S22x5/10-2.0,-308.773998337
S22x5/11-A,-232.3108803744
S22x5/11-B,-56.5811473858
S22x5/11-0.9,-288.8912011234
S22x5/11-1.0,-288.8926178761
S22x5/11-1.2,-288.8931574617
S22x5/11-1.5,-288.89288913
S22x5/11-2.0,-288.8923695359
S22x5/12-A,-232.310878577
S22x5/12-B,-40.5245969152
S22x5/12-0.9,-272.8327920881
S22x5/12-1.0,-272.834486949
S22x5/12-1.2,-272.8355144564
S22x5/12-1.5,-272.8357038738
S22x5/12-2.0,-272.8355738004
S22x5/13-A,-232.3108843357
S22x5/13-B,-232.3108873644
S22x5/13-0.9,-464.6181416615
S22x5/13-1.0,-464.6206184966
S22x5/13-1.2,-464.6221235233
S22x5/13-1.5,-464.6223244843
S22x5/13-2.0,-464.6220462041
S22x5/14-A,-232.3108741242
S22x5/14-B,-232.3108741242
S22x5/14-0.9,-464.6084612443
S22x5/14-1.0,-464.6167451811
S22x5/14-1.2,-464.6208030118
S22x5/14-1.5,-464.6216816369
S22x5/14-2.0,-464.621713741
S22x5/15-A,-232.3108963206
S22x5/15-B,-363.9306332838
S22x5/15-0.9,-596.2399941247
S22x5/15-1.0,-596.2430438762
S22x5/15-1.2,-596.2445012826
S22x5/15-1.5,-596.2439242532
S22x5/15-2.0,-596.2427381819
S22x5/16-A,-232.3108773565
S22x5/16-B,-363.9305560223
S22x5/16-0.9,-596.2254925488
S22x5/16-1.0,-596.2352677026
S22x5/16-1.2,-596.2400550033
S22x5/16-1.5,-596.2411430994
S22x5/16-2.0,-596.2412508316
S22x5/17-A,-264.4023138933
S22x5/17-B,-264.402315612
S22x5/17-0.9,-528.7926702334
S22x5/17-1.0,-528.8012690783
S22x5/17-1.2,-528.8048843838
S22x5/17-1.5,-528.8051479299
S22x5/17-2.0,-528.8047478891
S22x5/18-A,-323.6344544417
S22x5/18-B,-303.751425255
S22x5/18-0.9,-627.406332267
S22x5/18-1.0,-627.4086705948
S22x5/18-1.2,-627.4047389823
S22x5/18-1.5,-627.3969350258
S22x5/18-2.0,-627.390531792
S22x5/19-A,-307.570944367
S22x5/19-B,-307.5709346489
S22x5/19-0.9,-615.144409293
S22x5/19-1.0,-615.1463986078
S22x5/19-1.2,-615.1463427401
S22x5/19-1.5,-615.1448375325
S22x5/19-2.0,-615.1433511172
S22x5/20-A,-414.9846100775
S22x5/20-B,-414.9846100775
S22x5/20-0.9,-829.9599357333
S22x5/20-1.0,-829.9704688409
S22x5/20-1.2,-829.9730819322
S22x5/20-1.5,-829.9717137989
S22x5/20-2.0,-829.9700919493
S22x5/21-A,-414.984023297
S22x5/21-B,-414.9840232969
S22x5/21-0.9,-829.9933256886
S22x5/21-1.0,-829.9959546455
S22x5/21-1.2,-829.9913248222
S22x5/21-1.5,-829.9822582387
S22x5/21-2.0,-829.9744970187
S22x5/22-A,-232.3108903357
S22x5/22-B,-93.4557528821
S22x5/22-0.9,-325.768369794
S22x5/22-1.0,-325.7699482234
S22x5/22-1.2,-325.7700886885
S22x5/22-1.5,-325.7690299893
S22x5/22-2.0,-325.7677833505
S66x8/01-A,-76.4624175598
S66x8/01-B,-76.4624622502
S66x8/01-090,-152.9319043125
S66x8/01-095,-152.9323440121
S66x8/01-100,-152.9323395999
S66x8/01-105,-152.9320730512
S66x8/01-110,-152.9316652454
S66x8/01-125,-152.9302215598
S66x8/01-150,-152.9283050176
S66x8/01-200,-152.9264289942
S66x8/02-A,-76.4624207891
S66x8/02-B,-115.7656202921
S66x8/02-090,-192.2349423423
S66x8/02-095,-192.2355486598
S66x8/02-100,-192.2356441236
S66x8/02-105,-192.2354307766
S66x8/02-110,-192.2350440367
S66x8/02-125,-192.233572198
S66x8/02-150,-192.2315523877
S66x8/02-200,-192.2295811787
S66x8/03-A,-76.4624170757
S66x8/03-B,-95.8889100404
S66x8/03-090,-172.3616953162
S66x8/03-095,-172.3621759246
S66x8/03-100,-172.3620969418
S66x8/03-105,-172.3616755042
S66x8/03-110,-172.3610610481
S66x8/03-125,-172.3588864314
S66x8/03-150,-172.3559527138
S66x8/03-200,-172.353216661
S66x8/04-A,-76.4624198968
S66x8/04-B,-248.6116378796
S66x8/04-090,-325.0837357439
S66x8/04-095,-325.0844570338
S66x8/04-100,-325.0845805145
S66x8/04-105,-325.0843336033
S66x8/04-110,-325.0838689959
S66x8/04-125,-325.0820248065
S66x8/04-150,-325.0793549373
S66x8/04-200,-325.0762919943
S66x8/05-A,-115.7655777207
S66x8/05-B,-115.76564786
S66x8/05-090,-231.5377479864
S66x8/05-095,-231.5384793836
S66x8/05-100,-231.5386679723
S66x8/05-105,-231.5385235482
S66x8/05-110,-231.5381860338
S66x8/05-125,-231.5367809044
S66x8/05-150,-231.5347573746
S66x8/05-200,-231.5327385721
S66x8/06-A,-115.7654596056
S66x8/06-B,-95.8889140181
S66x8/06-090,-211.6638104381
S66x8/06-095,-211.6646731493
S66x8/06-100,-211.6648688116
S66x8/06-105,-211.6646405618
S66x8/06-110,-211.6641550891
S66x8/06-125,-211.6621519654
S66x8/06-150,-211.6592053571
S66x8/06-200,-211.6563449296
S66x8/07-A,-115.7655535122
S66x8/07-B,-248.6112287476
S66x8/07-090,-364.3859971093
S66x8/07-095,-364.3868822935
S66x8/07-100,-364.387118877
S66x8/07-105,-364.3869472947
S66x8/07-110,-364.3865301552
S66x8/07-125,-364.3847321905
S66x8/07-150,-364.3816606395
S66x8/07-200,-364.3784213472
S66x8/08-A,-115.7655747776
S66x8/08-B,-76.462465037
S66x8/08-090,-192.2346418096
S66x8/08-095,-192.2351944517
S66x8/08-100,-192.2352743488
S66x8/08-105,-192.235069441
S66x8/08-110,-192.2347054244
S66x8/08-125,-192.2333245371
S66x8/08-150,-192.2314176804
S66x8/08-200,-192.2295271492
S66x8/09-A,-95.8888538069
S66x8/09-B,-115.7656133861
S66x8/09-090,-211.6562874446
S66x8/09-095,-211.6569488861
S66x8/09-100,-211.6572409937
S66x8/09-105,-211.6573122444
S66x8/09-110,-211.657251126
S66x8/09-125,-211.6567820174
S66x8/09-150,-211.6560032181
S66x8/09-200,-211.6551421553
S66x8/10-A,-95.8889732709
S66x8/10-B,-95.8889021925
S66x8/10-090,-191.7802154579
S66x8/10-095,-191.7811192111
S66x8/10-100,-191.7815086931
S66x8/10-105,-191.7815823962
S66x8/10-110,-191.7814788032
S66x8/10-125,-191.7807931519
S66x8/10-150,-191.7794942937
S66x8/10-200,-191.7784095507
S66x8/11-A,-95.8888691837
S66x8/11-B,-248.6113881162
S66x8/11-090,-344.5024994663
S66x8/11-095,-344.5035919184
S66x8/11-100,-344.5041315687
S66x8/11-105,-344.5043227811
S66x8/11-110,-344.5043028029
S66x8/11-125,-344.5033370799
S66x8/11-150,-344.5019553834
S66x8/11-200,-344.5008945886
S66x8/12-A,-95.8888766218
S66x8/12-B,-76.4625102345
S66x8/12-090,-172.3610635854
S66x8/12-095,-172.3617659088
S66x8/12-100,-172.3618361718
S66x8/12-105,-172.3615146516
S66x8/12-110,-172.3609651074
S66x8/12-125,-172.3588763038
S66x8/12-150,-172.3559664948
S66x8/12-200,-172.3532147605
S66x8/13-A,-248.6112866574
S66x8/13-B,-115.7656354477
S66x8/13-090,-364.3816383657
S66x8/13-095,-364.3826160225
S66x8/13-100,-364.3830431091
S66x8/13-105,-364.383122967
S66x8/13-110,-364.3829930717
S66x8/13-125,-364.3821058285
S66x8/13-150,-364.3805816708
S66x8/13-200,-364.3787916798
S66x8/14-A,-248.6111543318
S66x8/14-B,-95.8889289032
S66x8/14-090,-344.5071563518
S66x8/14-095,-344.5082064947
S66x8/14-100,-344.5086104145
S66x8/14-105,-344.5085994222
S66x8/14-110,-344.5083335516
S66x8/14-125,-344.5069315261
S66x8/14-150,-344.5046478705
S66x8/14-200,-344.5022095004
S66x8/15-A,-248.6116138077
S66x8/15-B,-248.6115814889
S66x8/15-090,-497.2301512627
S66x8/15-095,-497.2312968169
S66x8/15-100,-497.2318026212
S66x8/15-105,-497.2318921871
S66x8/15-110,-497.2317204397
S66x8/15-125,-497.230534457
S66x8/15-150,-497.2284348323
S66x8/15-200,-497.2256628012
S66x8/16-A,-248.6117040949
S66x8/16-B,-76.4624617853
S66x8/16-090,-325.0795977727
S66x8/16-095,-325.0802928275
S66x8/16-100,-325.0805261875
S66x8/16-105,-325.0804771146
S66x8/16-110,-325.0802630863
S66x8/16-125,-325.0792603491
S66x8/16-150,-325.0777048903
S66x8/16-200,-325.0759545714
S66x8/17-A,-414.984254792
S66x8/17-B,-414.984333164
S66x8/17-090,-829.9895057466
S66x8/17-095,-829.991289533
S66x8/17-100,-829.9917111179
S66x8/17-105,-829.9912610709
S66x8/17-110,-829.990280927
S66x8/17-125,-829.9861239876
S66x8/17-150,-829.9797488557
S66x8/17-200,-829.9733276851
S66x8/18-A,-76.4624232476
S66x8/18-B,-248.3582264593
S66x8/18-090,-324.830376545
S66x8/18-095,-324.8309175707
S66x8/18-100,-324.8308921651
S66x8/18-105,-324.8305202446
S66x8/18-110,-324.8299525163
S66x8/18-125,-324.82790715
S66x8/18-150,-324.8251417273
S66x8/18-200,-324.8225451947
S66x8/19-A,-115.7654636843
S66x8/19-B,-248.3582209175
S66x8/19-090,-364.1328086275
S66x8/19-095,-364.1336096861
S66x8/19-100,-364.1337658899
S66x8/19-105,-364.1335176609
S66x8/19-110,-364.1331164738
S66x8/19-125,-364.1310550411
S66x8/19-150,-364.128301617
S66x8/19-200,-364.1255480243
S66x8/20-A,-229.1773845241
S66x8/20-B,-229.1773875032
S66x8/20-090,-458.3811111099
S66x8/20-095,-458.3829988786
S66x8/20-100,-458.3832844257
S66x8/20-105,-458.3825574252
S66x8/20-110,-458.3812238283
S66x8/20-125,-458.3757804821
S66x8/20-150,-458.3678362914
S66x8/20-200,-458.3600632128
S66x8/21-A,-209.2962741859
S66x8/21-B,-209.2962757397
S66x8/21-090,-418.6131140554
S66x8/21-095,-418.6147380148
S66x8/21-100,-418.6150764165
S66x8/21-105,-418.614601611
S66x8/21-110,-418.6136367822
S66x8/21-125,-418.6096644789
S66x8/21-150,-418.6037267088
S66x8/21-200,-418.5971166165
S66x8/22-A,-229.1773161544
S66x8/22-B,-414.9840559779
S66x8/22-090,-644.1869542562
S66x8/22-095,-644.1888156441
S66x8/22-100,-644.1891895124
S66x8/22-105,-644.1886031307
S66x8/22-110,-644.1874276164
S66x8/22-125,-644.1825364368
S66x8/22-150,-644.1750465352
S66x8/22-200,-644.1673729795
S66x8/23-A,-209.2961513792
S66x8/23-B,-414.9840265572
S66x8/23-090,-624.3046350416
S66x8/23-095,-624.3064280642
S66x8/23-100,-624.3068798359
S66x8/23-105,-624.3064547509
S66x8/23-110,-624.3054801118
S66x8/23-125,-624.3012050506
S66x8/23-150,-624.2943880343
S66x8/23-200,-624.2869857983
S66x8/24-A,-232.3108636526
S66x8/24-B,-232.3108963893
S66x8/24-090,-464.6090067796
S66x8/24-095,-464.6139699132
S66x8/24-100,-464.6168701183
S66x8/24-105,-464.6185615128
S66x8/24-110,-464.6196103734
S66x8/24-125,-464.6210608956
S66x8/24-150,-464.6216682272
S66x8/24-200,-464.6217135108
S66x8/25-A,-248.3582608699
S66x8/25-B,-248.3582759469
S66x8/25-090,-496.7050783047
S66x8/25-095,-496.7099202331
S66x8/25-100,-496.7127858163
S66x8/25-105,-496.7144718947
S66x8/25-110,-496.715467554
S66x8/25-125,-496.7166911578
S66x8/25-150,-496.7169989977
S66x8/25-200,-496.7167114119
S66x8/26-A,-414.9846111378
S66x8/26-B,-414.9846111378
S66x8/26-090,-829.9626728548
S66x8/26-095,-829.9676818788
S66x8/26-100,-829.9704711769
S66x8/26-105,-829.9719671874
S66x8/26-110,-829.9727256486
S66x8/26-125,-829.9730234991
S66x8/26-150,-829.9720834118
S66x8/26-200,-829.970422329
S66x8/27-A,-232.3108845953
S66x8/27-B,-248.3582728885
S66x8/27-090,-480.6568128961
S66x8/27-095,-480.6619774259
S66x8/27-100,-480.6649634031
S66x8/27-105,-480.6666498913
S66x8/27-110,-480.6676528791
S66x8/27-125,-480.6689287922
S66x8/27-150,-480.6693540543
S66x8/27-200,-480.6692102076
S66x8/28-A,-232.3108769037
S66x8/28-B,-414.9850451489
S66x8/28-090,-647.2845845166
S66x8/28-095,-647.2895210877
S66x8/28-100,-647.2924575491
S66x8/28-105,-647.2941413136
S66x8/28-110,-647.2951061279
S66x8/28-125,-647.2962269098
S66x8/28-150,-647.2963896081
S66x8/28-200,-647.2959593595
S66x8/29-A,-248.3582604347
S66x8/29-B,-414.9849743068
S66x8/29-090,-663.3317137074
S66x8/29-095,-663.3381299669
S66x8/29-100,-663.3415324429
S66x8/29-105,-663.3433195
S66x8/29-110,-663.3442624351
S66x8/29-125,-663.3450304809
S66x8/29-150,-663.3446608287
S66x8/29-200,-663.34374477
S66x8/30-A,-232.3108819819
S66x8/30-B,-78.6071802288
S66x8/30-090,-310.911164792
S66x8/30-095,-310.9136096218
S66x8/30-100,-310.9150718505
S66x8/30-105,-310.915970167
S66x8/30-110,-310.9165434166
S66x8/30-125,-310.9173856447
S66x8/30-150,-310.9178322422
S66x8/30-200,-310.9179595344
S66x8/31-A,-414.9850319524
S66x8/31-B,-78.6072653627
S66x8/31-090,-493.5875563706
S66x8/31-095,-493.5898012894
S66x8/31-100,-493.5911482153
S66x8/31-105,-493.5919452214
S66x8/31-110,-493.5924150926
S66x8/31-125,-493.5929343204
S66x8/31-150,-493.5928945648
S66x8/31-200,-493.5924564503
S66x8/32-A,-414.9849564115
S66x8/32-B,-77.3514839895
S66x8/32-090,-492.3329186349
S66x8/32-095,-492.3351661826
S66x8/32-100,-492.3364277858
S66x8/32-105,-492.3371067039
S66x8/32-110,-492.3374508043
S66x8/32-125,-492.3376275262
S66x8/32-150,-492.3372569022
S66x8/32-200,-492.3366219369
S66x8/33-A,-248.3582586242
S66x8/33-B,-78.6071306069
S66x8/33-090,-326.9595100718
S66x8/33-095,-326.961664877
S66x8/33-100,-326.9629893225
S66x8/33-105,-326.9638150534
S66x8/33-110,-326.9643395338
S66x8/33-125,-326.9650808747
S66x8/33-150,-326.9654070781
S66x8/33-200,-326.9654051175
S66x8/34-A,-197.8094897687
S66x8/34-B,-197.8093118578
S66x8/34-090,-395.6105891768
S66x8/34-095,-395.6135455884
S66x8/34-100,-395.6153878734
S66x8/34-105,-395.6165816627
S66x8/34-110,-395.6173371785
S66x8/34-125,-395.618701702
S66x8/34-150,-395.6192484231
S66x8/34-200,-395.6191534934
S66x8/35-A,-197.8094222299
S66x8/35-B,-197.8110399196
S66x8/35-090,-395.6144371984
S66x8/35-095,-395.616824652
S66x8/35-100,-395.6182215173
S66x8/35-105,-395.6190683877
S66x8/35-110,-395.6195670266
S66x8/35-125,-395.6203763109
S66x8/35-150,-395.6206820657
S66x8/35-200,-395.6205822764
S66x8/36-A,-197.8110777172
S66x8/36-B,-197.8111675625
S66x8/36-090,-395.6183628167
S66x8/36-095,-395.6196481505
S66x8/36-100,-395.6205023808
S66x8/36-105,-395.6210511253
S66x8/36-110,-395.6214029775
S66x8/36-125,-395.6219502588
S66x8/36-150,-395.622168648
S66x8/36-200,-395.6220725037
S66x8/37-A,-196.5997106516
S66x8/37-B,-197.8108693632
S66x8/37-090,-394.4046088146
S66x8/37-095,-394.4069504595
S66x8/37-100,-394.4083247498
S66x8/37-105,-394.4091743766
S66x8/37-110,-394.4097413963
S66x8/37-125,-394.4105685097
S66x8/37-150,-394.4109159317
S66x8/37-200,-394.4108459099
S66x8/38-A,-196.5996274572
S66x8/38-B,-196.599643734
S66x8/38-090,-393.1930022502
S66x8/38-095,-393.1951767914
S66x8/38-100,-393.1966715062
S66x8/38-105,-393.1975984443
S66x8/38-110,-393.198221507
S66x8/38-125,-393.1991135622
S66x8/38-150,-393.1994609743
S66x8/38-200,-393.1993423686
S66x8/39-A,-232.3108910749
S66x8/39-B,-196.5996034442
S66x8/39-090,-428.9023576992
S66x8/39-095,-428.9056411239
S66x8/39-100,-428.9076434823
S66x8/39-105,-428.908876335
S66x8/39-110,-428.9096086555
S66x8/39-125,-428.9105206233
S66x8/39-150,-428.9108094213
S66x8/39-200,-428.9105961606
S66x8/40-A,-232.3108966337
S66x8/40-B,-197.8112481892
S66x8/40-090,-430.1157361745
S66x8/40-095,-430.1183504591
S66x8/40-100,-430.1198918599
S66x8/40-105,-430.1208068075
S66x8/40-110,-430.1213555686
S66x8/40-125,-430.1220415486
S66x8/40-150,-430.1221977657
S66x8/40-200,-430.1219690902
S66x8/41-A,-414.9851065871
S66x8/41-B,-197.8095025364
S66x8/41-090,-612.7857248335
S66x8/41-095,-612.7890594758
S66x8/41-100,-612.7911593131
S66x8/41-105,-612.792512078
S66x8/41-110,-612.7935041058
S66x8/41-125,-612.7947095193
S66x8/41-150,-612.7949883213
S66x8/41-200,-612.7946765047
S66x8/42-A,-414.985117993
S66x8/42-B,-196.5996456087
S66x8/42-090,-611.5761366892
S66x8/42-095,-611.5795475138
S66x8/42-100,-611.5815841863
S66x8/42-105,-611.5828208234
S66x8/42-110,-611.5836081067
S66x8/42-125,-611.5847013425
S66x8/42-150,-611.5850843172
S66x8/42-200,-611.584865366
S66x8/43-A,-414.9850585361
S66x8/43-B,-197.8108346384
S66x8/43-090,-612.7897677706
S66x8/43-095,-612.7924968216
S66x8/43-100,-612.7941365786
S66x8/43-105,-612.7950991131
S66x8/43-110,-612.7956685356
S66x8/43-125,-612.7963896297
S66x8/43-150,-612.7965077631
S66x8/43-200,-612.7961767053
S66x8/44-A,-78.607189013
S66x8/44-B,-197.8095719975
S66x8/44-090,-276.4128557411
S66x8/44-095,-276.4142912098
S66x8/44-100,-276.4151771261
S66x8/44-105,-276.4157302975
S66x8/44-110,-276.4161009356
S66x8/44-125,-276.4166936245
S66x8/44-150,-276.4169053116
S66x8/44-200,-276.4167622543
S66x8/45-A,-77.3514738434
S66x8/45-B,-197.8094127462
S66x8/45-090,-275.1568214345
S66x8/45-095,-275.1585025902
S66x8/45-100,-275.1595111844
S66x8/45-105,-275.1601215088
S66x8/45-110,-275.1604971455
S66x8/45-125,-275.1609929264
S66x8/45-150,-275.1610708351
S66x8/45-200,-275.160851732
S66x8/46-A,-248.6117042119
S66x8/46-B,-197.8093288822
S66x8/46-090,-446.4150135429
S66x8/46-095,-446.417209908
S66x8/46-100,-446.4186529111
S66x8/46-105,-446.4196066596
S66x8/46-110,-446.4202462429
S66x8/46-125,-446.4212604157
S66x8/46-150,-446.4216772179
S66x8/46-200,-446.4213556576
S66x8/47-A,-232.3108913685
S66x8/47-B,-232.3109065116
S66x8/47-090,-464.6162759108
S66x8/47-095,-464.618902767
S66x8/47-100,-464.6203771168
S66x8/47-105,-464.6212214225
S66x8/47-110,-464.6217124439
S66x8/47-125,-464.6222316023
S66x8/47-150,-464.622252288
