system,O3LYP/def2-QZVP/ORCA
S22x5/01-A,-466.6056933478
S22x5/01-B,-453.4724624294
S22x5/01-0.9,-920.0991023968
S22x5/01-1.0,-920.1005694454
S22x5/01-1.2,-920.0960162219
S22x5/01-1.5,-920.0881499296
S22x5/01-2.0,-920.081687129
S22x5/02-A,-466.6050955152
S22x5/02-B,-453.4735176913
S22x5/02-0.9,-920.0631777466
S22x5/02-1.0,-920.0775379269
S22x5/02-1.2,-920.0829277004
S22x5/02-1.5,-920.0813533454
S22x5/02-2.0,-920.0795506291
S22x5/03-A,-56.470010132
S22x5/03-B,-56.470010132
S22x5/03-0.9,-112.9430360577
S22x5/03-1.0,-112.9442459483
S22x5/03-1.2,-112.9434706053
S22x5/03-1.5,-112.9417840829
S22x5/03-2.0,-112.9405825876
S22x5/04-A,-76.337326426
S22x5/04-B,-76.3373605284
S22x5/04-0.9,-152.6821588732
S22x5/04-1.0,-152.6828934555
S22x5/04-1.2,-152.6813411393
S22x5/04-1.5,-152.6786045301
S22x5/04-2.0,-152.6763079015
S22x5/05-A,-40.4265637789
S22x5/05-B,-40.4265637789
S22x5/05-0.9,-80.8517405991
S22x5/05-1.0,-80.8529861461
S22x5/05-1.2,-80.8532849488
S22x5/05-1.5,-80.8531566465
S22x5/05-2.0,-80.8531274363
S22x5/06-A,-78.4292219097
S22x5/06-B,-78.4292219096
S22x5/06-0.9,-156.8553223741
S22x5/06-1.0,-156.8581951006
S22x5/06-1.2,-156.8589699378
S22x5/06-1.5,-156.8585839557
S22x5/06-2.0,-156.8584493758
S22x5/07-A,-78.4292105926
S22x5/07-B,-77.1801730207
S22x5/07-0.9,-155.6101608474
S22x5/07-1.0,-155.6109265796
S22x5/07-1.2,-155.6107667752
S22x5/07-1.5,-155.6100639023
S22x5/07-2.0,-155.6095800436
S22x5/08-A,-189.5230534587
S22x5/08-B,-189.5230534587
S22x5/08-0.9,-379.0742586944
S22x5/08-1.0,-379.075964947
S22x5/08-1.2,-379.0700651348
S22x5/08-1.5,-379.0601689606
S22x5/08-2.0,-379.0518578594
S22x5/09-A,-169.6596001007
S22x5/09-B,-169.6596001007
S22x5/09-0.9,-339.3411925017
S22x5/09-1.0,-339.3429616059
