system,OLYP/def2-QZVP/ORCA
S22x5/01-A,-467.3897352275
S22x5/01-B,-454.2070740875
S22x5/01-0.9,-921.6048732608
S22x5/01-1.0,-921.6090319118
S22x5/01-1.2,-921.6087775669
S22x5/01-1.5,-921.6046180055
S22x5/01-2.0,-921.6000538849
S22x5/02-A,-467.3896137806
S22x5/02-B,-454.2081290539
S22x5/02-0.9,-921.5570869424
S22x5/02-1.0,-921.581482971
S22x5/02-1.2,-921.5976675132
S22x5/02-1.5,-921.6000351282
S22x5/02-2.0,-921.5986626261
S22x5/03-A,-56.568864347
S22x5/03-B,-56.568864347
S22x5/03-0.9,-113.1362465118
S22x5/03-1.0,-113.1389880435
S22x5/03-1.2,-113.1400857013
S22x5/03-1.5,-113.1393318011
S22x5/03-2.0,-113.1382952263
S22x5/04-A,-76.4485230835
S22x5/04-B,-76.4485236051
S22x5/04-0.9,-152.8995830218
S22x5/04-1.0,-152.9016344321
S22x5/04-1.2,-152.9019615712
S22x5/04-1.5,-152.9005124123
S22x5/04-2.0,-152.8986434342
S22x5/05-A,-40.513706086
S22x5/05-B,-40.513706086
S22x5/05-0.9,-81.0236153711
S22x5/05-1.0,-81.0261913708
S22x5/05-1.2,-81.0274273425
S22x5/05-1.5,-81.0274493617
S22x5/05-2.0,-81.0274126658
S22x5/06-A,-78.5891864611
S22x5/06-B,-78.5891864611
S22x5/06-0.9,-157.1693444209
S22x5/06-1.0,-157.1750131847
S22x5/06-1.2,-157.1782573415
S22x5/06-1.5,-157.1784985383
S22x5/06-2.0,-157.1783787617
S22x5/07-A,-78.5891791411
S22x5/07-B,-77.338084342
S22x5/07-0.9,-155.9254398122
S22x5/07-1.0,-155.9271728118
S22x5/07-1.2,-155.9280972978
S22x5/07-1.5,-155.9278678332
S22x5/07-2.0,-155.9274549508
S22x5/08-A,-189.8082310864
S22x5/08-B,-189.8082310864
S22x5/08-0.9,-379.6306631063
S22x5/08-1.0,-379.6349360019
S22x5/08-1.2,-379.6333661689
S22x5/08-1.5,-379.6275907214
S22x5/08-2.0,-379.6217043243
S22x5/09-A,-169.931349994
S22x5/09-B,-169.931349994
S22x5/09-0.9,-339.8724996058
S22x5/09-1.0,-339.8768442131
S22x5/09-1.2,-339.8769626937
S22x5/09-1.5,-339.8729819095
S22x5/09-2.0,-339.8679799657
S22x5/10-A,-232.2534001283
S22x5/10-B,-76.4485027741
S22x5/10-0.9,-308.698803011
S22x5/10-1.0,-308.7015535734
S22x5/10-1.2,-308.7034955594
S22x5/10-1.5,-308.7034780017
S22x5/10-2.0,-308.702549414
S22x5/11-A,-232.2533917271
S22x5/11-B,-56.5688517716
S22x5/11-0.9,-288.8171728948
S22x5/11-1.0,-288.8201679256
S22x5/11-1.2,-288.8225346541
S22x5/11-1.5,-288.8229948725
S22x5/11-2.0,-288.8225522372
S22x5/12-A,-232.2533844825
S22x5/12-B,-40.5136327962
S22x5/12-0.9,-272.7601092974
S22x5/12-1.0,-272.7634036362
S22x5/12-1.2,-272.7662214397
S22x5/12-1.5,-272.7671254112
S22x5/12-2.0,-272.7670871855
S22x5/13-A,-232.2533885164
S22x5/13-B,-232.2533927748
S22x5/13-0.9,-464.4972731135
S22x5/13-1.0,-464.5016952087
S22x5/13-1.2,-464.5056910946
S22x5/13-1.5,-464.5070829408
S22x5/13-2.0,-464.5070061301
S22x5/14-A,-232.2533823057
S22x5/14-B,-232.2533823057
S22x5/14-0.9,-464.4812328857
S22x5/14-1.0,-464.495008065
S22x5/14-1.2,-464.5043587848
S22x5/14-1.5,-464.506558513
S22x5/14-2.0,-464.5067165556
S22x5/15-A,-232.2534079252
S22x5/15-B,-363.8407608266
S22x5/15-0.9,-596.0848919315
S22x5/15-1.0,-596.0902711486
S22x5/15-1.2,-596.0948999066
S22x5/15-1.5,-596.0961184698
S22x5/15-2.0,-596.0952855605
S22x5/16-A,-232.2533853451
S22x5/16-B,-363.8407001869
S22x5/16-0.9,-596.0616742371
S22x5/16-1.0,-596.0779749103
S22x5/16-1.2,-596.0901370161
S22x5/16-1.5,-596.0935575365
S22x5/16-2.0,-596.093879483
S22x5/17-A,-264.3437945061
S22x5/17-B,-264.3437961912
S22x5/17-0.9,-528.6627239621
S22x5/17-1.0,-528.6770603938
S22x5/17-1.2,-528.6863560508
S22x5/17-1.5,-528.6879730749
S22x5/17-2.0,-528.6876872047
S22x5/18-A,-323.5601903456
S22x5/18-B,-303.6781626134
S22x5/18-0.9,-627.248742259
S22x5/18-1.0,-627.2526615869
S22x5/18-1.2,-627.2521486634
S22x5/18-1.5,-627.2477712197
S22x5/18-2.0,-627.2428406544
S22x5/19-A,-307.4972502166
S22x5/19-B,-307.4972367129
S22x5/19-0.9,-614.9888960565
S22x5/19-1.0,-614.9928999162
S22x5/19-1.2,-614.9959730128
S22x5/19-1.5,-614.9966816762
S22x5/19-2.0,-614.9958734612
S22x5/20-A,-414.8942913724
