system,OPBE/def2-QZVP/ORCA
S22x5/01-A,-467.3345180768
S22x5/01-B,-454.1431920724
S22x5/01-0.9,-921.4858787693
S22x5/01-1.0,-921.4890814152
S22x5/01-1.2,-921.4883444621
S22x5/01-1.5,-921.4847303202
S22x5/01-2.0,-921.4807674209
S22x5/02-A,-467.3344854382
S22x5/02-B,-454.1443176532
S22x5/02-0.9,-921.438731408
S22x5/02-1.0,-921.4611034067
S22x5/02-1.2,-921.4777553605
S22x5/02-1.5,-921.4809053654
S22x5/02-2.0,-921.4796673568
S22x5/03-A,-56.5665662236
S22x5/03-B,-56.5665662236
S22x5/03-0.9,-113.1307512255
S22x5/03-1.0,-113.1334731025
S22x5/03-1.2,-113.1349194621
S22x5/03-1.5,-113.1345218602
S22x5/03-2.0,-113.1336206617
S22x5/04-A,-76.4342657518
S22x5/04-B,-76.4342860589
S22x5/04-0.9,-152.8700793727
S22x5/04-1.0,-152.8720155506
S22x5/04-1.2,-152.8725917268
S22x5/04-1.5,-152.8716370774
S22x5/04-2.0,-152.8700733805
S22x5/05-A,-40.5201420439
S22x5/05-B,-40.5201420439
S22x5/05-0.9,-81.035769159
S22x5/05-1.0,-81.0386793634
S22x5/05-1.2,-81.0402142545
S22x5/05-1.5,-81.0403191896
S22x5/05-2.0,-81.0402867423
S22x5/06-A,-78.5868080632
S22x5/06-B,-78.5868080632
S22x5/06-0.9,-157.1639113266
S22x5/06-1.0,-157.1696391768
S22x5/06-1.2,-157.173230015
S22x5/06-1.5,-157.1737240275
S22x5/06-2.0,-157.1736226317
S22x5/07-A,-78.5868117911
S22x5/07-B,-77.3245658974
S22x5/07-0.9,-155.9092169716
S22x5/07-1.0,-155.9109316791
S22x5/07-1.2,-155.9120310851
S22x5/07-1.5,-155.9119418873
S22x5/07-2.0,-155.9115688505
S22x5/08-A,-189.7665783502
S22x5/08-B,-189.7665783502
S22x5/08-0.9,-379.5481207436
S22x5/08-1.0,-379.5511902805
S22x5/08-1.2,-379.5486675401
S22x5/08-1.5,-379.5432626244
S22x5/08-2.0,-379.5381275552
S22x5/09-A,-169.9020466943
S22x5/09-B,-169.9020466943
S22x5/09-0.9,-339.8138323403
S22x5/09-1.0,-339.8172179011
S22x5/09-1.2,-339.816994386
S22x5/09-1.5,-339.8136327394
S22x5/09-2.0,-339.8091992961
S22x5/10-A,-232.2412634549
S22x5/10-B,-76.4342777481
S22x5/10-0.9,-308.6721652675
S22x5/10-1.0,-308.6747716082
S22x5/10-1.2,-308.6768309164
S22x5/10-1.5,-308.6770427523
S22x5/10-2.0,-308.6761910568
S22x5/11-A,-232.2412688793
S22x5/11-B,-56.5665620802
S22x5/11-0.9,-288.8023811757
S22x5/11-1.0,-288.8053040413
S22x5/11-1.2,-288.8078706778
S22x5/11-1.5,-288.8085181643
S22x5/11-2.0,-288.8081386503
S22x5/12-A,-232.2412812659
S22x5/12-B,-40.5200526243
S22x5/12-0.9,-272.7540542822
S22x5/12-1.0,-272.7571765008
S22x5/12-1.2,-272.7602334699
S22x5/12-1.5,-272.7613599038
S22x5/12-2.0,-272.761392214
S22x5/13-A,-232.2412806944
S22x5/13-B,-232.2412780812
S22x5/13-0.9,-464.4729482652
S22x5/13-1.0,-464.4771241693
S22x5/13-1.2,-464.4811697244
S22x5/13-1.5,-464.4827794926
S22x5/13-2.0,-464.4827879914
S22x5/14-A,-232.241261
S22x5/14-B,-232.241261
S22x5/14-0.9,-464.4578191382
S22x5/14-1.0,-464.4703553367
S22x5/14-1.2,-464.4799293015
S22x5/14-1.5,-464.482346167
S22x5/14-2.0,-464.4825330594
S22x5/15-A,-232.2412553362
S22x5/15-B,-363.8194060983
S22x5/15-0.9,-596.0517030362
S22x5/15-1.0,-596.0566516931
S22x5/15-1.2,-596.0611334121
S22x5/15-1.5,-596.0625424623
S22x5/15-2.0,-596.061799036
S22x5/16-A,-232.2412569218
S22x5/16-B,-363.8193343177
S22x5/16-0.9,-596.029319022
S22x5/16-1.0,-596.0440173339
S22x5/16-1.2,-596.0561966373
S22x5/16-1.5,-596.0599632203
S22x5/16-2.0,-596.0603722193
S22x5/17-A,-264.311768751
S22x5/17-B,-264.3117521529
S22x5/17-0.9,-528.5989411884
S22x5/17-1.0,-528.6123079407
S22x5/17-1.2,-528.6219084561
S22x5/17-1.5,-528.6238203111
S22x5/17-2.0,-528.6236003399
S22x5/18-A,-323.5200916798
S22x5/18-B,-303.651082923
S22x5/18-0.9,-627.1820422144
S22x5/18-1.0,-627.1849058748
S22x5/18-1.2,-627.18378172
S22x5/18-1.5,-627.1798217805
S22x5/18-2.0,-627.175481436
