system,PBE/def2-QZVP/TM
S22x5/01-A,-466.9994785711
S22x5/01-B,-453.8369096166
S22x5/01-0.9,-920.8573625025
S22x5/01-1.0,-920.8594927384
S22x5/01-1.2,-920.8551577464
S22x5/01-1.5,-920.8468477055
S22x5/01-2.0,-920.8399742748
S22x5/02-A,-466.9989857636
S22x5/02-B,-453.8375549423
S22x5/02-0.9,-920.8257879337
S22x5/02-1.0,-920.8392078246
S22x5/02-1.2,-920.8421055118
S22x5/02-1.5,-920.8393718469
S22x5/02-2.0,-920.8374536241
S22x5/03-A,-56.5160483225
S22x5/03-B,-56.5160483225
S22x5/03-0.9,-113.0357282657
S22x5/03-1.0,-113.0368356479
S22x5/03-1.2,-113.0357548107
S22x5/03-1.5,-113.033871825
S22x5/03-2.0,-113.0326469062
S22x5/04-A,-76.3868736431
S22x5/04-B,-76.3868474755
S22x5/04-0.9,-152.7812008881
S22x5/04-1.0,-152.7821224858
S22x5/04-1.2,-152.7805350455
S22x5/04-1.5,-152.7776379375
S22x5/04-2.0,-152.7753028615
S22x5/05-A,-40.4675289207
S22x5/05-B,-40.4675289207
S22x5/05-0.9,-80.9342808626
S22x5/05-1.0,-80.935211708
S22x5/05-1.2,-80.9352568467
S22x5/05-1.5,-80.935088922
S22x5/05-2.0,-80.9350592964
S22x5/06-A,-78.5073051445
S22x5/06-B,-78.5073051445
S22x5/06-0.9,-157.0128134816
S22x5/06-1.0,-157.0151522984
S22x5/06-1.2,-157.015283372
S22x5/06-1.5,-157.0147578829
S22x5/06-2.0,-157.0146156615
S22x5/07-A,-78.5072964388
S22x5/07-B,-77.2576783469
S22x5/07-0.9,-155.766283994
S22x5/07-1.0,-155.7668717242
S22x5/07-1.2,-155.7664535629
S22x5/07-1.5,-155.7656400447
S22x5/07-2.0,-155.7651584781
S22x5/08-A,-189.6576088652
S22x5/08-B,-189.6576088652
S22x5/08-0.9,-379.3415598546
S22x5/08-1.0,-379.3446084039
S22x5/08-1.2,-379.3396873728
S22x5/08-1.5,-379.3296665549
S22x5/08-2.0,-379.3209757788
S22x5/09-A,-169.7900109456
S22x5/09-B,-169.7900109456
S22x5/09-0.9,-339.6013471518
S22x5/09-1.0,-339.6038965337
S22x5/09-1.2,-339.6002242911
S22x5/09-1.5,-339.5924581117
S22x5/09-2.0,-339.5855402564
S22x5/10-A,-232.0361280122
S22x5/10-B,-76.3868242676
S22x5/10-0.9,-308.4257821247
S22x5/10-1.0,-308.4267236537
S22x5/10-1.2,-308.4262105163
S22x5/10-1.5,-308.4247943194
S22x5/10-2.0,-308.4236018811
S22x5/11-A,-232.0361196715
S22x5/11-B,-56.5159659956
S22x5/11-0.9,-288.552605444
S22x5/11-1.0,-288.5537950239
S22x5/11-1.2,-288.5538493576
S22x5/11-1.5,-288.5530586217
S22x5/11-2.0,-288.5523849448
