system,PBE0-2/def2-QZVP/ORCA
S22x5/01-A,-466.8878275951
S22x5/01-B,-453.7364287974
S22x5/01-0.9,-920.6490545803
S22x5/01-1.0,-920.6503603536
S22x5/01-1.2,-920.6448061763
S22x5/01-1.5,-920.6354779651
S22x5/01-2.0,-920.628115722
S22x5/02-A,-466.8876340886
S22x5/02-B,-453.7376284693
S22x5/02-0.9,-920.6362182118
S22x5/02-1.0,-920.642154238
S22x5/02-1.2,-920.6364890739
S22x5/02-1.5,-920.6297717462
S22x5/02-2.0,-920.6265782758
S22x5/03-A,-56.5106657051
S22x5/03-B,-56.5106657052
S22x5/03-0.9,-113.0252699432
S22x5/03-1.0,-113.0262642431
S22x5/03-1.2,-113.0249802237
S22x5/03-1.5,-113.0230651122
S22x5/03-2.0,-113.0218958019
S22x5/04-A,-76.3780945618
S22x5/04-B,-76.3781578272
S22x5/04-0.9,-152.7638800664
S22x5/04-1.0,-152.7646411928
S22x5/04-1.2,-152.7629139619
S22x5/04-1.5,-152.7600355703
S22x5/04-2.0,-152.757831057
S22x5/05-A,-40.4679918113
S22x5/05-B,-40.4679918113
S22x5/05-0.9,-80.9359333713
S22x5/05-1.0,-80.9364153023
S22x5/05-1.2,-80.9362151175
S22x5/05-1.5,-80.9360394039
S22x5/05-2.0,-80.935991562
S22x5/06-A,-78.4947652437
S22x5/06-B,-78.4947652437
S22x5/06-0.9,-156.99000327
S22x5/06-1.0,-156.991287388
S22x5/06-1.2,-156.9905032174
S22x5/06-1.5,-156.989763578
S22x5/06-2.0,-156.9895593461
S22x5/07-A,-78.4947598867
S22x5/07-B,-77.2406749264
S22x5/07-0.9,-155.7374108484
S22x5/07-1.0,-155.7377939752
S22x5/07-1.2,-155.7371086011
S22x5/07-1.5,-155.7361926107
S22x5/07-2.0,-155.735663648
S22x5/08-A,-189.6158730024
S22x5/08-B,-189.6158730024
S22x5/08-0.9,-379.2609708174
S22x5/08-1.0,-379.2631368041
S22x5/08-1.2,-379.257204553
S22x5/08-1.5,-379.2464712086
S22x5/08-2.0,-379.237527888
S22x5/09-A,-169.7520877731
S22x5/09-B,-169.7520877731
S22x5/09-0.9,-339.5282492165
S22x5/09-1.0,-339.5301457863
S22x5/09-1.2,-339.525484848
S22x5/09-1.5,-339.5169525064
S22x5/09-2.0,-339.5097943295
S22x5/10-A,-231.9913651917
S22x5/10-B,-76.3780497716
S22x5/10-0.9,-308.3744684925
S22x5/10-1.0,-308.3747613005
S22x5/10-1.2,-308.3734080985
S22x5/10-1.5,-308.3715515961
S22x5/10-2.0,-308.3702209721
S22x5/11-A,-231.9913939379
S22x5/11-B,-56.510624123
S22x5/11-0.9,-288.5050417112
S22x5/11-1.0,-288.5054596545
S22x5/11-1.2,-288.504556495
S22x5/11-1.5,-288.503278219
S22x5/11-2.0,-288.5024356356
S22x5/12-A,-231.9914207378
S22x5/12-B,-40.4680611666
S22x5/12-0.9,-272.4607367633
S22x5/12-1.0,-272.4613600371
S22x5/12-1.2,-272.4608943152
S22x5/12-1.5,-272.4600763907
S22x5/12-2.0,-272.4596287408
S22x5/13-A,-231.9913944244
S22x5/13-B,-231.9913867409
S22x5/13-0.9,-463.9858344743
S22x5/13-1.0,-463.986664707
S22x5/13-1.2,-463.985850971
S22x5/13-1.5,-463.9843119875
S22x5/13-2.0,-463.9832700952
S22x5/14-A,-231.9914101078
S22x5/14-B,-231.991410107
S22x5/14-0.9,-463.9826289581
S22x5/14-1.0,-463.986422005
S22x5/14-1.2,-463.9851502897
S22x5/14-1.5,-463.9833956067
S22x5/14-2.0,-463.9828739945
S22x5/15-A,-231.9913076057
S22x5/15-B,-363.4407390646
S22x5/15-0.9,-595.4396419099
S22x5/15-1.0,-595.440735942
S22x5/15-1.2,-595.439232028
S22x5/15-1.5,-595.4361946614
S22x5/15-2.0,-595.4337132635
S22x5/16-A,-231.991371842
S22x5/16-B,-363.4407373409
S22x5/16-0.9,-595.434465922
S22x5/16-1.0,-595.4387717626
S22x5/16-1.2,-595.43640721
S22x5/16-1.5,-595.43320602
S22x5/16-2.0,-595.4320956104
S22x5/17-A,-264.0471855132
S22x5/17-B,-264.0471729922
S22x5/17-0.9,-528.0966552453
S22x5/17-1.0,-528.1006003559
S22x5/17-1.2,-528.0983898594
S22x5/17-1.5,-528.0956534559
S22x5/17-2.0,-528.0946002526
S22x5/18-A,-323.2086462113
S22x5/18-B,-303.3461299009
S22x5/18-0.9,-626.5806539744
S22x5/18-1.0,-626.5821214546
S22x5/18-1.2,-626.576771691
S22x5/18-1.5,-626.5674449506
S22x5/18-2.0,-626.5598287997
S22x5/19-A,-307.1670761357
S22x5/19-B,-307.1670174001
S22x5/19-0.9,-614.3439849982
S22x5/19-1.0,-614.344705676
S22x5/19-1.2,-614.3426166803
S22x5/19-1.5,-614.3390585167
S22x5/19-2.0,-614.3361215448
S22x5/20-A,-414.4600452296
S22x5/20-B,-414.4600452291
S22x5/20-0.9,-828.9292891929
S22x5/20-1.0,-828.9338082568
S22x5/20-1.2,-828.9288354043
S22x5/20-1.5,-828.9235804184
S22x5/20-2.0,-828.9211316414
S22x5/21-A,-414.4592282201
S22x5/21-B,-414.4592282203
S22x5/21-0.9,-828.9497884874
S22x5/21-1.0,-828.9514593651
S22x5/21-1.2,-828.9453113664
S22x5/21-1.5,-828.9345982365
S22x5/21-2.0,-828.9255193741
S22x5/22-A,-231.9913332693
S22x5/22-B,-93.3313302523
S22x5/22-0.9,-325.3296833239
S22x5/22-1.0,-325.3301746787
S22x5/22-1.2,-325.3285770697
S22x5/22-1.5,-325.3260294327
S22x5/22-2.0,-325.3240634797
S66x8/01-A,-76.3781731413
S66x8/01-B,-76.3781341739
S66x8/01-090,-152.7642505751
S66x8/01-095,-152.7645616469
S66x8/01-100,-152.7644405115
S66x8/01-105,-152.7640671363
S66x8/01-110,-152.7635615497
S66x8/01-125,-152.7618652718
S66x8/01-150,-152.7596648546
S66x8/01-200,-152.7576377899
S66x8/02-A,-76.3781759962
S66x8/02-B,-115.6259998178
S66x8/02-090,-192.0128564202
S66x8/02-095,-192.0132344708
S66x8/02-100,-192.0131261594
S66x8/02-105,-192.0127290949
S66x8/02-110,-192.0121767344
S66x8/02-125,-192.0102944337
S66x8/02-150,-192.0078255941
S66x8/02-200,-192.0055682247
S66x8/03-A,-76.3781773592
S66x8/03-B,-95.7650613599
S66x8/03-090,-172.1542237273
S66x8/03-095,-172.1545932103
S66x8/03-100,-172.1544181375
S66x8/03-105,-172.1539140613
S66x8/03-110,-172.1532274142
S66x8/03-125,-172.1508744713
S66x8/03-150,-172.1477144296
S66x8/03-200,-172.1447842682
S66x8/04-A,-76.3781770693
S66x8/04-B,-248.296447131
S66x8/04-090,-324.6869902518
S66x8/04-095,-324.6874418829
S66x8/04-100,-324.6873131864
S66x8/04-105,-324.6868289153
S66x8/04-110,-324.6861416639
S66x8/04-125,-324.6837057293
S66x8/04-150,-324.6803194367
S66x8/04-200,-324.676641377
S66x8/05-A,-115.625956985
S66x8/05-B,-115.6260051255
S66x8/05-090,-231.2608303508
S66x8/05-095,-231.2612951643
S66x8/05-100,-231.2612453262
S66x8/05-105,-231.260884414
S66x8/05-110,-231.2603531266
S66x8/05-125,-231.2584737096
S66x8/05-150,-231.2559383868
S66x8/05-200,-231.253580186
S66x8/06-A,-115.6256904715
S66x8/06-B,-95.7650513471
S66x8/06-090,-211.4024408648
S66x8/06-095,-211.4030139526
S66x8/06-100,-211.4029557944
S66x8/06-105,-211.4025051165
S66x8/06-110,-211.4018266006
S66x8/06-125,-211.3993757606
S66x8/06-150,-211.3959659864
S66x8/06-200,-211.3927581068
S66x8/07-A,-115.6257807796
S66x8/07-B,-248.2963778467
S66x8/07-090,-363.934725301
S66x8/07-095,-363.935310705
S66x8/07-100,-363.9352680403
S66x8/07-105,-363.9348349749
S66x8/07-110,-363.9341735056
S66x8/07-125,-363.9317304859
S66x8/07-150,-363.9277818545
S66x8/07-200,-363.9238952079
S66x8/08-A,-115.6259992429
S66x8/08-B,-76.3781363933
S66x8/08-090,-192.0121383682
S66x8/08-095,-192.0125320337
S66x8/08-100,-192.0124674815
S66x8/08-105,-192.0121309907
S66x8/08-110,-192.0116472186
S66x8/08-125,-192.009965056
S66x8/08-150,-192.007727438
S66x8/08-200,-192.0056503447
S66x8/09-A,-95.7650363548
S66x8/09-B,-115.626065349
S66x8/09-090,-211.3952776927
S66x8/09-095,-211.3955911604
S66x8/09-100,-211.3955706448
S66x8/09-105,-211.3953618005
S66x8/09-110,-211.3950529433
S66x8/09-125,-211.3940206601
S66x8/09-150,-211.3927621469
S66x8/09-200,-211.3917287061
S66x8/10-A,-95.7649924355
S66x8/10-B,-95.7650305165
S66x8/10-090,-191.5357181086
S66x8/10-095,-191.5362336446
S66x8/10-100,-191.5362617379
S66x8/10-105,-191.5359972754
S66x8/10-110,-191.5355821044
S66x8/10-125,-191.5341353519
S66x8/10-150,-191.5319851652
S66x8/10-200,-191.5306453058
S66x8/11-A,-95.7647844873
S66x8/11-B,-248.2965024222
S66x8/11-090,-344.068784987
S66x8/11-095,-344.0693381843
S66x8/11-100,-344.0693736484
S66x8/11-105,-344.069095288
S66x8/11-110,-344.0686384823
S66x8/11-125,-344.0661068761
S66x8/11-150,-344.0635406355
S66x8/11-200,-344.0621796839
S66x8/12-A,-95.7650164957
S66x8/12-B,-76.3775195269
S66x8/12-090,-172.1544625624
S66x8/12-095,-172.1549508739
S66x8/12-100,-172.1548316664
S66x8/12-105,-172.1543419375
S66x8/12-110,-172.153643933
S66x8/12-125,-172.1511932865
S66x8/12-150,-172.1478738791
S66x8/12-200,-172.1448007657
S66x8/13-A,-248.2964171566
S66x8/13-B,-115.6260303495
S66x8/13-090,-363.931362355
S66x8/13-095,-363.9319187558
S66x8/13-100,-363.9319518275
S66x8/13-105,-363.9316623287
S66x8/13-110,-363.9311879403
S66x8/13-125,-363.9294218846
S66x8/13-150,-363.9269418869
S66x8/13-200,-363.9244976728
S66x8/14-A,-248.2961742672
S66x8/14-B,-95.7649896159
S66x8/14-090,-344.072152762
S66x8/14-095,-344.0728016846
S66x8/14-100,-344.072838
S66x8/14-105,-344.0724900416
S66x8/14-110,-344.071915147
S66x8/14-125,-344.0697347442
S66x8/14-150,-344.0665949038
S66x8/14-200,-344.0635075933
S66x8/15-A,-248.2962667369
S66x8/15-B,-248.2964200556
S66x8/15-090,-496.605069985
S66x8/15-095,-496.6057313942
S66x8/15-100,-496.60577686
S66x8/15-105,-496.6054283423
S66x8/15-110,-496.6048450217
S66x8/15-125,-496.6025926535
S66x8/15-150,-496.5992511368
S66x8/15-200,-496.5953956191
S66x8/16-A,-248.2964744211
S66x8/16-B,-76.3781416427
S66x8/16-090,-324.6824048518
S66x8/16-095,-324.6828526507
S66x8/16-100,-324.6828505355
S66x8/16-105,-324.6825787556
S66x8/16-110,-324.682158752
S66x8/16-125,-324.6806324174
S66x8/16-150,-324.6785309326
S66x8/16-200,-324.6764701401
S66x8/17-A,-414.4594288682
S66x8/17-B,-414.4595912983
S66x8/17-090,-828.9454296661
S66x8/17-095,-828.9467613674
S66x8/17-100,-828.946765727
S66x8/17-105,-828.945923754
S66x8/17-110,-828.9445722084
S66x8/17-125,-828.9394149018
S66x8/17-150,-828.9317917621
S66x8/17-200,-828.9241553423
S66x8/18-A,-76.3781758973
S66x8/18-B,-248.0212419069
S66x8/18-090,-324.4100502801
S66x8/18-095,-324.4104832644
S66x8/18-100,-324.4103566303
S66x8/18-105,-324.4098904001
