system,PBE0-DH/def2-QZVP/ORCA
S22x5/01-A,-467.0132900987
S22x5/01-B,-453.8513675593
S22x5/01-0.9,-920.8877163611
S22x5/01-1.0,-920.889199485
S22x5/01-1.2,-920.8840370177
S22x5/01-1.5,-920.8751959506
S22x5/01-2.0,-920.8682342294
S22x5/02-A,-467.0128845931
S22x5/02-B,-453.8526109488
S22x5/02-0.9,-920.864106034
S22x5/02-1.0,-920.8737835311
S22x5/02-1.2,-920.8728094155
S22x5/02-1.5,-920.8687343501
S22x5/02-2.0,-920.8665462645
S22x5/03-A,-56.5239982556
S22x5/03-B,-56.5239982556
S22x5/03-0.9,-113.0516153231
S22x5/03-1.0,-113.0526582584
S22x5/03-1.2,-113.0514975618
S22x5/03-1.5,-113.0496740735
S22x5/03-2.0,-113.0485406571
S22x5/04-A,-76.3887159214
S22x5/04-B,-76.3887834834
S22x5/04-0.9,-152.7850902874
S22x5/04-1.0,-152.7858328803
S22x5/04-1.2,-152.7841141599
S22x5/04-1.5,-152.7812601483
S22x5/04-2.0,-152.7790645367
S22x5/05-A,-40.4841647981
S22x5/05-B,-40.4841647981
S22x5/05-0.9,-80.967794395
S22x5/05-1.0,-80.9684829231
S22x5/05-1.2,-80.9684645207
S22x5/05-1.5,-80.9683529536
S22x5/05-2.0,-80.9683314701
S22x5/06-A,-78.524044381
S22x5/06-B,-78.524044381
S22x5/06-0.9,-157.0473363631
S22x5/06-1.0,-157.0490444008
S22x5/06-1.2,-157.0487692689
S22x5/06-1.5,-157.0482336254
S22x5/06-2.0,-157.0481011475
S22x5/07-A,-78.5240352887
S22x5/07-B,-77.2648620029
S22x5/07-0.9,-155.7904699782
S22x5/07-1.0,-155.790954784
S22x5/07-1.2,-155.7904171671
S22x5/07-1.5,-155.7895912817
S22x5/07-2.0,-155.7891065179
S22x5/08-A,-189.6510859803
S22x5/08-B,-189.6510859803
S22x5/08-0.9,-379.3314940855
S22x5/08-1.0,-379.3334999194
S22x5/08-1.2,-379.3274413029
S22x5/08-1.5,-379.3167645237
S22x5/08-2.0,-379.3079239736
S22x5/09-A,-169.7900851892
S22x5/09-B,-169.7900851892
S22x5/09-0.9,-339.6037716016
S22x5/09-1.0,-339.6056402019
S22x5/09-1.2,-339.6010919831
S22x5/09-1.5,-339.5927795889
S22x5/09-2.0,-339.58575759
S22x5/10-A,-232.072319829
S22x5/10-B,-76.3886511705
S22x5/10-0.9,-308.4648430012
S22x5/10-1.0,-308.4654259988
S22x5/10-1.2,-308.4644863299
S22x5/10-1.5,-308.4629151145
S22x5/10-2.0,-308.461720001
S22x5/11-A,-232.0723542997
S22x5/11-B,-56.523946137
S22x5/11-0.9,-288.5978853125
S22x5/11-1.0,-288.5986842695
S22x5/11-1.2,-288.5982913172
S22x5/11-1.5,-288.5973435216
S22x5/11-2.0,-288.5966559501
S22x5/12-A,-232.0723869749
S22x5/12-B,-40.4842097072
S22x5/12-0.9,-272.5563128218
S22x5/12-1.0,-272.5573540203
S22x5/12-1.2,-272.5574374431
S22x5/12-1.5,-272.5569674246
S22x5/12-2.0,-272.5566817261
S22x5/13-A,-232.0723575469
S22x5/13-B,-232.0723460634
S22x5/13-0.9,-464.1448407943
S22x5/13-1.0,-464.1463771121
S22x5/13-1.2,-464.1465322724
S22x5/13-1.5,-464.1457000835
S22x5/13-2.0,-464.1450264133
S22x5/14-A,-232.0723791398
S22x5/14-B,-232.0723791399
S22x5/14-0.9,-464.1378654567
S22x5/14-1.0,-464.1439717124
S22x5/14-1.2,-464.1452746038
S22x5/14-1.5,-464.1448108643
S22x5/14-2.0,-464.1447167231
S22x5/15-A,-232.0722522905
S22x5/15-B,-363.5586322069
S22x5/15-0.9,-595.6345262781
S22x5/15-1.0,-595.6364927711
S22x5/15-1.2,-595.6362341356
S22x5/15-1.5,-595.6341798741
S22x5/15-2.0,-595.6322640446
S22x5/16-A,-232.0723347662
S22x5/16-B,-363.5586387602
S22x5/16-0.9,-595.623881475
S22x5/16-1.0,-595.6309932313
S22x5/16-1.2,-595.6321348191
S22x5/16-1.5,-595.6310129625
S22x5/16-2.0,-595.6307338877
S22x5/17-A,-264.1239904767
S22x5/17-B,-264.1239739955
S22x5/17-0.9,-528.2430324939
S22x5/17-1.0,-528.2494287391
S22x5/17-1.2,-528.2500030604
S22x5/17-1.5,-528.2486734224
S22x5/17-2.0,-528.2480957867
S22x5/18-A,-323.2998750985
S22x5/18-B,-303.438241959
S22x5/18-0.9,-626.7622389104
S22x5/18-1.0,-626.7639153105
S22x5/18-1.2,-626.7589816555
S22x5/18-1.5,-626.7501519327
S22x5/18-2.0,-626.7429261614
S22x5/19-A,-307.2589058147
S22x5/19-B,-307.2588049512
S22x5/19-0.9,-614.5247384724
S22x5/19-1.0,-614.5259372429
S22x5/19-1.2,-614.5246106679
S22x5/19-1.5,-614.5217986095
S22x5/19-2.0,-614.5193945171
S22x5/20-A,-414.5611725166
S22x5/20-B,-414.5611725166
S22x5/20-0.9,-829.1236966183
S22x5/20-1.0,-829.130759371
S22x5/20-1.2,-829.1288693465
S22x5/20-1.5,-829.1251929375
S22x5/20-2.0,-829.1232826345
S22x5/21-A,-414.5603180468
S22x5/21-B,-414.5603180467
S22x5/21-0.9,-829.150869404
S22x5/21-1.0,-829.152624141
S22x5/21-1.2,-829.1467352241
S22x5/21-1.5,-829.1363925923
