system,PW6B95/def2-QZVP/TM
S22x5/01-A,-468.1191799438
S22x5/01-B,-454.900386771
S22x5/01-0.9,-923.0383376154
S22x5/01-1.0,-923.0411128037
S22x5/01-1.2,-923.0376177997
S22x5/01-1.5,-923.0298171063
S22x5/01-2.0,-923.0231848629
S22x5/02-A,-468.1186930007
S22x5/02-B,-454.901626824
S22x5/02-0.9,-923.0200396499
S22x5/02-1.0,-923.0299836946
S22x5/02-1.2,-923.0286086168
S22x5/02-1.5,-923.0238623874
S22x5/02-2.0,-923.0213502501
S22x5/03-A,-56.6521492988
S22x5/03-B,-56.6521492988
S22x5/03-0.9,-113.3073696583
S22x5/03-1.0,-113.308754196
S22x5/03-1.2,-113.3078815581
S22x5/03-1.5,-113.3060965593
S22x5/03-2.0,-113.3048657395
S22x5/04-A,-76.550089127
S22x5/04-B,-76.5501436734
S22x5/04-0.9,-153.1068135913
S22x5/04-1.0,-153.108014691
S22x5/04-1.2,-153.1067745036
S22x5/04-1.5,-153.1041067277
S22x5/04-2.0,-153.1018616358
S22x5/05-A,-40.584529891
S22x5/05-B,-40.584529891
S22x5/05-0.9,-81.1689004353
S22x5/05-1.0,-81.1695721588
S22x5/05-1.2,-81.1694555392
S22x5/05-1.5,-81.169141413
S22x5/05-2.0,-81.1690616249
S22x5/06-A,-78.7230152554
S22x5/06-B,-78.7230152554
S22x5/06-0.9,-157.4456629613
S22x5/06-1.0,-157.4474696476
S22x5/06-1.2,-157.4470522697
S22x5/06-1.5,-157.446313816
S22x5/06-2.0,-157.4460382402
S22x5/07-A,-78.7230062103
S22x5/07-B,-77.4657206294
S22x5/07-0.9,-156.1897175658
S22x5/07-1.0,-156.190490648
S22x5/07-1.2,-156.1902293579
S22x5/07-1.5,-156.1894616589
S22x5/07-2.0,-156.188929469
S22x5/08-A,-190.0699268839
S22x5/08-B,-190.0699268839
S22x5/08-0.9,-380.1647781845
S22x5/08-1.0,-380.1681808207
S22x5/08-1.2,-380.1638737164
S22x5/08-1.5,-380.154237225
S22x5/08-2.0,-380.1457290594
S22x5/09-A,-170.175262429
S22x5/09-B,-170.1752624289
S22x5/09-0.9,-340.3705691003
S22x5/09-1.0,-340.3736544695
S22x5/09-1.2,-340.37054602
S22x5/09-1.5,-340.3630412713
S22x5/09-2.0,-340.3562080742
S22x5/10-A,-232.6527014558
S22x5/10-B,-76.5500127527
S22x5/10-0.9,-309.206233311
S22x5/10-1.0,-309.2070406373
S22x5/10-1.2,-309.206321242
S22x5/10-1.5,-309.2047594807
S22x5/10-2.0,-309.2034554939
S22x5/11-A,-232.6527557792
S22x5/11-B,-56.6520955917
S22x5/11-0.9,-289.3062032586
S22x5/11-1.0,-289.3072348096
S22x5/11-1.2,-289.3070153927
S22x5/11-1.5,-289.3060228851
S22x5/11-2.0,-289.3052002543
S22x5/12-A,-232.6527892052
S22x5/12-B,-40.5845978812
S22x5/12-0.9,-273.2370995623
S22x5/12-1.0,-273.2382959977
S22x5/12-1.2,-273.2384396006
S22x5/12-1.5,-273.2378694687
S22x5/12-2.0,-273.2374876936
S22x5/13-A,-232.6527559881
S22x5/13-B,-232.6527463041
S22x5/13-0.9,-465.3049842378
S22x5/13-1.0,-465.3068459779
S22x5/13-1.2,-465.3073248483
S22x5/13-1.5,-465.3065362382
S22x5/13-2.0,-465.3058568407
S22x5/14-A,-232.6527775587
S22x5/14-B,-232.6527775586
S22x5/14-0.9,-465.2986587045
S22x5/14-1.0,-465.304992255
S22x5/14-1.2,-465.3062186798
S22x5/14-1.5,-465.305712771
S22x5/14-2.0,-465.3055069607
S22x5/15-A,-232.6526564072
S22x5/15-B,-364.4527418928
S22x5/15-0.9,-597.1079102268
S22x5/15-1.0,-597.1102726471
S22x5/15-1.2,-597.1104566471
S22x5/15-1.5,-597.1085875915
S22x5/15-2.0,-597.1066941157
S22x5/16-A,-232.6527327413
S22x5/16-B,-364.4527549883
S22x5/16-0.9,-597.0983265481
S22x5/16-1.0,-597.1059721219
S22x5/16-1.2,-597.1072398139
S22x5/16-1.5,-597.1058632852
S22x5/16-2.0,-597.105294037
S22x5/17-A,-264.7644969269
S22x5/17-B,-264.7644812153
S22x5/17-0.9,-529.5236566875
S22x5/17-1.0,-529.5305221924
S22x5/17-1.2,-529.5313094788
S22x5/17-1.5,-529.5297829756
S22x5/17-2.0,-529.5290910195
S22x5/18-A,-324.0682890378
S22x5/18-B,-304.1718685241
S22x5/18-0.9,-628.2600318559
S22x5/18-1.0,-628.2629877899
S22x5/18-1.2,-628.2596945613
S22x5/18-1.5,-628.251899897
S22x5/18-2.0,-628.2450068504
S22x5/19-A,-307.9974401312
S22x5/19-B,-307.9974445084
S22x5/19-0.9,-616.0007930751
S22x5/19-1.0,-616.0024896339
S22x5/19-1.2,-616.0017293065
S22x5/19-1.5,-615.9991319063
S22x5/19-2.0,-615.9966899833
S22x5/20-A,-415.5154882135
S22x5/20-B,-415.5154882134
S22x5/20-0.9,-831.0318972535
S22x5/20-1.0,-831.0395167264
S22x5/20-1.2,-831.0378188148
S22x5/20-1.5,-831.0339944643
S22x5/20-2.0,-831.0318684621
S22x5/21-A,-415.5146116094
S22x5/21-B,-415.5146116094
S22x5/21-0.9,-831.0552619065
S22x5/21-1.0,-831.0583527305
S22x5/21-1.2,-831.0541251979
S22x5/21-1.5,-831.0447336775
S22x5/21-2.0,-831.0362245817
S22x5/22-A,-232.6526840268
S22x5/22-B,-93.5808210369
S22x5/22-0.9,-326.2383446792
S22x5/22-1.0,-326.2394403826
S22x5/22-1.2,-326.2386332262
S22x5/22-1.5,-326.2365869172
S22x5/22-2.0,-326.2348028933
S66x8/01-A,-76.5501434657
S66x8/01-B,-76.5501129908
S66x8/01-090,-153.1073113383
S66x8/01-095,-153.1078430465
S66x8/01-100,-153.1079028746
S66x8/01-105,-153.1076758032
S66x8/01-110,-153.1072883559
S66x8/01-125,-153.1058080956
S66x8/01-150,-153.1037257764
S66x8/01-200,-153.101650246
S66x8/02-A,-76.5501503706
S66x8/02-B,-115.9116171378
S66x8/02-090,-192.4689397863
S66x8/02-095,-192.4696129725
S66x8/02-100,-192.4697522721
S66x8/02-105,-192.4695643742
S66x8/02-110,-192.4691835577
S66x8/02-125,-192.4676472523
S66x8/02-150,-192.4654133823
S66x8/02-200,-192.4631851439
S66x8/03-A,-76.5501603371
S66x8/03-B,-96.0182400581
S66x8/03-090,-172.5779046788
S66x8/03-095,-172.5785574927
S66x8/03-100,-172.5786237656
S66x8/03-105,-172.5783228076
S66x8/03-110,-172.5778043403
S66x8/03-125,-172.5758007637
S66x8/03-150,-172.5728899067
S66x8/03-200,-172.5700126049
S66x8/04-A,-76.5501588303
S66x8/04-B,-248.9396854589
S66x8/04-090,-325.5006953918
S66x8/04-095,-325.5014230595
S66x8/04-100,-325.5015266994
S66x8/04-105,-325.5012609122
S66x8/04-110,-325.5007467708
S66x8/04-125,-325.4986828625
S66x8/04-150,-325.4955556796
S66x8/04-200,-325.4919264239
S66x8/05-A,-115.9115319491
S66x8/05-B,-115.9116251353
S66x8/05-090,-231.8301459974
S66x8/05-095,-231.8309485715
S66x8/05-100,-231.8311851457
S66x8/05-105,-231.8310685085
S66x8/05-110,-231.830738379
S66x8/05-125,-231.8292770468
S66x8/05-150,-231.8270424463
S66x8/05-200,-231.8247653362
S66x8/06-A,-115.9112684929
S66x8/06-B,-96.0182340127
S66x8/06-090,-211.9390664904
S66x8/06-095,-211.939984574
S66x8/06-100,-211.9402298713
S66x8/06-105,-211.9400404682
S66x8/06-110,-211.9395780983
S66x8/06-125,-211.9376033107
S66x8/06-150,-211.9345730998
S66x8/06-200,-211.9315173787
S66x8/07-A,-115.9113565796
S66x8/07-B,-248.9394687418
S66x8/07-090,-364.8611575604
S66x8/07-095,-364.8620912086
S66x8/07-100,-364.8623558079
S66x8/07-105,-364.8621850998
S66x8/07-110,-364.8617543243
S66x8/07-125,-364.8598183063
S66x8/07-150,-364.8563343102
S66x8/07-200,-364.8525758672
S66x8/08-A,-115.9115692223
S66x8/08-B,-76.5501172236
S66x8/08-090,-192.4685064593
S66x8/08-095,-192.4691580394
S66x8/08-100,-192.4693059882
S66x8/08-105,-192.4691449846
S66x8/08-110,-192.4688024587
S66x8/08-125,-192.4673921295
S66x8/08-150,-192.4653178414
S66x8/08-200,-192.4632327238
S66x8/09-A,-96.0182020245
S66x8/09-B,-115.9116602157
S66x8/09-090,-211.9328005665
S66x8/09-095,-211.9333817467
S66x8/09-100,-211.9335883067
S66x8/09-105,-211.9335576904
S66x8/09-110,-211.9333828652
S66x8/09-125,-211.9326305836
S66x8/09-150,-211.9315177307
S66x8/09-200,-211.930471107
S66x8/10-A,-96.0181663451
S66x8/10-B,-96.0182076369
S66x8/10-090,-192.0402200984
S66x8/10-095,-192.0410774713
S66x8/10-100,-192.041398674
S66x8/10-105,-192.0413835594
S66x8/10-110,-192.0411720985
S66x8/10-125,-192.0401262468
S66x8/10-150,-192.0382970562
S66x8/10-200,-192.0369625903
S66x8/11-A,-96.0179471355
S66x8/11-B,-248.9396109998
S66x8/11-090,-344.9625851183
S66x8/11-095,-344.9635648835
S66x8/11-100,-344.9639627036
S66x8/11-105,-344.9639967226
S66x8/11-110,-344.9638033091
S66x8/11-125,-344.9619993521
S66x8/11-150,-344.9597814551
S66x8/11-200,-344.9584172868
S66x8/12-A,-96.0182026068
S66x8/12-B,-76.5495803295
S66x8/12-090,-172.5777112217
S66x8/12-095,-172.5785301327
S66x8/12-100,-172.5786973254
S66x8/12-105,-172.5784523375
S66x8/12-110,-172.5779624103
S66x8/12-125,-172.5759556723
S66x8/12-150,-172.5729786459
S66x8/12-200,-172.5700170947
S66x8/13-A,-248.9395024015
S66x8/13-B,-115.9116511802
S66x8/13-090,-364.8575963817
S66x8/13-095,-364.8585533491
S66x8/13-100,-364.858924892
S66x8/13-105,-364.8589209197
S66x8/13-110,-364.8587046468
S66x8/13-125,-364.8574677466
S66x8/13-150,-364.8554263969
S66x8/13-200,-364.8531378407
S66x8/14-A,-248.9392431296
S66x8/14-B,-96.0181740923
S66x8/14-090,-344.9654175747
S66x8/14-095,-344.9665035722
S66x8/14-100,-344.9669296425
S66x8/14-105,-344.9668990614
S66x8/14-110,-344.9666198572
S66x8/14-125,-344.9650713654
S66x8/14-150,-344.9624783532
S66x8/14-200,-344.9596742027
S66x8/15-A,-248.9394913408
S66x8/15-B,-248.9396319572
S66x8/15-090,-497.8885082537
S66x8/15-095,-497.8895929349
S66x8/15-100,-497.8899970058
S66x8/15-105,-497.8899807604
S66x8/15-110,-497.8896947712
S66x8/15-125,-497.8880737953
S66x8/15-150,-497.8852932618
S66x8/15-200,-497.8817630916
S66x8/16-A,-248.9397081736
S66x8/16-B,-76.5501225271
S66x8/16-090,-325.4961852105
S66x8/16-095,-325.4969097172
S66x8/16-100,-325.4971459151
S66x8/16-105,-325.4970702842
S66x8/16-110,-325.4968125949
S66x8/16-125,-325.4956099451
S66x8/16-150,-325.4937160437
S66x8/16-200,-325.4916831037
S66x8/17-A,-415.514837891
S66x8/17-B,-415.5149848664
S66x8/17-090,-831.051324347
S66x8/17-095,-831.053357512
S66x8/17-100,-831.0539825936
S66x8/17-105,-831.0536850567
S66x8/17-110,-831.0528036629
S66x8/17-125,-831.048695413
S66x8/17-150,-831.0420032052
S66x8/17-200,-831.034887509
S66x8/18-A,-76.5501529305
S66x8/18-B,-248.7105364864
S66x8/18-090,-325.2696091405
S66x8/18-095,-325.2703335432
S66x8/18-100,-325.2704594972
S66x8/18-105,-325.270209578
S66x8/18-110,-325.269737025
S66x8/18-125,-325.2678467339
S66x8/18-150,-325.2650674966
S66x8/18-200,-325.2622969846
S66x8/19-A,-115.9112783224
S66x8/19-B,-248.7105308557
S66x8/19-090,-364.6305399712
S66x8/19-095,-364.631528937
S66x8/19-100,-364.6318425609
S66x8/19-105,-364.6317220202
S66x8/19-110,-364.6312356069
S66x8/19-125,-364.629533788
S66x8/19-150,-364.6265572774
S66x8/19-200,-364.6235910694
S66x8/20-A,-229.4628315423
S66x8/20-B,-229.4628284036
S66x8/20-090,-458.9518954644
S66x8/20-095,-458.9539610305
S66x8/20-100,-458.9544320783
S66x8/20-105,-458.953873078
S66x8/20-110,-458.9526792673
S66x8/20-125,-458.9477124908
S66x8/20-150,-458.9397134513
S66x8/20-200,-458.9313298572
