system,PW86PBE/def2-QZVP/ORCA
S22x5/01-A,-467.8390914158
S22x5/01-B,-454.6338775538
S22x5/01-0.9,-922.4920068195
S22x5/01-1.0,-922.4949968401
S22x5/01-1.2,-922.4913275822
S22x5/01-1.5,-922.4830574118
S22x5/01-2.0,-922.4762775082
S22x5/02-A,-467.8386302062
S22x5/02-B,-454.6346214913
S22x5/02-0.9,-922.4607285729
S22x5/02-1.0,-922.4754622144
S22x5/02-1.2,-922.4779906176
S22x5/02-1.5,-922.4755598071
S22x5/02-2.0,-922.4741074108
S22x5/03-A,-56.6225135828
S22x5/03-B,-56.6225135828
S22x5/03-0.9,-113.2482155903
S22x5/03-1.0,-113.2495026926
S22x5/03-1.2,-113.248352832
S22x5/03-1.5,-113.2465537804
S22x5/03-2.0,-113.2454960059
S22x5/04-A,-76.5085581438
S22x5/04-B,-76.5085439186
S22x5/04-0.9,-153.0240285665
S22x5/04-1.0,-153.0251945287
S22x5/04-1.2,-153.023692544
S22x5/04-1.5,-153.0207838713
S22x5/04-2.0,-153.0185930446
S22x5/05-A,-40.5613708831
S22x5/05-B,-40.5613708831
S22x5/05-0.9,-81.1217435251
S22x5/05-1.0,-81.1226140641
S22x5/05-1.2,-81.12276847
S22x5/05-1.5,-81.1227475797
S22x5/05-2.0,-81.1227445808
S22x5/06-A,-78.67668359
S22x5/06-B,-78.67668359
S22x5/06-0.9,-157.3513401809
S22x5/06-1.0,-157.3535893986
S22x5/06-1.2,-157.353650806
S22x5/06-1.5,-157.3534156162
S22x5/06-2.0,-157.3533705653
S22x5/07-A,-78.676700415
S22x5/07-B,-77.4205896
S22x5/07-0.9,-156.098231964
S22x5/07-1.0,-156.0988866722
S22x5/07-1.2,-156.0985135253
S22x5/07-1.5,-156.0978291072
S22x5/07-2.0,-156.0974573054
S22x5/08-A,-189.9648048762
S22x5/08-B,-189.9648048762
S22x5/08-0.9,-379.9534125216
S22x5/08-1.0,-379.9576782132
S22x5/08-1.2,-379.9537627575
S22x5/08-1.5,-379.943833364
S22x5/08-2.0,-379.9350825475
S22x5/09-A,-170.0820050569
S22x5/09-B,-170.0820050569
S22x5/09-0.9,-340.1837546675
S22x5/09-1.0,-340.1871042588
S22x5/09-1.2,-340.183931649
S22x5/09-1.5,-340.1761201422
S22x5/09-2.0,-340.1692874258
S22x5/10-A,-232.5060384548
S22x5/10-B,-76.5085007441
S22x5/10-0.9,-309.0167809237
S22x5/10-1.0,-309.0178808787
S22x5/10-1.2,-309.0173835039
S22x5/10-1.5,-309.0161056483
S22x5/10-2.0,-309.015138881
S22x5/11-A,-232.5060272506
S22x5/11-B,-56.6223873665
S22x5/11-0.9,-289.1284058264
S22x5/11-1.0,-289.1296989458
S22x5/11-1.2,-289.129808521
S22x5/11-1.5,-289.1291626894
S22x5/11-2.0,-289.1286904374
S22x5/12-A,-232.5060316531
