system,PW91/def2-QZVP/ORCA
S22x5/01-A,-467.3882823518
S22x5/01-B,-454.2088162009
S22x5/01-0.9,-921.6192897981
S22x5/01-1.0,-921.6211869438
S22x5/01-1.2,-921.6165410613
S22x5/01-1.5,-921.608042958
S22x5/01-2.0,-921.6010542059
S22x5/02-A,-467.387758539
S22x5/02-B,-454.2095082644
S22x5/02-0.9,-921.5880414577
S22x5/02-1.0,-921.6009240129
S22x5/02-1.2,-921.6036782389
S22x5/02-1.5,-921.6008996318
S22x5/02-2.0,-921.5982518188
S22x5/03-A,-56.5649086668
S22x5/03-B,-56.5649086668
S22x5/03-0.9,-113.1339969092
S22x5/03-1.0,-113.1349916141
S22x5/03-1.2,-113.1338208949
S22x5/03-1.5,-113.1318709897
S22x5/03-2.0,-113.1304288715
S22x5/04-A,-76.444944689
S22x5/04-B,-76.444924797
S22x5/04-0.9,-152.8980691058
S22x5/04-1.0,-152.8988525577
S22x5/04-1.2,-152.89709305
S22x5/04-1.5,-152.8940914646
S22x5/04-2.0,-152.8915989792
S22x5/05-A,-40.5090587114
S22x5/05-B,-40.5090587114
S22x5/05-0.9,-81.0177297232
S22x5/05-1.0,-81.018643312
S22x5/05-1.2,-81.0186231628
S22x5/05-1.5,-81.0182223877
S22x5/05-2.0,-81.018117498
S22x5/06-A,-78.5819930779
S22x5/06-B,-78.5819930779
S22x5/06-0.9,-157.1627061184
S22x5/06-1.0,-157.164939442
S22x5/06-1.2,-157.1651095776
S22x5/06-1.5,-157.1643376485
S22x5/06-2.0,-157.1639923317
S22x5/07-A,-78.5819842818
S22x5/07-B,-77.328028717
S22x5/07-0.9,-155.9117350032
S22x5/07-1.0,-155.9122654095
S22x5/07-1.2,-155.9117926675
S22x5/07-1.5,-155.9108733505
S22x5/07-2.0,-155.9102212613
S22x5/08-A,-189.8030044071
S22x5/08-B,-189.8030044072
S22x5/08-0.9,-379.6338725912
S22x5/08-1.0,-379.6366228368
S22x5/08-1.2,-379.6312429508
S22x5/08-1.5,-379.6209075022
S22x5/08-2.0,-379.6121166756
S22x5/09-A,-169.9262290309
S22x5/09-B,-169.9262290309
S22x5/09-0.9,-339.8749978878
S22x5/09-1.0,-339.8772736552
S22x5/09-1.2,-339.87324819
S22x5/09-1.5,-339.8653258953
S22x5/09-2.0,-339.8583230515
S22x5/10-A,-232.2472900653
S22x5/10-B,-76.4448889074
S22x5/10-0.9,-308.6956428944
S22x5/10-1.0,-308.6964806151
S22x5/10-1.2,-308.695877546
S22x5/10-1.5,-308.6943767617
S22x5/10-2.0,-308.6929112552
S22x5/11-A,-232.2472856904
S22x5/11-B,-56.5648255608
S22x5/11-0.9,-288.8131934796
S22x5/11-1.0,-288.8142958925
S22x5/11-1.2,-288.8142856669
S22x5/11-1.5,-288.8134203014
S22x5/11-2.0,-288.8124897882
S22x5/12-A,-232.247286847
S22x5/12-B,-40.5089710713
S22x5/12-0.9,-272.7554352049
S22x5/12-1.0,-272.7568122488
S22x5/12-1.2,-272.7572922727
S22x5/12-1.5,-272.7569055292
S22x5/12-2.0,-272.7563910843
S22x5/13-A,-232.2472909823
S22x5/13-B,-232.2472926438
S22x5/13-0.9,-464.4933618816
