system,PWP/def2-QZVP/ORCA
S22x5/01-A,-467.447662661
S22x5/01-B,-454.2671167288
S22x5/01-0.9,-921.7400353779
S22x5/01-1.0,-921.7415115468
S22x5/01-1.2,-921.7360117687
S22x5/01-1.5,-921.7265021984
S22x5/01-2.0,-921.7188110971
S22x5/02-A,-467.4470884144
S22x5/02-B,-454.2677008956
S22x5/02-0.9,-921.711576553
S22x5/02-1.0,-921.7229355738
S22x5/02-1.2,-921.722849881
S22x5/02-1.5,-921.7184643456
S22x5/02-2.0,-921.7157602118
S22x5/03-A,-56.5737150679
S22x5/03-B,-56.5737150679
S22x5/03-0.9,-113.1529180261
S22x5/03-1.0,-113.1535732537
S22x5/03-1.2,-113.1518450813
S22x5/03-1.5,-113.149521603
S22x5/03-2.0,-113.1480318154
S22x5/04-A,-76.4550611869
S22x5/04-B,-76.4550331395
S22x5/04-0.9,-152.9196126578
S22x5/04-1.0,-152.9201318847
S22x5/04-1.2,-152.9179022581
S22x5/04-1.5,-152.9144636472
S22x5/04-2.0,-152.9118038988
S22x5/05-A,-40.5158797233
S22x5/05-B,-40.5158797233
S22x5/05-0.9,-81.0322121514
S22x5/05-1.0,-81.0326813615
S22x5/05-1.2,-81.0322818534
S22x5/05-1.5,-81.0318497368
S22x5/05-2.0,-81.0317593929
S22x5/06-A,-78.5929130039
S22x5/06-B,-78.5929130039
S22x5/06-0.9,-157.1862826006
S22x5/06-1.0,-157.1878646709
S22x5/06-1.2,-157.1871409582
S22x5/06-1.5,-157.1861437768
S22x5/06-2.0,-157.185831519
S22x5/07-A,-78.5929040166
S22x5/07-B,-77.3368826212
S22x5/07-0.9,-155.9322542499
S22x5/07-1.0,-155.9325519018
S22x5/07-1.2,-155.9317401421
S22x5/07-1.5,-155.9306453342
S22x5/07-2.0,-155.9299914661
S22x5/08-A,-189.8264477271
S22x5/08-B,-189.8264477271
S22x5/08-0.9,-379.6836039409
S22x5/08-1.0,-379.6860723532
S22x5/08-1.2,-379.6800185633
S22x5/08-1.5,-379.6687484539
S22x5/08-2.0,-379.659144336
S22x5/09-A,-169.9481591393
S22x5/09-B,-169.9481591393
S22x5/09-0.9,-339.9216068201
S22x5/09-1.0,-339.923512135
S22x5/09-1.2,-339.9186994812
S22x5/09-1.5,-339.9098370937
S22x5/09-2.0,-339.9022255965
S22x5/10-A,-232.2767221176
S22x5/10-B,-76.4550005132
S22x5/10-0.9,-308.7364871812
S22x5/10-1.0,-308.7370133916
S22x5/10-1.2,-308.7358677604
S22x5/10-1.5,-308.7339646027
S22x5/10-2.0,-308.732444684
S22x5/11-A,-232.2767160299
S22x5/11-B,-56.5736185354
S22x5/11-0.9,-288.8526873041
S22x5/11-1.0,-288.8534614459
S22x5/11-1.2,-288.8529071373
S22x5/11-1.5,-288.8516748285
S22x5/11-2.0,-288.8507016853
S22x5/12-A,-232.276715637
S22x5/12-B,-40.5157738956
S22x5/12-0.9,-272.7929310612
S22x5/12-1.0,-272.7939702406
S22x5/12-1.2,-272.7939116728
S22x5/12-1.5,-272.79317225
S22x5/12-2.0,-272.7926105889
S22x5/13-A,-232.2767225368
S22x5/13-B,-232.2767244433
S22x5/13-0.9,-464.5538937892
S22x5/13-1.0,-464.5556031174
S22x5/13-1.2,-464.555780141
S22x5/13-1.5,-464.554730919
S22x5/13-2.0,-464.5537953875
S22x5/14-A,-232.2767132809
S22x5/14-B,-232.2767132809
S22x5/14-0.9,-464.5466564967
S22x5/14-1.0,-464.5532828004
S22x5/14-1.2,-464.5546712979
S22x5/14-1.5,-464.5537937431
S22x5/14-2.0,-464.5533869948
S22x5/15-A,-232.2767303354
