system,PWP1/def2-QZVP/ORCA
S22x5/01-A,-467.394667582
S22x5/01-B,-454.2164705738
S22x5/01-0.9,-921.6365599841
S22x5/01-1.0,-921.6377802978
S22x5/01-1.2,-921.6320157231
S22x5/01-1.5,-921.6224588621
S22x5/01-2.0,-921.6148886443
S22x5/02-A,-467.3940679076
S22x5/02-B,-454.2175223365
S22x5/02-0.9,-921.6101954887
S22x5/02-1.0,-921.6206416914
S22x5/02-1.2,-921.6194256689
S22x5/02-1.5,-921.6149720259
S22x5/02-2.0,-921.6125706331
S22x5/03-A,-56.5707988521
S22x5/03-B,-56.5707988424
S22x5/03-0.9,-113.1465819246
S22x5/03-1.0,-113.1473866777
S22x5/03-1.2,-113.145577779
S22x5/03-1.5,-113.1433803342
S22x5/03-2.0,-113.1420366329
S22x5/04-A,-76.4459849703
S22x5/04-B,-76.4460602137
S22x5/04-0.9,-152.9012157247
S22x5/04-1.0,-152.9016823147
S22x5/04-1.2,-152.8994926142
S22x5/04-1.5,-152.8961892405
S22x5/04-2.0,-152.8936915057
S22x5/05-A,-40.5205663117
S22x5/05-B,-40.5205663232
S22x5/05-0.9,-81.0414836991
S22x5/05-1.0,-81.0418625951
S22x5/05-1.2,-81.0415133888
S22x5/05-1.5,-81.0411898012
S22x5/05-2.0,-81.0411352823
S22x5/06-A,-78.5930700338
S22x5/06-B,-78.5930701948
S22x5/06-0.9,-157.186777809
S22x5/06-1.0,-157.1880835558
S22x5/06-1.2,-157.1872168213
S22x5/06-1.5,-157.1863652778
S22x5/06-2.0,-157.1861459333
S22x5/07-A,-78.593062547
S22x5/07-B,-77.3305276932
S22x5/07-0.9,-155.9259140863
S22x5/07-1.0,-155.9262280642
S22x5/07-1.2,-155.9254301512
S22x5/07-1.5,-155.9243856695
S22x5/07-2.0,-155.923795685
S22x5/08-A,-189.7972748594
S22x5/08-B,-189.7972748984
S22x5/08-0.9,-379.6266262584
S22x5/08-1.0,-379.6284459413
S22x5/08-1.2,-379.6217693653
S22x5/08-1.5,-379.610263322
S22x5/08-2.0,-379.6006578599
S22x5/09-A,-169.9256323508
S22x5/09-B,-169.9256324056
S22x5/09-0.9,-339.8774310453
S22x5/09-1.0,-339.8789469645
S22x5/09-1.2,-339.8737761913
S22x5/09-1.5,-339.8647189804
S22x5/09-2.0,-339.8570933443
S22x5/10-A,-232.2696979333
S22x5/10-B,-76.4459077288
S22x5/10-0.9,-308.7203785199
S22x5/10-1.0,-308.7208160201
S22x5/10-1.2,-308.7196287157
S22x5/10-1.5,-308.7177836354
S22x5/10-2.0,-308.7163989858
S22x5/11-A,-232.2697336807
S22x5/11-B,-56.5707158422
S22x5/11-0.9,-288.8426972532
S22x5/11-1.0,-288.8434541962
S22x5/11-1.2,-288.8427862414
S22x5/11-1.5,-288.8415932476
S22x5/11-2.0,-288.8407478283
S22x5/12-A,-232.2697903674
S22x5/12-B,-40.5205564635
S22x5/12-0.9,-272.7907430717
S22x5/12-1.0,-272.7917151609
S22x5/12-1.2,-272.7915810444
S22x5/12-1.5,-272.7908699739
S22x5/12-2.0,-272.7904261274
S22x5/13-A,-232.2697716562
S22x5/13-B,-232.2697618483
S22x5/13-0.9,-464.5401147299
S22x5/13-1.0,-464.5416853591
S22x5/13-1.2,-464.5417150621
S22x5/13-1.5,-464.5406682917
S22x5/13-2.0,-464.5398337077
S22x5/14-A,-232.2697771901
S22x5/14-B,-232.2697771277
S22x5/14-0.9,-464.5329131283
S22x5/14-1.0,-464.5392514268
S22x5/14-1.2,-464.5403943531
S22x5/14-1.5,-464.5396640129
S22x5/14-2.0,-464.539427826
S22x5/15-A,-232.2696386812
S22x5/15-B,-363.8627641353
S22x5/15-0.9,-596.1363986524
S22x5/15-1.0,-596.1384188331
S22x5/15-1.2,-596.1380941237
S22x5/15-1.5,-596.1358535311
S22x5/15-2.0,-596.1337703332
S22x5/16-A,-232.2697130484
S22x5/16-B,-363.8626885631
S22x5/16-0.9,-596.1252229868
S22x5/16-1.0,-596.1328083773
S22x5/16-1.2,-596.1340872457
S22x5/16-1.5,-596.1327228025
S22x5/16-2.0,-596.1322473426
S22x5/17-A,-264.3435357828
S22x5/17-B,-264.3435143839
S22x5/17-0.9,-528.6823823308
S22x5/17-1.0,-528.6890971163
S22x5/17-1.2,-528.6894790079
S22x5/17-1.5,-528.6878490588
S22x5/17-2.0,-528.6871296373
S22x5/18-A,-323.5653360833
S22x5/18-B,-303.6917810139
S22x5/18-0.9,-627.2835723096
S22x5/18-1.0,-627.2849907267
S22x5/18-1.2,-627.2795322071
S22x5/18-1.5,-627.2699763282
S22x5/18-2.0,-627.2621540091
S22x5/19-A,-307.5126619746
S22x5/19-B,-307.5125589348
S22x5/19-0.9,-615.0338101767
S22x5/19-1.0,-615.0346544726
S22x5/19-1.2,-615.033059971
S22x5/19-1.5,-615.0298167957
S22x5/19-2.0,-615.027091337
S22x5/20-A,-414.8923535657
S22x5/20-B,-414.8923535232
S22x5/20-0.9,-829.7870548852
S22x5/20-1.0,-829.7942437338
S22x5/20-1.2,-829.7918104311
S22x5/20-1.5,-829.787681881
S22x5/20-2.0,-829.785601468
S22x5/21-A,-414.8916233995
S22x5/21-B,-414.8916234158
S22x5/21-0.9,-829.8158633101
S22x5/21-1.0,-829.8173482713
S22x5/21-1.2,-829.8108933221
S22x5/21-1.5,-829.7998210223
S22x5/21-2.0,-829.7903952411
S22x5/22-A,-232.2697095578
S22x5/22-B,-93.4262542385
S22x5/22-0.9,-325.7018744649
S22x5/22-1.0,-325.7026975288
S22x5/22-1.2,-325.7014944607
S22x5/22-1.5,-325.6991635757
S22x5/22-2.0,-325.6972467259
S66x8/01-A,-76.4460454679
S66x8/01-B,-76.4460324239
S66x8/01-090,-152.901461226
S66x8/01-095,-152.9016236263
S66x8/01-100,-152.9013647613
S66x8/01-105,-152.9008654809
S66x8/01-110,-152.9002434448
S66x8/01-125,-152.8982549285
S66x8/01-150,-152.8957586832
S66x8/01-200,-152.8934794647
S66x8/02-A,-76.44605233
S66x8/02-B,-115.7450173285
S66x8/02-090,-192.2009797057
