system,PWPB95/def2-QZVP/ORCA
S22x5/01-A,-467.234739472
S22x5/01-B,-454.0674383302
S22x5/01-0.9,-921.321561695
S22x5/01-1.0,-921.3243176227
S22x5/01-1.2,-921.3206036868
S22x5/01-1.5,-921.312526052
S22x5/01-2.0,-921.3058251872
S22x5/02-A,-467.2343590896
S22x5/02-B,-454.0685632531
S22x5/02-0.9,-921.306847196
S22x5/02-1.0,-921.3150783621
S22x5/02-1.2,-921.3123295415
S22x5/02-1.5,-921.3067713508
S22x5/02-2.0,-921.3040151303
S22x5/03-A,-56.546942324
S22x5/03-B,-56.5469423228
S22x5/03-0.9,-113.0968887143
S22x5/03-1.0,-113.0982485438
S22x5/03-1.2,-113.0973572283
S22x5/03-1.5,-113.0956226992
S22x5/03-2.0,-113.0944446254
S22x5/04-A,-76.4264610216
S22x5/04-B,-76.4265019908
S22x5/04-0.9,-152.8593830857
S22x5/04-1.0,-152.8605914143
S22x5/04-1.2,-152.8593727577
S22x5/04-1.5,-152.8567087656
S22x5/04-2.0,-152.8545568244
S22x5/05-A,-40.4952895409
S22x5/05-B,-40.4952895415
S22x5/05-0.9,-80.9903692333
S22x5/05-1.0,-80.9909927248
S22x5/05-1.2,-80.9908468192
S22x5/05-1.5,-80.9906302496
S22x5/05-2.0,-80.9905816261
S22x5/06-A,-78.5569178516
S22x5/06-B,-78.5569178508
S22x5/06-0.9,-157.1134827869
S22x5/06-1.0,-157.1150664831
S22x5/06-1.2,-157.1150117271
S22x5/06-1.5,-157.1141257917
S22x5/06-2.0,-157.1138556332
S22x5/07-A,-78.5569110022
S22x5/07-B,-77.3073654597
S22x5/07-0.9,-155.8652815225
S22x5/07-1.0,-155.866039889
S22x5/07-1.2,-155.8656855855
S22x5/07-1.5,-155.8649914472
S22x5/07-2.0,-155.8644815774
S22x5/08-A,-189.7509789888
S22x5/08-B,-189.7509789859
S22x5/08-0.9,-379.5264731105
S22x5/08-1.0,-379.5299836834
S22x5/08-1.2,-379.5257063414
S22x5/08-1.5,-379.51606176
S22x5/08-2.0,-379.5076657292
S22x5/09-A,-169.8742931841
S22x5/09-B,-169.8742931888
S22x5/09-0.9,-339.76858051
S22x5/09-1.0,-339.77163958
S22x5/09-1.2,-339.7684766918
S22x5/09-1.5,-339.7609136427
S22x5/09-2.0,-339.7541442786
S22x5/10-A,-232.1705124117
