system,PWRB95/def2-QZVP/Turbomole
S22x5/01-A,-468.10064
S22x5/01-B,-454.89097
S22x5/01-0.9,-923.0126906024
S22x5/01-1.0,-923.0150331022
S22x5/01-1.2,-923.0108257509
S22x5/01-1.5,-923.0023993803
S22x5/01-2.0,-922.9953757738
S22x5/02-A,-468.10042
S22x5/02-B,-454.89208
S22x5/02-0.9,-922.9982458359
S22x5/02-1.0,-923.0063382474
S22x5/02-1.2,-923.0027210541
S22x5/02-1.5,-922.9966738275
S22x5/02-2.0,-918.8151829858
S22x5/03-A,-56.66918
S22x5/03-B,-56.66918
S22x5/03-0.9,-113.3416051614
S22x5/03-1.0,-113.3428941142
S22x5/03-1.2,-113.3419023024
S22x5/03-1.5,-113.3401086793
S22x5/03-2.0,-113.3388992814
S22x5/04-A,-76.55872
S22x5/04-B,-76.55875
S22x5/04-0.9,-153.1240208928
S22x5/04-1.0,-153.1251538745
S22x5/04-1.2,-153.1238540952
S22x5/04-1.5,-153.1211963115
S22x5/04-2.0,-153.1190249778
S22x5/05-A,-40.60734
S22x5/05-B,-40.60734
S22x5/05-0.9,-81.2148186994
S22x5/05-1.0,-81.2152829355
S22x5/05-1.2,-81.215005175
S22x5/05-1.5,-81.2147420302
S22x5/05-2.0,-81.214681548
S22x5/06-A,-78.74058
S22x5/06-B,-78.74058
S22x5/06-0.9,-157.4814704045
S22x5/06-1.0,-157.4829789592
S22x5/06-1.2,-157.4823450264
S22x5/06-1.5,-157.4814255661
S22x5/06-2.0,-157.481188417
S22x5/07-A,-78.74058
S22x5/07-B,-77.4695
S22x5/07-0.9,-156.2113814956
S22x5/07-1.0,-156.2120316923
S22x5/07-1.2,-156.2116190548
S22x5/07-1.5,-156.2108037977
S22x5/07-2.0,-156.2102762783
S22x5/08-A,-190.06554
S22x5/08-B,-190.06554
S22x5/08-0.9,-380.1568591599
S22x5/08-1.0,-380.1600572109
S22x5/08-1.2,-380.1553832651
S22x5/08-1.5,-380.145430235
S22x5/08-2.0,-380.1368291485
S22x5/09-A,-170.17883
S22x5/09-B,-170.17883
S22x5/09-0.9,-340.3790076154
S22x5/09-1.0,-340.381760549
S22x5/09-1.2,-340.3781627812
S22x5/09-1.5,-340.3702296551
S22x5/09-2.0,-340.3632667046
S22x5/10-A,-232.66031
S22x5/10-B,-76.55868
S22x5/10-0.9,-309.223167335
S22x5/10-1.0,-309.2237274879
S22x5/10-1.2,-309.2227169978
S22x5/10-1.5,-309.2210082425
S22x5/10-2.0,-309.2196890626
S22x5/11-A,-232.66032
