system,r2SCAN/def2-QZVP/Turbomole
S22x5/01-A,-467.2856524141
S22x5/01-B,-454.1147390894
S22x5/01-0.9,-921.4233282295
S22x5/01-1.0,-921.4249575289
S22x5/01-1.2,-921.4199293903
S22x5/01-1.5,-921.4110085775
S22x5/01-2.0,-921.4038979085
S22x5/02-A,-467.285301297
S22x5/02-B,-454.1157702597
S22x5/02-0.9,-921.4044584026
S22x5/02-1.0,-921.4136543474
S22x5/02-1.2,-921.4099806396
S22x5/02-1.5,-921.4042022824
S22x5/02-2.0,-921.4020014611
S22x5/03-A,-56.553015597
S22x5/03-B,-56.553015597
S22x5/03-0.9,-113.1097398212
S22x5/03-1.0,-113.1108531262
S22x5/03-1.2,-113.109636336
S22x5/03-1.5,-113.1077121233
S22x5/03-2.0,-113.1065648439
S22x5/04-A,-76.4287879535
S22x5/04-B,-76.4288114154
S22x5/04-0.9,-152.8653506312
S22x5/04-1.0,-152.8661384389
S22x5/04-1.2,-152.8643630785
S22x5/04-1.5,-152.8613773927
S22x5/04-2.0,-152.859134082
S22x5/05-A,-40.5036835868
S22x5/05-B,-40.5036835868
S22x5/05-0.9,-81.0073294817
S22x5/05-1.0,-81.0078374063
S22x5/05-1.2,-81.0075599588
S22x5/05-1.5,-81.0073873973
S22x5/05-2.0,-81.0073683911
S22x5/06-A,-78.5671046749
S22x5/06-B,-78.5671046749
S22x5/06-0.9,-157.1340322788
S22x5/06-1.0,-157.135599501
S22x5/06-1.2,-157.1348998336
S22x5/06-1.5,-157.134308716
S22x5/06-2.0,-157.1342145695
S22x5/07-A,-78.5670973302
S22x5/07-B,-77.3113527995
S22x5/07-0.9,-155.8799450148
S22x5/07-1.0,-155.8804074883
S22x5/07-1.2,-155.8798381112
S22x5/07-1.5,-155.8790467576
S22x5/07-2.0,-155.8786325444
S22x5/08-A,-189.7608792535
S22x5/08-B,-189.7608792535
S22x5/08-0.9,-379.5514459273
S22x5/08-1.0,-379.5536816817
S22x5/08-1.2,-379.5477849056
S22x5/08-1.5,-379.5368498289
S22x5/08-2.0,-379.5275756081
S22x5/09-A,-169.8880347285
S22x5/09-B,-169.8880347285
S22x5/09-0.9,-339.7994072518
S22x5/09-1.0,-339.8015381221
S22x5/09-1.2,-339.7972051409
S22x5/09-1.5,-339.7887709779
S22x5/09-2.0,-339.7815941063
S22x5/10-A,-232.2044645467
S22x5/10-B,-76.4287474018
S22x5/10-0.9,-308.6380621163
S22x5/10-1.0,-308.6384551127
S22x5/10-1.2,-308.6370734613
S22x5/10-1.5,-308.6351256966
S22x5/10-2.0,-308.6338803077
S22x5/11-A,-232.204477819
S22x5/11-B,-56.5529844002
S22x5/11-0.9,-288.759811415
S22x5/11-1.0,-288.7604637878
S22x5/11-1.2,-288.759701689
S22x5/11-1.5,-288.7584672599
S22x5/11-2.0,-288.7577629867
S22x5/12-A,-232.2044938886
S22x5/12-B,-40.5036838776
S22x5/12-0.9,-272.7083381961
S22x5/12-1.0,-272.7093093396
S22x5/12-1.2,-272.7091489482
S22x5/12-1.5,-272.708492045
S22x5/12-2.0,-272.7082249854
S22x5/13-A,-232.2044825618
S22x5/13-B,-232.2044798773
S22x5/13-0.9,-464.4094083897
S22x5/13-1.0,-464.4109429987
S22x5/13-1.2,-464.4108793767
S22x5/13-1.5,-464.40981304
S22x5/13-2.0,-464.4091842275
S22x5/14-A,-232.2044837329
S22x5/14-B,-232.2044837329
S22x5/14-0.9,-464.404266735
S22x5/14-1.0,-464.4100043702
S22x5/14-1.2,-464.4101792471
S22x5/14-1.5,-464.4090430571
S22x5/14-2.0,-464.4089181356
S22x5/15-A,-232.2044392686
S22x5/15-B,-363.7660738308
S22x5/15-0.9,-595.9745968332
S22x5/15-1.0,-595.9765564575
S22x5/15-1.2,-595.9760223187
S22x5/15-1.5,-595.973606027
S22x5/15-2.0,-595.9717004039
S22x5/16-A,-232.204463696
S22x5/16-B,-363.7660501717
S22x5/16-0.9,-595.9659646449
S22x5/16-1.0,-595.9730125635
S22x5/16-1.2,-595.9728698172
S22x5/16-1.5,-595.9706531265
S22x5/16-2.0,-595.9702602285
S22x5/17-A,-264.2792091381
S22x5/17-B,-264.2792035203
S22x5/17-0.9,-528.5560003068
S22x5/17-1.0,-528.5619176334
S22x5/17-1.2,-528.5611705656
S22x5/17-1.5,-528.5590888831
S22x5/17-2.0,-528.5585086508
S22x5/18-A,-323.4896091186
S22x5/18-B,-303.6132781074
S22x5/18-0.9,-627.1271594385
S22x5/18-1.0,-627.1288953458
S22x5/18-1.2,-627.1240440785
S22x5/18-1.5,-627.1150902356
S22x5/18-2.0,-627.1076743071
S22x5/19-A,-307.4348819895
S22x5/19-B,-307.4348835079
S22x5/19-0.9,-614.8773936275
S22x5/19-1.0,-614.8785800884
S22x5/19-1.2,-614.8770605061
S22x5/19-1.5,-614.8738774442
S22x5/19-2.0,-614.8712931993
S22x5/20-A,-414.8046984569
S22x5/20-B,-414.8046984569
S22x5/20-0.9,-829.6151858318
S22x5/20-1.0,-829.6213453089
S22x5/20-1.2,-829.6170566685
S22x5/20-1.5,-829.6121824083
S22x5/20-2.0,-829.6102834767
S22x5/21-A,-414.8038961196
S22x5/21-B,-414.8038961196
S22x5/21-0.9,-829.6374023156
S22x5/21-1.0,-829.639431018
S22x5/21-1.2,-829.6338251466
S22x5/21-1.5,-829.6233988686
S22x5/21-2.0,-829.6144818583
S22x5/22-A,-232.2044523071
S22x5/22-B,-93.4086793076
S22x5/22-0.9,-325.6182686107
S22x5/22-1.0,-325.6192270936
S22x5/22-1.2,-325.6181367975
S22x5/22-1.5,-325.6159163103
S22x5/22-2.0,-325.6142775314
S66x8/01-A,-76.4288063896
S66x8/01-B,-76.4288075546
S66x8/01-090,-152.8657148783
S66x8/01-095,-152.8660422854
S66x8/01-100,-152.8659281751
S66x8/01-105,-152.8655528127
S66x8/01-110,-152.8650382403
S66x8/01-125,-152.8632987299
S66x8/01-150,-152.8610350543
S66x8/01-200,-152.8589978838
S66x8/02-A,-76.428808347
S66x8/02-B,-115.7132820269
S66x8/02-090,-192.1508321059
