system,revM11/def2-QZVP/Turbomole7.5.1
S22x5/01-A,-467.2509709809
S22x5/01-B,-454.0942640887
S22x5/01-0.9,-921.3668451932
S22x5/01-1.0,-921.3694758343
S22x5/01-1.2,-921.3654174432
S22x5/01-1.5,-921.3564121868
S22x5/01-2.0,-921.3487929288
S22x5/02-A,-467.24960213
S22x5/02-B,-454.095089626
S22x5/02-0.9,-921.3541156028
S22x5/02-1.0,-921.3635497157
S22x5/02-1.2,-921.3562072188
S22x5/02-1.5,-921.3478335464
S22x5/02-2.0,-921.3456419975
S22x5/03-A,-56.5591950658
S22x5/03-B,-56.5591950658
S22x5/03-0.9,-113.1225014641
S22x5/03-1.0,-113.1238834218
S22x5/03-1.2,-113.1224713944
S22x5/03-1.5,-113.120163665
S22x5/03-2.0,-113.1189445266
S22x5/04-A,-76.4391971086
S22x5/04-B,-76.4392317021
S22x5/04-0.9,-152.8860802391
S22x5/04-1.0,-152.8871771708
S22x5/04-1.2,-152.8856021294
S22x5/04-1.5,-152.8824453325
S22x5/04-2.0,-152.8800585209
S22x5/05-A,-40.5054129141
S22x5/05-B,-40.5054129141
S22x5/05-0.9,-81.0120293416
S22x5/05-1.0,-81.0118480171
S22x5/05-1.2,-81.0110055179
S22x5/05-1.5,-81.0108407161
S22x5/05-2.0,-81.0108274719
S22x5/06-A,-78.5612684127
S22x5/06-B,-78.5612684127
S22x5/06-0.9,-157.1248932035
S22x5/06-1.0,-157.1257467443
S22x5/06-1.2,-157.1236092533
S22x5/06-1.5,-157.1226438665
S22x5/06-2.0,-157.1225435999
S22x5/07-A,-78.5612551914
S22x5/07-B,-77.3041584605
S22x5/07-0.9,-155.8670993412
S22x5/07-1.0,-155.8676631358
S22x5/07-1.2,-155.866965893
S22x5/07-1.5,-155.8660435804
S22x5/07-2.0,-155.865602247
S22x5/08-A,-189.7686113432
S22x5/08-B,-189.7686113432
S22x5/08-0.9,-379.5651158828
S22x5/08-1.0,-379.5683374097
S22x5/08-1.2,-379.5636973207
S22x5/08-1.5,-379.5530402393
S22x5/08-2.0,-379.5432258697
S22x5/09-A,-169.891864262
S22x5/09-B,-169.891864262
S22x5/09-0.9,-339.8055584466
S22x5/09-1.0,-339.808893253
S22x5/09-1.2,-339.8056760596
S22x5/09-1.5,-339.7970998723
S22x5/09-2.0,-339.7894158036
S22x5/10-A,-232.1605967701
S22x5/10-B,-76.4390432465
S22x5/10-0.9,-308.6057370452
S22x5/10-1.0,-308.6060371472
S22x5/10-1.2,-308.604112439
S22x5/10-1.5,-308.6016730082
S22x5/10-2.0,-308.6003534722
