system,revPBE/def2-QZVP/ORCA
S22x5/01-A,-467.4126766764
S22x5/01-B,-454.2252896402
S22x5/01-0.9,-921.6510789414
S22x5/01-1.0,-921.6546870458
S22x5/01-1.2,-921.6527594739
S22x5/01-1.5,-921.6467324184
S22x5/01-2.0,-921.6412656359
S22x5/02-A,-467.4124228376
S22x5/02-B,-454.2260321122
S22x5/02-0.9,-921.6125305133
S22x5/02-1.0,-921.6311875091
S22x5/02-1.2,-921.6405655908
S22x5/02-1.5,-921.6408589713
S22x5/02-2.0,-921.6393618086
S22x5/03-A,-56.5728042134
S22x5/03-B,-56.5728042134
S22x5/03-0.9,-113.1462123026
S22x5/03-1.0,-113.1482149343
S22x5/03-1.2,-113.1483415557
S22x5/03-1.5,-113.1471916705
S22x5/03-2.0,-113.1461516815
S22x5/04-A,-76.4468073428
S22x5/04-B,-76.4467774097
S22x5/04-0.9,-152.8978915299
S22x5/04-1.0,-152.8995431449
S22x5/04-1.2,-152.8990667837
S22x5/04-1.5,-152.8970693439
S22x5/04-2.0,-152.8951282889
S22x5/05-A,-40.5220351646
S22x5/05-B,-40.5220351646
S22x5/05-0.9,-81.0415109235
S22x5/05-1.0,-81.0433261818
S22x5/05-1.2,-81.0441080133
S22x5/05-1.5,-81.0440978859
S22x5/05-2.0,-81.0440718689
S22x5/06-A,-78.6001542259
S22x5/06-B,-78.6001542259
S22x5/06-0.9,-157.1946137411
S22x5/06-1.0,-157.1985638398
S22x5/06-1.2,-157.2004108122
S22x5/06-1.5,-157.2004300434
S22x5/06-2.0,-157.2003137848
S22x5/07-A,-78.600147505
S22x5/07-B,-77.3452668679
S22x5/07-0.9,-155.9449409552
S22x5/07-1.0,-155.9461212677
S22x5/07-1.2,-155.9464399396
S22x5/07-1.5,-155.9460079625
S22x5/07-2.0,-155.9455963227
S22x5/08-A,-189.8052623702
S22x5/08-B,-189.8052623702
S22x5/08-0.9,-379.62901902
S22x5/08-1.0,-379.6333438227
S22x5/08-1.2,-379.6306293353
S22x5/08-1.5,-379.622913177
S22x5/08-2.0,-379.6158648454
S22x5/09-A,-169.9339802748
S22x5/09-B,-169.9339802748
S22x5/09-0.9,-339.8822239304
S22x5/09-1.0,-339.8861030883
S22x5/09-1.2,-339.8846257714
S22x5/09-1.5,-339.878932061
S22x5/09-2.0,-339.8732374649
S22x5/10-A,-232.2802705541
S22x5/10-B,-76.4467731422
S22x5/10-0.9,-308.7265931705
S22x5/10-1.0,-308.7284555487
S22x5/10-1.2,-308.7292201758
S22x5/10-1.5,-308.7286383984
S22x5/10-2.0,-308.7276737038
S22x5/11-A,-232.2802471035
S22x5/11-B,-56.5727430059
S22x5/11-0.9,-288.8504656811
S22x5/11-1.0,-288.8525503388
S22x5/11-1.2,-288.8538103781
S22x5/11-1.5,-288.8537635713
S22x5/11-2.0,-288.853279097
S22x5/12-A,-232.2802289628
S22x5/12-B,-40.5219027999
S22x5/12-0.9,-272.7978299012
S22x5/12-1.0,-272.8001769106
S22x5/12-1.2,-272.8018885208
S22x5/12-1.5,-272.8022880558
S22x5/12-2.0,-272.8021887013
S22x5/13-A,-232.2802471572
S22x5/13-B,-232.2802568026
S22x5/13-0.9,-464.5545714754
S22x5/13-1.0,-464.5578609016
S22x5/13-1.2,-464.5603478718
S22x5/13-1.5,-464.5609411296
S22x5/13-2.0,-464.5607174148
S22x5/14-A,-232.2802272
S22x5/14-B,-232.2802272001
S22x5/14-0.9,-464.5426812272
S22x5/14-1.0,-464.5531183824
S22x5/14-1.2,-464.55909243
S22x5/14-1.5,-464.5603209354
S22x5/14-2.0,-464.5603994738
S22x5/15-A,-232.2803090286
S22x5/15-B,-363.8754696627
S22x5/15-0.9,-596.1511024639
S22x5/15-1.0,-596.155189086
S22x5/15-1.2,-596.1579306431
S22x5/15-1.5,-596.1579767665
S22x5/15-2.0,-596.1568785914
S22x5/16-A,-232.2802486856
S22x5/16-B,-363.8753709824
S22x5/16-0.9,-596.1335109521
S22x5/16-1.0,-596.1459700516
S22x5/16-1.2,-596.1535069924
S22x5/16-1.5,-596.1552613811
S22x5/16-2.0,-596.1554037862
S22x5/17-A,-264.3615304838
S22x5/17-B,-264.361538653
S22x5/17-0.9,-528.7060782243
S22x5/17-1.0,-528.7170873072
S22x5/17-1.2,-528.7228830097
S22x5/17-1.5,-528.72350165
S22x5/17-2.0,-528.7231662393
S22x5/18-A,-323.579209014
S22x5/18-B,-303.7030625349
S22x5/18-0.9,-627.2974191261
S22x5/18-1.0,-627.3009458603
S22x5/18-1.2,-627.2989113969
S22x5/18-1.5,-627.2926674493
S22x5/18-2.0,-627.2868270433
S22x5/19-A,-307.521067002
S22x5/19-B,-307.5210960054
S22x5/19-0.9,-615.0409765768
S22x5/19-1.0,-615.0439831225
S22x5/19-1.2,-615.0453902977
S22x5/19-1.5,-615.0448136552
S22x5/19-2.0,-615.0435413422
S22x5/20-A,-414.9046728754
S22x5/20-B,-414.9046728754
S22x5/20-0.9,-829.7928252303
S22x5/20-1.0,-829.8069393165
S22x5/20-1.2,-829.8126727506
S22x5/20-1.5,-829.8117123982
S22x5/20-2.0,-829.8101900974
S22x5/21-A,-414.9040776728
S22x5/21-B,-414.9040776728
S22x5/21-0.9,-829.8278438686
S22x5/21-1.0,-829.8317515162
S22x5/21-1.2,-829.82915838
S22x5/21-1.5,-829.82170487
S22x5/21-2.0,-829.8144906431
S22x5/22-A,-232.2802882385
S22x5/22-B,-93.4451168633
S22x5/22-0.9,-325.7248104164
S22x5/22-1.0,-325.7271469771
S22x5/22-1.2,-325.7282634153
S22x5/22-1.5,-325.7276454284
S22x5/22-2.0,-325.7264622068
S66x8/01-A,-76.4467454116
S66x8/01-B,-76.4467997828
S66x8/01-090,-152.8986136191
S66x8/01-095,-152.8993791251
S66x8/01-100,-152.8996637792
S66x8/01-105,-152.8996514051
S66x8/01-110,-152.8994613074
S66x8/01-125,-152.8984777492
S66x8/01-150,-152.8968695295
S66x8/01-200,-152.8950630649
S66x8/02-A,-76.4467462021
S66x8/02-B,-115.7445802692
S66x8/02-090,-192.1959418324
S66x8/02-095,-192.1969146363
S66x8/02-100,-192.1973365602
S66x8/02-105,-192.1974122325
S66x8/02-110,-192.1972760458
S66x8/02-125,-192.1963430773
S66x8/02-150,-192.1947055996
S66x8/02-200,-192.1928281961
S66x8/03-A,-76.446736213
S66x8/03-B,-95.8750513746
S66x8/03-090,-172.329825367
S66x8/03-095,-172.3306187978
S66x8/03-100,-172.3308278495
S66x8/03-105,-172.3306700391
S66x8/03-110,-172.3302933484
S66x8/03-125,-172.3286795346
S66x8/03-150,-172.3262369708
S66x8/03-200,-172.3236719295
S66x8/04-A,-76.4467403575
S66x8/04-B,-248.567660135
S66x8/04-090,-325.021139371
S66x8/04-095,-325.0222779915
S66x8/04-100,-325.0227818789
S66x8/04-105,-325.0228775649
S66x8/04-110,-325.0227181152
S66x8/04-125,-325.021576492
S66x8/04-150,-325.019474019
S66x8/04-200,-325.0165925462
S66x8/05-A,-115.7445021024
S66x8/05-B,-115.7446110294
S66x8/05-090,-231.4932905187
S66x8/05-095,-231.4943856853
S66x8/05-100,-231.4948993161
S66x8/05-105,-231.4950426921
S66x8/05-110,-231.4949556492
S66x8/05-125,-231.4940951124
S66x8/05-150,-231.4924687842
S66x8/05-200,-231.4905558187
S66x8/06-A,-115.7443900678
S66x8/06-B,-95.8750601793
S66x8/06-090,-211.6261673673
S66x8/06-095,-211.6274087435
S66x8/06-100,-211.62794219
S66x8/06-105,-211.6280190628
S66x8/06-110,-211.6278038854
S66x8/06-125,-211.626420843
S66x8/06-150,-211.6240147055
S66x8/06-200,-211.6213660459
S66x8/07-A,-115.7444992802
S66x8/07-B,-248.5673702691
S66x8/07-090,-364.3179368955
S66x8/07-095,-364.3192439237
S66x8/07-100,-364.319869603
S66x8/07-105,-364.3200524321
S66x8/07-110,-364.3199529712
S66x8/07-125,-364.3188879241
S66x8/07-150,-364.3164991456
S66x8/07-200,-364.3134311772
S66x8/08-A,-115.7444952045
S66x8/08-B,-76.4468014012
S66x8/08-090,-192.1958701803
S66x8/08-095,-192.1967514625
S66x8/08-100,-192.1971228578
S66x8/08-105,-192.1971747281
S66x8/08-110,-192.1970314898
S66x8/08-125,-192.1961205094
S66x8/08-150,-192.1945362414
S66x8/08-200,-192.1927243446
S66x8/09-A,-95.8749818818
S66x8/09-B,-115.7445522045
S66x8/09-090,-211.6197586155
S66x8/09-095,-211.6207773478
S66x8/09-100,-211.6213597634
S66x8/09-105,-211.6216611475
S66x8/09-110,-211.6217848672
S66x8/09-125,-211.6216401747
S66x8/09-150,-211.6210023561
S66x8/09-200,-211.620176369
