system,revPBE0/def2-QZVP/ORCA
S22x5/01-A,-467.3161758738
S22x5/01-B,-454.1348811102
S22x5/01-0.9,-921.4666981257
S22x5/01-1.0,-921.469633887
S22x5/01-1.2,-921.4668172125
S22x5/01-1.5,-921.4601251771
S22x5/01-2.0,-921.4543228901
S22x5/02-A,-467.3158287603
S22x5/02-B,-454.1360691257
S22x5/02-0.9,-921.4319458402
S22x5/02-1.0,-921.4482579875
S22x5/02-1.2,-921.454934805
S22x5/02-1.5,-921.4543835168
S22x5/02-2.0,-921.4528394992
S22x5/03-A,-56.5631101487
S22x5/03-B,-56.5631101399
S22x5/03-0.9,-113.1272995829
S22x5/03-1.0,-113.1291942937
S22x5/03-1.2,-113.1289152547
S22x5/03-1.5,-113.127652522
S22x5/03-2.0,-113.1266259342
S22x5/04-A,-76.4316617671
S22x5/04-B,-76.4317359129
S22x5/04-0.9,-152.8684422523
S22x5/04-1.0,-152.8698266755
S22x5/04-1.2,-152.869064021
S22x5/04-1.5,-152.8669068444
S22x5/04-2.0,-152.8649396764
S22x5/05-A,-40.5192852372
S22x5/05-B,-40.5192852495
S22x5/05-0.9,-81.0364859257
S22x5/05-1.0,-81.038007025
S22x5/05-1.2,-81.0386162855
S22x5/05-1.5,-81.0385941094
S22x5/05-2.0,-81.0385731526
S22x5/06-A,-78.5882063497
S22x5/06-B,-78.5882065091
S22x5/06-0.9,-157.1720308762
S22x5/06-1.0,-157.1753294024
S22x5/06-1.2,-157.1765842787
S22x5/06-1.5,-157.1765155076
S22x5/06-2.0,-157.1764184225
S22x5/07-A,-78.5882031174
S22x5/07-B,-77.3274531155
S22x5/07-0.9,-155.915629458
S22x5/07-1.0,-155.9166568236
S22x5/07-1.2,-155.9167893121
S22x5/07-1.5,-155.9162709732
S22x5/07-2.0,-155.9158492571
S22x5/08-A,-189.7616771271
S22x5/08-B,-189.7616771663
S22x5/08-0.9,-379.5456190122
S22x5/08-1.0,-379.5489228816
S22x5/08-1.2,-379.5449799345
S22x5/08-1.5,-379.5363975161
S22x5/08-2.0,-379.5288373579
S22x5/09-A,-169.8964163416
S22x5/09-B,-169.8964163968
S22x5/09-0.9,-339.8100947962
S22x5/09-1.0,-339.8132006369
S22x5/09-1.2,-339.8107849986
S22x5/09-1.5,-339.8043551396
S22x5/09-2.0,-339.7982472341
S22x5/10-A,-232.2439211896
S22x5/10-B,-76.4316062853
S22x5/10-0.9,-308.676200533
S22x5/10-1.0,-308.6776978858
S22x5/10-1.2,-308.6780481857
S22x5/10-1.5,-308.677262172
S22x5/10-2.0,-308.6762682265
S22x5/11-A,-232.2439444822
S22x5/11-B,-56.5630589033
S22x5/11-0.9,-288.8053564926
S22x5/11-1.0,-288.8071730228
S22x5/11-1.2,-288.8079874
S22x5/11-1.5,-288.807758793
S22x5/11-2.0,-288.8072586305
S22x5/12-A,-232.2439870792
S22x5/12-B,-40.5192574475
S22x5/12-0.9,-272.7598338267
S22x5/12-1.0,-272.7618236508
S22x5/12-1.2,-272.7631623917
S22x5/12-1.5,-272.7634062962
S22x5/12-2.0,-272.7632898751
S22x5/13-A,-232.2439766242
S22x5/13-B,-232.2439728487
S22x5/13-0.9,-464.4833893497
S22x5/13-1.0,-464.4862501191
S22x5/13-1.2,-464.4881686737
S22x5/13-1.5,-464.4884633319
S22x5/13-2.0,-464.4881725193
S22x5/14-A,-232.2439754797
S22x5/14-B,-232.2439754191
S22x5/14-0.9,-464.4723494549
S22x5/14-1.0,-464.4817299512
S22x5/14-1.2,-464.48669036
S22x5/14-1.5,-464.4877088394
S22x5/14-2.0,-464.4878312667
S22x5/15-A,-232.2438826578
S22x5/15-B,-363.8141187904
S22x5/15-0.9,-596.0553386539
S22x5/15-1.0,-596.0588914896
S22x5/15-1.2,-596.0608919948
S22x5/15-1.5,-596.0604691196
S22x5/15-2.0,-596.0592096991
S22x5/16-A,-232.2439253082
S22x5/16-B,-363.8140336538
S22x5/16-0.9,-596.0389728617
S22x5/16-1.0,-596.0500681204
S22x5/16-1.2,-596.0562371789
S22x5/16-1.5,-596.0575657795
S22x5/16-2.0,-596.0577696269
S22x5/17-A,-264.307002055
S22x5/17-B,-264.3069901119
S22x5/17-0.9,-528.5994300453
S22x5/17-1.0,-528.6094681604
S22x5/17-1.2,-528.6140748708
S22x5/17-1.5,-528.6143740744
S22x5/17-2.0,-528.6140542405
S22x5/18-A,-323.5148265355
S22x5/18-B,-303.6472744582
S22x5/18-0.9,-627.1793862336
S22x5/18-1.0,-627.1823364069
S22x5/18-1.2,-627.1795858704
S22x5/18-1.5,-627.1727609449
S22x5/18-2.0,-627.1666589191
S22x5/19-A,-307.4675677184
S22x5/19-B,-307.4675172608
