system,revTPSS/def2-QZVP/ORCA
S22x5/01-A,-467.4375833332
S22x5/01-B,-454.2419717424
S22x5/01-0.9,-921.6974160236
S22x5/01-1.0,-921.70050298
S22x5/01-1.2,-921.6969277269
S22x5/01-1.5,-921.68915398
S22x5/01-2.0,-921.6829024681
S22x5/02-A,-467.4374315244
S22x5/02-B,-454.2427594839
S22x5/02-0.9,-921.6719511312
S22x5/02-1.0,-921.6824974653
S22x5/02-1.2,-921.6843650746
S22x5/02-1.5,-921.6827502349
S22x5/02-2.0,-921.6810646293
S22x5/03-A,-56.566072885
S22x5/03-B,-56.5660728847
S22x5/03-0.9,-113.1348690197
S22x5/03-1.0,-113.1361026662
S22x5/03-1.2,-113.1352598744
S22x5/03-1.5,-113.1337131516
S22x5/03-2.0,-113.1326396715
S22x5/04-A,-76.4351166731
S22x5/04-B,-76.4350988588
S22x5/04-0.9,-152.8767353543
S22x5/04-1.0,-152.8778447803
S22x5/04-1.2,-152.8764319417
S22x5/04-1.5,-152.8738270597
S22x5/04-2.0,-152.8717392662
S22x5/05-A,-40.5272317214
S22x5/05-B,-40.5272317219
S22x5/05-0.9,-81.0532330356
S22x5/05-1.0,-81.0542747762
S22x5/05-1.2,-81.054571399
S22x5/05-1.5,-81.054492434
S22x5/05-2.0,-81.0544657554
S22x5/06-A,-78.608682454
S22x5/06-B,-78.6086824535
S22x5/06-0.9,-157.2149869254
S22x5/06-1.0,-157.2172257431
S22x5/06-1.2,-157.2176949901
S22x5/06-1.5,-157.2174797613
S22x5/06-2.0,-157.2173703575
S22x5/07-A,-78.6086893974
S22x5/07-B,-77.3499095183
S22x5/07-0.9,-155.959286728
S22x5/07-1.0,-155.95999442
S22x5/07-1.2,-155.9598161099
S22x5/07-1.5,-155.9592012027
S22x5/07-2.0,-155.9587793425
S22x5/08-A,-189.8001473986
S22x5/08-B,-189.800147401
S22x5/08-0.9,-379.624648324
S22x5/08-1.0,-379.6286238428
S22x5/08-1.2,-379.6240424064
S22x5/08-1.5,-379.6140438286
S22x5/08-2.0,-379.6058107413
S22x5/09-A,-169.9306498327
S22x5/09-B,-169.9306498265
S22x5/09-0.9,-339.8807702782
S22x5/09-1.0,-339.8839263628
S22x5/09-1.2,-339.880537484
S22x5/09-1.5,-339.8730988519
S22x5/09-2.0,-339.8666747759
S22x5/10-A,-232.3073986643
S22x5/10-B,-76.4350763784
S22x5/10-0.9,-308.7448718228
S22x5/10-1.0,-308.7456815814
S22x5/10-1.2,-308.7452443187
S22x5/10-1.5,-308.7441493215
S22x5/10-2.0,-308.7431133592
S22x5/11-A,-232.3073997018
S22x5/11-B,-56.5659966651
S22x5/11-0.9,-288.8734545403
S22x5/11-1.0,-288.874525473
S22x5/11-1.2,-288.8747316378
S22x5/11-1.5,-288.8742484416
S22x5/11-2.0,-288.8736998321
S22x5/12-A,-232.3074184691
S22x5/12-B,-40.5271501475
S22x5/12-0.9,-272.832847645
S22x5/12-1.0,-272.8341204078
S22x5/12-1.2,-272.8347786807
S22x5/12-1.5,-272.8347893121
S22x5/12-2.0,-272.8346183072
S22x5/13-A,-232.3074195779
S22x5/13-B,-232.3074221508
S22x5/13-0.9,-464.6125541684
S22x5/13-1.0,-464.6145896691
S22x5/13-1.2,-464.615557943
S22x5/13-1.5,-464.6154079776
S22x5/13-2.0,-464.6150539358
S22x5/14-A,-232.3073837252
S22x5/14-B,-232.3073837274
S22x5/14-0.9,-464.604900438
S22x5/14-1.0,-464.6113256972
S22x5/14-1.2,-464.6142794996
S22x5/14-1.5,-464.6147583111
S22x5/14-2.0,-464.6147863981
S22x5/15-A,-232.3074033479
S22x5/15-B,-363.9119847584
S22x5/15-0.9,-596.2197606304
S22x5/15-1.0,-596.2222345633
S22x5/15-1.2,-596.2229182499
S22x5/15-1.5,-596.2218658212
S22x5/15-2.0,-596.2205002304
S22x5/16-A,-232.3073864546
S22x5/16-B,-363.9119050741
S22x5/16-0.9,-596.207904839
S22x5/16-1.0,-596.2155397504
S22x5/16-1.2,-596.2186356386
S22x5/16-1.5,-596.2190900476
S22x5/16-2.0,-596.2190918724
S22x5/17-A,-264.3828817748
S22x5/17-B,-264.3828757963
S22x5/17-0.9,-528.7573193841
S22x5/17-1.0,-528.7641982176
S22x5/17-1.2,-528.7665048881
S22x5/17-1.5,-528.7662353546
S22x5/17-2.0,-528.7658401173
S22x5/18-A,-323.59749804
S22x5/18-B,-303.7239208964
S22x5/18-0.9,-627.3409488036
S22x5/18-1.0,-627.3441407046
S22x5/18-1.2,-627.3406195839
S22x5/18-1.5,-627.332642352
S22x5/18-2.0,-627.3260379479
S22x5/19-A,-307.5427927812
S22x5/19-B,-307.5428114526
S22x5/19-0.9,-615.0895300456
S22x5/19-1.0,-615.0911530623
S22x5/19-1.2,-615.0907767233
S22x5/19-1.5,-615.0888695114
S22x5/19-2.0,-615.0871055975
S22x5/20-A,-414.9148932244
S22x5/20-B,-414.9148932117
S22x5/20-0.9,-829.8254506234
S22x5/20-1.0,-829.8335621054
S22x5/20-1.2,-829.8343979455
S22x5/20-1.5,-829.8322401956
S22x5/20-2.0,-829.8306350094
S22x5/21-A,-414.9143553234
S22x5/21-B,-414.9143553124
S22x5/21-0.9,-829.8534979618
S22x5/21-1.0,-829.8568863709
S22x5/21-1.2,-829.8524848378
S22x5/21-1.5,-829.843194162
S22x5/21-2.0,-829.835195052
S22x5/22-A,-232.3074182799
S22x5/22-B,-93.4463049846
S22x5/22-0.9,-325.7567584362
S22x5/22-1.0,-325.7579190691
S22x5/22-1.2,-325.7575353914
S22x5/22-1.5,-325.7561721396
S22x5/22-2.0,-325.7548003786
S66x8/01-A,-76.4350690231
S66x8/01-B,-76.4351212704
S66x8/01-090,-152.8772946532
S66x8/01-095,-152.8777722907
S66x8/01-100,-152.8777730209
S66x8/01-105,-152.877494862
S66x8/01-110,-152.8770629796
S66x8/01-125,-152.875563107
S66x8/01-150,-152.8735826565
S66x8/01-200,-152.8716693415
S66x8/02-A,-76.435070253
S66x8/02-B,-115.7456581209
S66x8/02-090,-192.1877311645
S66x8/02-095,-192.1883926036
S66x8/02-100,-192.1885009315
S66x8/02-105,-192.1882805572
S66x8/02-110,-192.1878719694
S66x8/02-125,-192.186330224
S66x8/02-150,-192.1842351615
S66x8/02-200,-192.1822119015
S66x8/03-A,-76.4350611294
S66x8/03-B,-95.8779903565
S66x8/03-090,-172.323011458
S66x8/03-095,-172.3236842186
S66x8/03-100,-172.3237239095
S66x8/03-105,-172.3233655151
S66x8/03-110,-172.3227822716
S66x8/03-125,-172.3206187351
S66x8/03-150,-172.317656573
S66x8/03-200,-172.3148937581
S66x8/04-A,-76.4350651047
S66x8/04-B,-248.5808449217
S66x8/04-090,-325.0259769918
S66x8/04-095,-325.0267544777
S66x8/04-100,-325.0268671552
S66x8/04-105,-325.0265788506
S66x8/04-110,-325.0260661546
S66x8/04-125,-325.0240918735
S66x8/04-150,-325.0212716815
S66x8/04-200,-325.0180729826
S66x8/05-A,-115.7455034232
S66x8/05-B,-115.745675143
S66x8/05-090,-231.4978338153
S66x8/05-095,-231.498625978
S66x8/05-100,-231.4988264633
S66x8/05-105,-231.4986681879
S66x8/05-110,-231.4983030903
S66x8/05-125,-231.4968070643
S66x8/05-150,-231.4946973885
S66x8/05-200,-231.4926222518
S66x8/06-A,-115.7453584256
S66x8/06-B,-95.8779809787
S66x8/06-090,-211.6325555384
S66x8/06-095,-211.6336047935
S66x8/06-100,-211.6338822431
S66x8/06-105,-211.6336912326
S66x8/06-110,-211.6332301467
S66x8/06-125,-211.6311938872
S66x8/06-150,-211.6281632972
S66x8/06-200,-211.6252396435
S66x8/07-A,-115.7454884107
S66x8/07-B,-248.5804878809
S66x8/07-090,-364.3354692396
S66x8/07-095,-364.3364335149
S66x8/07-100,-364.336684342
S66x8/07-105,-364.3364903328
S66x8/07-110,-364.3360381498
S66x8/07-125,-364.3341336463
S66x8/07-150,-364.3308921715
S66x8/07-200,-364.3275238731
S66x8/08-A,-115.7454960578
S66x8/08-B,-76.4351231477
S66x8/08-090,-192.1873366181
S66x8/08-095,-192.1879297838
S66x8/08-100,-192.1880114269
S66x8/08-105,-192.1877915921
S66x8/08-110,-192.1874002098
S66x8/08-125,-192.1859460467
S66x8/08-150,-192.1839654606
S66x8/08-200,-192.1820303144
S66x8/09-A,-95.8778867486
S66x8/09-B,-115.7456139243
S66x8/09-090,-211.6257223686
S66x8/09-095,-211.6263559707
S66x8/09-100,-211.6265922576
S66x8/09-105,-211.6265888659
S66x8/09-110,-211.626479369
S66x8/09-125,-211.6258848181
S66x8/09-150,-211.6249937968
S66x8/09-200,-211.6241162738
S66x8/10-A,-95.8779944147
S66x8/10-B,-95.8780036555
S66x8/10-090,-191.7589204278
S66x8/10-095,-191.7597664935
S66x8/10-100,-191.7601046001
S66x8/10-105,-191.7601365981
S66x8/10-110,-191.7599717721
S66x8/10-125,-191.7591208837
S66x8/10-150,-191.7576269134
S66x8/10-200,-191.7565126676
S66x8/11-A,-95.8779453383
S66x8/11-B,-248.5806342493
S66x8/11-090,-344.4618606786
S66x8/11-095,-344.4627988999
S66x8/11-100,-344.4631823246
S66x8/11-105,-344.4632595351
S66x8/11-110,-344.463163533
S66x8/11-125,-344.4618691806
S66x8/11-150,-344.4602340072
S66x8/11-200,-344.4591656392
S66x8/12-A,-95.8779503286
S66x8/12-B,-76.4352223195
S66x8/12-090,-172.3225995794
S66x8/12-095,-172.3234671808
S66x8/12-100,-172.3236315643
S66x8/12-105,-172.3233502416
S66x8/12-110,-172.3228082546
S66x8/12-125,-172.3206849826
S66x8/12-150,-172.3177051855
S66x8/12-200,-172.3149071151
S66x8/13-A,-248.5805086633
S66x8/13-B,-115.7456543729
S66x8/13-090,-364.3314701614
S66x8/13-095,-364.3324013827
S66x8/13-100,-364.332766087
S66x8/13-105,-364.3327931541
S66x8/13-110,-364.3326056168
S66x8/13-125,-364.33155346
S66x8/13-150,-364.3298663445
S66x8/13-200,-364.3279418321
S66x8/14-A,-248.5803761711
S66x8/14-B,-95.8780029589
S66x8/14-090,-344.4656007372
S66x8/14-095,-344.4667451177
S66x8/14-100,-344.4671899974
S66x8/14-105,-344.4671886899
S66x8/14-110,-344.4669095813
S66x8/14-125,-344.465400657
S66x8/14-150,-344.4629889306
S66x8/14-200,-344.4604309373
S66x8/15-A,-248.5807592812
S66x8/15-B,-248.5807831773
S66x8/15-090,-497.1692807916
S66x8/15-095,-497.170409313
S66x8/15-100,-497.1708528423
S66x8/15-105,-497.170876765
S66x8/15-110,-497.1706356643
S66x8/15-125,-497.1692318906
S66x8/15-150,-497.1669084944
S66x8/15-200,-497.1639212143
S66x8/16-A,-248.580871977
S66x8/16-B,-76.435118701
S66x8/16-090,-325.021746509
S66x8/16-095,-325.0224279766
S66x8/16-100,-325.0226315369
S66x8/16-105,-325.0225426118
S66x8/16-110,-325.0222813993
S66x8/16-125,-325.0211699724
S66x8/16-150,-325.0195021542
S66x8/16-200,-325.0176926496
S66x8/17-A,-414.9145046139
S66x8/17-B,-414.9146663743
S66x8/17-090,-829.8497722108
S66x8/17-095,-829.8519545413
S66x8/17-100,-829.8525892635
S66x8/17-105,-829.8522368825
S66x8/17-110,-829.8512905234
S66x8/17-125,-829.8470774175
S66x8/17-150,-829.8405500785
S66x8/17-200,-829.8338776759
S66x8/18-A,-76.4350716915
S66x8/18-B,-248.3468167494
S66x8/18-090,-324.791237947
S66x8/18-095,-324.7919659456
S66x8/18-100,-324.7920556131
S66x8/18-105,-324.7917435345
S66x8/18-110,-324.7912018462
S66x8/18-125,-324.7891624041
S66x8/18-150,-324.7863568744
S66x8/18-200,-324.7837211118
S66x8/19-A,-115.7453761434
S66x8/19-B,-248.3468096193
S66x8/19-090,-364.1009393857
S66x8/19-095,-364.1019498929
S66x8/19-100,-364.1022397093
S66x8/19-105,-364.1020657043
S66x8/19-110,-364.1016709738
S66x8/19-125,-364.0996343255
S66x8/19-150,-364.0967914092
S66x8/19-200,-364.0939654844
S66x8/20-A,-229.1332626574
S66x8/20-B,-229.1332729675
S66x8/20-090,-458.2922951661
S66x8/20-095,-458.2947038387
S66x8/20-100,-458.295325803
S66x8/20-105,-458.2947868295
S66x8/20-110,-458.2935327427
S66x8/20-125,-458.2880577878
S66x8/20-150,-458.2798725363
S66x8/20-200,-458.2718259474
S66x8/21-A,-209.2610509036
S66x8/21-B,-209.2610522265
S66x8/21-090,-418.5424960355
S66x8/21-095,-418.5445019126
S66x8/21-100,-418.5450375814
S66x8/21-105,-418.5446392187
S66x8/21-110,-418.5436832465
S66x8/21-125,-418.5395705272
S66x8/21-150,-418.5334627724
S66x8/21-200,-418.5266164875
S66x8/22-A,-229.1331861039
S66x8/22-B,-414.9144093732
S66x8/22-090,-644.0726529394
S66x8/22-095,-644.0749926938
S66x8/22-100,-644.0756647276
S66x8/22-105,-644.0752431819
S66x8/22-110,-644.0741385341
S66x8/22-125,-644.0691832654
S66x8/22-150,-644.0614840437
S66x8/22-200,-644.0535685662
S66x8/23-A,-209.2609289243
S66x8/23-B,-414.914345206
S66x8/23-090,-624.1992908996
S66x8/23-095,-624.2015048896
S66x8/23-100,-624.2022110629
S66x8/23-105,-624.2019253519
S66x8/23-110,-624.2010158276
S66x8/23-125,-624.1966920018
S66x8/23-150,-624.1896805484
S66x8/23-200,-624.1820582792
S66x8/24-A,-232.3074082928
S66x8/24-B,-232.3074306642
S66x8/24-090,-464.6053634284
S66x8/24-095,-464.6092141576
S66x8/24-100,-464.6114767669
S66x8/24-105,-464.6128265663
S66x8/24-110,-464.6135666097
S66x8/24-125,-464.6144888202
S66x8/24-150,-464.614715809
S66x8/24-200,-464.614765237
S66x8/25-A,-248.3468541528
S66x8/25-B,-248.3468661889
S66x8/25-090,-496.6855302429
S66x8/25-095,-496.6894838726
S66x8/25-100,-496.6916692942
S66x8/25-105,-496.6928400888
S66x8/25-110,-496.6935720467
S66x8/25-125,-496.694224391
S66x8/25-150,-496.6941587464
S66x8/25-200,-496.6938561222
S66x8/26-A,-414.9148945038
S66x8/26-B,-414.9148944875
S66x8/26-090,-829.827667065
S66x8/26-095,-829.8316071457
S66x8/26-100,-829.833564751
S66x8/26-105,-829.8344781741
S66x8/26-110,-829.8347834353
S66x8/26-125,-829.8343219413
S66x8/26-150,-829.8327324912
S66x8/26-200,-829.8309286601
S66x8/27-A,-232.3074235698
S66x8/27-B,-248.3468645285
S66x8/27-090,-480.6453689489
S66x8/27-095,-480.6494608264
