system,revTPSS0/def2-QZVP/ORCA
S22x5/01-A,-467.3531197974
S22x5/01-B,-454.164837257
S22x5/01-0.9,-921.5372140452
S22x5/01-1.0,-921.5398225615
S22x5/01-1.2,-921.535728828
S22x5/01-1.5,-921.5276583566
S22x5/01-2.0,-921.5213061881
S22x5/02-A,-467.3528691818
S22x5/02-B,-454.1659864552
S22x5/02-0.9,-921.5122351297
S22x5/02-1.0,-921.5223412556
S22x5/02-1.2,-921.5236124925
S22x5/02-1.5,-921.5214451517
S22x5/02-2.0,-921.5197905049
S22x5/03-A,-56.5607059592
S22x5/03-B,-56.5607059579
S22x5/03-0.9,-113.1242375886
S22x5/03-1.0,-113.1254376664
S22x5/03-1.2,-113.1245574834
S22x5/03-1.5,-113.122995275
S22x5/03-2.0,-113.1219383502
S22x5/04-A,-76.4257460544
S22x5/04-B,-76.4257835089
S22x5/04-0.9,-152.8583013202
S22x5/04-1.0,-152.8592707717
S22x5/04-1.2,-152.8577665499
S22x5/04-1.5,-152.8551315122
S22x5/04-2.0,-152.8530602873
S22x5/05-A,-40.5256676802
S22x5/05-B,-40.5256676807
S22x5/05-0.9,-81.0502526387
S22x5/05-1.0,-81.0511616685
S22x5/05-1.2,-81.0513995323
S22x5/05-1.5,-81.0513473421
S22x5/05-2.0,-81.0513350131
S22x5/06-A,-78.5988257533
S22x5/06-B,-78.5988257521
S22x5/06-0.9,-157.1956694237
S22x5/06-1.0,-157.1976706407
S22x5/06-1.2,-157.198041747
S22x5/06-1.5,-157.1977519044
S22x5/06-2.0,-157.1976566907
S22x5/07-A,-78.5988152287
S22x5/07-B,-77.3349543343
S22x5/07-0.9,-155.9346694596
S22x5/07-1.0,-155.9353326031
S22x5/07-1.2,-155.9350512854
S22x5/07-1.5,-155.9343962732
S22x5/07-2.0,-155.9339617374
S22x5/08-A,-189.7647116457
S22x5/08-B,-189.7647116423
S22x5/08-0.9,-379.5559427427
S22x5/08-1.0,-379.559042663
S22x5/08-1.2,-379.5537366873
S22x5/08-1.5,-379.5434065778
S22x5/08-2.0,-379.5350217073
S22x5/09-A,-169.90063121
S22x5/09-B,-169.900631217
S22x5/09-0.9,-339.822363989
S22x5/09-1.0,-339.8250261544
S22x5/09-1.2,-339.8211033027
S22x5/09-1.5,-339.8133154378
S22x5/09-2.0,-339.8067325562
S22x5/10-A,-232.2749336385
S22x5/10-B,-76.425685898
S22x5/10-0.9,-308.7034104294
S22x5/10-1.0,-308.7041487695
S22x5/10-1.2,-308.7035616071
S22x5/10-1.5,-308.7023490801
S22x5/10-2.0,-308.7013005701
S22x5/11-A,-232.2749575162
S22x5/11-B,-56.5606673536
S22x5/11-0.9,-288.8360975418
S22x5/11-1.0,-288.837084593
S22x5/11-1.2,-288.8370877773
S22x5/11-1.5,-288.8364923075
S22x5/11-2.0,-288.8359353441
S22x5/12-A,-232.2749788551
S22x5/12-B,-40.5256788603
S22x5/12-0.9,-272.7993066766
S22x5/12-1.0,-272.8005434524
S22x5/12-1.2,-272.801015976
S22x5/12-1.5,-272.8008760394
S22x5/12-2.0,-272.8007122457
S22x5/13-A,-232.2749546803
S22x5/13-B,-232.2749467557
S22x5/13-0.9,-464.5482459791
S22x5/13-1.0,-464.5500813864
S22x5/13-1.2,-464.5508095938
S22x5/13-1.5,-464.5505514032
S22x5/13-2.0,-464.5501352907
S22x5/14-A,-232.2749757879
S22x5/14-B,-232.2749757862
S22x5/14-0.9,-464.5401387568
S22x5/14-1.0,-464.5468644434
S22x5/14-1.2,-464.5494344416
S22x5/14-1.5,-464.5497820263
S22x5/14-2.0,-464.5498700092
S22x5/15-A,-232.2748808572
S22x5/15-B,-363.8571700325
S22x5/15-0.9,-596.1332514612
S22x5/15-1.0,-596.1355862853
S22x5/15-1.2,-596.1360071231
S22x5/15-1.5,-596.1347237093
S22x5/15-2.0,-596.1332400682
S22x5/16-A,-232.2749396647
S22x5/16-B,-363.8571614568
S22x5/16-0.9,-596.1210816358
S22x5/16-1.0,-596.128794688
S22x5/16-1.2,-596.1315039342
S22x5/16-1.5,-596.1316957869
S22x5/16-2.0,-596.1318022421
S22x5/17-A,-264.3340411551
S22x5/17-B,-264.3340277537
S22x5/17-0.9,-528.6600308286
S22x5/17-1.0,-528.6669611836
S22x5/17-1.2,-528.6688850952
S22x5/17-1.5,-528.6685071602
S22x5/17-2.0,-528.6681559535
S22x5/18-A,-323.5416831314
S22x5/18-B,-303.6758991817
S22x5/18-0.9,-627.2381726343
S22x5/18-1.0,-627.2409488471
S22x5/18-1.2,-627.2369879723
S22x5/18-1.5,-627.2288356593
S22x5/18-2.0,-627.2221806197
S22x5/19-A,-307.4967986391
S22x5/19-B,-307.4967969858
