system,revTPSSh/def2-QZVP/ORCA
S22x5/01-A,-467.4021787873
S22x5/01-B,-454.2094801088
S22x5/01-0.9,-921.630113234
S22x5/01-1.0,-921.6330280749
S22x5/01-1.2,-921.6292229272
S22x5/01-1.5,-921.6213004974
S22x5/01-2.0,-921.6150143206
S22x5/02-A,-467.4019778387
S22x5/02-B,-454.2103907948
S22x5/02-0.9,-921.6048570699
S22x5/02-1.0,-921.6150905633
S22x5/02-1.2,-921.6168725662
S22x5/02-1.5,-921.6149489925
S22x5/02-2.0,-921.61328989
S22x5/03-A,-56.563718982
S22x5/03-B,-56.5637189804
S22x5/03-0.9,-113.1302207126
S22x5/03-1.0,-113.131425476
S22x5/03-1.2,-113.1305775345
S22x5/03-1.5,-113.1290361019
S22x5/03-2.0,-113.1279664377
S22x5/04-A,-76.4311438025
S22x5/04-B,-76.431142078
S22x5/04-0.9,-152.8689244222
S22x5/04-1.0,-152.8699719683
S22x5/04-1.2,-152.8685156947
S22x5/04-1.5,-152.8658921055
S22x5/04-2.0,-152.8638118786
S22x5/05-A,-40.5264787337
S22x5/05-B,-40.5264787343
S22x5/05-0.9,-81.0517896442
S22x5/05-1.0,-81.0527646475
S22x5/05-1.2,-81.053038982
S22x5/05-1.5,-81.0529745285
S22x5/05-2.0,-81.0529573011
S22x5/06-A,-78.6044884273
S22x5/06-B,-78.6044884259
S22x5/06-0.9,-157.2067303181
S22x5/06-1.0,-157.2088465566
S22x5/06-1.2,-157.2093600705
S22x5/06-1.5,-157.2090841791
S22x5/06-2.0,-157.208981656
S22x5/07-A,-78.6044790184
S22x5/07-B,-77.3437227162
S22x5/07-0.9,-155.9489847322
S22x5/07-1.0,-155.9496751262
S22x5/07-1.2,-155.949443827
S22x5/07-1.5,-155.9488150957
S22x5/07-2.0,-155.9483865632
S22x5/08-A,-189.7853379885
S22x5/08-B,-189.7853379841
S22x5/08-0.9,-379.5959110699
S22x5/08-1.0,-379.5995245351
S22x5/08-1.2,-379.5946579646
S22x5/08-1.5,-379.5845086339
S22x5/08-2.0,-379.5762240786
S22x5/09-A,-169.9180338379
S22x5/09-B,-169.9180338468
S22x5/09-0.9,-339.8562098798
S22x5/09-1.0,-339.8591893694
S22x5/09-1.2,-339.8555655339
S22x5/09-1.5,-339.8479601365
S22x5/09-2.0,-339.841480022
S22x5/10-A,-232.2936639682
S22x5/10-B,-76.4310959444
S22x5/10-0.9,-308.727341851
S22x5/10-1.0,-308.7281140888
S22x5/10-1.2,-308.7276045455
S22x5/10-1.5,-308.7264509641
S22x5/10-2.0,-308.7254103982
S22x5/11-A,-232.2936699941
S22x5/11-B,-56.5636766302
S22x5/11-0.9,-288.8576227614
S22x5/11-1.0,-288.8586524294
S22x5/11-1.2,-288.8587422285
S22x5/11-1.5,-288.8581997651
S22x5/11-2.0,-288.8576463884
S22x5/12-A,-232.2936756275
S22x5/12-B,-40.5264352016
S22x5/12-0.9,-272.8185809136
S22x5/12-1.0,-272.8198699786
S22x5/12-1.2,-272.8204293635
S22x5/12-1.5,-272.8203325512
S22x5/12-2.0,-272.820166016
S22x5/13-A,-232.2936659869
S22x5/13-B,-232.2936642898
S22x5/13-0.9,-464.5853719166
S22x5/13-1.0,-464.5872740972
S22x5/13-1.2,-464.5881229654
S22x5/13-1.5,-464.5879538281
S22x5/13-2.0,-464.5875538741
S22x5/14-A,-232.2936751169
S22x5/14-B,-232.2936751147
S22x5/14-0.9,-464.5773715773
S22x5/14-1.0,-464.5841002163
S22x5/14-1.2,-464.5868389023
S22x5/14-1.5,-464.5872227208
S22x5/14-2.0,-464.5872759913
S22x5/15-A,-232.2936431862
S22x5/15-B,-363.8888676199
S22x5/15-0.9,-596.1832789658
S22x5/15-1.0,-596.1856732053
S22x5/15-1.2,-596.1862333391
S22x5/15-1.5,-596.1850855672
S22x5/15-2.0,-596.1836560209
S22x5/16-A,-232.293658943
S22x5/16-B,-363.8888237544
S22x5/16-0.9,-596.1712252806
S22x5/16-1.0,-596.1789288417
S22x5/16-1.2,-596.1818760739
S22x5/16-1.5,-596.1821700975
S22x5/16-2.0,-596.18222001
S22x5/17-A,-264.3624978648
S22x5/17-B,-264.3624927542
S22x5/17-0.9,-528.7167266225
S22x5/17-1.0,-528.7236186549
S22x5/17-1.2,-528.7257531731
S22x5/17-1.5,-528.7254524358
S22x5/17-2.0,-528.7250800222
S22x5/18-A,-323.5740497066
S22x5/18-B,-303.7036672334
S22x5/18-0.9,-627.2976998108
S22x5/18-1.0,-627.3007401199
S22x5/18-1.2,-627.297001979
S22x5/18-1.5,-627.2889428302
S22x5/18-2.0,-627.2823235513
S22x5/19-A,-307.5233820141
S22x5/19-B,-307.5234300646
S22x5/19-0.9,-615.0509804221
S22x5/19-1.0,-615.0526921272
S22x5/19-1.2,-615.0520515299
S22x5/19-1.5,-615.0500682688
S22x5/19-2.0,-615.048248219
S22x5/20-A,-414.8836509197
S22x5/20-B,-414.8836509251
S22x5/20-0.9,-829.7635598869
S22x5/20-1.0,-829.7715079417
S22x5/20-1.2,-829.7720182678
S22x5/20-1.5,-829.7697734354
S22x5/20-2.0,-829.7681629868
S22x5/21-A,-414.8830238452
S22x5/21-B,-414.8830238562
S22x5/21-0.9,-829.7917044468
S22x5/21-1.0,-829.79486428
S22x5/21-1.2,-829.7901680682
S22x5/21-1.5,-829.7806899987
S22x5/21-2.0,-829.7725938195
S22x5/22-A,-232.2936431948
S22x5/22-B,-93.4371507565
S22x5/22-0.9,-325.7343036095
S22x5/22-1.0,-325.7353608274
