system,RPW86PBE/def2-QZVP/ORCA
S22x5/01-A,-468.5378480503
S22x5/01-B,-455.2990428598
S22x5/01-0.9,-923.8561465189
S22x5/01-1.0,-923.8591367153
S22x5/01-1.2,-923.8554001094
S22x5/01-1.5,-923.8470414915
S22x5/01-2.0,-923.8402075524
S22x5/02-A,-468.5373955874
S22x5/02-B,-455.2998540176
S22x5/02-0.9,-923.8247254245
S22x5/02-1.0,-923.8396000925
S22x5/02-1.2,-923.8421081147
S22x5/02-1.5,-923.839591097
S22x5/02-2.0,-923.838107974
S22x5/03-A,-56.7106149518
S22x5/03-B,-56.7106149518
S22x5/03-0.9,-113.424484184
S22x5/03-1.0,-113.4257606617
S22x5/03-1.2,-113.4245783751
S22x5/03-1.5,-113.4227610111
S22x5/03-2.0,-113.4216971274
S22x5/04-A,-76.6116364607
S22x5/04-B,-76.6116280215
S22x5/04-0.9,-153.2303209232
S22x5/04-1.0,-153.2314626637
S22x5/04-1.2,-153.2299111795
S22x5/04-1.5,-153.2269650672
S22x5/04-2.0,-153.2247576917
S22x5/05-A,-40.6371086884
S22x5/05-B,-40.6371086884
S22x5/05-0.9,-81.2732881242
S22x5/05-1.0,-81.2741292697
S22x5/05-1.2,-81.2742579607
S22x5/05-1.5,-81.2742254076
S22x5/05-2.0,-81.2742203609
S22x5/06-A,-78.8129577392
S22x5/06-B,-78.8129577392
S22x5/06-0.9,-157.6239596721
S22x5/06-1.0,-157.6261888118
S22x5/06-1.2,-157.6262237512
S22x5/06-1.5,-157.6259685383
S22x5/06-2.0,-157.6259189408
S22x5/07-A,-78.8129757567
S22x5/07-B,-77.5497191716
S22x5/07-0.9,-156.3636888153
S22x5/07-1.0,-156.364330622
S22x5/07-1.2,-156.3639355347
S22x5/07-1.5,-156.3632366671
S22x5/07-2.0,-156.3628612026
S22x5/08-A,-190.223274963
S22x5/08-B,-190.223274963
S22x5/08-0.9,-380.4706896632
S22x5/08-1.0,-380.4749350995
S22x5/08-1.2,-380.470921644
S22x5/08-1.5,-380.4608715287
S22x5/08-2.0,-380.4520430829
S22x5/09-A,-170.3254749414
S22x5/09-B,-170.3254749414
S22x5/09-0.9,-340.6709775139
S22x5/09-1.0,-340.6743029634
S22x5/09-1.2,-340.671041456
S22x5/09-1.5,-340.6631318302
S22x5/09-2.0,-340.6562437418
S22x5/10-A,-232.8892408226
S22x5/10-B,-76.6115738756
S22x5/10-0.9,-309.5030987947
S22x5/10-1.0,-309.5042006384
S22x5/10-1.2,-309.5036832561
S22x5/10-1.5,-309.5023841466
S22x5/10-2.0,-309.5014116238
S22x5/11-A,-232.889231291
S22x5/11-B,-56.7104875334
S22x5/11-0.9,-289.5997516633
S22x5/11-1.0,-289.6010435601
S22x5/11-1.2,-289.6011375004
S22x5/11-1.5,-289.6004727256
S22x5/11-2.0,-289.5999939646
S22x5/12-A,-232.8892359071
S22x5/12-B,-40.6370411976
S22x5/12-0.9,-273.5245062508
S22x5/12-1.0,-273.5260770039
S22x5/12-1.2,-273.5266140027
S22x5/12-1.5,-273.5264101929
S22x5/12-2.0,-273.5263028163
S22x5/13-A,-232.8892443811
S22x5/13-B,-232.8892524754
S22x5/13-0.9,-465.7759058568
S22x5/13-1.0,-465.7783261368
S22x5/13-1.2,-465.7793291653
S22x5/13-1.5,-465.778988416
S22x5/13-2.0,-465.7786590129
S22x5/14-A,-232.8891911775
S22x5/14-B,-232.8891911775
S22x5/14-0.9,-465.7673044812
S22x5/14-1.0,-465.7753121474
S22x5/14-1.2,-465.7781571991
S22x5/14-1.5,-465.7782714679
S22x5/14-2.0,-465.7783725228
S22x5/15-A,-232.8892614218
S22x5/15-B,-364.8039075745
S22x5/15-0.9,-597.6927722329
S22x5/15-1.0,-597.6958420928
S22x5/15-1.2,-597.6968127539
S22x5/15-1.5,-597.6955162417
S22x5/15-2.0,-597.6941814221
S22x5/16-A,-232.8892089832
S22x5/16-B,-364.803817719
S22x5/16-0.9,-597.6795941426
S22x5/16-1.0,-597.6895666261
S22x5/16-1.2,-597.6929646035
S22x5/16-1.5,-597.6927701802
S22x5/16-2.0,-597.6928438543
S22x5/17-A,-265.0155299574
S22x5/17-B,-265.0155076994
S22x5/17-0.9,-530.0212182401
S22x5/17-1.0,-530.0298619171
S22x5/17-1.2,-530.032059419
S22x5/17-1.5,-530.0314294471
S22x5/17-2.0,-530.0311297573
S22x5/18-A,-324.3673147603
S22x5/18-B,-304.4639256161
S22x5/18-0.9,-628.8518986063
S22x5/18-1.0,-628.8550396004
S22x5/18-1.2,-628.851515672
S22x5/18-1.5,-628.8430549285
S22x5/18-2.0,-628.8358580363
S22x5/19-A,-308.2861617137
S22x5/19-B,-308.2862560735
S22x5/19-0.9,-616.5767863569
S22x5/19-1.0,-616.5786852401
S22x5/19-1.2,-616.5782062858
S22x5/19-1.5,-616.5758204117
S22x5/19-2.0,-616.5738100466
S22x5/20-A,-415.8718358472
S22x5/20-B,-415.8718358472
S22x5/20-0.9,-831.7375202376
S22x5/20-1.0,-831.7480632478
S22x5/20-1.2,-831.748507076
S22x5/20-1.5,-831.7459307582
S22x5/20-2.0,-831.7445126136
S22x5/21-A,-415.8711924628
S22x5/21-B,-415.8711924628
S22x5/21-0.9,-831.7679763077
S22x5/21-1.0,-831.7715134604
S22x5/21-1.2,-831.7672463959
S22x5/21-1.5,-831.7574619579
S22x5/21-2.0,-831.7488541648
S22x5/22-A,-232.8892705949
S22x5/22-B,-93.6719390891
S22x5/22-0.9,-326.5634908055
S22x5/22-1.0,-326.5651609779
S22x5/22-1.2,-326.5650131096
S22x5/22-1.5,-326.5634908007
S22x5/22-2.0,-326.5622021006
S66x8/01-A,-76.6115922147
S66x8/01-B,-76.6116379917
S66x8/01-090,-153.2308798253
S66x8/01-095,-153.2313676564
S66x8/01-100,-153.2313644533
S66x8/01-105,-153.2310598116
S66x8/01-110,-153.2305836792
S66x8/01-125,-153.2288946067
S66x8/01-150,-153.2266531316
S66x8/01-200,-153.2246670608
S66x8/02-A,-76.6115966213
S66x8/02-B,-116.0161869443
S66x8/02-090,-192.6354974616
S66x8/02-095,-192.6361614533
S66x8/02-100,-192.6362545892
S66x8/02-105,-192.636003721
S66x8/02-110,-192.6355430298
S66x8/02-125,-192.6337850869
S66x8/02-150,-192.6313739355
S66x8/02-200,-192.6292269315
S66x8/03-A,-76.611595402
S66x8/03-B,-96.1190968619
S66x8/03-090,-172.7414253976
S66x8/03-095,-172.7420597783
S66x8/03-100,-172.7420733752
S66x8/03-105,-172.7416982493
S66x8/03-110,-172.7410836902
S66x8/03-125,-172.7387771407
S66x8/03-150,-172.7355122066
S66x8/03-200,-172.7324960927
S66x8/04-A,-76.6115978449
S66x8/04-B,-249.1727876453
S66x8/04-090,-325.7951483025
S66x8/04-095,-325.7959759848
S66x8/04-100,-325.7961255532
S66x8/04-105,-325.7958520618
S66x8/04-110,-325.7953178699
S66x8/04-125,-325.7931360619
S66x8/04-150,-325.7899456955
S66x8/04-200,-325.78649539
S66x8/05-A,-116.0159705077
S66x8/05-B,-116.0162066019
S66x8/05-090,-232.0394833445
S66x8/05-095,-232.0402890468
S66x8/05-100,-232.0404834265
S66x8/05-105,-232.0403069057
S66x8/05-110,-232.0398997179
S66x8/05-125,-232.0382142294
S66x8/05-150,-232.0358023606
S66x8/05-200,-232.0335938835
S66x8/06-A,-116.0157995273
S66x8/06-B,-96.1190843792
S66x8/06-090,-212.1448931565
S66x8/06-095,-212.1458776641
S66x8/06-100,-212.1461359457
S66x8/06-105,-212.1459344289
S66x8/06-110,-212.1454397684
S66x8/06-125,-212.1432581104
S66x8/06-150,-212.1399443713
S66x8/06-200,-212.1367663128
S66x8/07-A,-116.0159319734
S66x8/07-B,-249.1724832388
S66x8/07-090,-365.1986037401
S66x8/07-095,-365.1996269497
S66x8/07-100,-365.199912623
S66x8/07-105,-365.1997376999
S66x8/07-110,-365.199284332
S66x8/07-125,-365.1972121811
S66x8/07-150,-365.1935486332
S66x8/07-200,-365.189933656
S66x8/08-A,-116.0159610204
S66x8/08-B,-76.6116413908
S66x8/08-090,-192.6348157051
S66x8/08-095,-192.6354305834
S66x8/08-100,-192.6355194033
S66x8/08-105,-192.6352834956
S66x8/08-110,-192.6348539185
S66x8/08-125,-192.6332302459
S66x8/08-150,-192.6309953368
S66x8/08-200,-192.6289841108
S66x8/09-A,-96.1190070057
S66x8/09-B,-116.016126276
S66x8/09-090,-212.1380525204
S66x8/09-095,-212.1385880563
S66x8/09-100,-212.1387402326
S66x8/09-105,-212.1386652634
S66x8/09-110,-212.1384566848
S66x8/09-125,-212.1376266572
S66x8/09-150,-212.136550815
S66x8/09-200,-212.1356962165
S66x8/10-A,-96.1190967971
S66x8/10-B,-96.1190957198
S66x8/10-090,-192.2418779844
S66x8/10-095,-192.2427576532
S66x8/10-100,-192.2430685948
S66x8/10-105,-192.2430286941
S66x8/10-110,-192.2427779828
S66x8/10-125,-192.2416337846
S66x8/10-150,-192.2397869923
S66x8/10-200,-192.2386819262
S66x8/11-A,-96.1189593849
S66x8/11-B,-249.1726378118
S66x8/11-090,-345.2957033903
S66x8/11-095,-345.2967367214
S66x8/11-100,-345.297166763
S66x8/11-105,-345.2972105385
S66x8/11-110,-345.297016603
S66x8/11-125,-345.2952044512
S66x8/11-150,-345.2932431516
S66x8/11-200,-345.2922310965
S66x8/12-A,-96.1190592047
S66x8/12-B,-76.6117008198
S66x8/12-090,-172.7410492619
S66x8/12-095,-172.7418876566
S66x8/12-100,-172.7420242125
S66x8/12-105,-172.7417244786
S66x8/12-110,-172.7411516708
S66x8/12-125,-172.7388576525
S66x8/12-150,-172.7355501865
S66x8/12-200,-172.7325031469
S66x8/13-A,-249.1725578192
S66x8/13-B,-116.0161894378
S66x8/13-090,-365.1948097643
S66x8/13-095,-365.1957686513
S66x8/13-100,-365.1961323472
S66x8/13-105,-365.1961032416
S66x8/13-110,-365.1958419116
S66x8/13-125,-365.1945374996
S66x8/13-150,-365.1924841392
S66x8/13-200,-365.190477586
S66x8/14-A,-249.1724054174
S66x8/14-B,-96.1190848045
S66x8/14-090,-345.2994794783
S66x8/14-095,-345.3006098312
S66x8/14-100,-345.3010461001
S66x8/14-105,-345.301019006
S66x8/14-110,-345.3007064261
S66x8/14-125,-345.2990506583
S66x8/14-150,-345.2962927584
S66x8/14-200,-345.2935157215
S66x8/15-A,-249.1726618358
S66x8/15-B,-249.1727232169
S66x8/15-090,-498.3538124043
S66x8/15-095,-498.3549843308
S66x8/15-100,-498.355453091
S66x8/15-105,-498.3554696947
S66x8/15-110,-498.3551940892
S66x8/15-125,-498.3536500135
S66x8/15-150,-498.3509015641
S66x8/15-200,-498.3477043121
S66x8/16-A,-249.1727890727
S66x8/16-B,-76.6116382805
S66x8/16-090,-325.790736585
S66x8/16-095,-325.7914301451
S66x8/16-100,-325.7916071939
S66x8/16-105,-325.791465401
S66x8/16-110,-325.7911488738
S66x8/16-125,-325.7898292555
S66x8/16-150,-325.7879219508
S66x8/16-200,-325.7860912482
S66x8/17-A,-415.8714619316
S66x8/17-B,-415.8715115854
S66x8/17-090,-831.7644167735
S66x8/17-095,-831.7666626657
S66x8/17-100,-831.7673793268
S66x8/17-105,-831.7670810956
S66x8/17-110,-831.7661689603
S66x8/17-125,-831.7618851941
S66x8/17-150,-831.7548845365
S66x8/17-200,-831.747647829
S66x8/18-A,-76.6115998017
S66x8/18-B,-248.9539785583
S66x8/18-090,-325.575822491
S66x8/18-095,-325.5764939587
S66x8/18-100,-325.5765383858
S66x8/18-105,-325.576194008
S66x8/18-110,-325.5756093431
S66x8/18-125,-325.573388036
S66x8/18-150,-325.5702593378
S66x8/18-200,-325.5673894192
S66x8/19-A,-116.0158098866
S66x8/19-B,-248.9539744061
S66x8/19-090,-364.9793349076
S66x8/19-095,-364.9802910489
S66x8/19-100,-364.9805371946
S66x8/19-105,-364.9803331617
S66x8/19-110,-364.9800557622
S66x8/19-125,-364.9777052411
S66x8/19-150,-364.974708118
S66x8/19-200,-364.9716334508
S66x8/20-A,-229.6573754456
S66x8/20-B,-229.6573808819
S66x8/20-090,-459.340669486
S66x8/20-095,-459.3431911364
S66x8/20-100,-459.3439501712
S66x8/20-105,-459.3435648896
S66x8/20-110,-459.342443113
S66x8/20-125,-459.3372099111
S66x8/20-150,-459.3287776974
S66x8/20-200,-459.3200758066
S66x8/21-A,-209.7566018989
S66x8/21-B,-209.7566030427
S66x8/21-090,-419.5344071311
S66x8/21-095,-419.5364927855
S66x8/21-100,-419.537101553
S66x8/21-105,-419.5367553244
S66x8/21-110,-419.5358333052
S66x8/21-125,-419.5316112692
S66x8/21-150,-419.5250099231
S66x8/21-200,-419.5176629045
S66x8/22-A,-229.6573315862
S66x8/22-B,-415.8712318518
S66x8/22-090,-645.5541494014
S66x8/22-095,-645.5565824805
S66x8/22-100,-645.557376516
S66x8/22-105,-645.5570710326
S66x8/22-110,-645.5560537339
S66x8/22-125,-645.5511775287
S66x8/22-150,-645.5431211568
S66x8/22-200,-645.534554287
S66x8/23-A,-209.7564744566
S66x8/23-B,-415.8711862037
S66x8/23-090,-625.6524779827
S66x8/23-095,-625.6547412052
S66x8/23-100,-625.6555144682
S66x8/23-105,-625.6552996048
S66x8/23-110,-625.654435193
S66x8/23-125,-625.6500867968
S66x8/23-150,-625.6426441818
S66x8/23-200,-625.6344342928
S66x8/24-A,-232.8892093071
S66x8/24-B,-232.8892503643
S66x8/24-090,-465.7679716639
S66x8/24-095,-465.772827681
S66x8/24-100,-465.775521963
S66x8/24-105,-465.7769855272
S66x8/24-110,-465.7776598963
S66x8/24-125,-465.7782183194
S66x8/24-150,-465.7782663582
S66x8/24-200,-465.7783869437
S66x8/25-A,-248.9540059823
S66x8/25-B,-248.9540126711
S66x8/25-090,-497.8986915729
S66x8/25-095,-497.9036027418
S66x8/25-100,-497.9062767349
S66x8/25-105,-497.9076921219
S66x8/25-110,-497.9083469757
S66x8/25-125,-497.9086755742
S66x8/25-150,-497.9083560048
S66x8/25-200,-497.9081307196
S66x8/26-A,-415.8718370817
S66x8/26-B,-415.8718370817
S66x8/26-090,-831.7403585836
S66x8/26-095,-831.7454635208
S66x8/26-100,-831.7480658518
S66x8/26-105,-831.7491383927
S66x8/26-110,-831.7493633835
S66x8/26-125,-831.7483640854
S66x8/26-150,-831.7463816463
S66x8/26-200,-831.7447637062
S66x8/27-A,-232.8892280293
S66x8/27-B,-248.9540067468
S66x8/27-090,-481.8330929321
S66x8/27-095,-481.8382811995
S66x8/27-100,-481.8410340744
S66x8/27-105,-481.8424778973
S66x8/27-110,-481.8431376582
S66x8/27-125,-481.8435031018
S66x8/27-150,-481.8433244503
S66x8/27-200,-481.8432533434
S66x8/28-A,-232.8892712875
S66x8/28-B,-415.8722561594
S66x8/28-090,-648.7528480519
S66x8/28-095,-648.7578704906
S66x8/28-100,-648.7605950801
S66x8/28-105,-648.7619732429
S66x8/28-110,-648.7625926612
S66x8/28-125,-648.7625446752
S66x8/28-150,-648.7618606933
S66x8/28-200,-648.76145568
S66x8/29-A,-248.9540226767
S66x8/29-B,-415.8721842343
S66x8/29-090,-664.8173579702
S66x8/29-095,-664.8239888906
S66x8/29-100,-664.8272274657
S66x8/29-105,-664.8286201853
S66x8/29-110,-664.8290723146
S66x8/29-125,-664.8285933852
S66x8/29-150,-664.8275040788
S66x8/29-200,-664.8266841554
S66x8/30-A,-232.8892318822
S66x8/30-B,-78.8129175993
S66x8/30-090,-311.6969853649
S66x8/30-095,-311.6993717034
S66x8/30-100,-311.7006259058
S66x8/30-105,-311.7012588709
S66x8/30-110,-311.7015802509
S66x8/30-125,-311.7017897063
S66x8/30-150,-311.701860829
