system,SCAN/def2-QZVP/TM
S22x5/01-A,-467.3494598678
S22x5/01-B,-454.1794161217
S22x5/01-0.9,-921.5530818425
S22x5/01-1.0,-921.5544041363
S22x5/01-1.2,-921.5489577755
S22x5/01-1.5,-921.5396799738
S22x5/01-2.0,-921.5323995289
S22x5/02-A,-467.3489111989
S22x5/02-B,-454.1804520664
S22x5/02-0.9,-921.5354660816
S22x5/02-1.0,-921.5434509338
S22x5/02-1.2,-921.5386451608
S22x5/02-1.5,-921.5325400869
S22x5/02-2.0,-921.5303025435
S22x5/03-A,-56.5598459129
S22x5/03-B,-56.5598452993
S22x5/03-0.9,-113.1238893869
S22x5/03-1.0,-113.1248315247
S22x5/03-1.2,-113.1233999775
S22x5/03-1.5,-113.1213841028
S22x5/03-2.0,-113.1202206036
S22x5/04-A,-76.4384405838
S22x5/04-B,-76.4384497898
S22x5/04-0.9,-152.8851817262
S22x5/04-1.0,-152.8858130329
S22x5/04-1.2,-152.8838293171
S22x5/04-1.5,-152.8807002818
S22x5/04-2.0,-152.8784068423
S22x5/05-A,-40.5093418212
S22x5/05-B,-40.5093154165
S22x5/05-0.9,-81.0188765009
S22x5/05-1.0,-81.0192428244
S22x5/05-1.2,-81.0188888704
S22x5/05-1.5,-81.0187014952
S22x5/05-2.0,-81.0186814847
S22x5/06-A,-78.5773643212
S22x5/06-B,-78.5773643212
S22x5/06-0.9,-157.1550564453
S22x5/06-1.0,-157.1563766818
S22x5/06-1.2,-157.1554758697
S22x5/06-1.5,-157.1548411788
S22x5/06-2.0,-157.1547409879
S22x5/07-A,-78.5773567635
S22x5/07-B,-77.3198351045
S22x5/07-0.9,-155.8990404855
S22x5/07-1.0,-155.8993794432
S22x5/07-1.2,-155.8986891072
S22x5/07-1.5,-155.8978522892
S22x5/07-2.0,-155.8974292512
S22x5/08-A,-189.7873533773
S22x5/08-B,-189.7873533773
S22x5/08-0.9,-379.6061990151
S22x5/08-1.0,-379.6080438848
S22x5/08-1.2,-379.601623447
S22x5/08-1.5,-379.5901873589
S22x5/08-2.0,-379.5806171857
S22x5/09-A,-169.9114548083
S22x5/09-B,-169.9114548083
S22x5/09-0.9,-339.8475636769
S22x5/09-1.0,-339.8494145526
S22x5/09-1.2,-339.8446229558
S22x5/09-1.5,-339.8358154958
S22x5/09-2.0,-339.8284623383
S22x5/10-A,-232.2351184019
S22x5/10-B,-76.4384018058
S22x5/10-0.9,-308.6788621024
S22x5/10-1.0,-308.6790651479
S22x5/10-1.2,-308.6774650349
S22x5/10-1.5,-308.6754291677
S22x5/10-2.0,-308.6741663003
S22x5/11-A,-232.2351493209
S22x5/11-B,-56.5597956035
S22x5/11-0.9,-288.7977596198
S22x5/11-1.0,-288.7982329763
S22x5/11-1.2,-288.7972831478
S22x5/11-1.5,-288.7959719153
S22x5/11-2.0,-288.7952511292
S22x5/12-A,-232.2351608409
S22x5/12-B,-40.5093502481
S22x5/12-0.9,-272.7451221531
S22x5/12-1.0,-272.7459186831
S22x5/12-1.2,-272.7455726054
S22x5/12-1.5,-272.744848143
S22x5/12-2.0,-272.7445644935
S22x5/13-A,-232.235062663
S22x5/13-B,-232.2351380288
S22x5/13-0.9,-464.4713573447
S22x5/13-1.0,-464.472666387
S22x5/13-1.2,-464.4723496572
S22x5/13-1.5,-464.4711663973
S22x5/13-2.0,-464.4705088316
S22x5/14-A,-232.2351375059
S22x5/14-B,-232.2351437057
S22x5/14-0.9,-464.4670534788
S22x5/14-1.0,-464.472094113
S22x5/14-1.2,-464.4716875628
S22x5/14-1.5,-464.4704029612
S22x5/14-2.0,-464.4702607888
S22x5/15-A,-232.2351304042
S22x5/15-B,-363.8151658896
S22x5/15-0.9,-596.0550512933
S22x5/15-1.0,-596.0567814539
S22x5/15-1.2,-596.0559322548
S22x5/15-1.5,-596.0533612027
S22x5/15-2.0,-596.0514222727
S22x5/16-A,-232.2352041823
S22x5/16-B,-363.8152366945
S22x5/16-0.9,-596.0475905791
S22x5/16-1.0,-596.0538231615
S22x5/16-1.2,-596.0529096554
S22x5/16-1.5,-596.0504615492
S22x5/16-2.0,-596.0500304027
S22x5/17-A,-264.3143790818
S22x5/17-B,-264.3144092841
S22x5/17-0.9,-528.6278572733
S22x5/17-1.0,-528.6330602927
S22x5/17-1.2,-528.6316711737
S22x5/17-1.5,-528.6294302493
S22x5/17-2.0,-528.628828487
S22x5/18-A,-323.5342612836
S22x5/18-B,-303.654494306
S22x5/18-0.9,-627.2141727643
S22x5/18-1.0,-627.2156583596
S22x5/18-1.2,-627.2104231175
S22x5/18-1.5,-627.2011352784
S22x5/18-2.0,-627.1935554765
S22x5/19-A,-307.4772231653
S22x5/19-B,-307.4771797367
S22x5/19-0.9,-614.9629219907
S22x5/19-1.0,-614.963834627
S22x5/19-1.2,-614.9620001783
S22x5/19-1.5,-614.958568886
S22x5/19-2.0,-614.9558819824
S22x5/20-A,-414.8631163913
S22x5/20-B,-414.8631163913
S22x5/20-0.9,-829.7339758399
S22x5/20-1.0,-829.7391883265
S22x5/20-1.2,-829.7340996517
S22x5/20-1.5,-829.7290421325
S22x5/20-2.0,-829.727123249
S22x5/21-A,-414.8623218749
S22x5/21-B,-414.8623218749
S22x5/21-0.9,-829.7555876216
S22x5/21-1.0,-829.7573384381
S22x5/21-1.2,-829.7513448146
S22x5/21-1.5,-829.7405385507
S22x5/21-2.0,-829.7314281453
S22x5/22-A,-232.2351035084
S22x5/22-B,-93.4189415848
S22x5/22-0.9,-325.6597935038
S22x5/22-1.0,-325.6605445671
S22x5/22-1.2,-325.6591969974
S22x5/22-1.5,-325.656859221
S22x5/22-2.0,-325.6551905246
S66x8/01-A,-76.4384459309
S66x8/01-B,-76.4384439264
S66x8/01-090,-152.8854866234
S66x8/01-095,-152.8857367211
S66x8/01-100,-152.885554557
S66x8/01-105,-152.8851200899
S66x8/01-110,-152.8845533108
S66x8/01-125,-152.8826976903
S66x8/01-150,-152.8803422098
S66x8/01-200,-152.8782652794
S66x8/02-A,-76.4384480751
S66x8/02-B,-115.7307010439
S66x8/02-090,-192.1785237361
S66x8/02-095,-192.1788328957
S66x8/02-100,-192.1786553605
S66x8/02-105,-192.1781882958
S66x8/02-110,-192.1775654295
S66x8/02-125,-192.1754921843
S66x8/02-150,-192.172835805
S66x8/02-200,-192.1705373953
S66x8/03-A,-76.4384451198
S66x8/03-B,-95.8559095827
S66x8/03-090,-172.3060796792
S66x8/03-095,-172.3063599734
S66x8/03-100,-172.3061078752
S66x8/03-105,-172.3055340107
S66x8/03-110,-172.3047831836
S66x8/03-125,-172.3022675876
S66x8/03-150,-172.2989487628
S66x8/03-200,-172.2959720057
S66x8/04-A,-76.4384465617
S66x8/04-B,-248.537780147
S66x8/04-090,-324.9897523931
S66x8/04-095,-324.9901215935
S66x8/04-100,-324.9899118492
S66x8/04-105,-324.9893445863
S66x8/04-110,-324.9885730103
S66x8/04-125,-324.9858926491
S66x8/04-150,-324.9821799675
S66x8/04-200,-324.9782938121
S66x8/05-A,-115.7306244215
S66x8/05-B,-115.7306997643
S66x8/05-090,-231.4706431257
S66x8/05-095,-231.4710513563
S66x8/05-100,-231.4709442673
S66x8/05-105,-231.4705266238
S66x8/05-110,-231.4699368121
S66x8/05-125,-231.4678951992
S66x8/05-150,-231.4651989413
S66x8/05-200,-231.4628208881
S66x8/06-A,-115.7304273674
S66x8/06-B,-95.8558928721
S66x8/06-090,-211.5985319964
S66x8/06-095,-211.5990297999
S66x8/06-100,-211.5989025391
S66x8/06-105,-211.5983874713
S66x8/06-110,-211.5976499579
S66x8/06-125,-211.595037515
