system,SCC-DFTB2/matsci-0-3/dftb+
S22x5/01-A,-23.4721537613
S22x5/01-B,-22.6426445216
S22x5/01-0.9,-46.1258501967
S22x5/01-1.0,-46.1264748409
S22x5/01-1.2,-46.1220068605
S22x5/01-1.5,-46.1181406395
S22x5/01-2.0,-46.116099727
S22x5/02-A,-23.4789251543
S22x5/02-B,-22.6390453844
S22x5/02-0.9,-46.1205461026
S22x5/02-1.0,-46.1227257717
S22x5/02-1.2,-46.121112358
S22x5/02-1.5,-46.1195531755
S22x5/02-2.0,-46.1185945236
S22x5/03-A,-3.6448193746
S22x5/03-B,-3.6448193746
S22x5/03-0.9,-7.289691527
S22x5/03-1.0,-7.290245428
S22x5/03-1.2,-7.2900535058
S22x5/03-1.5,-7.2898376077
S22x5/03-2.0,-7.2897078422
S22x5/04-A,-4.084469964
S22x5/04-B,-4.0844115192
S22x5/04-0.9,-8.1708415595
S22x5/04-1.0,-8.1717058206
S22x5/04-1.2,-8.1708582067
S22x5/04-1.5,-8.1699901222
S22x5/04-2.0,-8.1694278946
S22x5/05-A,-3.1717952193
S22x5/05-B,-3.1717952193
S22x5/05-0.9,-6.3435977772
S22x5/05-1.0,-6.3435893429
S22x5/05-1.2,-6.3435875332
S22x5/05-1.5,-6.3435899421
S22x5/05-2.0,-6.3435903119
S22x5/06-A,-4.8337398325
S22x5/06-B,-4.8337398325
S22x5/06-0.9,-9.6675602399
S22x5/06-1.0,-9.6675690131
S22x5/06-1.2,-9.6675228862
S22x5/06-1.5,-9.6674905458
S22x5/06-2.0,-9.6674813705
S22x5/07-A,-4.8337145563
S22x5/07-B,-4.0469281425
S22x5/07-0.9,-8.881346843
S22x5/07-1.0,-8.8810126406
S22x5/07-1.2,-8.8808254183
S22x5/07-1.5,-8.8807354816
S22x5/07-2.0,-8.8806758584
S22x5/08-A,-9.0571917555
S22x5/08-B,-9.0571917555
S22x5/08-0.9,-18.1167083794
S22x5/08-1.0,-18.1313875959
S22x5/08-1.2,-18.1272546817
S22x5/08-1.5,-18.1211991364
S22x5/08-2.0,-18.1175209621
S22x5/09-A,-8.6911004551
S22x5/09-B,-8.6911004551
S22x5/09-0.9,-17.3977094039
S22x5/09-1.0,-17.3981325551
S22x5/09-1.2,-17.3933423922
S22x5/09-1.5,-17.388707375
S22x5/09-2.0,-17.385511424
S22x5/10-A,-12.4205573571
S22x5/10-B,-4.0846763449
S22x5/10-0.9,-16.506646407
S22x5/10-1.0,-16.5062765659
S22x5/10-1.2,-16.5058723769
S22x5/10-1.5,-16.5056201845
S22x5/10-2.0,-16.5054075196
S22x5/11-A,-12.4205722827
S22x5/11-B,-3.6454544661
S22x5/11-0.9,-16.0665303002
S22x5/11-1.0,-16.0663855067
S22x5/11-1.2,-16.0662421024
S22x5/11-1.5,-16.0661519046
S22x5/11-2.0,-16.0660770274
S22x5/12-A,-12.420589768
S22x5/12-B,-3.1715320004
S22x5/12-0.9,-15.5922668283
S22x5/12-1.0,-15.5921980911
S22x5/12-1.2,-15.5921569931
S22x5/12-1.5,-15.5921400877
S22x5/12-2.0,-15.5921276537
S22x5/13-A,-12.4205990002
S22x5/13-B,-12.4205850962
S22x5/13-0.9,-24.8414553937
S22x5/13-1.0,-24.8414320045
S22x5/13-1.2,-24.84131378
S22x5/13-1.5,-24.8412601927
S22x5/13-2.0,-24.8412158408
S22x5/14-A,-12.4206041644
S22x5/14-B,-12.4206041644
S22x5/14-0.9,-24.8402408738
S22x5/14-1.0,-24.8409171532
S22x5/14-1.2,-24.8410793547
S22x5/14-1.5,-24.8411600588
S22x5/14-2.0,-24.8411966495
S22x5/15-A,-12.4205368537
S22x5/15-B,-18.8501234482
S22x5/15-0.9,-31.2725733449
S22x5/15-1.0,-31.2724409006
S22x5/15-1.2,-31.2718446401
S22x5/15-1.5,-31.2713918427
S22x5/15-2.0,-31.2710136647
S22x5/16-A,-12.4205938843
S22x5/16-B,-18.8496385706
S22x5/16-0.9,-31.2691351266
S22x5/16-1.0,-31.2701693313
S22x5/16-1.2,-31.2701755716
S22x5/16-1.5,-31.2701657222
S22x5/16-2.0,-31.2701924134
S22x5/17-A,-13.5131321956
S22x5/17-B,-13.513139168
S22x5/17-0.9,-27.0259402135
S22x5/17-1.0,-27.0266957737
S22x5/17-1.2,-27.0264707167
S22x5/17-1.5,-27.0263419955
S22x5/17-2.0,-27.0262887944
S22x5/18-A,-16.2951861907
S22x5/18-B,-15.9389279055
S22x5/18-0.9,-32.2462427034
