system,TASK/def2-QZVP/Turbomole
S22x5/01-A,-467.6427519972
S22x5/01-B,-454.4682135707
S22x5/01-0.9,-922.0997437621
S22x5/01-1.0,-922.1077225537
S22x5/01-1.2,-922.1134159891
S22x5/01-1.5,-922.1147923381
S22x5/01-2.0,-922.1134607809
S22x5/02-A,-467.6424861192
S22x5/02-B,-454.4698145779
S22x5/02-0.9,-922.0533809063
S22x5/02-1.0,-922.0863923204
S22x5/02-1.2,-922.1092648486
S22x5/02-1.5,-922.1140980947
S22x5/02-2.0,-922.1132393228
S22x5/03-A,-56.650713463
S22x5/03-B,-56.650713463
S22x5/03-0.9,-113.2904574554
S22x5/03-1.0,-113.2962356562
S22x5/03-1.2,-113.3009871248
S22x5/03-1.5,-113.3023130037
S22x5/03-2.0,-113.3019266918
S22x5/04-A,-76.5062678661
S22x5/04-B,-76.5063204675
S22x5/04-0.9,-153.0058152392
S22x5/04-1.0,-153.0099594925
S22x5/04-1.2,-153.0134457546
S22x5/04-1.5,-153.0145860826
S22x5/04-2.0,-153.0139877642
S22x5/05-A,-40.6273756225
S22x5/05-B,-40.6273756225
S22x5/05-0.9,-81.2469156558
S22x5/05-1.0,-81.2515647944
S22x5/05-1.2,-81.2543404396
S22x5/05-1.5,-81.2547460829
S22x5/05-2.0,-81.2547526648
S22x5/06-A,-78.7261405552
S22x5/06-B,-78.7261405552
S22x5/06-0.9,-157.4349825021
S22x5/06-1.0,-157.4441395777
S22x5/06-1.2,-157.4507450794
S22x5/06-1.5,-157.4522355986
S22x5/06-2.0,-157.4522845584
S22x5/07-A,-78.7261370936
S22x5/07-B,-77.4462228163
S22x5/07-0.9,-156.1651429555
S22x5/07-1.0,-156.1686876444
S22x5/07-1.2,-156.1716991109
S22x5/07-1.5,-156.1725996871
S22x5/07-2.0,-156.1725165771
S22x5/08-A,-189.8928944616
S22x5/08-B,-189.8928944616
S22x5/08-0.9,-379.783626678
S22x5/08-1.0,-379.79064332
S22x5/08-1.2,-379.7937353235
S22x5/08-1.5,-379.7928818681
S22x5/08-2.0,-379.7902971364
S22x5/09-A,-170.0404354052
S22x5/09-B,-170.0404354052
S22x5/09-0.9,-340.0733275452
S22x5/09-1.0,-340.0812251361
S22x5/09-1.2,-340.0869502185
S22x5/09-1.5,-340.0879980636
S22x5/09-2.0,-340.085696016
S22x5/10-A,-232.5118125943
S22x5/10-B,-76.506237296
S22x5/10-0.9,-309.008945378
S22x5/10-1.0,-309.013560794
S22x5/10-1.2,-309.0177059514
S22x5/10-1.5,-309.0190046449
S22x5/10-2.0,-309.0186222858
S22x5/11-A,-232.5117725252
S22x5/11-B,-56.650711053
S22x5/11-0.9,-289.1518323994
S22x5/11-1.0,-289.156631158
S22x5/11-1.2,-289.1610698904
S22x5/11-1.5,-289.1627202207
S22x5/11-2.0,-289.1627270836
S22x5/12-A,-232.5117395709
S22x5/12-B,-40.6273297137
S22x5/12-0.9,-273.1263310439
S22x5/12-1.0,-273.1314723447
S22x5/12-1.2,-273.1364914139
S22x5/12-1.5,-273.1386938579
S22x5/12-2.0,-273.1390867583
S22x5/13-A,-232.511763463
S22x5/13-B,-232.5117846196
S22x5/13-0.9,-465.006493936
S22x5/13-1.0,-465.0131659935
S22x5/13-1.2,-465.0198833648
S22x5/13-1.5,-465.0230445021
S22x5/13-2.0,-465.0236618716
S22x5/14-A,-232.5117241199
S22x5/14-B,-232.5117241198
S22x5/14-0.9,-464.9873970978
S22x5/14-1.0,-465.0063023086
S22x5/14-1.2,-465.0196723206
S22x5/14-1.5,-465.0230704805
S22x5/14-2.0,-465.0234023301
S22x5/15-A,-232.5118793595
S22x5/15-B,-364.1611539297
S22x5/15-0.9,-596.653879575
S22x5/15-1.0,-596.6621356044
S22x5/15-1.2,-596.6702618244
S22x5/15-1.5,-596.6737691589
S22x5/15-2.0,-596.6739414346
S22x5/16-A,-232.5117644495
S22x5/16-B,-364.1610540381
S22x5/16-0.9,-596.6269259266
S22x5/16-1.0,-596.6494715523
S22x5/16-1.2,-596.6667654266
S22x5/16-1.5,-596.6719469736
S22x5/16-2.0,-596.6726041374
S22x5/17-A,-264.535883255
S22x5/17-B,-264.5358920603
S22x5/17-0.9,-529.0353397176
S22x5/17-1.0,-529.0551547478
S22x5/17-1.2,-529.0688519133
S22x5/17-1.5,-529.0719018257
S22x5/17-2.0,-529.0718737771
S22x5/18-A,-323.7884417491
S22x5/18-B,-303.9306839678
S22x5/18-0.9,-627.7116426262
S22x5/18-1.0,-627.718905386
S22x5/18-1.2,-627.7238035588
S22x5/18-1.5,-627.7246937657
S22x5/18-2.0,-627.7229400476
S22x5/19-A,-307.7574879909
S22x5/19-B,-307.7577130384
S22x5/19-0.9,-615.4979016927
S22x5/19-1.0,-615.504500114
S22x5/19-1.2,-615.5114489245
S22x5/19-1.5,-615.5153207197
S22x5/19-2.0,-615.5161652816
S22x5/20-A,-415.0984746962
S22x5/20-B,-415.0984746962
S22x5/20-0.9,-830.156182028
S22x5/20-1.0,-830.1817546503
S22x5/20-1.2,-830.1973381053
S22x5/20-1.5,-830.1991637593
S22x5/20-2.0,-830.1978934687
S22x5/21-A,-415.0972837862
S22x5/21-B,-415.0972837862
S22x5/21-0.9,-830.1919491025
S22x5/21-1.0,-830.1996420247
S22x5/21-1.2,-830.2042205337
S22x5/21-1.5,-830.2039432362
S22x5/21-2.0,-830.2005218326
S22x5/22-A,-232.51185018
S22x5/22-B,-93.5220581808
S22x5/22-0.9,-326.0219963482
S22x5/22-1.0,-326.0276513596
S22x5/22-1.2,-326.0331064806
S22x5/22-1.5,-326.0351760282
S22x5/22-2.0,-326.0348698426
S66x8/01-A,-76.5063341437
S66x8/01-B,-76.5063063145
S66x8/01-090,-153.0072543465
S66x8/01-095,-153.0093126353
S66x8/01-100,-153.0108056635
S66x8/01-105,-153.0119069111
S66x8/01-110,-153.0127240535
S66x8/01-125,-153.0141039998
S66x8/01-150,-153.014595775
S66x8/01-200,-153.0138706366
S66x8/02-A,-76.506335069
S66x8/02-B,-115.8531765629
S66x8/02-090,-192.3529223598
S66x8/02-095,-192.3551993052
S66x8/02-100,-192.3568494854
S66x8/02-105,-192.3580676845
S66x8/02-110,-192.3589756009
S66x8/02-125,-192.3605504241
S66x8/02-150,-192.3612501764
S66x8/02-200,-192.3606624336
S66x8/03-A,-76.5063313067
S66x8/03-B,-96.0020632682
S66x8/03-090,-172.5040547419
S66x8/03-095,-172.50597006
S66x8/03-100,-172.5072698036
S66x8/03-105,-172.5081665476
S66x8/03-110,-172.5087934592
S66x8/03-125,-172.5097979936
S66x8/03-150,-172.5102111497
S66x8/03-200,-172.5095909772
S66x8/04-A,-76.5063321691
S66x8/04-B,-248.7749640313
S66x8/04-090,-325.274726117
S66x8/04-095,-325.2772763544
S66x8/04-100,-325.2791238271
S66x8/04-105,-325.2804852413
S66x8/04-110,-325.2814974824
S66x8/04-125,-325.2832676625
S66x8/04-150,-325.2840737323
S66x8/04-200,-325.283047216
S66x8/05-A,-115.8528027822
S66x8/05-B,-115.8531999229
S66x8/05-090,-231.699008236
S66x8/05-095,-231.7013867736
S66x8/05-100,-231.7031130881
S66x8/05-105,-231.7043900649
S66x8/05-110,-231.7053435481
S66x8/05-125,-231.7070125922
S66x8/05-150,-231.7078063983
S66x8/05-200,-231.7072842861
S66x8/06-A,-115.8524702045
S66x8/06-B,-96.002079327
S66x8/06-090,-211.8477457731
S66x8/06-095,-211.8503476576
S66x8/06-100,-211.8521620157
S66x8/06-105,-211.8534505211
S66x8/06-110,-211.854359215
S66x8/06-125,-211.8558516563
S66x8/06-150,-211.8565542191
S66x8/06-200,-211.8560668372
S66x8/07-A,-115.8526505941
S66x8/07-B,-248.7753153258
S66x8/07-090,-364.6200968888
S66x8/07-095,-364.6228112086
S66x8/07-100,-364.6247850009
S66x8/07-105,-364.6262483782
S66x8/07-110,-364.627344089
S66x8/07-125,-364.6292909731
S66x8/07-150,-364.6303903917
S66x8/07-200,-364.6294098109
S66x8/08-A,-115.8528409861
S66x8/08-B,-76.5063076059
S66x8/08-090,-192.3533590666
S66x8/08-095,-192.3555202065
S66x8/08-100,-192.357091679
S66x8/08-105,-192.3582531818
S66x8/08-110,-192.3591176309
S66x8/08-125,-192.3605932301
S66x8/08-150,-192.3611757253
S66x8/08-200,-192.3605130648
S66x8/09-A,-96.0019440535
S66x8/09-B,-115.8531057992
S66x8/09-090,-211.8452639006
S66x8/09-095,-211.8479297484
S66x8/09-100,-211.8499438557
S66x8/09-105,-211.851474999
S66x8/09-110,-211.8526433577
S66x8/09-125,-211.854680313
S66x8/09-150,-211.8556825596
S66x8/09-200,-211.8555656569
S66x8/10-A,-96.0019724377
S66x8/10-B,-96.0020457949
S66x8/10-090,-191.9903494695
S66x8/10-095,-191.9937296776
S66x8/10-100,-191.9963117875
S66x8/10-105,-191.9983139938
S66x8/10-110,-191.9998767742
S66x8/10-125,-192.0027709875
S66x8/10-150,-192.00458251
S66x8/10-200,-192.0044497513
S66x8/11-A,-96.0017806182
S66x8/11-B,-248.7755708433
S66x8/11-090,-344.7621026481
S66x8/11-095,-344.765825683
S66x8/11-100,-344.7687047119
S66x8/11-105,-344.7709555466
S66x8/11-110,-344.7727170494
S66x8/11-125,-344.7770385959
S66x8/11-150,-344.7784341081
S66x8/11-200,-344.7780437563
S66x8/12-A,-96.0020606784
S66x8/12-B,-76.5057788407
S66x8/12-090,-172.5024470844
S66x8/12-095,-172.5047759819
S66x8/12-100,-172.5063843672
S66x8/12-105,-172.5075110225
S66x8/12-110,-172.5083115375
S66x8/12-125,-172.5096250677
S66x8/12-150,-172.5102091283
S66x8/12-200,-172.5096025281
S66x8/13-A,-248.7755973883
S66x8/13-B,-115.8531859
S66x8/13-090,-364.6179434487
S66x8/13-095,-364.6210608758
S66x8/13-100,-364.6234392022
S66x8/13-105,-364.6252781296
S66x8/13-110,-364.6267069856
S66x8/13-125,-364.629345998
S66x8/13-150,-364.6307925109
S66x8/13-200,-364.6304359115
S66x8/14-A,-248.7753085633
S66x8/14-B,-96.0020786698
S66x8/14-090,-344.7674901352
S66x8/14-095,-344.7704966862
S66x8/14-100,-344.7727231296
S66x8/14-105,-344.7744045985
S66x8/14-110,-344.7756917904
S66x8/14-125,-344.7780557344
S66x8/14-150,-344.779452143
S66x8/14-200,-344.7791619455
S66x8/15-A,-248.7748056458
S66x8/15-B,-248.7749851387
S66x8/15-090,-497.5388023104
S66x8/15-095,-497.5421448869
S66x8/15-100,-497.5446906501
S66x8/15-105,-497.5466564071
S66x8/15-110,-497.5481781357
S66x8/15-125,-497.551004017
S66x8/15-150,-497.5526426225
S66x8/15-200,-497.5520260118
S66x8/16-A,-248.7750011606
S66x8/16-B,-76.5063112884
S66x8/16-090,-325.2739430785
S66x8/16-095,-325.2765188194
S66x8/16-100,-325.2784516915
S66x8/16-105,-325.2799208634
S66x8/16-110,-325.2810350264
S66x8/16-125,-325.2829627746
S66x8/16-150,-325.2837445614
S66x8/16-200,-325.2830165558
S66x8/17-A,-415.0975320485
S66x8/17-B,-415.0976681795
S66x8/17-090,-830.1891246765
S66x8/17-095,-830.1934836614
S66x8/17-100,-830.1964480564
S66x8/17-105,-830.1984697228
S66x8/17-110,-830.1998413151
S66x8/17-125,-830.2017622046
S66x8/17-150,-830.2019094485
S66x8/17-200,-830.1994522515
S66x8/18-A,-76.506334128
S66x8/18-B,-248.5258089458
